Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-0	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-4	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-13	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-20	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-26	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-31	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243097	Fornarve, Lotta Johnsson	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-38	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-46	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-53	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-59	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-66	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-69	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-73	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-75	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-76	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-78	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-79	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-81	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-84	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-86	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-89	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-90	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243097	Fornarve, Lotta Johnsson	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-92	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-94	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243097	Fornarve, Lotta Johnsson	F	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-95	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-97	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-100	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-102	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-103	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-108	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-111	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q4731041	Widman, Allan	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-112	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-114	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-122	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-123	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-125	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-127	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2019-06-10-prot-201819--101	i-8119e264b4443733-130	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 101	2019-06-10	Unicameralism	2018/19	-	-	2018/19--101	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18243097	Fornarve, Lotta Johnsson	F	-	
