Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-3	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-18	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18238432	Dioukarev, Dennis	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-5MppRdb5oy1NrMvRDE8ZC7	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4935938	Andersson, Ulla	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-50	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5737841	Forssmed, Jakob	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-66	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4935938	Andersson, Ulla	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-71	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5737841	Forssmed, Jakob	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-76	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4935938	Andersson, Ulla	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-80	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5737841	Forssmed, Jakob	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-84	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q6039678	Pehrson, Johan	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-8MCkm3j3masnXX8yPuHdeo	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q20156222	Wiechel, Björn	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-117	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5737841	Forssmed, Jakob	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-121	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q20156222	Wiechel, Björn	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-126	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q5737841	Forssmed, Jakob	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-129	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q20156222	Wiechel, Björn	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-133	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-6191321c12bd486a-0	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q6039678	Pehrson, Johan	M	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-134	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-141	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q42712344	Malmqvist, Josefin	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-146	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q57168726	Vilhelmsson, Helena	F	-	
ParlaMint-SE-en_2019-03-27-prot-201819--68	i-bb1d197b5ad64b3f-152	Swedish parliamentary corpus ParlaMint-SE-en, 2018/19 nr. 68	2019-03-27	Unicameralism	2018/19	-	-	2018/19--68	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q6039678	Pehrson, Johan	M	-	
