Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-0	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-3	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-19	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-20	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-Gt8weQ9jEgRkLm5eZt2H3M	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-41	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-49	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-55	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-67	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q1681740	Ericson, Jan	M	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-74	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-81	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4563096	Nilsson, Jennie	F	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-HrMNmdnZSvncTCPLuaXWbg	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18238847	Filper, Runar	M	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-96	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4563096	Nilsson, Jennie	F	-	
ParlaMint-SE-en_2019-09-27-prot-201920--11	i-4321f287b652663a-104	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 11	2019-09-27	Unicameralism	2019/20	-	-	2019/20--11	-	Reference	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18238847	Filper, Runar	M	-	
