ParlaMint-FR_2022-01-05-O1110.u1	The meeting was suspended.
ParlaMint-FR_2022-01-05-O1110.u2	The meeting was resumed.
ParlaMint-FR_2022-01-05-O1110.u3	The next item is the continuation of the discussion of the bill strengthening the tools for managing the health crisis and amending the public health code (No. 4857, 4858).
ParlaMint-FR_2022-01-05-O1110.u4	Last night, the Assembly continued its discussion of the articles of the bill, stopping with Amendment No. 648 to Article 1. The Minister-in-Office has the floor.
ParlaMint-FR_2022-01-05-O1110.u5	I would simply like to report on the discussion that I had with both the presidency of the National Assembly and the group presidents. Yesterday, as the debate on the bill continued, opposition groups called for the Prime Minister to go to the National Assembly and speak on both the text and the context. The Prime Minister is currently in the Senate – which, as you know, is holding a question-and-answer session in the Government on Wednesday. He will appear before you immediately after. After discussion with the chairmen of groups of all trends, I therefore propose, pending its arrival, to resume consideration of the bill where it had stopped, with the amendments following the one tabled by Mrs Untermaier and the Socialist and Related Group and under-amended by the Government, which you voted yesterday before 20.00 p.m.
ParlaMint-FR_2022-01-05-O1110.u6	Since then, Macron's comments have been published: the situation has changed!
ParlaMint-FR_2022-01-05-O1110.u7	[[Applause on the benches of the LaREM, Dem and Agir ens groups]] The Head of Government is currently responding to Senators' questions about the important debate before us; It is legitimate for him to do the same in front of you. On the other hand, last night you expressed your willingness to move forward in this debate. We are all concerned about the health of our citizens and we are all aware of the difficulties in this epidemic phase. In this regard, different views are expressed, which is quite normal. This democratic debate must continue pending the arrival of the Prime Minister at about 16:15.
ParlaMint-FR_2022-01-05-O1110.u8	Mr Damien Abad has the floor for a point of order.
ParlaMint-FR_2022-01-05-O1110.u9	[[Murmures]] Deputy Minister, we were asking yesterday evening for the Prime Minister to come and speak to the national representative about the remarks of the President of the Republic, who were all the more shocked that they were made public in the middle of the discussion of this bill on the health crisis. However, we waited in vain for an hour and a half. It was a waste of time and as much delay in the discussion of the text. [[Applause on the benches of the LR, LaREM and Dem groups]] [[Long exclamations and laughs on the benches of the LaREM and Dem groups]] Nevertheless, on behalf of the Republican Group, I declare that we want to resume the debate; We want an Assembly of respect and responsibility, which goes to the end of the text. Since the beginning of his examination, we have never been obstructed. Exactly, ladies and gentlemen! We have only defended our amendments. [[Applause on the benches of the LR group]] [[Applause on the benches of the LR group and on some benches of the LaREM group]] This is one of the debates that we have opened, the debate on vaccination of children under 16 years of age, which has led to a political consensus. The debate is therefore useful. Therefore, ministers, since you are announcing the forthcoming arrival of Mr Castex, we are ready to resume work now in order not to waste more time, in a spirit of responsibility and respect for national representation.
ParlaMint-FR_2022-01-05-O1110.u10	Mrs Mathilde Panot has the floor.
ParlaMint-FR_2022-01-05-O1110.u11	[[Protests on several benches of the Dem group]] [[Claims on several banks of the LaREM Group]] Mr Deputy Minister, with all due respect, I do not agree that we should resume our work as if nothing had happened, as if the President of the Republic had not confessed to want to piss off a part of the French, as if he had not said that an irresponsible person was no longer a citizen, thus inventing a kind of deprivation of citizenship! All the more so since he contradicted, in doing so, the main argument that you put forward to justify the introduction of the vaccination pass, Mr.Minister of Solidarity and Health: the numerous deprogramming of operations – confirmed by the caregivers – and the disastrous state in which the public hospital is located – partly because of your policy.
ParlaMint-FR_2022-01-05-O1110.u12	That's not true!
ParlaMint-FR_2022-01-05-O1110.u13	[[Caroline Fiat applauds]] Indeed, what the President of the Republic says in this interview is that there is currently no sorting in hospitals: the whole logic that you used in presenting the text is therefore called into question by his comments. [[Applause on the benches of the FI group]] [[Claims on several banks of the LaREM Group]] I should like to recall that yesterday, in the course of questions to the Government, the Prime Minister addressed a solemn appeal, in view of the situation, to restore the serenity of the debates in the Assembly. But it is you who are responsible for the parliamentary crisis that has just occurred! We therefore call for the suspension of work until the arrival of the Prime Minister. ; but, since you are not prepared to do so, as you told us earlier, I am asking, as chair of the group, for a suspension of the sitting.
ParlaMint-FR_2022-01-05-O1110.u14	[[Vif applause on the benches of the LaREM group and on a few benches of the Dem group]] Mr Christophe Castaner has the floor.
ParlaMint-FR_2022-01-05-O1110.u15	The suspension is right!
ParlaMint-FR_2022-01-05-O1110.u16	[[Rires on a few benches of the LR group]] Mr. Deputy Minister, thank you for your proposal, which we support. [[Mrs Caroline Fiat protested]] In the last 24 hours, there have been 297 deaths from covid-19. Women and men are fighting to save lives. It is to these French that we must act, of course, with respect for our differences, including the recommendations put forward by the Government in this bill, but never by shouting, Mrs Fiat, nor by seeking to obstruct the debate. Allow me to thank the Prime Minister for agreeing to come before us after responding to the honourable senators...
ParlaMint-FR_2022-01-05-O1110.u17	Don't start your provocations again!
ParlaMint-FR_2022-01-05-O1110.u18	[[Exclaims on a few benches in the LR group]] Mr Jumel, there is no need to scream, no one gets upset! As the Prime Minister has answered questions from senators, starting with those of Bruno Retailleau, he now wishes to speak to the members of the nation.
ParlaMint-FR_2022-01-05-O1110.u19	Happy again!
ParlaMint-FR_2022-01-05-O1110.u20	[[Exclaims on the SOC, FI and GDR panels]] Pending his arrival, it is necessary to find conditions conducive to the debate, for those who look at him and expect a lot, but also in the name of those who are currently fighting to save lives – I am thinking here of caregivers.
ParlaMint-FR_2022-01-05-O1110.u21	They went on strike to challenge your policy!
ParlaMint-FR_2022-01-05-O1110.u22	[[Applause on the benches of the LaREM group]] I therefore hope that we will resume the debate with respect, despite our differences of opinion.
ParlaMint-FR_2022-01-05-O1110.u23	I asked for a session suspension!
ParlaMint-FR_2022-01-05-O1110.u24	The other group chairmen have asked for the floor. I'd like to suspend the sitting, Mrs. Panot, but they have to speak. Mr André Chassaigne has the floor.
ParlaMint-FR_2022-01-05-O1110.u25	Ladies and gentlemen, I would like to recall the reasons why yesterday our group, followed by others, came to ask that the Prime Minister be heard.
ParlaMint-FR_2022-01-05-O1110.u26	Listen to her?
ParlaMint-FR_2022-01-05-O1110.u27	[[Applause on the benches of the GDR group, on several benches of the FI group and on some benches of the SOC group]] Ask him questions, get answers. Indeed, in order for the bill to continue to be considered, we need to know the Government's objectives. This is an indispensable condition. [["Yes! » on several benches of the LaREM group]] [[Same movements]] [["Yes! » on several benches of the LR group]] [[Applause on the benches of the GDR group and on several benches of the IDU-I and FI groups]] [[Applause on several benches in the GDR group. – Protests on the benches of the LaREM group]] Is the aim to provide answers to the health crisis? Are the measures you are proposing, which we are discussing in the context of a democratic exchange, capable of improving the situation? We don't think so, unlike you, but we agree to discuss it. However, as the President of the Republic's interview showed yesterday, isn't the aim rather to turn the country around and banish a part of the population from society? Is the aim to deprive the 65% of inhabitants of Guadeloupe and Martinique who are not vaccinated of their citizenship, as the interview shows?
ParlaMint-FR_2022-01-05-O1110.u28	It's their freedom!
ParlaMint-FR_2022-01-05-O1110.u29	[[Applause on the benches of the FI group. – Protests on a few benches of the LaREM group]] Those who, for multiple reasons, have made different choices that we do not necessarily share are now sub-citizens? Should we piss them off by keeping them from drinking a cannon, from going to the bistro, to the restaurant, to the cinema, from having fun? We don't think so. [[Smile on the benches of the LR group]] [[Applause on the benches of the GDR and FI groups. – Sylvie Tolmont and Martine Wonner also applaud]] To continue the debate in a calm manner, we must not fall into the trap of provocation by the President of the Republic, of which everyone is aware. We are not losers of the year, if there are any more! But we believe that the Prime Minister must give us explanations and answer our questions. It is on this condition, while respecting the separation of powers between the executive and the legislature, that we can work calmly.
ParlaMint-FR_2022-01-05-O1110.u30	Mr Paul Molac has the floor.
