ParlaMint-FR_2022-02-22-O1160.u1	The next item is the oral questions without debate.
ParlaMint-FR_2022-02-22-O1160.u2	Mrs Patricia Lemoine has the floor to raise her question, No. 1678, concerning access to a medical doctor in the medical deserts.
ParlaMint-FR_2022-02-22-O1160.u3	I would like to question you, Mr Secretary of State for Children and Families, on the subject of medical desertification, which I know well, since my department has the sad privilege of being in the ninety-seventh place of the departments, with regard to the number of doctors. The demands of the inhabitants of my constituency are numerous, especially in its most rural fringe. One point in particular comes up regularly: that of the care path. Since the 2005 reform, the attending physician has played a decisive role, since it is almost essential to access most specialists. On the other hand, only the consulting of the attending physician can obtain a reimbursement of the health insurance up to 70% of the basic rate. While this device has certain advantages, it nevertheless has particularly perverse effects, especially when living in a medical desert. Indeed, the difficulty for the inhabitants of this territory to find local general practitioners, which is similar to a real journey of the combatant, is added a financial penalty, since the health insurance pays them only 30% of the basic rate because they do not have the possibility to have a treating doctor, i.e. an extra cost of 10 euros per consultation. It is therefore the double penalty for them: to the rarity of the medical supply is added an additional cost often unbearable for the most modest families, of which it is known that purchasing power remains the absolute priority. This mechanism is therefore profoundly unfair for the 5 to 9 million French people concerned. We know that the workforce will continue to decline until 2026. Health insurance has put in place a mechanism to avoid these situations, by allowing the persons concerned to turn to the Territorial Coordinated Organisations (OCTs) to be identified and to have easier access to a care offer, while benefiting from a normal reimbursement. But this system has its limits: it is still little known and there are still too few CTOs: around 30 throughout the national territory according to the health insurance website. The answer is therefore not appropriate. Mr Secretary of State, can you give us an update on your thoughts on this issue? Could we not consider in a transitional way the removal in the medical deserts of the treating physician's system so that families are no longer penalized financially?
ParlaMint-FR_2022-02-22-O1160.u4	The next speaker is the Secretary of State for Children and Families.
ParlaMint-FR_2022-02-22-O1160.u5	Established in 2004, the purpose of applying an increased rate of participation of the insured person in the event of consultation with a doctor outside the care path is to encourage insured persons to enrol in a medical follow-up coordinated by their attending physician. The 2016 medical convention strengthened the valorisation of the function of treating physician in view of its key role in the long-term follow-up of patients, coordination and synthesis in order to avoid the use of unnecessary hospitalizations and facilitate the return to home of patients leaving hospital. However, as you point out, medical demography leads to complex situations, with the insured sometimes having no choice but to consult outside the care path, especially in rural areas. Many cases of derogation from this rate increase are therefore foreseen: medical emergency, geographical distance from his place of residence, long-term condition (LDD), patient followed by a specialist in the context of a chronic disease or unavailability of the attending physician. Today, only 9% of insured persons over 16 years of age have not declared a attending physician. In the event of unsuccessful research, insured persons may seek the assistance of the mediator of their affiliation fund to help them find a treating doctor. Meanwhile, their care is reimbursed at the usual rate. Guaranteeing the possibility for every Frenchman to have a treating doctor is, as you know, an important objective of the My Health 2022 plan. Furthermore, the President of the Republic wanted to mobilize the territorial health professional communities (CPTS) on this priority mission – I do not know whether in your territory the CPTS are active and yield results. As you know, these organisations allow the various health actors to organize and coordinate themselves to take care of the population of their territory. Finally, the objective of deploying 4000 medical assistants to free up medical time and thus facilitate access to a medical practitioner is expected to be achieved by the year 2022, in particular through the introduction of financial assistance through health insurance to facilitate their recruitment. That is, Madam Commissioner, all the mechanisms that we are implementing to ensure that all our citizens, wherever they are in the country, are provided with the care they need.
ParlaMint-FR_2022-02-22-O1160.u6	Mrs Patricia Lemoine has the floor.
ParlaMint-FR_2022-02-22-O1160.u7	Thank you, Secretary of State. I know that the Government is making every effort to correct the shooting, but for the time being the difficulties remain in those territories, which are really short of doctors. However, I want to remain confident about the elements you have just brought us.
ParlaMint-FR_2022-02-22-O1160.u8	I call Mr Eric Coquerel to speak on his question No 1683 on access to public services in the Seine-Saint-Denis.
ParlaMint-FR_2022-02-22-O1160.u9	For my last oral question from the legislature, I too wanted to come back to health issues, particularly in Seine-Saint-Denis, where the executive claims to have committed itself to the stronger state plan in Seine-Saint-Denis. For me, a strong republican state, it is a state that ensures respect for the principles of the Republic and the equality of all. This is far from the case in the 93 for public services, particularly hospitals and public health. Currently, in Seine-Saint-Denis, between 20% and 25% of beds are closed due to lack of staff. Hospitals at the CHU – a university hospital – have lost about 100 beds in 20 years, while the population of Seine-Saint-Denis is increasing and the covid-19 has caused a record 182% overmortality in 2020, despite a young population. Do I have to remind you, Mr. Secretary of State, that this department is the only department that has seen the pediatric service of a hospital, the Delafontaine Hospital, transformed into a palliative care service for the elderly during the covid -19, which is also overflowing all year round? Should I remind you that the CHU has also lost a pediatric surgery service, a nephrology service and an ORL service, and that it still has no urology service, nor neurosurgery nor interventional cardiology? How can we pretend to act for the Seine-Saint-Denis without giving its inhabitants the means to treat their kidneys, to operate their children or to be saved from a heart attack? How can we claim to act for the Seine-Saint-Denis by continuing to push its desperate inhabitants into the arms of private clinics instead of providing the public hospital with the necessary resources? How can we pretend to act for the Seine-Saint-Denis without tackling the problem of medical desert in the field of city medicine and specialists? How can you claim to act for the Seine-Saint-Denis, while the Grand Paris-Nord hospital in Saint-Ouen whose creation you plan may not have maternity, while the two hospitals it will replace each have one and the Minister of Solidarity and Health denies the hundreds of bed closures that this merger will cause on the pretext that a hospital hotel will be created? As if unsafe accommodation at the hotel could replace hospital places! It is time to stop this big failed project, to renovate Bichat and Beaujon, to provide the CHU with additional resources and to put the public health package for the inhabitants, patients and caregivers of Seine-Saint-Denis.
ParlaMint-FR_2022-02-22-O1160.u10	The next speaker is the Secretary of State for Children and Families.
ParlaMint-FR_2022-02-22-O1160.u11	For many years, the Member of Parliament, the département of Seine-Saint-Denis has been facing significant delays in access to care: under-equipped and old-fashioned public hospitals, social and territorial inequalities, especially during the crisis of the covid -19, low medical density. This situation calls for increased mobilization of the State. This is what we did with the Stronger State Plan in Seine-Saint-Denis. In the case of the public hospital, significant funds have been made available for its renovation in the framework of the Ségur de la santé. Three of the four projects of the AP-HP – Public Assistance-Hospitals of Paris – accompanied by the Ségur de la santé are located in Seine-Saint-Denis. The project of the hospital-university campus Grand Paris-Nord in Saint-Ouen, which we have already had the opportunity to talk about in this Chamber, will bring the hospital closer to the users and adapt the offer to the demographic growth of the territory, which is important. His capacity has been increased by 90 beds to draw the consequences of the health crisis and I confirm that he will understand a maternity. The creation of the new Jean-Verdier Hospital in Bondy, which will become a community university site, will strengthen the provision of care by focusing on the unbundling between the city and the hospital. Added to this is the creation of a mother-child centre at the Avicenne Hospital in Bobigny, whose work will begin in January 2023. In addition, the renovations of emergencies in all public hospitals in the department are ongoing. Some are being completed, such as in Montreuil or Aulnay-sous-Bois. We also support the reconstruction of Le Raincy-Montfertil Hospital. Finally, we are deploying new heavy equipment, whether it is MRI, scanners or medical imaging. These are just a few of the many projects illustrating the necessary investment of the State and public authorities in favour of this department and its inhabitants.
ParlaMint-FR_2022-02-22-O1160.u12	Mr Eric Coquerel has the floor.
ParlaMint-FR_2022-02-22-O1160.u13	As far as the Grand Paris-Nord hospital project is concerned, pretending that it will bring patients closer to the hospital seems to me to be overly optimistic. It would be better not to close two hospitals and open a third one, of which we do not dispute the usefulness, but of a smaller size and certainly a little further north of the Seine-Saint-Denis. In general, we ask you to declare an immediate moratorium on all bed closures, while the projects you are talking about unfortunately provide for such closures. More broadly, there is a need to recruit large numbers of doctors, nurses, caregivers and administrative staff who are missing almost everywhere. We need recruitment into public EHPADs: AESH – accompanying students with disabilities –, a body of government doctors that we are defending in order to deal with medical deserts, all things that, for the moment, are not on the government's agenda and that we will implement under the presidency of Jean-Luc Mélenchon.
ParlaMint-FR_2022-02-22-O1160.u14	The floor is open to Mr Jean-Paul Lecoq to put his question, No. 1685, concerning the forgotten of the Ségur de la santé.
