Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u1	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Chairperson	MP	notMinister	RE	Renaissance	-	Centre	PA721908	Braun-Pivet, Yaël	F	1970	
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u2	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Regular	MP	notMinister	RE	Renaissance	-	Centre	PA721908	Braun-Pivet, Yaël	F	1970	
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u3	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Chairperson	MP	notMinister	RE	Renaissance	-	Centre	PA721908	Braun-Pivet, Yaël	F	1970	
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u4	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Chairperson	MP	notMinister	RE	Renaissance	-	Centre	PA721908	Braun-Pivet, Yaël	F	1970	
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u5	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Chairperson	MP	notMinister	RE	Renaissance	-	Centre	PA721908	Braun-Pivet, Yaël	F	1970	
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u6	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Chairperson	MP	notMinister	RE	Renaissance	-	Centre	PA721908	Braun-Pivet, Yaël	F	1970	
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u7	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Chairperson	MP	notMinister	RE	Renaissance	-	Centre	PA721908	Braun-Pivet, Yaël	F	1970	
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u8	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Chairperson	MP	notMinister	RE	Renaissance	-	Centre	PA721908	Braun-Pivet, Yaël	F	1970	
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u9	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Regular	MP	notMinister	DEM	Démocrate (MoDem et Indépendants)	-	Centre to centre-right	PA331582	Vigier, Philippe	M	1958	
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u10	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Chairperson	MP	notMinister	RE	Renaissance	-	Centre	PA721908	Braun-Pivet, Yaël	F	1970	
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u11	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Chairperson	MP	notMinister	RE	Renaissance	-	Centre	PA721908	Braun-Pivet, Yaël	F	1970	
ParlaMint-FR-en_2022-06-29-O1170	ParlaMint-FR_2022-06-29-O1170.u12	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 2, 29/06/2022	2022-06-29	Lower house	16e législature	Session ordinaire 2021-2022 (CRSANR5L16S2022O1N170)	-	2. séance	-	COVID,War	English	Regular	MP	notMinister	RE	Renaissance	-	Centre	PA721908	Braun-Pivet, Yaël	F	1970	
