ParlaMint-FR_2022-06-28-O1169.u1	I declare the 16th Parliament of the National Assembly open.
ParlaMint-FR_2022-06-28-O1169.u2	Under Rule 1 of the Rules of Procedure, the six youngest Members present are called upon to serve as secretaries until the election of the Bureau. They're Messrs. Tematai Le Gayic, Louis Boyard, Pierrick Berteloot, Bryan Masson, Damien Maudet and Charles Rodwell. The Assembly's age bureau is thus constituted.
ParlaMint-FR_2022-06-28-O1169.u3	Pursuant to Article L.O. 179 of the Electoral Code, I have received from the Minister of the Interior the list of elected deputies.
ParlaMint-FR_2022-06-28-O1169.u4	Decrees on the composition of the Government were published in the Official Gazette on 21 May and 26 June 2022. I recall that members of the Government cannot take part in the elections.
ParlaMint-FR_2022-06-28-O1169.u5	Mr Minister responsible for relations with Parliament, ladies and gentlemen, it is with emotion and solemnity that I express myself today, having the venerable privilege of being the dean of our Assembly. [[Applause]] Without delay, I extend to each and every one of you, elected from metropolis, elected overseas and representatives of the French of the world, my sincere congratulations on his election or re-election. At these times, I have a very special thought for those who preceded me in this priceless honour of opening the first sitting of a legislature, especially for the venerable parliamentarian, Edward Frédéric-Dupont, and for the great Frenchman Marcel Dassault. Allow me to greet his great-grandson, our colleague Victor Habert-Dassault, who has been re-elected to the seat of the late Olivier Dassault. Many of us feel this emotion in this Chamber where we are accompanied by their overwhelming presence by all the glorious figures in the history of France who preceded us under this dome of light. This place that still resonates with all the great debates that have marked our democratic life is a place of history, but also, perhaps, for the millions of French people who expect a lot of us, a place of hope. In this sacred place of the representation of the French people, of the expression of the national will, seeing you gathered side by side, in alphabetical order, beyond all our differences, is a symbol of French unity. [[Applause]] This symbol touches the child of a France that I am, torn from his native land and damaged on the coast of Provence by the winds of history in 1962. I left there a part of my France and a lot of friends. I am a man who has seen his soul forever bruised... Forgive my emotion, I think of my friends I left there. I am a man who has seen his soul forever bruised by the feeling of abandonment and periods of tearing. Like all of us, I have no doubt, I know how much this requirement of French unity is necessary, especially in the complex times that we are going through. I wish, ladies and gentlemen, that it will enlighten our debates and inspire our decisions. At the decision of the people, a deeply renewed assembly was established. Everyone can only welcome the fact that the wisdom of the electoral corps has been able to compensate for the brutality of a method of voting that has sometimes caused some French people to feel bitter about not being represented. Even minority currents are always useful for the richness of a democratic debate or for the emergence of new topics in the public debate. But we must not forget that, by choosing abstention, many compatriots are certainly still calling for a reflection on political representativeness and social democracy. The political configuration of this assembly makes us live a situation almost unprecedented in the history of the Fifth Republic, with a national representation called to take a more central place. Without ignoring the expression of our own convictions or the legitimate passions that drive each and every one of us, this House is a place where the debate must be held; and without losing sight of the meaning of the mandate entrusted to us by our voters, it will be up to us to find ways and means to work collectively for the good of the country and for the benefit of the French, especially the most modest and vulnerable of them. Allow me, at the threshold of this legislature, to express the hope that this particular political situation will develop listening, respect and dialogue, rather than invective, sterile confrontation and anathema; that it helps to reconcile the French with politics and with politics; to enable everyone to rediscover on this occasion the usefulness of political debate and decision-making for the improvement of the daily life of all. [[Applause]] I wish us bold and fruitful legislators; to each of you, I wish the best in the fulfilment of his exalting mission and I wish our country great success. Long live the Republic! Long live France!
ParlaMint-FR_2022-06-28-O1169.u6	The next item is the election, in accordance with Rule 9 of the Rules of Procedure, of the President of the National Assembly. This election shall be held by secret ballot in the rostrum. I have received the nominations of Ms Nathalie Bassire, Ms Yaël Braun-Pivet, Mr Sébastien Chenu, Ms Annie Genevard and Ms Fatiha Keloua Hachi. I would like to inform you that handwritten bulletins are valid, but that printed bulletins are at your disposal. These bulletins, placed in envelopes, will be placed in the ballot box under the control of the age secretaries. The ballot will be taken away by four incumbent deputy returning officers and two alternate deputy returning officers, whose names I shall draw by lot.
ParlaMint-FR_2022-06-28-O1169.u7	The incumbent deputy returning officers are: Ms. Sarah Tanzilli, Ms. Liliana Tanguy, Mr. Paul Vannier, Mr. Jean-François Rousset. Mr. Nicolas Thierry, Ms. Véronique Riotton are appointed alternate deputy deputy deputy deputy returning officers. I will draw lots for the letter by which the roll call will begin.
ParlaMint-FR_2022-06-28-O1169.u8	The spell refers to the letter E. To facilitate the orderly conduct of the ballot, please wait for your name to be called up to the rostrum. I open the ballot, which is announced in the National Assembly. The vote will be closed at 16:15. First of all, I invite the age secretaries to vote.
ParlaMint-FR_2022-06-28-O1169.u9	I now invite the bailiffs to begin the roll call.
ParlaMint-FR_2022-06-28-O1169.u10	No one's asking to vote anymore? ... The vote is closed. I invite our colleagues who were appointed deputy returning officers at the beginning of the meeting to go to the fifth bureau to proceed with the recount. The result of the ballot will be proclaimed at seven o'clock.
ParlaMint-FR_2022-06-28-O1169.u11	The meeting was suspended.
ParlaMint-FR_2022-06-28-O1169.u12	The meeting was resumed. Ladies and gentlemen, this is the result of the election of the President of the National Assembly. Number of voters: 562 White or invalid bulletins: 9 Suffrages expressed: 553 Absolute majority: 277 Have obtained: Ms. Nathalie Bassire: 18 votes; Ms. Yaël Braun-Pivet: 238 votes; Mr. Sébastien Chenu: 90 votes; Ms. Annie Genevard: 61 votes; Ms. Fatiha Keloua Hachi: 146 votes. Since no candidate obtained an absolute majority of the votes cast, a second ballot should be held. [[Ms. Nathalie Bassire, Ms. Yaël Braun-Pivet, Ms. Annie Genevard and Ms. Fatiha Keloua Hachi maintain their application. – Mr Sébastien Chenu withdraws his]] I now turn to the candidates to ask them if they are maintaining their candidacy. We will therefore proceed to the second ballot for the election of the President of the National Assembly. Candidates for the second round are Nathalie Bassire, Yaël Braun-Pivet, Annie Genevard and Fatiha Keloua Hachi. [[Murmurs on various benches]] I would remind you that an absolute majority of the votes cast is still required. As in the first round, the roll call will begin with the letter E. It is too late to change the letter, it has already been drawn by lot. I open the ballot, which is announced in the National Assembly. The vote will be closed at 18:15. I invite the bailiffs to begin the roll call.
ParlaMint-FR_2022-06-28-O1169.u13	No one's asking to vote anymore? ... The vote is closed. I invite our colleagues who were appointed deputy returning officers at the beginning of the meeting to go to the fifth bureau to proceed with the recount. The result of the second round of balloting will be proclaimed at 18:55 p.m.
ParlaMint-FR_2022-06-28-O1169.u14	The meeting was suspended.
ParlaMint-FR_2022-06-28-O1169.u15	The meeting was resumed.
ParlaMint-FR_2022-06-28-O1169.u16	Ladies and gentlemen, this is the result of the second round of the election of the President of the National Assembly. Number of voters: 474 White or invalid newsletters: 12 Suffrages expressed: 462 Absolute majority: 232 Have obtained: Ms. Nathalie Bassire: 16 votes [[Mrs. and Mr. Members of Parliament and the Minister Delegate to the Prime Minister, responsible for relations with Parliament and democratic life, rise and applaud at length]] Ms Yaël Braun-Pivet: 242 votes Ms Annie Genevard: 60 votes [[Applause]] [[Mrs. and Mr. Members of Parliament and the Minister Delegate to the Prime Minister, responsible for relations with Parliament and democratic life, rise and applaud at length]] Mrs. Fatiha Keloua Hachi: 144 votes Ms. Yaël Braun-Pivet obtained an absolute majority of the votes cast, I declare her President of the National Assembly and invite her to take a seat in the presidential chair.
