ParlaMint-FR_2022-01-11-O1118.u1	The next item is the oral questions without debate.
ParlaMint-FR_2022-01-11-O1118.u2	Mrs Bénédicte Peyrol has the floor to put her question, No. 1614, on the supplementary list for the recruitment of teachers in schools.
ParlaMint-FR_2022-01-11-O1118.u3	The Academy of Clermont-Ferrand, and the Allier department in particular, is in deficit of teachers' replacements for schools for this school year 2021-2022, although the number of pupils in primary school is in decline. While each year this deficit could be filled by using, among other things, candidates from the supplementary list in the school teacher recruitment competition – CRPE – the choice was made this year to use only contract agents. This situation arises when it is known that the massive use of contract workers contributes to the precarisation of contract workers and prevents children from benefiting from adequately trained teachers. Even today, in the context of the resumption of the epidemic, schools in my constituency must call on replacements. The contractual pool is extremely tense and would fully justify the use of candidates from the supplementary list. In addition, it was proposed that the same candidates be recruited as contractors so that they could effectively perform replacements. How could they be satisfied with such a proposal, when they have been trained, have passed a competition and are entitled to a tenure at the end of their probationary period? What is to say about the recognition of their career, even if they have failed little in the competition, if not that all the efforts are worth a return to the "contractual" box? To date, we are too advanced in the year for these candidates to be eligible for tenure for the school year 2021-2022, but this can still be considered for the school year 2022-2023. The choice of using contractual teachers exclusively is not explained when, at the same time, for example, in the Paris academy, while the number of pupils in primary school decreased by 6,000, 45 candidates on the supplementary list were called for replacements. Of course, it is not a question of the thirty-four candidates on the list being called for replacements, but it is simply requested that, as every year, the rectorate make use of this list. I would also like to know the reasons for not using the CRPE's supplementary list, and the possible avenues for these candidates, so that their tenure can be postponed to 2022-2023.
ParlaMint-FR_2022-01-11-O1118.u4	The Secretary of State for Priority Education has the floor.
ParlaMint-FR_2022-01-11-O1118.u5	I'm going to start by replying to the Clermont-Ferrand Academy, where 105 positions were opened for the recruitment of school teachers for the new school year 2021, and where the rate of return was 100%. As far as the general situation is concerned, you know that in view of the very tense health context for our teachers, we are making a massive appeal at the moment to contractors, individual contractors and even retired teachers. I now come to the general rules. The volume of positions offered in the first degree public teacher recruitment examination is determined, in accordance with the positions voted in the Finance Act, on the basis of criteria such as the forecast of student numbers and the number of retirements in each academy. Each competition results in the establishment of a main list, ranking in order of merit the candidates deemed suitable by the Board. If the main list is complete, the Board may establish a supplementary list of candidates to allow for the replacement of candidates on the main list who cannot be appointed. The mobilization of supplementary lists is adapted for each academy in particular with regard to the consumption of jobs and vacancies during the school year. However, in accordance with the Decree on the special status of teachers in schools and in order to ensure equal access to the training scheme for all successful candidates, this supplementary list is not used to replace candidates on the main list after one month after the start of the training. For the school year 2021, 9890 posts were open for the recruitment of teachers from schools. The competition's rate of return is good, as it is about 98%. In view of the teaching needs of the new school year 2021, eight academies called for the supplementary list beyond the withdrawals, to the tune of 151 candidates, in accordance with the overall volume of posts opened at the 2021 session. Where it is no longer possible to make use of the supplementary list, the new needs which appear are, in fact, taken care of by contract teachers. The recruitment under ordinary law of contract staff corresponds to the level of qualification required to take part in the internal examinations of the various educational and psychological bodies concerned. In addition, in order to give them access to permanent employment in the public service, which is generally sought, these contractors are accompanied and have facilities throughout the exercise, of course, but also to prepare for competitions.
ParlaMint-FR_2022-01-11-O1118.u6	Mrs Bénédicte Peyrol has the floor.
ParlaMint-FR_2022-01-11-O1118.u7	I will be very frank: this answer does not satisfy me and it does not respond to the situation of the Allier who did not use the supplementary lists at all this year. It is therefore incomprehensible that only contractors should be employed. I know that there may be a discussion within the department with the academy inspection, but this dialogue is currently unsatisfactory. I hope to have the support of the Government so that this dialogue can really take place, because I am not in a position to explain to teachers who are on the supplementary list why contract workers are used.
ParlaMint-FR_2022-01-11-O1118.u8	Mrs Nadia Ramassamy has the floor to put her question, No. 1619, on the National School Sport Union overseas.
ParlaMint-FR_2022-01-11-O1118.u9	I come to talk to you about an injustice that affects all the ultramarine students who practice school sport through the National School Sport Union – the UNSS. The latter are the victims of the federal UNSS regulation voted for the period 2020-2024, which provides for a rolling system for certain sports for overseas departments and territories. While all the champions of the hexagonal academies have the opportunity to participate each year in the French championships, this opportunity is denied to most ultramarine students. Indeed, according to article D2 of the federal regulation, each ultramarine department or territory must wait eight years before being able to send its academic champions to the French championships. Do you think it is normal that there is still such a difference in treatment between hexagonal and ultramarine academies? In 2022, Guadeloupe will be in first place on the list and will therefore be able to send to the French championships its academic champions of basketball, handball, football, volleyball, rugby and other sports organized in "poil", while the champions of the academies of Guyana, La Réunion, Martinique and other ultramarine territories will be automatically disqualified and will not be able to participate in the championships, regardless of their level; As a result, Réunion athletes will have to wait until 2025. I would therefore like to know the reasons for the establishment of such an equality break between hexagon academies and ultramarine academies, and the reasons that arbitrarily rule out many ultramarine young athletes for whom school sport could be a gateway to high-level sport. I would also like to know whether the Minister of National Education, Youth and Sports, in his capacity as President of the National School Sport Union, has planned to redress this injustice, which discriminates against ultramarine college and high school students, and which is mainly in the face of the statements made by the President of the Republic, who told the Olympic medallists in September 2021, to facilitate the entry of high-level sports students into selective and excellent fields.
ParlaMint-FR_2022-01-11-O1118.u10	The Secretary of State for Priority Education has the floor.
ParlaMint-FR_2022-01-11-O1118.u11	The Union nationale du sport scolaire organises 140 French championships, all categories, each year throughout the country; She attaches great importance to the participation of the ultramarine teams in these different French championships. Your question concerns the qualification of these ultramarine teams at the French collective sports championships. These championships are made up of sixteen teams in general. Qualifying for these championships gives rise to an interacademic qualification phase involving several team champions of academy. With regard to ultramarine teams, it can be understood that it is mandatory to organize this interacademic phase. For the sake of fairness, however, a minimum place is reserved for them. In total, the system of rotation, as it is constructed, does not put our overseas territories at a disadvantage compared to the other territories. It is even a principle of fairness that is the rule. In addition, the federal regulation approved at the general meeting states that in order not to compete with the ultramarine teams, two rules are renewed over the period 2020-2024. First, the overseas regional services carry out a pre-registration which must reach the national management by 15 November of each year. On the basis of the registered entries, a qualification by the National Directorate is then carried out. Second, the final commitments must then be made on the dedicated site, thirty days before the academic or interacademic qualification deadline indicated in the French championship calendar. For the year 2022, in the case of multiple overseas team enrolments in the same age, sex and sport category, priority will be given, as you know, in a pre-established order. This year, priority is given to the Guadeloupe teams, then next year in Mayotte, then in La Réunion, and so on, according to a rotation system. Together with Minister Jean-Michel Banquer, we have asked the new national director, Olivier Girault, a former Olympic handball champion from Guadeloupe, to pay particular attention to these issues, and I have no doubt that he will be.
