ParlaMint-NO_2011-11-25.ana.ud135e39	The representative, Frank Bakke-Jensen, will present a proposal for a representative.
ParlaMint-NO_2011-11-25.ana.ud135e42	I am pleased to make a proposal by the staging representatives Frank Bakke-Jensen, Øyvind Halleraker, Bjørn Lødemel and Svein Braid on equal structuring possibilities for coastal fishing vessels over 15 meters.
ParlaMint-NO_2011-11-25.ana.ud135e47	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2011-11-25.ana.ud135e61	At the request of the Committee, the President will propose that speaking time be limited to 40 minutes and allocated up to 5 minutes to each party and up to 5 minutes to the member of the Government. In addition, the President will propose the possibility of a replacement of lines of up to four lines with replies after contributions by a member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2011-11-25.ana.ud135e70	I would like to start by thanking the proposers for a debate on an important topic that is not too often on the political agenda. I see that, through a stronger commercialization of research results, heavy historical cultures, the culture of business on one side and the culture of universities on the other, meet at an exciting intersection. There is not automatically a single meeting, but when one is closed, a willful one will lift and develop both cultures. By the way, we see this as a good example when NTNU was recently assigned to No. 4 in an international ranking for cooperation between universities and industry. Many have asked whether it is possible to maintain free and independent research at the same time as working more closely with business. How to regulate cooperation between university-based researchers and private enterprises, so that research on openness is not restricted, for example. by the industry's requirement to protect a patent? Well, without me dragging that debate into the Storting today, it is so that it can be resolved. I believe that as a case spokesman, I have the whole committee with me when I claim that commercialising the research results in the future will help to increase the well-being of society. For this reason, the Committee agrees that this is an important tool to help increase not only well-being but also general and specific knowledge, not to forget competitiveness. The majority share the view of the proposers that one should strengthen intensively in order to increase the commercialisation of research results. It is that this is an important theme, which naturally can also have room for improvement. But how it should be done, we would suggest that the government assess in the context of the work on the research message by 2013. The majority also share the view of the proposers that it is preferable to obtain a better overview of the commercialisation of research results. The majority therefore ask that it be assessed to a greater extent to include this in the Research Barometer as a fixed part. When the majority largely share their views on the whole issue, but the Stortinget does not have the right to adopt the proposal, this is because many of the individual proposals have actually been implemented or are not sufficiently accurate. The majority, therefore, do not support the submissions on FORNY2020, the direct deduction of R & D costs, the TaxFUNN, the gift enhancement and the BIA. When it comes to strengthening the FORNY2020 programme, I will show that it has already been implemented, less than a year ago. When it comes to the question of whether it is appropriate to deduct R & D costs directly, the majority believe that creating tax-specific schemes to achieve industrial policy objectives is a low-precision tool, which will also create major mitigation and control challenges. This will also apply to the proposal to extend the tax FUNN scheme to cover innovation activities. When it comes to the proposal to establish several user-driven research venues according to the model of the BIA programme, the majority would point out that the BIA will support the best research-based innovation projects within thematic areas not covered by the Norwegian Research Council. The programme has no thematic or sectoral priorities. The point is that there is an increase in competition between the projects, which I thought Right was for. In addition, the selection of projects will focus on innovation, research quality, enterprise economic value, social benefits, international orientation of the project, and the potential impact on industry of its own R & D efforts. This is so good that there is no need for any new scheme. When it comes to minority proposals, I assume that the proposers themselves may favour them. I would therefore recommend that the Committee give its opinion, unless it adopts the proposal for a representative.
ParlaMint-NO_2011-11-25.ana.ud135e96	I must begin by admitting that I am somewhat influenced by a relatively late evening meeting yesterday, but we have to try to get through the debate anyway. However, I was awake enough to bring about that the case rapporteur did not argue against the proposal No. 1 and 2 and it is a good citizen of the wider debate. Then I have to say that I am very happy that the Council of State Aasland chooses to share the day with us and participate in the discussion. If we look at the statistics on Norwegian research and the evaluation of Norwegian research available, there is a lot of evidence to suggest that it is not primarily in the tool of the Ministry of Knowledge that the major weaknesses are likely to lie, but in the Ministry of Industry and Trade; however, there is a bit of vision from this platform – and of course you have to be careful about that. That is precisely why proposal No. 1 so important, because then they had forced the Ministry of Economic Affairs and Trade and the Ministry of Knowledge to sit down together and come to the Stortinget with a round of it all. I have a very good example: we all know that much of the good research in Norway is done at NTNU in Trondheim. – I had expected a little response to it from the hall, but I did not get it! Some years ago, European telecommunications authorities announced a competition for the development of new mobile technologies. Then there were two professors at NTNU who developed GSM technology, a technology that is still in use in 92 pst today. by all mobile phones that are produced. This is a clear indicator that research in Norway is good. But as we know, it was not Norwegian business that commercialized this technology, but it was Finnish and Swedish business at Nokia and Ericsson that did it. It illustrates the point I had that it might also have been possible to include the Ministry of Industry and Trade in this debate, and that we would have needed a more general approach to this. After all, we do not fully agree with the rapporteurs. They are bringing forward a new researcher from NTNU, Professor John Ugelstad, who in his time was one of the leading researchers in Europe in industrial chemistry. He worked mostly with polymers and polymer chemistry. He was challenged by American scientists who said that what is called monodisperse plastic balls can only be produced in a weightless state. It challenges Professor John Ugelstad intellectually. He said no, I don't believe that, I believe that my theories indicate that this can be done without doing it in a weightless state – and thus industrialize it. That proved John Ugelstad, not because it was to be commercialized, but because he was challenged intellectually. Only a heavy and large effort on generic construction of industrial chemical competence by NTNU made it possible. Today, however, these monodisperse plastic balls are industrialized. We've got big industrial companies producing this, and it's used both to diagnose and treat cancer worldwide today. But as I said, it is not based on a commercialization strategy, but it comes from an intellectually provoked researcher at NTNU. That is why we think it is quite right to place greater emphasis on creating a strategy for this, but we do not intend today to vote for most of the proposals that Right-wing are promoting, and have, to a large extent, also problematised it in the vote. As regards proposal No: 8, representatives from the Right will probably explain that. We think it's problematic. However, as the Right has not yet been argued for it, I get to come back to it in a possible three minutes later. I address the two proposals to which we are co-sponsors.
ParlaMint-NO_2011-11-25.ana.ud135e115	The representative Tord Lien has taken up the suggestions he referred to.
ParlaMint-NO_2011-11-25.ana.ud135e118	I have to admit that I belong to those who are not in a very good mood in the morning, and that may of course affect the content of my post today. It does not help so much that I also have to note that the proposal of the High Representative to strengthen the commercialisation of research results does not get a majority in this area in the Stortinget – despite the fact that an overall committee underlines the importance of just commercialisation as an important instrument in contributing to future knowledge and competitiveness. That is precisely why we, who are behind the proposal, believe that this is an important proposal. We also believe that this is a very necessary proposal, because Norway in this area clearly makes it weaker than our competitors and not least our Nordic neighbouring countries. In addition, when we know that cooperation between academia and business is poorly developed in Norway — the Fagerberg Committee has established this — and research efforts in enterprises are lower than in comparable countries, it is obvious that we should do something. This ‘something’ has made concrete in this proposal to eight different measures, but everything is going to be voted down by the red-green majority here today. So it's really not necessary to be b-human to get sad at something like that. It helps to read the latest edition of the magazine Research, published by the Research Council. It came with a new number this week. Several pages are devoted to the theme of commercialisation. And as a mountain representative, I'm definitely in a better mood to read the following quote in the magazine: ‘In Bergen one thinks this: the best product, service or business in the world can well come up as an idea from researchers in just Bergen.’ The article that begins with these words takes on board Bergen Technology Transfer, which is one of the eight so-called TTOs that exist, associated with our universities. The BTO offers researchers from the University, Haukeland University Hospital, the University of Bergen and the Marine Research Institute assistance and assistance in assessing whether their research results are suitable for commercialisation, and in what way. During its first five years, BTO has been responsible for 18 commercialisations, nine of which are business start-ups. Nearly 20 products have been launched, and a number of potential ideas are ready for commercialisation all the time. But the means to continue working on the projects are needed. The FORNY2020 programme in the Research Council is the only source of funding for such projects. It makes the FORNY2020 programme an exciting and important programme. However, the programme is also intended to finance the operation of the eight TTOs, which account for about a quarter of the total amount seized. half of the available funds. At the same time, it is a paradox that these relatively modest means — slightly over 120 million. kr in the current year – are the only ones to commercialise the results of the entire public research effort of over 20 billion. kr. So the means of commercialization are just a little over 1/2 pst. of the public research effort. Therefore, in addition to promoting the proposal under consideration here today, the Right has also made a strong effort to strengthen the FORNY2020 programme in its alternative state budget. We're increasing the bet by 100 million. kr, which almost represents a doubling of the commercialisation effort in Norway. In contrast to the government parties – who vote against all proposals today, and who have only 10 million. In addition to this programme, in our State budget, we have in our right-wing ambitions to develop the results of the work of Norwegian researchers into profitable products and businesses. The best thing is that this benefits society – the rapporteur was also involved in it – and creates values for both the researchers themselves and the institutions in which they work, thus providing better research. A stronger commitment to the commercialisation of research results is needed if we are to improve in Norway to transform new knowledge into competitive jobs and enterprises that have products that the market will demand tomorrow. At the same time, the Right believes that funding for the Seed Funds is also needed, which the Government has not been able to prioritise in the State budget for next year. I take this up with me the suggestions on the matter on which the Right stands alone, and the proposals on which the Right is with the Christian People's Party and the Left.
ParlaMint-NO_2011-11-25.ana.ud135e140	The representative Henning Warloe has taken up the suggestions he referred to.
ParlaMint-NO_2011-11-25.ana.ud135e143	Thank you for an interesting representative proposal – and the subsequent vote. It fits well into these budgetary debates. Having such a debate makes us even more focused and focused on an important topic. The key word here is commercialization. No one disagrees that what can be commercialised should and should be commercialised. Without a doubt, there is a point that the commercial efficiency of research should increase in the future for that part of our research where that is intended. It is important, and it must not least be inspiring for students, researchers and businesses to strengthen this focus on application and use and the cooperation that necessarily needs to be there to make this work more effectively. This proposal for a representative brings us right into the big and general debate on why we are going to be researching all over the world. In the two years I've been here at Stortinget – or have worked here at Stortinget, it's perhaps more correct to say – we've debated and answered this question of what is the purpose and meaning of research, in a slightly different way. The same diversity in the research debate is also on the outside of the Storting, and there are several answers being given. One answer is that it is important as educational support, the other that it is important for the education process in society, the third that it is important as decision support – with knowledge to build the country – and the fourth that it is important for value creation, etc. I believe that not least the last comment from the Progress Party in the vote well points to the breadth and diversity of this important societal activity. The broad perspective must also be used when we read and interpret one sentence that the entire committee is behind – on page 1, second column, second paragraph. I quote: ‘The Committee will point out that society needs more research-based knowledge in more and more areas. These developments lead to a higher rate of future growth in research careers based on the value-added of research.’» Here we must have a broad concept of utility – at least as far as the Fagerberg Committee was asked to base its work, published in the NOU A more open research system. If we're not on the wild roads, that is. narrow, instrumental roads. Since no one in the room has asked for a reply, I assume that this is an interpretation of the text that everyone in the committee agrees with. A debate similar to this important commercialisation debate is the debate on research dissemination, and there must be something far more than article publishing in high-end journals. The majority write in a note that one suggests that the government assesses the commercialisation of research results in the work of the research report. Here, just to mention it, I assume that the intention set out in paragraph 1 of the proposal will be respected, precisely in the Research Communication. In this context, it is equally important to assess the intermediary component. In the academy, it has been a culture where it has been seen as unnecessary – perhaps something under the dignity of a researcher, almost something professionally snuffed out – to write in the daily press or start public meetings, etc. There's an activity that at least doesn't give professional credit or ringing coins in the cash register for the institution you work in. The research was, as it were, intended to sell the sea – justifying the sea – and the user would be allowed to knock on the door of the research institutions and most graciously ask for some results. This is not working, and it shows the representative in a very good way. Research has to be disseminated, the results have to be sold in the sense presented, argued for – preferably for free. Research and researchers are thus more widely known and understood and used in commercialisation. That is good – also generally in other contexts. It must be clear to the research community that we open up in this way – that one has to go out into society in another way to argue for the activity that a seaman is doing. ‘Knowledge — From Public Goods to Goods’ is a sub-heading of an article entitled ‘University of Society — Between Humboldt and the Market’, by Knut Kjeldstadli and Alf Holmelid. It's an article that describes a trend towards knowledge as a commodity. Let me end by saying that here I think we should invite to a both-and-answer, because we should also have research as a product. It comes out very well here, but it also has to be part of a public common good.
ParlaMint-NO_2011-11-25.ana.ud135e172	Let me first thank the case rapporteur for both a good report and good work on the matter. Have you ever wondered why dust accumulates and becomes hybel rabbits? That it does, we know – but why? It was 6b at Ulsmåg school. They tested different hypotheses, such as static electricity – the same principle as a rolling snowball. Could it be that thermal cables attract dust, or that hybel rabbits are whirled up and settled in rear springs due to migration? They found out that that was the last thing. With this project, the Nysgerigper Prize won in 2003. Research is essentially curious. Why are things like them? What can we do to correct defects and deficiencies? How are we going to evolve as a nation? Research is absolutely necessary to get ideas and industries that you can build on. The Christian People's Party wants this curiosity to shape the school and teach and master. If Norway is to be a competitive knowledge society in the future, we are dependent on a long-term and predictable commitment to education, research, innovation, innovation and entrepreneurship. The Christian People's Party will stand in the limelight to achieve a much stronger and predictable commitment to higher education and research than we have seen in the past. A fund structure can be crucial, because research will never be able to win out in the social debate compared to elderly care, school and transport. A correct solution at this time would not have been to do as we did yesterday, to shut down the Research Fund, but rather to do as the opposition parties, to create a more robust structure. Research is exciting and good. But we must first get the knowledge that is created, out of the minds of the scientists and so on out of the institution or enterprise. Incentives are needed to present and disseminate all the knowledge generated by the research, but also to realise and commercialise it. The results of the research must be put to work. I sometimes ask myself if our incredible happiness in having the oil has made us not learning to spin. Commercialisation is an important step towards finding our new oil! We have repeatedly heard that the government is very pleased with the public share of the research, but I am concerned that the attitude towards the business share is a bit influenced by this: there is enough evidence that the private is not good, it is the public that matters. I wonder if the government inside says: The private floods of capital and wealth, and we're not going to contribute to the success of their projects. Then I would like to remind you that in the big companies there is capital and knowledge and competence both to conduct research and to some extent also to commercialise. But it may be the small and medium-sized enterprises – which we hope will also grow large, create jobs and produce things we need, find our oil for the future – that really need the incentives that public authorities can provide. When we in Norway have the lowest research effort in the Nordic region, it is alarming. We in the Christian People's Party want the public to help stimulate this effort to increase, and therefore support several of the proposals in the document. If we're going to be able to do this, we're going to have incentives that don't put knowledge in the minds of the researchers, shut them down inside companies and institutions, but that they come out and get realized and commercialized.
