ParlaMint-NO_2011-01-13.ana.ud1737e51	The representative, Linda C. Hofstad Helleland, will present a proposal for a representative.
ParlaMint-NO_2011-01-13.ana.ud1737e54	I am delighted to promote a proposal by the representative of Olemic Thommess and myself for the amendment of the law on parental death.
ParlaMint-NO_2011-01-13.ana.ud1737e59	The representative, Line Henriette Hemdal, will present a proposal for a representative.
ParlaMint-NO_2011-01-13.ana.ud1737e62	On behalf of the big business representatives Øyvind Håbreek, Rigmor Andersen Eide and myself, I want to promote a proposal for a representative on an obliging plan to ensure security of supply for electricity and to prevent future power crises.
ParlaMint-NO_2011-01-13.ana.ud1737e67	The proposals will be dealt with in a regular manner.
ParlaMint-NO_2011-01-13.ana.ud1737e83	Recently, there has been a great deal of focus on the growing debt of Norwegian households, and that for good reason, and many express concern about this development. Today's lookup in the VG confirms this concern. Despite that, we borrow money as never before. Last November's figures show that Norwegian families are probably indebted to $2.1 billion. kr. Much of this debt is rooted in housing, but a large part of it is consumer debt – too much so, many say. Low interest rates and high levels of employment mean that most in Norway are able to manage their own personal economy according to the good old principle of by industry. Although most tackle their personal finances well, unfortunately we record a trend where more and more problems arise, and a good indicator of that is looking at the number of debt collection cases and the number of applications for debt regimes. According to figures provided by the FSA, debt collection companies in the first half of 2010 handled around 3.4 million cases, which are an increase of over 200,000 cases compared to the first half of 2009. At the same time, no less than 2.8 million new cases were brought in to the debt collection companies, or 15,485 cases every day. I repeat the number: 15,485 new things every day, a number that only reinforces the concern that many express. But it's important to realize that even though the number of debt collection cases is very high, most people make up for themselves. If we look at the number of applications for debt regimes from the tax authorities, it has increased by 24 pst. from the first half of 2009 to 2010. Here's the biggest increase in big cities, where there was an increase of 56 pst in Oslo. during the same period. For this reason, it is understandable that more and more people are unable to make up for themselves. What gives rise to additional concern is that debt and debt collection are increasing sharply among young people. The figures from the SSB confirm this development. The numbers show that we've had an increase of over 50 pst. in recent years, and that in addition negative comments have been recorded for a total of 1 billion. DKK in the age groups up to 34. It's serious. Today's young people are being subjected to a much greater purchasing pressure than when we grew up. We had our catalogues from which we ordered goods, but today's young people are subjected to buying pressures on many other and different arenas than what we did. We know the impact of advertising, whether we meet it in the shopping malls, on TV or in magazines. But the new thing is that the Internet brings «digital malls» with an infinite range of goods right into your home. Social media have product advertisements that are tailored to your user profile. Facebook is such an example, and on so-called pink blogs you are also exposed to product advertising. And when you log out of these services, you meet several ads that offer you to borrow cheap money so you can get funded the products you got offered on your PC. And if we take a walk at shops in the malls, we meet posters with the message "Buy now – pay in 3, 6 or 12 months". We have just been through a time when the money was really placed between our hands, and if we did not have money, it was solved by a very attractive offer of cheap money: «Lending up to $300,000 without a requirement for security and bailouts.» The last message is the part of the ad that will capture yours and my attention to contact the loan institution. This kind of ad, as I know, is not illegal, but it is possible to ask questions about the ethical and morals of this kind of marketing. And we know that many who are in a difficult debt situation often use such 'dreams' with the aim that old debt can then be paid with new credit card debt. I was contacted by a debt advisor in my home country who asked how it is possible for a person to receive 10–12 credits from different companies – of which two–three credits from the same company – of nearly 1 million. kr without ‘owning’. I'm asking the same question: how does it work? I do not have the answer, but I wish we could say that this should not be possible. And we've all been offered increased frames and new credit cards every day of the year. It's happening all the time. I think such a link between advertising and debt financing helps to form the purchasing press at an early age, creating the impression that money is an offering product on the same line as clothes, photos, etc. It must be allowed to point a finger at both credit card companies and credit institutions running such aggressive marketing as we record happening. For this reason, I am very pleased that the Consumer Ombudsman alerts a review of whether today's marketing is in line with the Marketing Act. In order to overcome this major problem, it needs to cooperate – from the public via our consumer organisations to banks and credit card companies. Then it's important to bring the most important actor, the borrower himself. A main message must be that they have a separate responsibility to understand their actions. But many people need enough help on the way, and then knowledge will be a central theme. Contributing to conscious and competent consumers is therefore an important objective of the government’s consumer policy. It is nice to record that some banks also contribute to a level of knowledge towards young people. I am aware that Nordea bank offers free teaching material to the schools, which I think is very good. It is not difficult to understand that being a slave to debt is problematic. Forced sale of dwellings, divorces and mental disorders is often a consequence of cold water. Debt problems are one of the main reasons why people come under the concept of poverty. And most of the time, the kids become the biggest losers when that happens. Then it is no longer a ‘only’ issue for the individual — it will eventually also be a social responsibility to help those involved out of such a difficult situation. Getting people out of a stressful debt situation is an important part of fighting poverty. One of many measures to combat poverty is, among other things: reducing the financial burdens associated with the enforcement of defaulted debt. The government has taken this seriously. The extension request fee has been greatly reduced in relation to the level imposed by the Right-Original Government of Bondevik. The same has happened in terms of reducing the costs for which the debtor may be liable in connection with debt collection. Both of these measures are important contributions to make everyday life easier for those in a difficult debt situation. We know that the municipalities under social law and the Debt Regulations Act are obliged to assist people who have debt problems. Unfortunately, studies carried out by the Consumer Council show that this offer does not work in much of the municipality of Norway. That should and should not be the case. The government has also strengthened the requirement of the Financial Contracts Act, such as: deals with the deterrent obligations of creditors towards borrowers. I would like to stress that this obligation not only relates to discouraging credit, but it is also an obligation to disclose the content and consequences of the credit agreement. In 2010, this obligation was further reinforced by the need to be able to demonstrate in writing. This measure may be particularly important to young borrowers. All of this is good prevention – the question is whether it is being properly practised. One might wonder how a credit company should be able to perform a «5 minute» credit rating or to grant a loan via SMS. It should be said here that our banks have a generally good credit rating, but you can probably ask questions about what we see some credit institutions and card companies practice in the market. The issue addressed by this interpellation is not a responsibility that should be borne by the individual borrower or by the public alone. As mentioned above, we should not relieve the individual borrower of responsibility, but I would like to be clear that credit institutions in general should bear a much greater share of the responsibility for defaulted loans, as a consequence of their partly aggressive selling and marketing methods. There are many measures that can be taken to try to mitigate these developments, and something needs to be done. I believe that further action on the collection or debt regime should be considered in order to limit the social and economic impact on society and the individual consumer. Furthermore, a look at how one can improve the ability of debtors and creditors to enter into an out-of-court debt agreement. More responsibility should be given to the financial industry in the form of the choice of selling methods and product information from the provider – and not least the awareness of ‘good business practices’ from the provider. From the public point of view, better provision should be made for the provision of correct and equal information to credit institutions. In this context, the Storting should look at the establishment of a common debt register. Many fear that this negative economic development that we see among young people can create long-term effects for a whole generation. It's serious. We all have a responsibility. And that responsibility has gradually become not only a heavy one should bear for them, but it has also gradually become a heavy one to bear for society in many areas. Something needs to be done to stop the galloping debt trend we record is happening among young adults — it cannot be allowed to continue. I have mentioned a few measures – there are probably many other good proposals. I look forward to the debate.
ParlaMint-NO_2011-01-13.ana.ud1737e138	The government has the priority of reducing poverty. The most important thing we do to reduce and combat differences is that in Norway we have been able to keep unemployment low during a period of financial crisis and major challenges in the international economy. It's one of our greatest victors in recent times. Combating differences and reducing poverty are at the same time different measures in different areas to combat economic inequality. The government has reduced fees, provided a significant reduction in collection rates, strengthened consumer protection against debt problems and strengthened consumer protection. In recent years, there has been a significant focus on credit both at national and EU level. In order to strengthen consumer rights in this area, the Stortinget, on the initiative of the government, has made several legislative changes, by the spring of 2010 at the latest, in the implementation of the Consumer Credit Directive in Norwegian law. The legislative changes aim to prevent consumers from getting into debt problems they will not be able to deal with. In addition, it has been important for the government to ensure that the legislation is complied with in practice. Here, the Financial Supervisory Authority and the Consumer Ombudsman have a key role to play. With regard to rules to prevent consumers from having problems repaying the debt, I would like to mention in particular the bank's deterrence obligation, which gives banks an obligation to advise customers not to take up credit if the financial situation of their customers so warrants. At the initiative of the government, the obligation to withdraw now also applies to the purchase of credit. Furthermore, I would like to emphasise that we have been given a legal rating obligation and that there is also an explanation obligation when establishing credit agreements. In addition, I can mention that the information obligations of credit institutions towards the customer have been increased at all stages of the credit granting process. There is also a right of withdrawal in the case of credit agreements, which enables the consumer to withdraw from the contract without justification within 14 days. In my view, in the event of breach of creditors' obligations, there are also more adequate and satisfactory sanctions. Overall, in my view, we have a good credit framework, which goes a long way in protecting consumers when they conclude credit agreements. However, it must also be possible to impose certain requirements on the individual himself. The starting point must be that each individual has a separate responsibility to assess his/her financial situation and to assess whether he/she has a financial capacity to borrow. In this context, increased knowledge and training on economic conditions may be important. This is particularly true of young people, who usually have less experience in borrowing and what this entails. In this context, I mention that the Consumer Ombudsman has a project for 2011 that concerns the conclusion of contracts among young people over 18 years of age. As part of the government’s efforts to reduce poverty, the government has taken several initiatives to make it easier for people who end up in debt problems they cannot deal with. The government will, among other things, protect those persons from excessive charges for the enforcement of defaulted debts. With effect from January 2007, the Stortinget, on the initiative of the Government, decided to reduce the fee for outlays from 2.1 times the legal fee to 1.85 times the legal fee for outlays. These are significant reductions in the social charges imposed and increased under the right-hand-dominated Bondevik II government. Overall, this means a decrease in the fee revenue for the country of more than 230 million. kr. Furthermore, in 2010, the government has also provided for a significant reduction in the costs for which the debtor may be liable for the out-of-court recovery. For consumers, collection rates are reduced by between 20 and 50 pst, depending on the size of the claim. For example, for a claim of NOK 2500: the rate reduced from $1,220 to NOK 610. The Government has also decided that it will take 14 days longer before the collection agency can use the maximum rate for the claim. This gives the debtor some better time to settle without increasing the costs of recovery. Creditors are not free to market credit agreements. Firstly, the Financial Contracts Act requires creditors to provide certain information in any form of credit marketing. It shall include, inter alia: information on the effective interest rate, the credit cost, the total amount of credit and the duration of the credit agreement, together with a true and fair view of the essential aspects of the credit agreement. The comprehensive information requirements include, inter alia: in order to improve the ability of the consumer to compare and assess different credit offers. Furthermore, the general rules of the Marketing Act set limits on the marketing of credit agreements. The Consumer Ombudsman shall supervise the conformity of marketing with the legislation. In order to enable the consumer to make a well-considered decision, he should receive all relevant information concerning the credit agreement before the conclusion of the contract. Therefore, the requirements imposed on the creditor’s obligation to provide the customer with information prior to the conclusion of an agreement have been strengthened. Information shall be provided to the consumer, inter alia: on the total amount of credit, the maturity of the credit agreement, the nominal and effective interest rate and other costs incurred in the credit relationship. The obligation to provide information is closely related to the obligation of explanation and to the obligation to advise against it. After the introduction of rules on disclosure, the creditor has an obligation to explain the content of the contract to the consumer. The explanation must be given in such a way as to enable the consumer to assess whether the proposed contract is appropriate to his needs and economic situation. In the extension of the obligation to explain, there is no obligation to advise the creditor that he has an obligation to inform the consumer that the consumer should refrain from taking up the credit if his or her financial capacity so requires. We have had this obligation for a while, but in 2009 the obligation to withdraw was extended so that it now also applies in the case of credit purchases. Furthermore, in 2010 some changes were made to the provisions on deterrence with a view to making the obligation more effective. Following the amendments, the renunciation shall be given both in writing and, as far as possible, orally. In addition, the consumer shall confirm, by signature, that the creditor has dissuaded him or her from taking up the credit, where a credit agreement is concluded in spite of the advice given to him or her. The purpose of requiring the consumer's signature is to make clear to the consumer that in such a case, the credit absorption is carried out at its own risk. With regard to the practical functioning of the non-advisory obligation of Section 47 of the Financial Contracts Act, the Financial Supervisory Authority has carried out an informal investigation among a selection of loan institutions. The investigation indicated that there is little dissuadement from borrowing, but that in cases where there is doubt as to whether the consumer is able to bear the obligations, a refusal will be made. In 2010, we also received a law on the creditor's obligation to perform a consumer credit assessment before the conclusion of a credit agreement. The assessment shall be made on the basis of information provided by the consumer or from relevant databases. This ensures that the creditor is provided with an adequate basis for assessing whether the consumer is able to fulfil his obligations under the credit agreement. The credit assessment obligation thus has a close link with the non-advisory obligation. I would also like to mention that the Ministry of Children and Gender Equality, at the request of the Stortinget, has been asked to investigate the issue of the establishment of a central debt register. Recording debt could be a useful tool in the implementation of the rating obligation. The investigation has been under consultation and is now being followed up by the Ministry. In 2010, a provision on the right of withdrawal was introduced in the Financial Agreements Act. Within a period of 14 days, the consumer may exercise the right of withdrawal and withdraw from the contract without giving any justification. The creditor may initially not charge any expenses other than the amount of the credit with interest. In the case of credit purchases, the Stortinget, on a proposal from the government, has chosen to retain the requirement for cash input. In cases where the cash price of the goods exceeds 20 pst. of the basic amount of popular fear, such as: often will be the case in the case of car purchases, 35 pst. the cash price of the goods is paid in cash. Such a requirement is intended to protect the consumer against unconsidered purchases and also to some extent to protect against pressure from an on-going seller offering to grant credit to finance the purchase. If creditors do not comply with the obligations imposed by law, there are several sanctions available under both the provisions of the Financial Contracts Act and the general contractual rules on nullity and auditing, including the Contracts Act, Section 36. This may include, inter alia: to relax the consumer's obligations under the contract. Furthermore, the Financial Supervisory Authority and the Consumer Ombudsman have the power to impose remedies and to impose periodic penalty payments in the event of a breach of the rules of the Financial Contracts Act on credit agreements. Clean consumer loans, which are largely granted without security, are offered by both banks and financial corporations. For several years, financial supervision has been monitoring the volume of consumption loans in a range of banks and financial corporations. The annual growth rate was 2 pst. at the end of the second quarter of 2010, and only 0,3 pst. in the second quarter isolated. After a period of significant growth in consumer loans, growth has stopped and it may indicate that financial institutions and consumers have become more cautious. Overall, I believe that the legislation to protect the consumer in this area has been well and significantly developed over the last few years. Furthermore, it is important to ensure that financial institutions deal with legislation and that it is followed in practice. At the same time, the problems of repayment of credit seem to be increasing, particularly among younger borrowers. This takes the government seriously and therefore considers the debate that has taken place today to be very important.
ParlaMint-NO_2011-01-13.ana.ud1737e180	I would like to thank the Council of State for a good account, which, in my view, provides good and reassuring answers to many of the issues that I raised in my interpellation. It is always a difficult balance how far you can go in defining who is responsible when things go wrong — and also in the issues we address in this interview — especially because it concerns so many young people who are at the beginning of their adult life. It is therefore understandable to sympathise with those who have been in a difficult situation because of poor economic priorities. This should and should be the case – simply because it is important to give feedback that we care about those who are struggling, and that the public can help get them out of the trailer, which is a heavy debt burden. We all know that the path to poverty is very short in such situations. I think the Council of State gave a good account of what has been done and what can be done – among other things. the measures taken by the government to strengthen the law in this area, measures which can help to prevent poverty in those with a high debt burden. But despite the sympathy with the people involved, I believe it is important to be clear that the individual also has an independent responsibility for his economic actions. It can't be clarified many times enough. Without such an understanding, the path out of a debt situation will be very long and winding. Unfortunately, it turns out that such an understanding is far inside. Too many people get loans that the parties involved should know would worsen their situation. Often it happens because you feel compelled to buy away from inconveniences by replacing old credit card debts with new credit card debts. Despite the fact that credit institutions are legally imposed both on disclosure and on a non-advisory basis, we learn that some credit institutions do not always follow the law’s intention to do so. For this reason, I would like to ask the Council of State whether it might be appropriate to introduce a rule that banks and credit institutions themselves have to take the bill if they have lent money to people who obviously do not have the finances to serve their credits. Furthermore, I would like to ask the State Council to say something more about whether there are sanctions in the law when we register breaches of the creditor's obligations. Finally, I would like to raise once again the concern of the growing debt in which an excessive proportion of the population is located. It is particularly worrying that the proportion is increasing among the young population. Starting your adult life with a huge debt burden is very challenging, and we must all, on each of our arenas, seek to prevent that from happening. In this respect, I would like to conclude with another question to the Council of State: Does the government intend to take other measures to prevent a further increase in the debt of the population, and especially of young adults?
ParlaMint-NO_2011-01-13.ana.ud1737e201	This is an important interpellation, and the interpellant poses important follow-up questions, which I'll try to give some answers to. I believe that we already have a good code that goes a long way in protecting consumers from taking up more credit than they would be able to serve – especially through the bank's dismissal obligation, which I had in my post. The banks also have an obligation here to advise consumers not to take up credit which may be too burdensome for the consumer's economy. If the banks do not comply with this non-advisory obligation, there is no doubt that this could lead to a relaxation of the consumer’s obligations under the credit agreement. Then I would also like to remind you of the obligation that the creditor actually has to inform not only verbally, but in writing about the dissuadement and the obligation of the borrower to sign if he still wants to take up the loan. The second question concerned whether it might be appropriate to introduce other sanctions into the law in the event of a breach of the creditor’s obligations. We have enough, as I consider it, today satisfactory sanctions options – some statutory provisions of the Financial Contracts Act and otherwise in the general contract law rules and not least the contract law § 36. In the context of the implementation of the Consumer Credit Directive, this issue was addressed in depth, and it was then found that there was no need to introduce further sanctions in the Financial Contracts Act. The introduction of additional sanctioning rules could create ambiguities in relation to other legislation where no specific rules are in place. This could also lead to further confusion. But this area, I think it's important to pay attention. I believe that the focus on training, on knowledge – not least among young people – about what opportunities and not least temptations, new sales channels, new advertising campaigns and tempting offers entail, are important, and that it is important for us all to ensure that there is the best framework possible, but nevertheless taking into account that it must be the responsibility of each individual to take responsibility for his own economy.
ParlaMint-NO_2011-01-13.ana.ud1737e216	In 2009, 5.2 million new debt collection cases were established in Norway. One quarter of these cases concern young people under the age of 25. The numbers tell us about a frightening development. I would therefore also like to thank the inter-pellant for raising a very important debate, and also thank the Council of State for many good answers. It is worrying when more people are incurring debts that they cannot handle. In particular, young people, because they are more vulnerable in the financial market, have lower incomes and often more precarious jobs. But then I also want to stress that there is a difficult debate with important balances, because it is necessary to say that everyone is responsible for their own economy. That responsibility must be at the heart of it. We all have a responsibility for not spending more money than we have. Everyone also has a responsibility to make the right choices, but personal responsibility must be combined with policies that strengthen consumer rights and protect individuals from being exploited, often in a vulnerable situation. Although many of the players in the industry take responsibility and have established good practices, we do not know that parts of the industry are speculative in their pursuit of profit, aggressive marketing and offering loans without security or security, half-hour loans per SMS and completed applications. We've all experienced – at least I've experienced it several times – going down Karl Johan, where people run after you with credit cards, and they almost don't take no for a no. All of this in order to tempt someone to take up a loan that might be difficult to pay down, so that the interest rate rate starts and companies make a lot of money. I therefore look forward, like the interpellant, to the Consumer Council's review of marketing. There's a need for that. I can understand that the temptation can be great, especially for people who don't always understand the scope of what they're doing. It has therefore been important for the Working Party and the Red-Greens to strengthen consumer protection and rights. We have strengthened the deterrence obligation, introduced disclosure obligations, we have legalised credit rating and 14 days' right of withdrawal, and there is an obligation to, among others. to indicate the effective interest rate in all marketing of loan offers. Where the Bondevik II government introduced and increased the USI charge for outlays, the red-green government reduced the fee by 230 million. kr. It is one of several important measures to combat poverty. Many good laws have been introduced by the red-green government in the last year, but it doesn't help to be right if you don't get it right. This is why, among other things, the legal assistance message – which is now to be rolled out, on free legal assistance for more – is an important contribution to the rights of more people and the solution of the problems at an earlier stage. I also want to commend all the volunteers involved in debt advice in Juss-Buss, the Gate Jurist, the JURK and other organisations in this debate. As in all areas, prevention is the best and most effective measure. Here we really have a way to go. At the end of last year, today's businesses presented a survey that showed that only half of young people between the ages of 18 and 20 actually know what interest is. Then it goes without saying that consumer loans and credit can be a short-bought happiness. It underlines the importance of the obligation to explain and to advise against it, but also underlines the importance of, inter alia: the targeted campaigns of the Consumer Council. It underlines the importance of relevant mathematics education and the economics of higher education, but it is also important that young people get a good dose of reason from home. The programme 'Luxus case' says something about the importance of solving the problems before they become so large that they are unmanageable. Under the Social Services Act, municipalities have an obligation to provide economic advice and guidance and help to those who are struggling. In 2009, the Consumer Council carried out a survey that had a discouraging effect. Only 12 Norwegian municipalities offer good help in the sense that they have good information on their websites, respond quickly and offer counselling within two weeks. Half of the municipalities did not respond to the enquiry or give incomplete answers. That's not good enough. The local authorities cannot solve this problem alone, but with the increase in social assistance payments, it may also be a hint to local government politicians that investing in debt advice in the long term can save the municipality's expenses, and many people can also be saved for pressures, worries and problems.
ParlaMint-NO_2011-01-13.ana.ud1737e233	Debt crisis is a very big problem for anyone who comes up with it, and often with a life that is almost ruined as a result. It's loss for the creditor. The only people who might earn something from this are debt collection agencies that can be left with a win. The government has done a lot in this area, and I'm very happy about that. We have a very great responsibility to protect consumers from the credit and consumer pressure that we are now exposed to. There are a lot of people who have bought goods from the Internet through both raising unsecured debts and acting on the Internet, where it is also impossible to get who you bought from. If you have something to complain about, or you can't pay the bill, that means that people are in a completely different situation now than they did before. The arrangements we're going to make should be so that as much as possible can be settled separately. That's the goal of what we're working on -- not to relieve anyone of responsibility for their own actions, but to put both the creditor and the debtor in the responsible position, and when you get into that situation, have arrangements that allow the most of them to get out of it and settle for themselves. I am pleased with what has been said here before about assessing the marketing, because I think we should have had a ban on the marketing of unsecured debt. I know that there are problems with that in relation to EU law, but I am at least happy that we are going to go new rounds to see how we can ensure that this pushing and marketing of unsecured debt can be mitigated. The second is to go through how the creditor can have an increased liability for unsecured debt. I think that's very important, because a creditor can't give credit to someone who obviously can't accept it. That is why the obligation to discourage we have introduced is important. That's the whole reason why the government is now assessing a debt register, which I'm very happy to do, because there's an opportunity to handle this in a better way than we do today. There are also many other measures we can think about in the future, such as: to explicitly consider a ban on the resale of unsecured credit – today there are many creditors who avoid it cheaply, they sell it further – and it is a principle to which a broad majority subscribe. I'm probably more concerned about it, but in the case of unsecured debt, I think this needs to be reconsidered. The claim for a self-inkasso, where the fees are even lower than they are when you get this sent into the other system, is there, and that will mean that whoever gives such a credit will know that you have to collect the debts of the sea, and through it can be more restrained. So I need to say a little bit about the public sector as a creditor, because I've been working on these things for a lot of years. In very many cases, it is easier to bring private creditors on contracts that enable them to pay off their debts than in some cases in the public sector. It could be that, for example, are self-payments to healthcare and medicines that can burden themselves with a heavy debt burden that people do not cope with. It could be people who are already in an extremely difficult situation. There may also be completely different types of debt that people have for the public sector. But I think there's a great need to go through how the public sector deals with these issues, not to let people get away with paying for themselves, but to get payment plans that make them actually able to pay. Now, in these electricity billing times, it's the way that the power companies are also encouraged to enter into contracts where you split the bill over time, so that it actually makes it possible for people to settle separately. I think it's incredibly important that you have the most possible of these arrangements, because I think there's very good learning in it, and it's a lot of sense that it's like this. Then you can't ask people to pay with money they don't actually have. That's when people panic and again take on short-term debt, which makes things go completely wrong. I am very pleased that the government is now assessing new measures, and I believe that there is a need to continue working on new measures in this area.
