ParlaMint-NO_2011-04-06.ana.ud2177e26	The representative, Arve Kambe, will put forward a proposal for a representative.
ParlaMint-NO_2011-04-06.ana.ud2177e29	On behalf of the representatives of Linda C. Hofstad Helleland, Torbjørn Røe Isaacsen and myself, I am delighted to propose an amendment to the Children's Act for parents' obligations to pay subsidies for legitimate children who move out of the home.
ParlaMint-NO_2011-04-06.ana.ud2177e34	The representative of Gunnar Gundersen will put forward a proposal for a representative.
ParlaMint-NO_2011-04-06.ana.ud2177e37	I will, on behalf of the representatives of Jan Tore Sanner, Arve Kambe, Svein Flätten, Ingerd Schou and myself, make proposals on property taxes. [[Laughter]]
ParlaMint-NO_2011-04-06.ana.ud2177e42	Yeah, the president also thought the Right was against it. The representative of Trine Skei Grande will put forward a proposal for a representative.
ParlaMint-NO_2011-04-06.ana.ud2177e47	On behalf of the representative Borghild Tenden and myself, I would like to make a proposal to launch an overall review of the various representatives we have.
ParlaMint-NO_2011-04-06.ana.ud2177e52	The representative, Mr Giltun, will put forward a proposal for a representative.
ParlaMint-NO_2011-04-06.ana.ud2177e55	On behalf of the representatives of Robert Eriksson, Laila Marie Reiertsen, Kari Kjønaas Kjos and myself, I would like to make proposals for changes to the People's Security Act. [[an equivalent financing scheme for assistance dogs and service dogs]]
ParlaMint-NO_2011-04-06.ana.ud2177e61	All proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2011-04-06.ana.ud2177e73	On Monday, the Storting received notice from the Prime Minister's office that the following government councils meet for oral Question Time: State Council Life Signe Navarsete State Council Sigbjørn Johnsen State Council Audun Lysbakken The announced members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Kenneth Svendsen.
ParlaMint-NO_2011-04-06.ana.ud2177e90	My question goes to the Minister of Finance. Norway is an expensive country to live in. Recently, figures from the Food Chains Committee showed that Norwegian food prices are much higher than in other countries, we could look at the Dagsrevyen Sunday. This is due, inter alia, to: the agricultural policy of the government, the protection of customs duties and the increase in VAT rates. Power prices have been extremely high in winter. A lot of people got a bump when the bill came. On TV 2, we could see that BKK is now starting to close the flow to people in the region, which is also happening in other power companies. This is happening more and more often than before. Gas prices have passed most of the places 14 kroner per litre, and some places passed 15 kroner per litre. Did it have to be that expensive? There's someone sitting there scouring the cream and kicking himself when people have to go out with their hard-earned crowns – the state. When the market price rises, this increase in prices is reinforced, inter alia, by: the tax called VAT is increasing. The state skins consumers. 60 pst. the price of petrol is taxes to the State. The higher the price of electricity, the more money the state collects in terms of VAT on electricity – in addition to the electricity charge. So the total public input is 70 pst. of what you pay at power prices. The higher the housing prices, the more the country takes into account the document fee. One might wonder if the increase in fees does not also eat up the increase in wages. Perhaps it is now time to put consumers at the centre, by reducing some charges? The Minister of Finance is free to choose from the proposals of the Progress Party in the last few years, including flexible low fuel and electricity charges, lower document fees – as proposed by the Progress Party. If the Minister of Finance has any proposals for reduced charges that the Progress Party has not seen, we are sensitive to new proposals that benefit consumers. The Progress Party has the solution. But what will the Minister of Finance do to facilitate the situation of consumers in an increasingly expensive country?
