ParlaMint-NO_2011-06-01.ana.ud1111e26	The representative Anne Marit Bjørnfacen, who has been licensed, has once again taken the seat.
ParlaMint-NO_2011-06-01.ana.ud1111e41	On Monday, the Stortinge received a message from the Prime Minister's office that the Councils of State, Liv Signe Navarsete, Knut Storberget and Anniken Huitfeldt will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Per Sandberg.
ParlaMint-NO_2011-06-01.ana.ud1111e48	I would like to ask the Minister of Justice a question. Today's newspaper says: ‘Knut Storberget’s commitment to the police is to become the largest police bluff in Norway’s history.’ It claims trust elected Arne Johannessen in PF. The title reads: ‘There are fewer policemen in Norway today than there were seven years ago.’ In addition, we know that after the police reform in 2001, more and more policemen have moved into the offices. It involves less visibility and less presence both in Oslo and in all other police districts. In this context, I record that the government now wants to transport small criminal asylum seekers into the districts. You might have to believe that is a good central party policy to maintain settlement, but I think it might be a different agenda that underlies. I have also recorded that in many areas the Labour Party has tried to adopt the policies of the Progress Party on asylum, immigration and integration policies, but here I think the government has blocked a little. The Progress Party has never said that asylum seekers should be sent to the country, we have said that they should be sent out of the country. Although this is fixed in Soria Moria, as I understand it, is my challenge to the Minister of Justice: has this proposal been consulted by local and regional politicians? Have the police districts been informed of such exports of criminal asylum seekers from the central east and into the districts? Or, have you ever thought about the consequences? Are you really so naive and thinking that you're fighting crime by spreading crime across the whole country?
ParlaMint-NO_2011-06-01.ana.ud1111e79	I must be allowed to thank you for the opportunity to clarify what is actually in this proposal. As an oyster beer and very happy in the districts, I can calm District Norway. It's not that we're about to start a more or less massive broadcast out into the country. We're going to continue the effort we have, just by sending out the offenders, out of the country. It is precisely in order to be able to pursue the policy that we also need tools to help those who commit the mildest criminal acts and who cannot be held in custody are actually required to stay, and preferably at the place where they actually live – read: the municipality where the asylum recipient is located. That's the whole intention. To the extent that the plays that came yesterday, and the media coverage of this, have created the impression that asylum seekers should now be sent to rural areas, I must immediately say that that is not right. There is an opportunity for the police and the court to be able to impose a stay, and then preferably in the asylum office where you live, so that you do not wander around the cities. Criminal offences in the streets of Elverum — to take a place where they are concerned — could be a risk of being ordered to return to the asylum office from where they come, for example. in Våler, and you have to stay there until the tickets are ready and the transport is ready to transport him out of the country.
ParlaMint-NO_2011-06-01.ana.ud1111e94	Despite the fact that there has now been an order of the propositions, the President believes that the questioner needs an additional question.
ParlaMint-NO_2011-06-01.ana.ud1111e97	Yes, please. The answer that came is a little surprising, because it is in stark contrast to what the Prime Minister said directly on television yesterday. It was difficult to misunderstand the message from the Prime Minister, who indicated that this was down in Soria Moria. It is clear that these longings, the asylum seekers, among other things. along Akerselva, they were now to be taken in, and then they were to be transported out and be subject to reporting obligations in another municipality. It is dramatic in itself when we know that the police lack resources in the districts, and then you have to get additional tasks to do with this. The best thing would have been to do as the Progress Party has proposed, to get a tightening provision in the penal code for using the asylum institution to commit crime in Norway. This has been voted down by Stortinget. And the next thing would have been, of course, to use closed reception in cases where there are asylum seekers who commit crime. This has also been voted down by the Stortinget and the government. Is this a step on the way to a closed reception – at least when reporting obligations are imposed on criminal asylum seekers?
ParlaMint-NO_2011-06-01.ana.ud1111e108	This proposal, which has been in consultation since last summer, must be read in full. If you take out one part of it, and you think that's the whole bet, it's going to be a little bit different. This proposal thus opens up the possibility of more prisoning asylum seekers who commit criminal offences, reducing the level of evidence and the requirements for imprisonment. It also opens up more to be able to imprison people who do not send out, and people who deliberately hamper their work with identity. I believe that this is absolutely necessary, especially at a time when we are able to send out so many asylum seekers who are not allowed to be here or who commit criminal offences. So there are 5,000 to 6,000 this year – as far as I recall – who are being sent out, or are travelling on a voluntary basis. I believe that this is one of the main reasons why we also see a significant reduction in the number that comes, for no reason to get protection.
ParlaMint-NO_2011-06-01.ana.ud1111e115	There will be four follow-up questions – first Per-Willy Amundsen.
ParlaMint-NO_2011-06-01.ana.ud1111e118	My supplementary question goes to the Minister of State. We have already demonstrated the lack of respect for local democracy when establishing asylum receptions in Norwegian municipalities, even without rapporteurs being briefed. We have been shown that this government will now force people to settle in Norwegian municipalities, contrary to the wishes of local democracy. That's what this government stands for. And now we're shown that the government has to send criminal asylum seekers out to District Norway. It is becoming a ‘not good’ repertoire this government has in terms of asylum and local democracy. I understand that the Central Party wants to use the whole country, even though this may not be the way to do it, but is it not a problem for the Central Party and the Minister for Municipal Affairs that we are once again snuffing in the leeway of local democracy?
ParlaMint-NO_2011-06-01.ana.ud1111e127	The representative gives a somewhat distorted picture of this government's policy. First, this government is the first to record the relationship between the state and the municipality and the state government of the local government sector. Over the summer, I want to present a big message that addresses it, with the aim of ensuring local action spaces for the municipalities and not getting over-control in too many cases. It will be such that national policies, both from the government and from the general public, would like to set objectives and requirements for the local government sector. It is important that it is done in a way that allows local democracy to grow in a way that allows local democracy to be heard. It applies in all cases, and it will also apply here. My job as a municipal minister will always be watchful for that to happen.
ParlaMint-NO_2011-06-01.ana.ud1111e134	Trond Helleland – for follow-up questions.
