ParlaMint-NO_2011-10-01.ana.ud869e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2011-10-01.ana.ud869e40	The President-in-Office of the Council will ask the Secretary of the last big thing, Tor-Arne Stroem, to act temporarily as a secretary.
ParlaMint-NO_2011-10-01.ana.ud869e55	The President-in-Office shall propose that the Rules of Procedure used last time be put into effect. – It shall be deemed to have been adopted. A number of permit applications are available: – from the representatives of Tove Linnea Brandvik, Håkon Haugli, Line Henriette Hemdal, Ketil Solvik-Olsen, Michael Tetzschner and Anne Tingelstad Wøien on leave from 1 October to 11 November to take part in the Chief Executive Course of the Defence College – from the United Nations General Assembly on sick leave of the representative Gunn Olsen from 1 October to 21 October until 11 November – from the members of the Executive Committee on sickness leave of the representative Per Sandberg from 1 October to 1 October and until further notice – from the representative of Arve Kambe on parental leave from 1 October to 21 October – from the representatives of Hilde Magnusson on welfare leave in the period from 1 October to the end of October, from 1 October to the end of October, and from the end of October to the end of the plenary session of the European Parliament from 1 October to the end of the 3 October and from the end of the 3 October to the end of the plenary session with Mr. Those applications are proposed to be examined without delay and accepted. – It shall be deemed to have been adopted. The first alternate for Hedmark County, Frøydis Elisabeth Sund, is currently abroad and is therefore prevented from meeting in Stortinget under the authority of the representative Karin Andersen. From the first alternate of the Buskerud County, Kjell Børre Hansen, respectively, of the Hordaland County, Toril Vebenstad, and of the Rogaland County, Tina Bru, there is an application for an exemption from meeting in the Stortinge under the leave of the representative Lise Christoffersen from 1 to 6 October, the leave of Tove Linnea Brandvik from 1 to 3 October and the leave of Arve Kambe in the period from 1 to 4. October, for welfare reasons. On a proposal from the President, it was decided unanimously: 1st@item: inlistbox The applications shall be examined immediately and accepted. 2nd@item: inlistbox The following alternates shall be convened to meet in perm from October 1st to October 1st until October 1st until October 1st until October 1st until October 1st until October 1st until October 1st until October 6th For Buskerud counties: Nina Mjøberg from October 1st until October 6th For Hedmark counties: Farahnaz Bahrami from October 3rd until October 6th and Torbjørn Dybsand from October 3rd until October 6th For Hordaland counties: Roald Aga Haug from October 1st until October 12th, Torkil Åmland from October 3th and Rune Bakervik from October 1st to October 3rd For Upland counties: Johannes Rindal from October 1s from October to October 4th and 12th For Oslo: Avshan Rafiq from 1s to 12th and Karshan Vinje 3rd for Rogaland counties from October 1s.
ParlaMint-NO_2011-10-01.ana.ud869e278	Tor Sigbjørn Utsognogn, Nina Mjøberg, Roald Aga Haug, Rune Bakervik, Johannes Rindal, Afshan Rafiq, Karin Yrvin, Terje Halleland, Magnus Skreetting, Lene Wagschlid and Stein Erik Lauvås are present and will take the seat.
ParlaMint-NO_2011-10-01.ana.ud869e284	The Presidents and Secretaries shall then be elected. The election will be conducted in line with the second paragraph of Section 4 of the Storting Rules of Procedure. The President-in-Office will propose that we vote in the usual way without the use of ballots. – It shall be deemed to have been adopted. The President-in-Office of the Council is asking for proposals from the President of Stortinget.
ParlaMint-NO_2011-10-01.ana.ud869e292	I allow myself to propose Dag Terje Andersen.
ParlaMint-NO_2011-10-01.ana.ud869e299	Day Terje Andersen has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2011-10-01.ana.ud869e307	The President then asks for proposals from the First Vice President of Storting.
ParlaMint-NO_2011-10-01.ana.ud869e313	I suggest Øyvind Korsberg.
ParlaMint-NO_2011-10-01.ana.ud869e321	Øyvind Korsberg has been proposed to the First Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2011-10-01.ana.ud869e330	The President then asks for proposals on the second vice-president of Stortinget.
