ParlaMint-NO_2011-05-25.ana.ud1979e26	The representative of Sonja Mandt, who has been licensed, has once again taken his seat.
ParlaMint-NO_2011-05-25.ana.ud1979e41	The Stortinget received on Monday's notice from the Prime Minister's office that the government councils Magnhild Meltveit Kleppa, Lars Peder Breck and Lisbeth Berg-Hansen will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We will then begin with the first main questions from the representative, Harald T. Nesvik.
ParlaMint-NO_2011-05-25.ana.ud1979e48	I will be allowed to ask questions to the Minister for Agriculture and Food. We now have several months of negotiations behind us, and finally we have come to the port of all the wage settlements that have been. It has been a relatively peaceful spring, and finally managed even the footballers to agree. But what's worrying about what we're seeing is that after all the paychecks are in the port and the negotiations have taken place, the agricultural settlement is coming. You have managed to reach an agreement on this matter this year. What happens then is that a teacher gets an average increase of approx. NOK 7000 according to the settlement made for the public sector. Then we get the agricultural settlement on the table and the consensus we've come up with there, where you take out a very large part of the increase you give to the farmers, in the form of increased prices. This means that the relatively modest growth in purchasing power that many people have experienced is absorbed both by the tax, which obviously affects your wages, and also by the increased food prices resulting from the agricultural negotiations of the year. My question to the Council of State is as follows: When will the Council of State go in and see how this agricultural settlement is done, so as to reduce the use of increased target prices, which means that consumers have to take the bill? And is the Council of State possibly determined by its starting point and its opinion when the Food Chains Committee presented its recommendation that food in Norway is too expensive?
ParlaMint-NO_2011-05-25.ana.ud1979e59	The question asked here by the representative Nesvik has many facets, and I'm going to try to answer that question. But the first thing I want to stress is that the overall impact of the agricultural settlement on the average food prices is being very limited, there's going to be a change of 0.7 pst. Farm production — it is important to bring it — affects commodity prices. It is difficult at this stage to see how it will affect individual products, as the notice in the newspaper that was referred to shows. When we evaluate the food prices as a result of this settlement, it has to be taken into account in the calculation that from 1 January the government will remove the food production fee. It provides a tax relief for the industry of about 615 million. kr. 280 million. NOK 215 million in the case of Norwegian agricultural products. kr import and about 40 million. kr fish. So the starting point here is that it has different effects, but what we're dealing with in the agricultural agreement is the commodity prices. There is no basis for the intermediate stage to increase its prices, as it may appear from some press releases, due to changes in the food production charge. There are many people who play a game in a market and take advantage of this situation. My starting point is that, on average, the agricultural agreement increases by 0.7 pst. This is very moderate in a situation where we have seen relatively low food prices in Norway compared to other countries. Let's talk about the Food Chains Committee. Here it is that they have documented that despite the fact that we have peculiar taxes in agricultural policy, the food chains take a greater share of the framework, and that should be looked at.
ParlaMint-NO_2011-05-25.ana.ud1979e74	The answer to the Council of State worries me, because the Council of State says it's hard to calculate it and that, and we can't see how to pick up these prices, and what's going to happen as a result of the way one thing affects the other thing. In this respect, it is particularly important to enter into negotiations where there is a specific commitment to increasing target prices towards this sector. And then you're talking about the average increase is just 0.7 pst. The problem is: if you take a family of four, where one is – let's say – teaching and caring for the whole family, and you take the tax and the increased target prices in relation to particular milk, bread, meat and eggs, it will actually eat up most of the so-called real wage increase that this group would get. I ask the Council of State again: Does the Council of State still believe that food in Norway is too expensive? And will the Council of State change the system, so that these kinds of transfers are made over the state budget and not through increased prices to the consumer?
ParlaMint-NO_2011-05-25.ana.ud1979e83	I think we have a very well-functioning system in the Agricultural Agreement Institute. I fully defend it, because it gives the farmer the opportunity to increase their income opportunities, and it allows the consumer to have stable framework conditions in terms of total prices. Prices in Norway are stable compared to developments seen internationally. As regards the impact of the agricultural agreement, which is 0,7 pst. on average, and relating to commodity prices, it is in fact the case which the Party of Advances and the representative of Nesvik should also realise that it has no direct impact on the choice of intermediaries in such a situation. It is quite interesting that the Progress Party, which wants free adjustment, is concerned here with even more control in terms of food prices. It is quite incredible that the Liberal Advance Party is going to get rid of this discussion in this way, and does not take into account the fact that there should actually be a market adjustment also in the case of food prices. Let me also stress that it is strange that there is only food prices you should not do anything about in this country in the discussion of the Advance Party.
ParlaMint-NO_2011-05-25.ana.ud1979e94	Three questions have been asked and given rise to follow-up – first Torgeirar Tåldal.
ParlaMint-NO_2011-05-25.ana.ud1979e97	I will continue to ask if Nesvik's unanswered representative, and it is based on food prices and that consumers in that very country are now being transferred to the bill because of the failure of the government of Stoltenberg. In Norway we have the most expensive food in the world. We have the world's most expensive milk. We have the world's most expensive cheese. We're the world's most expensive at everything that's made of food products. That makes us a We have also come so far that this particularly affects minimum pensioners, pensioners and young children's parents. And Breck said when the Food Chains Committee was finished, that the food was too expensive. But at the same time, at the next moment, you go into the agricultural negotiations and increase prices very much on food. So the question of Breck is, when is Breck going to start taking into account consumers and not just the special interests?
ParlaMint-NO_2011-05-25.ana.ud1979e104	I would now say that it makes sense sometimes for different representatives to have more thoughts in their heads at the same time. The point of the agricultural agreement is that it has a small impact on commodity prices – 0.7 pst. average. So it's also that it looks like some middles are taking advantage of the situation. There's no basis for that. When the food production fee is reduced, they should not increase prices in the same way. In terms of the impact on consumers, it is, as I said, moderate, and it seems almost as if the liberal Progress Party is concerned with controlling prices. Here they say that the only thing that can't be changed by prices in this country is food prices. That's pretty interesting to see.
ParlaMint-NO_2011-05-25.ana.ud1979e113	Svein Fleet – for follow-up questions.
ParlaMint-NO_2011-05-25.ana.ud1979e116	This discussion is a continuation of what has taken place throughout the spring, not least in the media, after the expectations and demands of this year's agricultural settlement were reversed by the red-green party meetings. Then the disappointment gets bigger from the farmers when you end up, as usual, at half. So you get this debate over and over again: is it to be taken into account in prices, or is it to be taken out of the budget? Everyone owes each other, and Lundtigen owes him to the Prime Minister's office. This, I believe, is damaging to the reputation of the industry, and this is what will be my question: does the Council of State see that a very important industry in Norway, the agricultural industry, is being damaged by these discussions? And does the Council of State think about looking at changes in the way agriculture is structured — he is one of the parties to this — to do so in a way that improves the reputation of the industry?
