ParlaMint-NO_2011-03-10.ana.ud2107e122	The representative of Borghild Tenden will put forward a proposal for a representative.
ParlaMint-NO_2011-03-10.ana.ud2107e125	With this, I will hand over a representative proposal from Ola Elvestuen and myself to set up a Wergeland centre in Grotten before the anniversary of the Constitution in 2014.
ParlaMint-NO_2011-03-10.ana.ud2107e130	The representative, Åse Michaelsen, will present a proposal for a representative.
ParlaMint-NO_2011-03-10.ana.ud2107e133	I am delighted to promote a proposal by the depositors Per Sandberg, Hans Frode Kielland Asmyhr, Morten Ørsal Johansen and signed on a change in the practice of residence of the custodian.
ParlaMint-NO_2011-03-10.ana.ud2107e138	The representative of Gunnar Gundersen wishes to make a proposal for a representative.
ParlaMint-NO_2011-03-10.ana.ud2107e141	I will, on behalf of Bjørn Lødemel, Siri A. Meling, Olemic Thommessen, Ingerd Schou and myself, propose measures to improve the possibilities of caring for peaceful buildings.
ParlaMint-NO_2011-03-10.ana.ud2107e146	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2011-03-10.ana.ud2107e160	Let me just make a little post on the presidential decision. The record of the duties and financial interests of the EEAS contributes to the transparency and visibility of any conflicts of interest that may arise between the profession as a EEAS and private financial interests. The Presidency is concerned that there should also be transparency about the financial interests and working conditions of the alternates outside the Grand Duchy. The Presidency therefore proposes that the register system be extended to include meeting alternates. Only information about the alternates actually meeting at Stortinget is to be recorded. The registration shall be made at the first meeting. Any changes shall be notified by each alternate representative on a re-examined basis. However, the alternates are also given the opportunity to update information during the period they do not meet. For practical reasons, non-constant alternates will be listed in a separate part of the register. Data in the electronic register shall be deleted after the withdrawal of the representative concerned from the Stortinget. Representatives and alternates who have met for an earlier period should not re-fill the registration form, but only need to correct any changed information. Therefore, the information should not be deleted immediately after a representative has left the Stortinget but should be available in the electronic system for one period of grace thereafter. It is assumed that information on those who have left the Storing is not publicly available. On this basis, pursuant to the Rules of Procedure of the Storting, Section 60a proposes amendments to the Rules of Procedure on the register of the duties and financial interests of the depositors, Sections 1, 12 and 14. It is proposed that the amendments should enter into force on 1 April 2011.
ParlaMint-NO_2011-03-10.ana.ud2107e171	Several have not asked for the floor on case No. 1st@item: inlistbox [[Footage, see page 2810]]
ParlaMint-NO_2011-03-10.ana.ud2107e189	In 2010, 210 people were killed in traffic in Norway. That's the lowest number since 1954, but still it's 210 too many. Traffic accidents are the hidden tragedy – it is the tragedy that comes in small drops the year through, and most often results in small notes in the newspapers. The zero vision, the desire for a future without hard damage and killing, is our leading star in road safety. And the question is, are we willing to take those decisions, to make those decisions, to do what is required of us, to make us credible when we talk about the zero vision? That's what this interpolation is really about. Traffic safety has been high on the political agenda for a while. Luckily, because it is a matter of life and death – and unfortunately, because there are tragic accidents that have caused this place on the agenda. The challenge of the debate that has led so far, I believe, is the one-sided focus on middle-parts. I would like to begin by stating that I believe the middle parts are important. It is an important road safety measure, but it is on high-traffic roads. Whether the limit should go at 8 000 cars a day, at 4,000, or by other criteria, I think we should discuss. But I don't think it would be possible or realistic to build middle parts on all the roads in Norway. That some parties create the impression that they mean it, they themselves defend or explain. Here is the main reason why I am promoting this interpellation: Traffic safety work is so much more than middle-parties, and I would like us to have a discussion about road safety that focuses on everything else we have to do – on all the political challenges we have, which really focus on whether our zero vision thinking is just an airlock, or whether we mean serious. There is a good road safety work today, both nationally, regionally and locally. A plan of 152 actions has been drawn up at national level, supported by the State Road Administration, Education Directorate, Health Directorate, Police and Security Traffic. Regionally, the county councils have their road safety committees and plans, and we know that many municipalities also have plans and active road safety work. The zero vision assumes that we're talking about a traffic system. A system in which the road, vehicle and road users have to play on a team and where everyone has to do their part of the job in order for this to work. We as politicians can be involved and influence this cooperation by helping to improve road users, better and safer vehicles and better and safer roads. We can also adopt measures that compensate for the failure of parts of the system to function optimally, or for the failure to take the measures we think are necessary at all times. I believe that in any case we cannot build roads which take into account that the road users are allowed to behave as they please. We must be able to assume, or at least apply measures that contribute to, that the road users generally hold the speed limits, use seat belts and drive unattended. But let me illustrate why the one-sided focus on pitfalls doesn't solve all the challenges. I choose to use the fatal accidents in my home state, Nord-Trøndelag, in 2010 to illustrate this. There were eleven killed in traffic in the North Trøndelag last year. Of these, four were meeting accidents, four were road accidents, an accident at a crossroads, a rollover and a pedestrian that was hit. If we had had pitfalls on all the roads in the North Trøndelag, we would still have at least seven of the eleven killed in the traffic. More than half of the meeting accidents also occurred on county roads where pitfalls are not high on the political agenda, due to low traffic. Therefore, it is important that we have a major focus on other measures as well. Many accidents are related to lack of driving ability, excessive speed or drunkenness. This means that we need to put in place measures to improve road users. For me, this is about measures from kindergarten to the fully trained driver. That is why I think we need to discuss the following: Is traffic training in kindergartens and in school good enough? In primary schools, we have included learning objectives in terms of traffic in curricula. But do we reach the learning goals? We need to know if we're reaching the learning goals. My knowledge of the theme suggests that it is very varied and very dependent on the individual teacher. We can't have it like that! We have to make sure that the students who leave primary school have the necessary knowledge of traffic and the necessary attitudes. Put on the head this is a matter of life and death. Is driver training good enough? What we can determine is that we have the world's best education for traffic instructors. We have chosen that traffic teachers trained in Norway should be trained in higher education, with a strong emphasis on pedagogy and road safety. No other Nordic country has gone that far. But what about driver training? Do we have a driver training that takes more account of the fact that it should be as cheap as possible instead of being as optimal as possible? We have a driver training that is equal to everyone, regardless of how we are as people. When I talk to the traffic teacher training professionals at the Nord-Trøndelag High School, I get the following feedback on what can improve driver training: reintroduce mandatory theoretical knowledge courses get to more quantitious training rates on individualised driver training Now there is an evaluation of driver training, but it must be raised beyond any doubt that it can be improved, and I believe that it is urgent. Should we discuss the progressive extension of the right to drive? Should it be that when you receive a driving licence at the age of 18, you are only allowed to drive alone and during the day, and later you are granted the right to drive when it is dark and to carry passengers? In a newspaper lookup in the Address Paper a few days ago, I am recording that the UP head of the Trøndelag believes that we should introduce different age limits for driving licences for girls and boys. Recent research shows that there is a biological difference between the sexes — the girls are more mature than the boys — and that a differentiated age limit should therefore be introduced. We must at least dryly discuss this. The vehicle is also part of the traffic system. On the basis of the zero vision, I think we should at least discuss the following: When we know that young people are particularly at risk of accidents, how should we help to make cars for young people more roadworthy? Young people usually have the oldest cars – and they are the ones that are least roadworthy. I believe we need to consider significantly increasing the wreckage, at least as a time-limited measure, in order to replace the oldest cars, and especially the youth cars. Safety equipment is still coming in new cars. There are devices that prevent you from sleeping, which make it almost impossible to drive into the car in front of or in a vehicle that is in contact, and there are airbags for pedestrians, if you were to be unhappy to drive on a pedestrian, to mention something. The problem is that this equipment is relatively expensive and that we have a charging system that helps make it more expensive. Here we have to discuss whether such safety equipment should simply be exempted from charges. New technology is a key to giving us challenges in the future – political challenges. Alcolocks and speed barriers are technology that we have known for a while, but which we have not yet chosen to use as real instruments. When the contributing cause of half of the fatal accidents is speed, it goes without saying that using a immobiliser would have been a very effective tool. Alternatively, there is technology that can either tell your car what the speed limit is and help us keep the speed limit. This challenges the concept of freedom to many, and therefore it is a matter of political clarification. For me, this clarification is relatively simple. For me, it's not about me being a road user having the freedom to drive as I want to, but it's about the freedom that we all as road users should have to feel safe and secure when we're out of traffic. That is why I am positive that we are going to apply the new technology as soon as possible. Traffic safety is an area where there's a lot of vision, where we've all made up our opinions about what works or doesn't work, based on our own experience. What we forget is that road safety is also an area where we have a lot of research and therefore a lot of knowledge about what actually works. I believe that as politicians we are too little in our position to use the knowledge that exists. Speed is an area we know a lot about. We know that if you drive on a pedestrian, the pedestrian is likely to survive if the speed is not more than 30 km/h. Ergo should be a maximum speed limit of 30 km/h. We know that in the event of a meeting accident, the chance of survival is great if you don't drive faster than 70 km/h. Ergo should have a maximum speed limit of 70 km/h on all roads without middle parts. I am very pleased with the news we heard on the radio today – that the speed limit is now to be set down on the most trafficked and accident-prone routes where it is not yet built middle parts. But if we're going to take the zero vision seriously, we should have discussed if we're going to do this all the way. It's in the nature of the zero vision. If road safety were most important to us, this would have been a good discussion. But we know that it goes against other goals – with goals of prosperity. We know that it will work, but we know that it probably won't be popular among the voters. If we had reduced the speed limits from 50 to 30 km/h in densely populated areas and from 80 to 70 km/h where there are no middle parts, and everyone had followed the speed limits, 135 fewer people would be killed every year – 135 people. It's such a high number that we should at least cost to reflect on the possibility that these are measures we can take. We also know from research that relatively small changes in overall velocity give a huge impact. If the speed level is reduced by 5 pst, the number of fatalities is reduced by 20 pst, and if the speed level is reduced by 10 pst, the number of fatalities is reduced by 40 pst. When we know that the speed level in many places is well above what is the speed limit, we also know that bringing the speed down to the actual speed limit will work very well. That's why we're for multiple photo boxes, we're for average measurement between the photo boxes, so-called distance ATK, and we're for more police control. We have strengthened the UP – and I hope the Minister for Transport has a good dialogue with his colleague in the Ministry of Justice on how to get even more police controls in the future. Some batches help to create the impression that the road safety challenges are simple to solve. I believe that this is wrong. I believe it's about having more thoughts in my head at once. But my challenge to the Minister of Transport, in addition to the question I have asked, is: How will the Minister of Transport make it possible for us to take these difficult discussions politically, and what are we going to do to conclude and get started? Even though 210 is a historically low number, is it 210 too many, and are we willing to use the tools needed to move on?
ParlaMint-NO_2011-03-10.ana.ud2107e260	We can never build to the zero vision. It should be a big responsibility to get into a car. Those who are not aware of this responsibility shall not hold a driver card. The day we politicians aren't clear about this embassy, we've seen traffic security work decades back. Fewer deaths and heavy injuries are about efforts on a broad front: better and safer roads, but also measures against drivers – measures that increasingly prevent inappropriate drivers from moving on the road. As the interpellant points out, the number of fatalities in traffic in Norway is still decreasing. In 2010, we had 210 killers – the lowest number since 1954. From 1951 until 1970, the number of traffic fatalities grew steadily with increasing traffic volumes. This trend reversed after 1970. Since then, traffic has more than tripled, while the risk of death has been reduced by more than 85 pst. In 1970, more than 5,100 people were killed and badly injured, while last year, predestination figures show 883. It's positive that the number goes down. Yet, every life lost on the road is one too much. Zero vision: no accidents with fatal and severe road traffic damage should occur. This is the basis for the work on road safety. In order to approach this vision and ensure the quality of security work, it is decisively aware of risk conditions and causes of accidents. Research, analysis, distribution and action evaluations are therefore taken into account. The state road service has, among other things, for five years examine all road traffic fatalities by means of regional accident analysis teams. Information from this work has provided important knowledge and facts about what contributed to serious accidents. We will benefit from this in road safety work locally and centrally and in planning short-term and long-term measures. Occurrence analysis teams recommend measures aimed at road users, measures aimed at running gear, measures directed towards roads and organisational changes. In addition to focusing on the direct causes of an accident, we shall also focus on underlying causes in organisational, economic and social conditions. A broad and collective effort is needed from a range of actors. The State Road Service has developed its National Road Safety Action Plan 2010–2013 in cooperation with the police, Health Directorate, Education Directorate and Safety Traffic. The plan is a follow-up to the National Transport Plan 2010–2019 and is a comprehensive presentation of how the various national actors should participate in road safety work. The action plan comprises a total of 152 measures aimed at road, rail and road users. The plan highlights that the three major problems in road safety work are that many are running too fast, that many do not use seat belts, and that many are still running under the influence of drugs. All these problems need to be addressed in road safety work. The Transport Economic Institute has calculated that if all road users followed the laws and regulations of these areas, the number of fatalities could be reduced by about a quarter. 50 pst. The action plan for increased road safety has two approaches when it comes to measures directed at road users. One is action against accident types or groups of road users where there are particularly many people who are killed or seriously injured. The second is preventive work, especially for children and young people. Key to road users is training, information and control activities — often combined with other measures, such as: checks. Measures have been targeted primarily at traffic and driver training. In addition, specific measures will be targeted at young people. Control operations are an important part of the work against the individual types of accidents. For example, high speed is a contributing factor of about 50 pst. of all the deadlocks in Norway. The police shall therefore be directed against aggressive and dangerous traffic behaviour, with particular emphasis on high speed, run-off effects and lack of protective equipment. The government has increased police control, the number of controlled drivers and driving gear increased by more than 11 pst. from 2009 to 2010. Extensive automatic traffic control is one of the most effective measures. Sampling distances show a significant reduction in the risk of accidents. We have given green light for distance automatic traffic control on eleven new sections this year and within three years green light for up to 40 sections. It is the state road authority that makes the final decision, and they do it with local authorities. The parties who accept this accept a great responsibility. We want a stricter and fairer dot load system. The system works dissatisfying today. It's too random who's being registered. We tighten the system, so that those who are taken get more dots, and those with driver cards on the test get double load. The state road service has been subject to speed limits on specially unclosed routes. They now set the speed limit from 80 km to 70 km at 420 km. There is a targeted action aimed at unclosed distances. This is temporary until one gets middle measures or other measures in place. The Lavang valley is one example where we first set down the speed limits and then also clear the road. Drugs other than alcohol are a growing problem in traffic. The risk of exclusion increases dramatically. A new device, known as the 'fastest' device, will significantly simplify the removal of a traffic-affected driver. In this way, we are intensifying efforts on national and county roads in the National Transport Plan 2010–2019. For the national road network, the framework for the four-year period has increased by about 50 pst. compared to the framework for the period 2006-2009. The initiative also represents a significant increase in targeted road safety investments. Example of this is the establishment of mid-driving or reinforced mid-driving markings, measures aimed at exit hatches and immediate measures following road safety inspection or deadlocks. Maintenance privileges also have increased. More money gives more way. New roads are safer. We've opened 70 miles with a new road. We build on average twice as many kilometers of four-field road as the government before us. The work on preventing meeting accidents has gained new topicality after, for example, The tragic accident in Troms. The government has asked the state road authority to create its own action plan to prevent such accidents. We also want to know if there is a change in the direction lines for the use of pitfalls. Temporary works should be able to be set up where the emergency conditions warrant it, even if the annual traffic is less than 8 000 cars. Measures to prevent loopholes should also be given priority, and in connection with this, a specific focus is placed on the improvement of side terrain and the setup of rails. Driving gear measures I would like to return to my next post, because important measures are now also being taken. Alkolock is another keyword. Finally, let me say that the causes are composed, and therefore the measures must be composed. We don't have to fool ourselves and the motorists into thinking that we can build ourselves for the zero vision. There's still some people who seem to mean it. Less killed and hard injured require tough grip. There is no human right to have a driver's card. Incorrect drivers should be removed from our roads.
