ParlaMint-NO_2011-06-16.ana.ud1149e148	The representative, Bent Höie, will put forward a proposal for a representative.
ParlaMint-NO_2011-06-16.ana.ud1149e151	On behalf of the representatives of Sonja Irene Sjøli, Michael Tetzschner and the undersigned, I would like to make a proposal for a representative to strengthen patients' rights in setting the time limit for treatment and in the event of a breach of the treatment deadline.
ParlaMint-NO_2011-06-16.ana.ud1149e156	The representative, Olemic Thommess, will present two proposals for representatives.
ParlaMint-NO_2011-06-16.ana.ud1149e159	On behalf of the representatives Ib Thomsen, Øyvind Håbreek, Trine Skei Grande and myself, I would like to make a proposal for digital communication from theatre and music institutions. In addition, on behalf of the representative Svein Flötten and myself, I would like to make a proposal on the investigation of the grounds for the clearance of copyright from other countries, cross-territorial clearance.
ParlaMint-NO_2011-06-16.ana.ud1149e166	The representative, Anders Anundsen, will put forward a proposal for a representative.
ParlaMint-NO_2011-06-16.ana.ud1149e169	It is an unusually great pleasure and honour to promote a proposal for a representative on behalf of the representatives of Martin Kolberg, Per Olaf Lundteigen, Per-Kristian Foss, Hans Olav Syversen, Hallgeir H. Langeland, Trine Skei Grande and myself to repeal Section 7, second paragraph of the Act on the Ombudsman of the Storting for the administration in order to ensure the Civil Ombudsman's access to the administrative file as well as some other corrections.
ParlaMint-NO_2011-06-16.ana.ud1149e174	The representative, Robert Eriksson, will put forward a proposal for a representative.
ParlaMint-NO_2011-06-16.ana.ud1149e177	I am pleased, on behalf of the representatives of Laila Marie Reiertsen, Vigdis Giltun, Tord Lien and myself, to present a proposal for a representative to amend the regulation on labour market measures – the removal of individual benefits.
ParlaMint-NO_2011-06-16.ana.ud1149e183	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will inform you that the meeting will continue beyond 1 p.m. 16 until the current map has been completed.
ParlaMint-NO_2011-06-16.ana.ud1149e199	This is not the most lucid of all that the Storting is discussing, but the more important it is. So I just want to, on behalf of the committee, say some words. To take the first step: the national accounts are the annual accounts of the country's income and expenditure in the previous year. The accounts consist of two parts, appropriations and capital accounts. The accounts of appropriations include the items allocated to the State budget. It provides the basis for monitoring that the decision to grant the Trustee in this room is followed up by the central government. The capital account provides an overview of the country's assets, liabilities and cash stocks. There is little doubt that the financial statements for 2010 are comprehensive, as they are every year. The material is definitely not readily available and can be perceived as quite detailed and technical. Nevertheless, fortunately, it is a unanimous committee which supports the suspension of the notification. So I'm just going to make a few short additional comments. The oil-corrected government deficit for 2010 was 104.1 billion. kr. That's $5.3 billion. kr lower than in the newly aged budget, adopted in December 2010. The tax revenue was about 4 billion. kr higher than in the newly aged budget. Other increases in revenue included total revenue amounted to 7.4 billion. kr higher, while the cost was 2.1 billion. kr higher than in the newly aged budget. If we go on to the money we have on the book, we see that the book value of the state pension fund abroad increased by almost an incredible 439 billion. kr, from 2642 billion. NOK at the end of 2009 to nearly SEK 3,081 billion. kr at the end of 2010. The surplus increased the value of the fund by 252 billion. kr, while the net price gain increased the fund by more than 166 billion. kr. The capital injection in the liquidation of the State Petroleum Insurance Fund increased the capital of the Fund by nearly 20 billion. kr. These are quite inconceivable sizes that we handle through the State pension fund abroad, which will be dealt with in our own case just after we have completed the state accounts in the hall. But it's not just SPU that does it well. SPN — i.e. the domestic part of the pension fund — has also gained increased income. From the end of 2009 until the end of 2010, the capital of the State pension fund in Norway increased by nearly 18 billion. kr, from 117 b.w. to 135 B.C.E. kr. The change comes from net interest income and dividends of SEK 4.4 billion. kr and a total gain on share and interest rate positions of SEK 13,4 billion. kr. That was the numbers. There are large sizes we handle, and the numbers show us first and foremost how wonderfully privileged we are to be citizens of a country that has such government finances. Together with our combined work, it is the vast wealth of oil and gas that has enabled us to be in a completely different position, and to have a completely different development in wealth than many other countries. When, in addition, the aftermath of the financial crisis and the consequences of record debt in many countries continue to hit these countries very hard, it is only to note that we are once again in a situation we should be happy for at home, and we should be grateful for that. Thanks to both the oil money and the fact that we are very good at standing on and working – many are on and doing a fantastic job every day, and many are working – we get significant income, as the accounts here show, the community benefits. But this wealth also requires that we take responsibility, that we manage the values well, so that future generations too can enjoy them. Such a fortune does not come – and does not remain great – but it does matter how we deal, among other things. Here at the Stortinget. It is therefore gratifying that there is a broad majority in the Storting that wants to set aside a significant surplus in the accounts and transfer it to the State pension fund abroad every year, also for the year we are now dealing with. We must ensure that the extra resources we receive, including: from the oil, is not phased into the economy at such a rate that the economy is over. Our now large fund is the result of political elections over quite a long time. But finally, back to the numbers. I mentioned that the tax and tax revenues were about 4 billion. kr higher than in the newly aged budget. This suggests that things are going better – yes, actually good – in Norway. People are at work, and companies run well. Due to the financial crisis, the tax revenue from enterprises was expected to fall, but also these revenues have increased in 2009. In fact, tax receipts from entities have been affected to an unexpected extent little by the financial crisis and the international setback. It is good for the income of the community and the state, and it is also a result of a number of policy choices over a long period of time. Prosperity and income do not come of their own. The figures from the national accounts show the results of a successful policy. With this, I'm going to present the setting.
ParlaMint-NO_2011-06-16.ana.ud1149e231	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 4997]]
ParlaMint-NO_2011-06-16.ana.ud1149e247	At the request of the Financial Committee, the President will propose that the debate be limited to 1 hour and 10 minutes and that speaking time be allocated as follows: Working Party 25 minutes, Progress Party 15 minutes, Right 10 minutes, Socialist Left Party, Center Party, Christian People's Party and Left 5 minutes each. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies after contributions by a member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
