ParlaMint-NO_2011-01-19.ana.ud2356e26	The representative, Dagrun Eriksen, will present a proposal for a representative.
ParlaMint-NO_2011-01-19.ana.ud2356e29	On behalf of Kjell Ingolf Ropstad, Geir Jørgen Bekkevold, Rigmor Andersen Eide and myself, I am pleased to make a proposal for a representative to introduce a bully in all the counties of the country.
ParlaMint-NO_2011-01-19.ana.ud2356e34	The representative, Mr Träldal, will present a proposal for a representative.
ParlaMint-NO_2011-01-19.ana.ud2356e37	On behalf of Harald T. Nesvik, Per Roar Bredvold, Per-Willy Amundsen, Jan-Henrik Fredriksen and myself, I would like to put forward a proposal for an independent review committee to review support and grant schemes and compensation schemes for the reindeer industry.
ParlaMint-NO_2011-01-19.ana.ud2356e42	The representative, Mazyar Keshvari, will present a proposal for a representative.
ParlaMint-NO_2011-01-19.ana.ud2356e45	I wish, on behalf of the representatives of Morten Höglund, Karin S. Woldseth, Kari Storstrand and myself, to present a proposal for a representative to tighten up the sanctions regime against Iran.
ParlaMint-NO_2011-01-19.ana.ud2356e50	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will propose that case No. 3, Unit, to be dealt with before case No. 1st@item: inlistbox – It shall be deemed to have been adopted.
ParlaMint-NO_2011-01-19.ana.ud2356e148	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, which is obvious to more than the President, and we are ready to start the oral questioning process. The representatives who, in addition to the pre-announced ones, want to ask themselves the main questions – those who have stood up do not seem to have the purpose. We start with the first main questions, from the representative Per Sandberg.
ParlaMint-NO_2011-01-19.ana.ud2356e157	The question arises – there are not so many to choose from – the Prime Minister. I would like to open up a little praise to the Prime Minister and the Labour Party, who, despite a violent pressure from the press, the media, partners in the government and many organisations, insist that there should be equality between the law and that illegal immigrants should be sent out of Norway. Having said that, I will not pay much attention to the one matter that has received so much attention, but be a little general and think a little ahead. The last week’s debate has revealed the outcome of Norwegian immigration policy in the last 10–15 years. It has also revealed major shortcomings and large gaps in the 2008 Foreign Affairs Act. We see that under false ID or missing ID you can take high-level education, access to social security, access to public services, see extensive undeclared work and organised crime, and you record a large-scale counter-work by many groups in Norwegian society on public Norwegian immigration policy. There is virtually no control over in and out of our asylum recipients, not at all over what is called decentralised asylum recipients, where asylum seekers with a missing ID or false ID live in society in general. We have a situation that has arisen in the last two days, where hundreds of children disappear from institutions, and no one knows where they have gone. This testifies to the fact that we have an asylum and integration policy which, unfortunately, is out of control. My question to the Prime Minister is: What does the government do in the future to close these gaps and get a decent and proper asylum and immigration policy?
ParlaMint-NO_2011-01-19.ana.ud2356e168	I agree with the representative Sandberg that the discussion we have had in the last few days gives us the opportunity to discuss a little general and a bit of Norwegian asylum and immigration policy – and I think that is an important and good debate, because it is a major and important social issue. The government's asylum policy is based on two basic principles. One is that people who have been persecuted should receive asylum and stay in the country. The second is that everyone should have an individual assessment. We are concerned about that, because if you need protection or there are strong humanitarian reasons to be here, you should be allowed to be here. The case in question, which has been very advanced, has just been subject to extensive individual assessment — both in 2003, twice in the UDI, in 2004, twice in the Foreign Affairs Department, and again now, in 2010 and 2011. In addition, the case has been tried by a Norwegian court, the district court. So individual assessment and assessment of protection needs and the existence of strong humanitarian reasons are crucial. If you meet those requirements, you're going to get to be. But if you don't meet those requirements, you can't expect to stay, and then you have to get out. And the best thing is if people leave voluntarily, but we also know that some people have to be forced to return. That government is very concerned about controlling asylum policy is that we succeed in the return policy. That's why we've stepped up the number of returns: 4,600 forced returns last year. Each of the people who were forced to return from Norway is a human being, is a dramatic story, and I am absolutely sure that if we had met that human being, it would have come to mind that the human being is being sent out of Norway. But there's a broad majority in Stortinget that stands behind a policy where we have to say no to someone in order to be able to say yes to others and take care of them.
ParlaMint-NO_2011-01-19.ana.ud2356e177	I just have to thank you for the answer, and I have to say that I again agree with the Prime Minister. I do not think there is a country where the legal security of refugees and asylum seekers is as well maintained as in Norway. Perhaps it is, paradoxically, one of the challenges we have when we get the type of long trial period, and that people stay from five to eleven years in Norwegian reception. Despite the fact that the government has sent out several illegal immigrants, an increasing number of illegal immigrants live in Norway. I note that the Prime Minister does not express what one wants to do in the future, so I would at least specifically ask the Prime Minister for one action. In the past, the Department of Foreign Affairs of the police had a separate group that researched and picked up illegal immigrants. This group is closed. Is it perhaps right now, when it is claimed that there are perhaps 18 000 illegal immigrants in Norway, to restore this group?
