ParlaMint-NO_2011-05-05.ana.ud1933e53	The representative of Mr Morten Ørsal Johansen will put forward a proposal for a representative.
ParlaMint-NO_2011-05-05.ana.ud1933e56	On behalf of Hans Frode Kielland Asmyhr, Per Sandberg, Åse Michaelsen, Anders Anundsen and myself, I am delighted to make a proposal to amend the Court Act.
ParlaMint-NO_2011-05-05.ana.ud1933e61	The representative, Solvency Horne, will present a proposal for a representative.
ParlaMint-NO_2011-05-05.ana.ud1933e64	On behalf of the major representatives of Øyvind Korsberg, Ib Thomsen and the undersigned, I would like to make a proposal for a new key for distribution of the tipping agents.
ParlaMint-NO_2011-05-05.ana.ud1933e69	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2011-05-05.ana.ud1933e83	At the request of the Judicial Committee, the President will propose that the debate be limited to 1 hour and 30 minutes and that speaking time be allocated as follows: Working Party 35 minutes, Progress Party 20 minutes, Right 15 minutes, Socialist Left Party 5 minutes, Center Party 5 minutes, Christian People's Party 5 minutes and Left 5 minutes. Furthermore, the President will propose to give rise to a change of lines of up to three lines, with replies from the main speakers of each group and up to five lines, with replies from the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. It shall be deemed to have been adopted.
ParlaMint-NO_2011-05-05.ana.ud1933e94	Today, the Justice Committee has a happy message to deliver to the Stortinget. We've had excellent cooperation on an attitude about organized crime, where the Storting gathers around most of it. It gives greater impact to increase the strength of the fight against organised crime. It's not about spontaneous acts that can be carried out in rushes, jealousy, etc., but it's about planned, cynical crime carried out by networks that often have money and power as a goal. We know some of these environments in Norway, which have been followed for a long time. I can mention the MCs – or what is called the one percent gang among the MC criminals – the A and B gangs and the Young Guns in Oslo and various other specific groupings. But we have also seen in recent years that there are new environments, especially in the area of economic crime – new groups that cross borders, i.e. mobile profit-criminals, other international criminal environments. There may be people who have illegal residence that cross borders, which we have more difficulty in getting an overview of how organised crime is conducted. What we can say, however, is that there are some new developments in organized crime. First, they're looking more systematically for where it's most profitable, with the lowest risk, and where it's easiest to jump over the fence. I believe that we will therefore also see fewer of the type of NOKAS-ran – of the kind of extensive, demanding and risky actions – in the future as well as ever new, other forms of crime. In particular – as we have seen in the Committee’s work – they target new, diverse forms of financial crime, different forms of data/ cybercrime, but we also see the renewal and professionalisation of known forms of crime, such as trafficking in human beings, drug trafficking, extortion, etc. What is also a special feature is that organised crime is becoming more and more international — crossing borders — not just having a local foothold. One last feature that I would also like to stress is that in crime, whether it operates within new worlds, within cybercrime and within economic crime, there are still strong threat images, extreme use of violence and reprisals, at the bottom to achieve a purpose. Because this threat picture is so strong, it's important to look at how we can best attack, best to repel, the organized crime. At that time, the Committee has placed a great deal of emphasis on the very objective of crime, namely the economic benefit – the economic part of crime – because it is easier to find concrete things to deal with, without being dependent on witnesses, etc. Organized economic crime has in common that the money, generally at least, has to be laundered in order to make use of it. The Committee has focused on many of the new channels for money laundering. It's all about everything from the securities market, property investments and the restaurant business to client accounts, where we see that Skattenkrim has shown that only from seven large law firms have gone 7.5 billion. kr to and from tax havens of one year or two. We see that tax crime is evolving. We also see that when you get hold of a little tab, you can often make up big issues if you take these financial crime issues seriously. For example, the taxi business taxi business is a big deal in this way. And we see that there are new actors. The Communication mentions the “Aker Brygge” environment, which is a specialist and expert in carrying out the type of money laundering, fraud, organising loans in black markets and also operating as investors in stock markets and property markets, etc. in this grey zone. We have also seen that cheaters develop environments on the inside of financial institutions, which can assist in their implementation. Among other things, in the Nordea case, we have seen a strong example of the use of cheating servants. We see that Ecocrim and others are facing very strong resources when they try to bring these cases to justice, and we see that we need new methods to develop evidence. The method that Ecocrim has now used is called the ASK system, a system to organise what is given tips about suspicious transactions from banks, the stock exchange and financial corporations. It's a legal obligation to report suspicious transactions, but we see that some of the financial institutions, like brokers or law firms, give very little tips to Ecocrim about this kind of transaction so that you can track the tracks. We see that, within this type of economic crime, the storage of traffic data will be of great importance because, for example, when researching traffic data is to be carried out. insider dealing, there are only actual tracks related to communication with which you can provide advice on insider dealing. The Committee would also like to address legislative changes to the legislation on withdrawal. We want the rules of withdrawal to start running after the penalty has been measured, so that you can't spend long sentences just sitting and counting on getting out the money you've hidden away. Today's withdrawal time is five years, and in exceptional cases 10 years. We want to change the rules on client access – the possibilities of transparency for tax authorities in the client accounts of law firms – in order not to be one-sided black holes to hide away money, and we want to change the obligation of professional secrecy in order to achieve better cooperation between all the controls to pursue these economic tracks. Data crime is also the starting point of the Committee's new proposals, which are also included in the Communication, on how to attack the new data crime, which takes many forms – and new forms almost monthly or yearly – in terms of how to steal identity, how to obtain bank account information, how to implement frauds, skimmings, etc. Only in the case of shimmering crimes have you calculated that you make at least 300 million. kr in Norway per year. Data crime is also used to develop new forms of old crime in drug trafficking, trafficking in human beings, building hallucinogenic sites, terrorist recruitment, spreading child pornography, and everything the Storting knows. There is also a great danger – as we have seen examples – that cybercrime is being used to attack infrastructure and financial institutions in a very serious way. The Committee points to the need for better coordination and greater strength in this work and has drawn up a note on the establishment of a national cyber centre and the establishment of an advisory group against the Ministry of Justice and the Directorate of Police on cybercrime. The Progress Party also supports proposals to this effect. I would like to make a pious wish that the Progress Party will re-submit those proposals for transmission proposals, because we have written together about it in the vote. We also have a strong focus on how to impose stricter penalties on serious organised crime, and will therefore amend Section 60a, the so-called organised crime paragraph, so that it can cover more of what is actually organised crime, but which has more flexible organisational forms today than the hierarchical structure required to practice this law. We also want to protect informants better, so that they can be sure of what will be included in the case's documents, what the counterparty should be transparent about, what they can give of tips to the police without risking life or strong reprisals, that information that is not used for evidence and that can be delimited as to what the counterparty is given access to. There are many other big questions that we'll get back to in the debate. This is how police resources are coordinated through an enhanced coordination body, through the creation of intervention forces. There are slightly different views within the Committee on how to build it up, and how to change the police measurement criteria to work better against organised crime, etc. But all in all, we have a positive and strong common attitude.
ParlaMint-NO_2011-05-05.ana.ud1933e136	It'll give rise to a line change.
ParlaMint-NO_2011-05-05.ana.ud1933e139	The new organised crime requires a number of new competences in the police. Then it is important that you start thinking about new things in the recruitment work, and that you look at recruiting in professional environments that the police need, for example. economists, auditors, engineers, etc. Then there's an opportunity to give the floor an acute competence. The police can then train people and give them a training course that is adapted to the job they are going to do, so that after a relatively short period of time they get into service. Is the Labour Party prepared to participate in such recruitment work within the police?
ParlaMint-NO_2011-05-05.ana.ud1933e146	Yes, to the most extent. In 2009, we have worked exceptionally 440 new civilians. We have set up a course at the Police College to give them competence in how to operate within the police, and so that they can also be assigned limited police authorities. We have made a plan for the police towards 2020 where there will be 1000 new ones with civil competence in the police, so I agree that there will be a comprehensive effort. This initiative – the plan put forward towards 2020 in relation to the Jafs we have already taken with regard to the objective – may well be stepped up, and we can do more when we see the great need, especially in the area I was very concerned about now, data crime and economic crime, where we just need the kind of competence that the questioner mentions.
ParlaMint-NO_2011-05-05.ana.ud1933e151	The case rapporteur gave a good review of the case, insofar as 10 minutes is sufficient at all to present such a comprehensive case. I understand that time can be scarce. One of the key actions of the strategies put forward in the Single European Act is precisely to coordinate public action and also to contribute to the role of business in combating organised crime. The situation is that we have a great deal of competence and knowledge in the public sector — in the justice sector — but we need to coordinate it better in order to solve the problems and win the fight against organised crime. Then also the anchoring of the strategies we adopt by Stortinget with this big message will be important. Then is my question to the case rapporteur: What are his thoughts about how to achieve the coordination and the anchoring needed to translate the strategy into practice?
