ParlaMint-NO_2011-12-16.ana.ud856e63	The representative, Robert Eriksson, will put forward a proposal for a representative.
ParlaMint-NO_2011-12-16.ana.ud856e66	On behalf of the representatives of Laila Marie Reiertsen, Per Arne Olsen and myself, I am delighted to propose an extension of the sick pay scheme for cancer patients and access to a flexible health pay scheme – amendment to Law 28 February 1997 No. 19 on popular fear.
ParlaMint-NO_2011-12-16.ana.ud856e71	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2011-12-16.ana.ud856e85	The representative of Øyvind Halleraker has asked for the floor to deal with the matter.
ParlaMint-NO_2011-12-16.ana.ud856e88	I will go to the relatively unusual step for us in the Right – and for me personally too – to ask that this matter be postponed and sent back to the Committee. I'll just briefly explain the reason. After delivery, we believe that there has been so much in the case that we feel uncertain whether the setting is correct in relation to the many uncertainties that have arisen. The economy, the plan assumptions, the other forms involved, and environmental assumptions are also involved. All in all, this should be enough to take a new round on the matter in the committee.
ParlaMint-NO_2011-12-16.ana.ud856e95	What Halleraker here says is to consider a postponement proposal. This means that the President will decide on a short round to discuss the proposal for a postponement, before we possibly go to reality and adopt a debate. The President asks that those who have asked for the floor now only deal with the question of whether or not the matter should be postponed. That means the president won't use the already recorded roster. The representative Anne Marit Bjørnflaten has asked for the floor for the postponement proposal.
ParlaMint-NO_2011-12-16.ana.ud856e102	The Labour Party, SV and the Centre Party oppose a postponement of this case. We believe it is thoroughly illuminated, first through a comprehensive municipal and county planning process, then through a joint plan for E6 and Dovrebanen, where both the State Road Administration and the Railway Agency participated in a cooperation. A draft selection study was carried out for the Railway Agency’s project and, on the basis of this, it was decided to carry out the further planning process as a pilot project, both of which cooperate. Planning this project started in the spring of 2001 and has now taken more than 10 years. Relevant issues have been fully addressed in this process, both locally, regionally and nationally, not least as a result of discussions with municipalities and other stakeholders on trajectory choices. A number of questions have also been answered by the Ministry of Transport when the matter has now been before the Committee. We therefore believe that the case has been the subject of a thorough discussion, that it has been adequately illuminated, and that it is completely appropriate to deal with it today. On this basis, we oppose a postponement of the case.
ParlaMint-NO_2011-12-16.ana.ud856e113	First, I'm a little unsure about who's behind the proposal. Is it just right, or is the other one too? The proposal has not yet been put to the table of the representatives. I have to say that I am a little surprised at the proposal that is now being promoted in order to put the matter at risk, after the committee has given its opinion. With a few exceptions, everything that has emerged in the media in recent days has been well known to those members of the Committee who have wanted to meet with actors who have wanted to inform about some of the issues that have been revealed in recent days, including: Norsk Bane. The last few days' media pressure from Today's Business, Hedmark Arbeiderblad and the Romanesque Blade make, as far as I'm aware, that the two parties of the Christian People's Party and the Right are desperately trying to get out of the situation they themselves have been in. What's too bad about the proposal they're making today is that it's like hitting a blow in the middle of the loose air. The government parties will vote against the proposal – we have already heard that – but if the same parties had taken this up in the committee before the case was given last Thursday, the matter could have been postponed, because then the parties Christian People's Party, Right and Advance Party had a majority in the committee. Now it's just going to be a symbolic blow in the loose air. We do not want to contribute to the postponement of the road development of the E6, so I ask the representatives of the Progress Party to vote against the postponement proposal and also ask that everyone support our proposals on the matter, which will come later.
ParlaMint-NO_2011-12-16.ana.ud856e122	I cannot undertake to speak on behalf of the entire Hedemark bench, but I feel absolutely sure that so to say the entire Hedemark bench is very concerned that this matter should be dealt with quickly. We're pleased that we finally got a proposition for the Stortinget, where we have a joint project between rail and road. There have been very thorough processes, many laps locally in local government, in county councils, and all sides have been illuminated. There has been a powerful debate, and then a conclusion has been drawn. For our country, it is extremely important to be able to make progress in this project. Installations are already in progress, and we see no reason to wait. As the county representatives, we are pleased that the matter is being discussed today.
ParlaMint-NO_2011-12-16.ana.ud856e131	Then the President may choose to interpret this as a explanation of vote on behalf of the Central Party, not just the representatives of Hedmark!
ParlaMint-NO_2011-12-16.ana.ud856e134	There has been considerable and good work in this matter in the Committee's proceedings. A lot of questions have been asked, and in the setting that leads there are also significant critical comments, although the Right Party and the Christian People's Party support the setting according to the Committee's work. What is serious, however, is that much more information has been made available after the Committee has completed its work. It is not correct for the representative of Hoksrud to say that this information has been known in advance. I believe that both the Right Party and the Christian People's Party have met with the various actors, but there has been information related to quality assurance work and processes around what was not known. There are also environmental and cost aspects that have emerged in retrospect. Therefore, the Christian People's Party will support the proposal from the Right that we postpone the matter. This case has taken a long time, but it is the government's treatment that has taken a very long time. The Christian People's Party had believed, with the long-standing government, that they had done a better and more thorough job, and that the quality assurance had been done. That is why I support the proposals of the Right.
ParlaMint-NO_2011-12-16.ana.ud856e143	I would just like to say that the Left also supports this postponement proposal, with the same justification that the chairman of the Committee has now given. I'm not on the Transport Committee during this period. I was sitting there in the last period. My first concern I sent back in 2006. I will get closer to it in the main post, when we start to deal with the matter. The left supports this postponement proposal.
ParlaMint-NO_2011-12-16.ana.ud856e152	Several have not asked for the word to comment on the postponement proposal. Only for the sake of the protocol, so that the President has understood correctly: the representative Halleraker put forward the proposal on behalf of the Right, and it receives the support of the Christian People's Party and the Left parties. - That's all right. Then we're ready to go to voting. A proposal has been put forward by Mr Halleraker, on behalf of the Right, to deal with case No. 1 is deferred. This will mean that the matter will be referred back to the committee. Representatives of the three government parties and the Progress Party will vote against the postponement proposal.
ParlaMint-NO_2011-12-16.ana.ud856e174	The proposal has fallen, and we are ready to deal with the matter in substance. The President then goes on in the debate. At the request of the Committee, the President will propose that speaking time be limited to 40 minutes and allocated up to 5 minutes to each party and up to 5 minutes to the member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies after contributions by a member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2011-12-16.ana.ud856e185	I think I would like to start by stressing that in this article I am dealing with the matter as it exists from the Committee. The joint project E6 Minnesund-Skaberud and Dovrebanen Langset-Kleverud is finally to be discussed in this room. E6 Gardermoen–Colomoen in Akershus and Hedmark is mentioned in National Transport Plans 2006–2015 and 2010–2019. The first part of the route was opened in 2009 and the second stage was opened on 7 November this year. The road project Dal–Minnesund, 19 new kilometres on E6, was built at a speed of 800 m per month – as far as I know, the fastest road development we have had in Norway, and at a lower price than estimated. The continuous motorway, which up to a few years ago went from Oslo to the Gardermoen, now extends ever further northward. The E6-Dovreban Joint Project is an extension that is even safer and provides more efficient transport between north and south in the country. Construction will start in the spring of 2012 and E6 will be opened for traffic in the autumn of 2014, while the double track will be completed in 2015. Such a development, at the same time as a joint project, has many advantages. This means cost saving, plant simplification and minimisation of traffic and environmental disadvantages during the construction period. With the solution chosen, it is possible to use excess mass from E6 to fill the Dovre track, which on the same route has a significant mass loss, while strengthening cooperation between the Road Administration and the Railway Works. The joint project is one of the largest transport projects in Norwegian history. I cannot present a unanimous opinion from the Committee on this matter. Nor are there unanimity in the comments, but the majority in the Committee, i.e. The Workers' Party, the Centre Party, the Socialist Left Party, the Right Party and the Christian People's Party are pleased that the development of road and rail are coordinated on this route along Mjösa. This majority advises Stortinget to support the option. The Progress Party has its own proposals, which they will probably explain, and one of the proposals is to postpone the matter. I just want to stress that the majority – that is, all the other parties – does not support a postponement, with the many unfortunate consequences it will have. As with most new road and rail projects, there have been different views and difficult balances in this case. When the local authority plan for the route was established by the Ministry of the Environment in February 2009, extensive discussions took place on issues such as: trachea and tampering. This led to a better solution, which takes into account good access, good landscape adjustment and refurbishment of the beach zone, and will make the sandy beaches more accessible to the public. The old railway track shall be converted to the pedestrian and cycle path and shall be part of a continuous cycle path around Mjösa. The majority of the Committee, which in this case is likely to represent the minority of the Grand Duchy, is still not satisfied with the electoral process and will certainly justify it in the further debate. At the same time, only the Progress Party will postpone the major joint project. So there's a broad consensus about starting the project. The development of double tracks between Eidsvoll and Hamar on the Dovrebanen is part of the current NTP, and the route Langset-Kleverud along Mjösa is within the first period. So the project is now being implemented as we planned in NTP. Time-consuming planning processes have long been a central theme of the public debate and there would have significant implications for the progress of overall development if the route were to be re-examined and, if necessary, changed. The size was familiar with the common planning process and the pathway for the treatment of NTP. The working party, SV and the Centre party are satisfied that the government specifies that the line south of Langset and north of Kleverud is now to be re-assessed, with a view to increasing the speed to 250 km/h or more. Increased speed for the other sections will affect the travel time and the competitiveness of any new high-speed offer. The Eidsvoll-Hamar project thus represents a turning point for the high-speed standard on Norwegian rail. Eidsvoll municipality has plans for large growth in the coming years and as part of the expansion project, the area for a future train stop on Langset/Minnesund is being developed. I recommend with this majority position in the case.
ParlaMint-NO_2011-12-16.ana.ud856e217	Today, we are going to make an important and major decision on the development of E6 from Minnesund to Creatorud and Dovrebanen from Langset to Kleverud. With regard to the development of E6, there is no disagreement that this is very important to get in place as quickly as possible. The Progress Party therefore supports the development of E6 100 pst., but we want government funding without tolls. I wish the government had done a good and thorough job of planning the Langset-Kleverud route, too, so that we could support this part of the project. The progress party believes that it is very important to build a real double track in the entire intercity triangle. Unfortunately, several essential questions have arisen about the railway part of the project, which means that we cannot support it. One question is why a proper investigation of a trasé that, according to Deutsche Bahn, is both cheaper and leads to less extensive natural interventions. Another question is why the Minister for Transport chose to stop the quality assurance report, which is important to ensure that the costs of the project are correct. There is one more thing that strikes me when I read the position of the committee, and that is that the majority – from Right to SV – is going in to launch a railway project with irresponsible planning and quality assurance, uncertain cost frameworks and huge environmental damage in the beach zone along Mjøsa. It's a paradox that the parties that are in favour of this like to think of themselves as both champions of economic accountability and environmental champions. Here the majority gives the bluff both in the economy and in the environment. This will appear to be one of the worst ravines of time on the shoreline at the largest lake in the country, and this happens with the government's blessing. I have registered that former representative Heidi Sørensen from SV has stated that this needs to be stopped, and I have also seen small indications of dissatisfaction with the entire process from the representative Langeland. However, nothing has come out of it. Although our two parties are usually far apart from each other politically, I believe that SV should be extremely disappointed to have taken such a weak stand in such an important environmental matter. In this case, I think there is a majority against the expansion, but that someone does not dare stand up and vote for what they think. On the contrary, the Right and Christian People's Party are trying to play on two horses. The right and Christian People's Party stands in this case together with the Advance Party on very critical comments about the project, but at the same time goes along with the left side about going in to start the construction, even though the Right and Christian People's Party have now suddenly found out that supporting the government is not so smart, and that they are now making a proposal to send the matter back to the government for new treatment. In this way, the Right Party and the Christian People's Party have now sanctified themselves against future criticisms related to overcosts and construction problems, while today they will try to beat themselves on the chest and say that they showed the power of action. So they're trying to seem to agree with everyone – or nobody, if you want. The cost has increased from 6.9 billion. kr in 2008, in August 2011. kr and in November 2011 it has increased by a new 1 billion. kr – to 10 brd. kr. The railway works now say that they really don't know exactly what the costs are going to be. Then it seems quite wild to vote for that part of the project that you do not know the consequences of today. It's like stabbing your head in the sand and hoping it's going well in the end. It is sad to see that the majority chooses such a lewd attitude towards taxpayers’ money in order to build a poor trasé, which is little forward-looking, and which will help to ensure that the speed of a new train route will be well down to 130 km/h – and we are talking about a high speed of more than 250 km/h. With regard to the road, the uncertainty is much smaller and the environmental intervention is much smaller, so we wholeheartedly support this to extend as quickly as possible, without delay. The proposal to have a new proposal for a railway line shall not delay the development of the road. It is important that the road is developed as quickly and efficiently as possible because the route is already heavily damaged. Finally, I want to say that I have a great deal of compassion for all the taxpayers, who have to pay a bill with blank cheques to finance a bad railway network, which will be a major intervention in the environment, and which I think the majority are actually opposed. I refer to the proposal of the Advance Party in the matter.
ParlaMint-NO_2011-12-16.ana.ud856e243	The representative, Mr. Bård Hoksrud, has taken up the proposals he mentioned.
