ParlaMint-NO_2011-11-23.ana.ud1456e26	The representative Anne Tingelstad Wøien, who has been licensed, has once again taken the seat.
ParlaMint-NO_2011-11-23.ana.ud1456e41	On Monday the Stortinge received a message from the Prime Minister's office saying that Minister of Foreign Affairs Jonas Gahr Støre and the government councils Magnhild Meltveit Kleppa and Tora Aasland will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We then start with the first main questions, from the representative, Siv Jensen.
ParlaMint-NO_2011-11-23.ana.ud1456e48	I have a question for Jonas Gahr Støre. Yesterday we could hear both the Party Secretary of the Workers' Party, Raymond Johansen, and the head of the AUF, Eskil Pedersen, come with more powerful results against the Progress Party. There were allegations of right-wing populists with gruesome attitudes, there were allegations that for some reason the Progress Party abused freedom of expression when we took part in the political change of words in Norway, there were allegations that we contributed to a hateful debate, because for many years we have been putting the spotlight on the challenges of Norwegian immigration and asylum policy, and there was even an underlying claim that we almost shared the terrorist's positions of 22 July. These are serious allegations from the country's largest government party. Jonas Gahr Støre has – from time to time at least – been concerned with freedom of speech. He was somewhat more evasive in the caricature struggle, but has been considerably clearer lately. In addition, he has chaired the Workers' Party's Inclusion Committee, which presented 99 proposals, of which very few – if any – have been adopted policy, but many of the proposals made by the selection of the Støre were to be confused with those of the Progress Party. I have some questions for Gahr Støre: Is it that Norway's asylum and integration challenges have suddenly disappeared, or is it still a job to do in this field? Is it the Workers' Party that now has the power to define freedom of expression? Is it possible, according to Støre, to refer to the Progress Party in this way? And finally, does Støre agree with the characteristics of his party traps of the Advance Party?
ParlaMint-NO_2011-11-23.ana.ud1456e61	The President will recall that it is Minister of Foreign Affairs Jonas Gahr Støre who is present and is given the opportunity to respond to foreign policy implications in the subject.
ParlaMint-NO_2011-11-23.ana.ud1456e67	This was a contrasting article. I want to be the first to defend the fundamental position of freedom of expression in our country, in our democracy in general, and in the time we live in now, especially. If you're a defender of freedom of speech, we need to have a debate on what happened in July, we need to have a debate on all sides of it in an open way, and it can sometimes hurt. I have not heard anything from the two people the representative Jensen mentions, which I believe falls outside a sun-clear freedom of expression to problematize and put the search light on relationships around what happened there. They get, with respect, to report, even argue with the representative Jensen if she so wishes. No one has held the Progress Party responsible for the terrible thing that happened. No one, I confess, has made a point that the assumed culprit until a few years before was a member of that party. What has been highlighted is the responsibility we have for the attitudes we take when we feel something about important issues in society – including diverse Norway, including integration policy. Let me answer very briefly. Has everything been done with regard to asylum and integration policy in Norway? No, no, no. Has there been major progress in the management of asylum policy? Yes. Do we have a good starting point for good integration policies in Norway? I mean that too. Does the Workers' Party have the power of definition in this question? Of course not, the power of definition lies in the wide diversity of opinions and attitudes. But I believe that the Progress Party should look through – as the representative Jensen, I understand, has said – part of the track, part of the statements that have been made in this debate, among others. about group thinking and quotes as ‘all Muslims are not terrorists, but all terrorists are Muslims’. That statement was brought forward again after July 22nd and is an example of attitudes that I believe the Progress Party must tolerate taking criticism of. It is part of the democratic change of words that the two leading representatives of the Workers' Party made and that they also made yesterday.
ParlaMint-NO_2011-11-23.ana.ud1456e78	Gahr Støre fails to answer the questions concerning his own party's participation in this debate. I fully agree that we should turn all the stones and have a broad debate on how to deal with crime. Anyone who commits criminal acts in Norway must be punished for it and must pay for it. There's no doubt about it. At the same time, in a situation of considerable challenges, we are still in the policy that the Labour Party must take responsibility for over the last 20–30–40 years as regards the development of Norwegian asylum and immigration policies. Gahr Støre himself headed for it through the Integrating Committee, which I see has not succeeded so far in getting special impact on the government, it is possible it was an attempt at double communication. However, I repeat my question: Is Gahr Støre in agreement with his party traps, namely the party secretary and the AUF leader, in the way they have now chosen to describe the Progress Party?
ParlaMint-NO_2011-11-23.ana.ud1456e83	I repeat that they themselves have to take the debate with Siv Jensen. I haven't heard all they said. Essentially, I think they had a very good basis for what I have read and been reported. But here we see again, and I allow myself to say that, a mixture of many relationships. It is as if the Progress Party is the victim of the debate we have after 22 July – very strange. It is as if the issue of what happened in July is mixed up with the fact that we still have significant challenges in integration policy. It's a problematic combination of arguments, which would almost mean that because we have those problems, we can explain what happened on July 22nd. Then we stumble near the ends that I think it tastes suspicious of. Yes, we have challenges. Many of the proposals we adopted at the National Labour Party meeting are being followed up in government policy, and will be further worked on. These are policies that need to be shaped over a longer period of time. But I think it is strange that we should be strong supporters of freedom of expression, while the Progress Party is far ahead and says that they are now being treated unfairly in the open change of words that democracy Norway has.
ParlaMint-NO_2011-11-23.ana.ud1456e92	Three follow-up questions will be raised – first Per Sandberg.
ParlaMint-NO_2011-11-23.ana.ud1456e95	Let me first just make it clear that there is no one trying to play victim here. If there's anyone who has played the victim after July 22, it's to those degrees of the Workers' Party, and so should they, because they were one of the great victims. And that is what the Labour Party has now obviously put on a strategy – to continue this debate by attacking the Progress Party. We shall stand up and take this debate, but I would like to challenge the Minister for Foreign Affairs, because the Minister for Foreign Affairs has also been outside and considered some of the representatives of the Progress Party to be hateful and malicious. I would like to ask the Minister for Foreign Affairs for help: if words lead to action, as the Minister for Foreign Affairs has also suggested, is it such that words from the Advance Party can lead to action, but not words from the Workers' Party – when the Workers' Party talks about Islam, when the Workers' Party calls Muslim leaders dark men, when the Workers' Party is opposed to burka? Or, when the Workers' Party says that the Advance Party is to be combated by all means, what means is that to be used?
ParlaMint-NO_2011-11-23.ana.ud1456e102	This post confirms what I'm saying, here it's as if it's the Progress Party that is the victim of the democratic change of words after July 22. And I have to say, from this pulpit, that I react to the representative saying that the Workers' Party has played the victim after July 22. The working party was a victim on July 22nd. The Jewel of the Workers' Party, the youth, was attacked defenceless. More victims actually don't have to be.
ParlaMint-NO_2011-11-23.ana.ud1456e113	President, so did I.
ParlaMint-NO_2011-11-23.ana.ud1456e119	Then I would say that we can all – and should all – still evaluate the words we use, and be open to criticism if it can be misunderstood. A statement that says that not all Muslims are terrorists, but all terrorists are Muslims, to me, is a hateful statement, for that group thinks, and it creates associations that are very critical. If we were to say things that could be in that category, we should be able to take that criticism openly. It's talking about people like dark people have been doing in the Norwegian social debate for a long time. Sometimes it's justified, sometimes it's not justified. If that is not justified, we must be able to criticise it. We must be able to take that up and exchange normal opinions on it.
ParlaMint-NO_2011-11-23.ana.ud1456e124	Erna Solberg – for follow-up questions.
ParlaMint-NO_2011-11-23.ana.ud1456e127	I have the starting point that I believe everyone in this Chamber has a desire to combat the extremist thinking and the environments that gave a violent expression on July 22. Then my question becomes Gahr Støre: how can we do the best? Is it by making a pingpong discussion in Norwegian policy on responsibility for opinions, or is it by actually going to the origin and justification of extreme opinions and arguing against them? The danger if we do this for another pingpong discussion in Norwegian politics is that we do not jeopardize and take the attention away from the really heavy extreme attitudes – the attitudes that thus lead to someone finally killing each other. Then my question to Gahr Støre: What is the government's strategy to not make this the pingpong of the democratic arena, but actually a struggle against extremism?
ParlaMint-NO_2011-11-23.ana.ud1456e134	The term 'pingpong debate' in Norwegian democracy is a little unfamiliar to me, so I don't know what that means. But I have a sense of what was said after July 22nd, that the democratic parties in Norway have more in common between themselves than any of them have to the extreme violence environments outside. Discussing with the violence environment outside is a difficult exercise when we know that much of this is happening in hard-to-reach online communities. I think it is part of the common good in democracy that all parties in this Chamber – and I have been very clear that the Progress Party is of course among them – must be clear in its normative message towards those environments that may have extreme attitudes. It's one strategy. The second strategy is to fence around the democratic change of words between us – call it pingpong. However, it is clear that the way in which we deal with and do not deal with societal challenges gives ground for reaction outside the parliamentary and democratic framework. So there's an interaction between the two, but the debate here in this room and between parties is an important part of it.
ParlaMint-NO_2011-11-23.ana.ud1456e143	Dagfinn Højbråten – for follow-up questions.
ParlaMint-NO_2011-11-23.ana.ud1456e146	I feel that something is about to break up here. One of the great things after the deep tragedy was our common ability to stand together – not on all opinions, not on all explanations, but on the will to look forward, to turn hatred and reversing to love and openness. We have to take care of that. That doesn't mean we're not going to discuss opinions, and I guess I have to say that those of us who sometimes stand for strong opinions, also have to endure strong characteristics. I would like to ask the Minister for Foreign Affairs, who has an international perspective on this: in the light of the experience of other countries after deep national tragedies such as this, and in the light of the experience we have had, how does the Minister for Foreign Affairs think that we can best take care of the lessons we have with us from July 22, so that we do not end up in a trenche discussion with stamps on each other?
ParlaMint-NO_2011-11-23.ana.ud1456e153	I think a lot of people at home and out noticed that Norway was dating in the weeks after July 22nd. Then the differences were put aside, and we agreed on those who needed it. I think it was a very important way – and a mature way – of Norwegian democracy that we returned to democracy. We made local elections, and now we're back in the democratic change of words. I believe it is an important principle when the Prime Minister says more transparency, more democracy, that we take the democratic debates, and that we do not overshadow the difficult issues, but that we do so in a respectful way. So far, I think we've made it. That it's going to be painful in some areas, that we're going to deal with difficult issues, that it might get wrong, I think we have to wait. But then I also think that our society is so mature that we can get back up if we make mistakes, and that we can be open to reconsider what we might have said – after July 22nd, but also before July 22nd. There are things we don't experience so much in other countries that have experienced that kind of disaster, where the trenches get very deep. I still believe that we will do it in our country, and that the time until now has shown that we are on the right course.
ParlaMint-NO_2011-11-23.ana.ud1456e160	Then we go to the next main question.
