ParlaMint-NO_2007-10-10.ana.ud1506e24	The representative of Laila Bavøy, who has been licensed, has once again taken the seat.
ParlaMint-NO_2007-10-10.ana.ud1506e33	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President proposes Gunn Olsen. – Other proposals are not available, and Gunn Olsen is unanimously elected president of the Stortinges meeting today.
ParlaMint-NO_2007-10-10.ana.ud1506e61	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: Council of State Magnhild Melting Authority City Council of the City of Trond Giskestatsråde Helga Pedersen The announced members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We start with the first main questions, from the representative Per-Willy Amundsen.
ParlaMint-NO_2007-10-10.ana.ud1506e80	My question goes to the government council, Magnhild Melting Authority, Kleppa. What should best be characterised as a full and open dispute between government parties does not seem to end. At the latest in today's Newspaper we can read about full split between Karin Andersen in SV and State Council Bjarne Håkon Hanssen. The theme is poverty. And while government parties use their energy to argue internally, little is done to help the very poorest of the poor. The biggest government party says everyone's going, but it's far from the truth of the government's so-called impoverishment. The government has created an A and a B team of social welfare recipients. Of course, those who participate in the qualification programme belong to the A team, while the rest belong to the B team. In addition, social assistance is a social lottery game where you are completely dependent on how little or how much you receive. In fact, how good help is now very dependent on local economics and priorities. Bjarne Håkon Hanssen said in Dagbladet yesterday that he would rather have reinforced his efforts on the qualification programme than increase social assistance rates if he had more money to fight poverty. Will the Minister of State be involved in a task with the Progress Party in order to put in place a predictable system of standardised government rates, so that social welfare beneficiaries no longer depend on the circumstances of each municipality in terms of local economy?
ParlaMint-NO_2007-10-10.ana.ud1506e89	I see the discussions between the government parties that are now apparent in the media, as an impatience in being made the most possible to fight poverty, which is otherwise firmly rooted in the Soria Moria Declaration as an ambition for the Government to eradicate poverty. There are many elements that are central. I'm very pleased that the government so far has secured the municipalities 21 billion more, and that the municipalities have received 8 billion more in additional tax revenue. There can be no doubt that over the course of two years, the municipalities have a very different possibility of their most difficult times. When social assistance is specifically involved, it is clear that it is important. It is important to secure work, housing and better public services, and it is also important to secure a fine-tuning social security network. State Councillor Bjarne Håkon Hanssen has reported to the Civilombodsmann on 14 August that he is looking at the situation of social assistance recipients. I'm waiting for the review that he has now. It's nice that the Progress Party invites you to do it, but it's been a very solid effort from this government for the last two years. We're not in the goal, but fortunately, we've got quite a few more poor people a better everyday life.
ParlaMint-NO_2007-10-10.ana.ud1506e98	We agree that the fight against poverty is all about getting people to work. But then there's someone completely outside. It is then difficult to perceive it differently from the fact that State Councillor Bjarne Håkon Hanssen is currently in the process of ironing out the central parts of the Soria Moria declaration. It's very hard to read it in any other way. Our country has established that the progressive party-driven municipalities are actually the municipalities that provide the most social assistance. The government parties are talking about poverty. In the past, in the guise of the throne, the State Council rejected Meltveit Kleppa's questions from us, which were about to make it cheaper for the homeless by lowering the cost of the construction of new dwellings. But there are other key areas that are important. One challenge may be: What will the Minister of Local Affairs do to prevent people who are involuntarily in a part-time position in the municipal sector – they like to work in the care sector – from getting a bigger job break? These are also people who are attributed to poverty.
ParlaMint-NO_2007-10-10.ana.ud1506e107	Let me first remind you that there are 140,000 more people who have been employed in the last two years. In addition, a dedicated qualification program is in place to allow even more people to try out a job. Let me remind you that one has acquired housing for many homeless people. Local authorities have a completely different possibility than two years ago to follow up on their most difficult times. Providing more full-time work or a major job break to prevent involuntary part-time work is an important issue for this government. We're now in dialogue with the parties on how to do that. There are also several municipalities that themselves have developed good models, models that are good examples for others.
ParlaMint-NO_2007-10-10.ana.ud1506e118	There will be follow-up questions – first Bent Höie.
ParlaMint-NO_2007-10-10.ana.ud1506e121	I believe that the issue that we now see between the Central Party and SV about who is responsible for the government's failure to fight poverty is frustrating for those of the poor who cannot be part of the working line. The SV leader, Kristin Halvorsen, said before she became Minister of Finance, that it was not difficult to combat poverty. It was just about political will, as she said at the TV 2 public meeting. The will has obviously disappeared, as of 5 June this year, the Minister of Finance declared that the Government did not achieve its own objectives in combating poverty. Does the Minister of State agree with his own Minister of Finance that the Government will not achieve its own objectives of combating poverty during this period?
ParlaMint-NO_2007-10-10.ana.ud1506e130	The Minister of Local Affairs is at the head of the Government's ambition. As I see it, all the members of the government do it – says the Soria Moria Declaration, which says that the Government should aim to eradicate poverty. I think the government has done a lot in this area over the last two years. It's both encouraging and fun that a gathering of clusters to those degrees seems to be occupied by just the same ambition. That was not the case two years ago. In fact, I think it's enough to remind you – once again – the big difference when it comes to the local economy two years ago. Then cut the municipalities in settings that also beat the most difficult ones that they should follow up.
ParlaMint-NO_2007-10-10.ana.ud1506e138	Bjørg Tørersdal – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e141	The Christian People's Party is committed to ensuring that, if you want to fight poverty, you have to have targeted measures — in addition to a good community economy. In addition to general welfare policy, targeted action must be taken against the groups we are talking about here. Examples of targeted interventions include increased housing support and increased social assistance rates. Government councillor Meltveit Kleppa was concerned about this when she was Social Minister, and she was concerned about this in Stortinget, in the Municipal Committee. Does she not see an increase in the difference between those who have work and those who have a useful economy and those who fall outside due to debt problems or drug problems? Does she not see that there has been a government budget that lacks targeted action against those outside? If she sees this, I just want to remind you that the Christian People's Party is concerned that, here in the Grand Duchy, during the treatment of the state budget, we would like to have something more targeted to combat poverty. Will the Council of State agree to that?
ParlaMint-NO_2007-10-10.ana.ud1506e150	I can assure the Christian People's Party and the representative Tørresdal that I share the concerns about the situation of the most disadvantaged. The dry valley is called the housing situation. In my department, we have $3 billion at our disposal when it comes to measures for the most difficult in this sector. Let me take advantage of both starter loans, flat rate bills and bus fees. We are now going through all the tools we have, to make sure that they are used as correctly as possible. I had my first meeting with the House Bank yesterday. I have invited organisations that are busy with this to a meeting next week. I hope I'll get back to Stortinget with further efforts in this field.
ParlaMint-NO_2007-10-10.ana.ud1506e157	Odd Einar Dørum – for follow-up questions.
