ParlaMint-NO_2007-05-15.ana.ud2683e51	The representative of Mr Sonja Irene Sjøli will present a proposal for a representative.
ParlaMint-NO_2007-05-15.ana.ud2683e54	On behalf of the representatives Erna Solberg, Inge Wohnning, Martin Engeset and myself, I would like to put forward proposals for legislative provisions that give the right to leave and income insurance schemes in connection with care tasks.
ParlaMint-NO_2007-05-15.ana.ud2683e59	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2007-05-15.ana.ud2683e73	At the request of the Transport and Communications Committee, the President will propose that speaking time be limited to 5 minutes to each party and 5 minutes to the Council of State. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-05-15.ana.ud2683e82	The matter of the mercury load in the wreck after U-864, caused by a representative proposal, has become a significantly larger matter both in scope and attention than many might have thought initially. As the rapporteur-in-Office, I soon realized that there were major differences of interest here, which required wide and open information and dialogue. Therefore, it was also quite natural to organise two hearings, in which 23 hearings have been brought to the attention of the case. The matter was eaten when Mr. Dag Terje Andersen, Minister of Fisheries and Coast, previously this winter, was so clear and uncompromisingly going in to cover the wreck with olive sand. The concerns of the coastal population, the fishing industry and not least many professional environments were many, without this appearing to have any impact on the temporary government council or on the Coastal Agency as a professional body. But many others began to doubt. Annual meetings and national meetings of several political parties inside and outside the Government requested more time, more studies, impact assessments and risk analysis. In particular, it was considered that the option to lift was undervalued and under-explored in terms of alternatives and their risks. But also professional questions in terms of biological conditions and metallurgical processes related to the establishment of a swamp with an oxygen-depleted environment that accelerates the drying process were highlighted. Further in its extension: the effects on the steel hull, the pressure tanks and torpedo tubes, with large quantities of compressed air and explosives, were not well enough mapped and assessed for safety with regard to the external impact of different types over a long period of time. During the hearing on 16 April 2007, it was also clear that no reputational risk analysis had been carried out for the Norwegian fishing and farming industry in order to allow these industries to be harmed in the longer term. It is not everyday food with boasts of government councils from the opposition, but in this case I would like to give recognition to Minister of Fisheries and Coast Helga Pedersen, who immediately seized her when she was in office after her leave, canceled the summer's cover-up and asked for a new round to be taken to assess alternative lifting methods – despite the fact that many had come to the Coastal Agency's recommendation, not least those themselves, but also the Deputy Council of State and the country's Prime Minister. I choose to believe that this was sincere, not to suggest an ever stronger opposition in my own party before the national meeting. That remains to be seen. However, from the non-governmental parties in the Committee, we have also pointed out a number of aspects of the cover-up solution and the different risk aspects and consequences of these, which also emerged during the hearing. We have asked the Council of State to take a closer look at this. I would more than suggest that she is wise to look into this, for otherwise the final recommendation on the solution will not be complete. Questions will remain unanswered. We have also pointed out that the relatively bombastic comment of the Coastal Agency on its own solution, and almost the headage of others — including professional objections at the last hearing — is the reason why we doubt their objectivity. However, in addition to recommending to the Council an alternative solution to this handling, the undersigned will no longer attempt to instruct. One thing that this one has has major environmental and pollution implications. It is therefore essential for further political work on the matter that the role and views of State pollution control should be clarified and developed. We have clearly marked ourselves as a nation against the sins of other countries, and therefore we have to take account with great international attention of how we clean up this matter. The matter has already attracted considerable international attention – perhaps not so strange! 65 tonnes of mercury as a potential contaminant in one of the world's richest marine areas is not a daily diet. So a formality: the minority writes in a note that the proposals made by the proposers are in fact being dealt with in the Stortinget. As well as the majority as the minority in the case, the Council of State will come back to the Storting with its conclusions. Then it becomes misleading that the decision today rejects it. I would therefore like to invite all parties to amend this to attach the document to the protocol, which is correct in relation to this. A proposal for this will be distributed in the hall, and I'll take it up. Otherwise, I will deal with the proposals on which the Right is the co-rapporteur.
ParlaMint-NO_2007-05-15.ana.ud2683e105	The representative Øyvind Halleraker has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2007-05-15.ana.ud2683e110	I would like to thank the case manager for his good work on the matter. My question is directed to the fact that the previous government, which Halleraker's party was part of, also knew of this matter. This is not a new matter. This submarine has been playing there since the days of war. My question is directed to why Right, when they were in position, didn't this matter drift up at the pace? They are now grateful that the red-green government has taken hold of this matter, which one might have cleared out of the road itself.
ParlaMint-NO_2007-05-15.ana.ud2683e117	I am not quite sure if I understood the question when you know the history of the case. There is no doubt that the previous government also addressed this matter on several occasions. Invitations were made, among other things: The size to adopt additional appropriations to clean up and clarify what had to be done. What created the major conflicts in the matter, however, was that the Deputy Coastal and Fisheries Ministers concluded as the body of the Coastal Agency did and recommended coverage. The Bondevik government has never done that.
ParlaMint-NO_2007-05-15.ana.ud2683e122	The representative Halleraker has on several occasions underlined his strong mistrust of the Coastal Agency. In principle, it's probably a little bit of a concern that a depositor should judge, or plan, the work of underlying agencies, but I'll leave it. In the Official Journal of the European Communities on 24 April Halleraker said: ‘I find it difficult to understand that this department will be able to carry out an objective assessment, as it has done on the part of the Coastal Works.’ Then I ask the representative Halleraker: Do Right and Halleraker still have such strong mistrust of the Coastal Works, and will this distrust continue regardless of what conclusion the Coastal Works draw?
ParlaMint-NO_2007-05-15.ana.ud2683e134	As I said in my post, I find it very difficult to see that the Coastal Plant is acting objectively in this matter. The background to this is not least their own conduct at the last hearing. I think everyone present in that room was relatively surprised at the attitude they showed toward others in this matter. In the right, we are very clear that in such cases, decisions and assessments should be left to an alternative body within the management system. We also recommended that. However, we will not go so far as to try to instruct this, but assume that the Government itself is making this assessment. It's the government's responsibility.
ParlaMint-NO_2007-05-15.ana.ud2683e141	I would also like to thank the case rapporteur for his contribution to obtaining a lot of information today, but if the Deputy State Council of Andersen is to be referred to as a bombastic and somewhat nuanced matter, there are others in the opposition who could try to see this matter from a little more points of view. Heavy professional environments, such as: NIVA, who has given advice to the Coastal Administration in this matter, has been working specifically on this matter for four years, and NIVA is Norway's heaviest professional environment for pollution of soil sediments. They've been very worried about what a raise could lead to. So this concern has Halleraker defeid on the grounds that mercury is so heavy that it won't pose this kind of danger. Isn't it wise to listen to the trade unions in these kinds of cases?
