ParlaMint-NO_2007-06-12-upper.ana.ud690e115	There is no record.
ParlaMint-NO_2007-06-12-upper.ana.ud690e129	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e145	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e161	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e177	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e193	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e209	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e225	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e241	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e257	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e274	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e290	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e306	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e322	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-06-12-upper.ana.ud690e338	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
