ParlaMint-NO_2007-11-21.ana.ud1835e24	The representative, Odd Einar Dørum, will put forward a proposal for a representative.
ParlaMint-NO_2007-11-21.ana.ud1835e27	On behalf of the representatives of Trine Skei Grande, Gunvald Ludvigsen and myself, I am delighted to make a proposal to appoint a commission to review murder cases with a background in violence in close relations.
ParlaMint-NO_2007-11-21.ana.ud1835e32	The representative Per Sandberg will put forward a proposal for a representative.
ParlaMint-NO_2007-11-21.ana.ud1835e35	On behalf of the representatives of Bård Hoksrud, Arne Sortevik and myself, it is a pleasure and with great expectations that I propose the reorganisation of the railway station to state companies to ensure predictable and long-term financing for the necessary upgrading and expansion of existing rail networks in Norway.
ParlaMint-NO_2007-11-21.ana.ud1835e40	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2007-11-21.ana.ud1835e64	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: Kristin HalvorsenErik SolheimSylvia Brustad The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We will then start with the first main question, from the representative of Harald T. Nesvik.
ParlaMint-NO_2007-11-21.ana.ud1835e83	I will be allowed to ask a question to the Minister of Health and Care. We have recently seen many examples of the failure of elderly care in Norwegian municipalities to function properly. We have a number of examples that can be mentioned here and that have been up in the past. Every time you deal with these matters, you get the answer that this is the responsibility of the municipalities, and that the government has made sure that the local government sector has received very many billions of dollars. It must be said that a new record has been set in the municipality of Sula. An elderly centre was opened on Friday, and on Tuesday the Councillor said in his draft budget that this centre should be closed, possibly reducing other measures in the care sector to finance the municipal budget. This is very serious, and it is a major problem for the municipalities. I have the following questions to the Council of State: Why is it that the reality of what is available to care for the elderly in the municipalities is so much different from what government members say? With regard to the many new billions referred to, the municipalities do not seem to have access to the same billions that the government claims it is administering. Can the Council of State provide a justification for this? Furthermore, I have the following questions: why can’t it be that the elderly care system is also willing to look at the funding system? Why is it that it is always said that the funding system should remain firm – we want to try to patch up an already existing system?
ParlaMint-NO_2007-11-21.ana.ud1835e96	Let me first say that some of the things that have been revealed through the media this past week that older people are placed in stock, in trim rooms, etc., are unworthy, and that is usually unacceptable. I think it gets even worse when it's actually so that there's free space in the same institution. I understand this is now being corrected, and it should just be missing! When it comes to what the government is doing generally in relation to the care of the elderly, this government said one thing very clearly when we took over the government, and it was that we would stop giving tax relief to the richest people in the country, because we would rather strengthen the community solutions. Some of those Community solutions are not least in the municipalities, not least with regard to the elderly, and therefore, as far as we have been responsible, we have strengthened the local economy. In fact, it is proven that very much of that money – fortunately – has benefited the elderly. But we're going on, because if much is good, it's not all good. That means we have to do a lot more with content, quality and competence, but we also have to build more places. This is why the next year, known to the representative, the Government proposes a new earmarked grant to build more hospitals and nursing homes for which there is a very great need. When older people need the care and care of their luck, they have the right to do so, and then it is the responsibility of the municipalities to ensure it, either at home, at home or in nursing homes. Nor will I rule out the need to clarify the law we have, to an even greater extent, and that is why the Government is now also working on a new, common health and social law.
ParlaMint-NO_2007-11-21.ana.ud1835e107	Now we heard the same answer phrase that you often hear. Then I ask myself the question: why should it be different when, among other things. is the financing of the nursery sector, except in the case of funding for the care sector, in order to enable sick people to have the right to a place where they actually need it? Now it is the case – at least as far as you can see in the media – that, at the hearing, you send a proposal that you should have a legal right to kindergarten. I have not seen a single place where the Minister of Health has taken the initiative of earmarked grants in the care of the elderly for a legally binding right, so that if you need a place of residence, you should have it. Because this is where the local economy actually comes in, and you don't have the good rights to get it when you need it. I would like to ask the Minister of Health and Health the following questions: Will the Minister of Health and Health now at least take an initiative to ensure that all the municipalities in this country have a proper list showing how many people in each municipality need a health home?
ParlaMint-NO_2007-11-21.ana.ud1835e116	At their best discretion, the county officials carried out a review prior to the government's provision of care, of the needs of nursing homes and nursing homes. That is why the Government has proposed that around 12,000 more such sites should be built by 2015, and we are going to follow that development closely. So that's not what the representative Nesvik says, that we just respond with phrases. No, we're doing something. We're doing a lot on this sector. I have said very clearly that older people who need good luck and care have the right to have it after today's law. I have also said very clearly on behalf of the Government: we want to make it even clearer. But we're doing even more because we're giving money. Unlike the government that the representative of Nesvik and his party supported, we have indicated a completely different direction in terms of money to the municipalities, and it is actually those who have to give the offer to each of the municipalities. That's why the local economy is so important. And it's not right, as the representative Nesvik says, that we don't label grants. Well, we're just proposing our own earmarked grant to build more places from next year.
ParlaMint-NO_2007-11-21.ana.ud1835e125	There will be four follow-up questions – first No pay.
ParlaMint-NO_2007-11-21.ana.ud1835e128	I would assume that the debate on local economy, fiscal policy and funding systems is of little joy to the elderly of those who have urgent needs here and now. That is why I would like to ask a very specific question. We know that there is one doctor per day. 180 nursing homes in Norway. There is one doctor for every other patient in general hospitals. So far, the Council of State has come up with no other answer to this than to put the youngest and most inexperienced doctors to take responsibility for the oldest and most difficult patients. Will the Council of State take an initiative in relation to the Municipal Councils' Central Associations to organise pay and working conditions for doctors in hospitals, so that it is almost the same as the career you can count on if you choose to work in high-specialised hospitals? Actually, you should go a lot further and make it more attractive, but it could be a beginning to equate the two.
ParlaMint-NO_2007-11-21.ana.ud1835e135	I fully agree with the representative for Wage that it is a great challenge to get enough doctors for our infirmary. There is no doubt that when the situation is such that about 80 pst. of our users who currently live in hospitals, are demented and on average have between six and seven different diagnoses, more trained personnel are needed, not least doctors. That's also why the government has proposed that we increase the effort in terms of doctors, by over 50 pst. in a short time. So there's several ways to do it. We have a close dialogue with the KS and the Medical Association about this, and we are going to have more meetings, but I believe that the proposal, which I understand the representative's salary, that we impose on doctors who are on tour, also to have practice at the hospital, is one of several tools to get more doctors to apply for a job at the hospital afterwards. When it comes to the question of pay terms, the representative knows very well that we are not the ones who decide here. At least the government doesn't want to mean strong things about it. There is an issue between the social partners. But what we're concerned about is seaworthy framework conditions for others, which are working conditions, guidance, etc.
ParlaMint-NO_2007-11-21.ana.ud1835e145	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2007-11-21.ana.ud1835e148	In recent weeks, I have also received several enquiries from different municipalities about reducing the provision of health care to the elderly, and about reductions in some nursing homes. It worries me, because there are the sickest elderly people this will go wrong. The sickest elderly have between six and seven diagnoses each, and they need highly skilled personnel. At the same time, 300 municipalities in Norway lack skills plans to solve the problem of qualified staff. And only one in five municipalities at all have any thoughts about how this is going to be done. There is a need to set concrete targets, in my view, for solving the competence problem in hospitals and in home care. The Council of State refers to new annual works in the municipalities. How many of these will be qualified, and how will the Council of State ensure that these new skills posts meet the sickest of the elderly?
ParlaMint-NO_2007-11-21.ana.ud1835e155	This government promised that we would get 10,000 new annual works into this sector during 2009. The numbers that we have so far show that, if nothing really happens, we're probably going to over-achieve that goal. We've said one thing that's also very important, and that's that it's essentially going to be with education. It's precisely from the things the representative Davøy here describes. We've said very clearly that we want to educate even more. We want to specifically qualify 12,000 of those who are already in the sector, for example. to become a skilled worker, because we need many more skilled workers, nurses and doctors in this sector. The representative Davøy, who represents the Christian People's Party, and the government parties are now also in a dialogue on how we can make this even more concrete, and where all the other parties are invited. I have expectations that through that cooperation, we will also come up with even more concrete things in terms of skills, for the sickest of the elderly in our country.
ParlaMint-NO_2007-11-21.ana.ud1835e162	Gunvald Ludvigsen – for follow-up questions.
ParlaMint-NO_2007-11-21.ana.ud1835e165	After all, the crisis in the care of the elderly has been constantly being felt in recent times, and the Council of State itself has been involved in this before. Extra evil is when we don't really have patient rooms in some places, but the municipalities can't afford to use them, and there are no people. It is a challenge to provide enough staff for the elderly. I just want to make it clear that the Left does not believe that earring and legalizing are a salivating thing to do to get a shiny old-age care. We've labeled the babysitting, which I think is a good example that there might be too much ear marking, and then, as we've seen now, the care of the elderly ends up losing. It is that hospitals are under pressure financially, and often they print patients, not least the elderly, too early, so we get too early releases and too fast returns – we get shuttle traffic between state and municipal care levels. So care for the elderly is a compound problem – something is the responsibility of the municipality and something is the responsibility of the state. Where is the State Council going to use its ability to manage, to make the situation better?
ParlaMint-NO_2007-11-21.ana.ud1835e174	The government has announced in several areas that we will strengthen our efforts, and we have already been involved in some of it. It's about the content, the quality, having enough people who have time to take care of those who need care, whether they're in nursing homes, in nursing homes or at home. It is about strengthening the daily provision, which also contributes to making life worth living, which in many municipalities has unfortunately been cut heavily over some years. This is about increasing competence, so that we can take into account that more people are actually sicker and sicker, among other things. because we live longer – and the last is very good. And these are places, and there the government, as I said, has proposed a new grant. Then I believe that the representative Ludvigsen points to a very important challenge, and that is the interaction between hospitals and hospitals. There we work very closely with the Municipal Councils. Just one specific example: Akershus University Hospital has set up a phone that all hospitals in Akershus can call when they are unsure whether or not a patient should be admitted to hospital. It turns out that many of them will be helped by being in the hospital, and thus will not be admitted to hospital. This means that there are also quite simple approaches that are needed to improve interaction.
ParlaMint-NO_2007-11-21.ana.ud1835e181	Vigdis Giltun - for follow-up questions.
