ParlaMint-NO_2007-12-19.ana.ud897e24	The representative, Robert Eriksson, will put forward a proposal for a representative.
ParlaMint-NO_2007-12-19.ana.ud897e27	On behalf of the representatives of Harald T. Nesvik, Kari Kjønaas Kjos, Kenneth Svendsen and myself, I would like to propose an action plan to help the deaf and deaf.
ParlaMint-NO_2007-12-19.ana.ud897e32	The representative, Mr Sortevik, will make a proposal for a representative.
ParlaMint-NO_2007-12-19.ana.ud897e35	I would like to make a proposal on behalf of the representatives of Bård Hoksrud, Per Sandberg, Tord Lien and myself to draw up an action plan for enhanced oil protection.
ParlaMint-NO_2007-12-19.ana.ud897e40	The representative, Odd Einar Dørum, will put forward a proposal for a representative.
ParlaMint-NO_2007-12-19.ana.ud897e43	I have the pleasure, on behalf of the representatives of Lars Sponheim, Gunnar Kvassheim, Trine Skei Grande and myself, to put forward proposals for a review of the regulatory framework for acquisition watchkeeping.
ParlaMint-NO_2007-12-19.ana.ud897e48	The representative, Mr. Tord Lien, will make a proposal for a representative.
ParlaMint-NO_2007-12-19.ana.ud897e51	On behalf of Robert Eriksson, Per Sandberg, Ketil Solvik-Olsen and myself, I have the honour to propose measures to prevent a long-standing power crisis in Middle Norway.
ParlaMint-NO_2007-12-19.ana.ud897e57	The proposals will be dealt with in a regulatory manner. Before we go into the oral question procedure, the President will give some information. One is what we have already adopted in Stortinget, namely the amendment of the Rules of Procedure, which means that we reintroduce ordinary Question Time every week – and that the time period for sending written questions is extended. This is because the Presidency believes that the Questionnaire Institute is very important in any parliament, and that we must have the opportunity to ask questions every week, so that there will be regularity in it. The second is that the Presidency has also had a wish, and has discussed it with the Prime Minister, that government councils can come to the Stortinget more fully and provide information if there are major events or major issues to be presented – that they can come to the Storinget immediately and immediately, so that it is here that you can inform the public and that the opposition is given the opportunity to respond. Of course, there is something that needs to be done in cooperation between government and big business. But we think it would be very good if you could get more attention on major issues here in the room instead of just doing it in the media and the debate comes a couple–three months later here in the main hall, when there is no longer any interest in it. The third applies to the spontaneous question hour. There's also a couple-three things. One is the distribution of the word. The President shall then decide to do so in the following manner: the President shall interrupt the person who has the floor when the time has elapsed. If you want to answer, you start talking right away. For example, in the case of those who are going to ask questions to the Trond Giske State Council today, this will happen as follows: He/she will be given two minutes. When the two minutes are over, the president says, "State Council Trond Giske," and Trond Giske starts talking. Once he has had the floor for two minutes, the president says the name of the representative concerned, and this one starts talking. That's how the president doesn't sit and club and club when the time is up. [[muttering in the hall]] It's bad on TV. We're starting with this already today. The second concerns supplementary questions. There the President – and this was the case originally – should be freer, both in terms of the number of questions and who asks them. It's gradually become a kind of ritual that you have to do on all the main questions by asking all the parties additional questions. It may be important and good to keep the pressure up. But if the President discovers that it might be better to move on to the next main question, the President must be free to do so. The President will also essentially give the first supplementary question to the party that has the main question so that you can coordinate to get the pressure up. This might mean that we get more main questions. That means, of course, that the President must stand free, also to make mistakes — it is the President’s privilege to be wrong — by failing to give any word that might have been given. But essentially I think it might be more free and more interesting if we stand a little bit freer here. But this under the repressive assumption that no batches are distributed; one should essentially give the same opportunity for all lots to be put in order in the hall. But it doesn't necessarily have to be a mathematical distribution in every question. It could happen in a larger whole. The third concerns the time limit. There is no time limit in the Rules of Procedure, but gradually the spontaneous questioning has slipped over to almost an hour and a half. We think it's better that we keep it around an hour -- we don't say an hour, and then it's over, but about an hour. We've noticed that the hall is getting pretty empty when it goes towards an hour, and when it's an hour and twenty minutes, the hall is almost completely empty. Then it's better to keep the pressure up for an hour, and maybe have more main questions and have a little bit more intensity in it. This is what we're going to try out from today, and we're going to try to make it work. The President will remember that that was the way it was originally, but then we might have got something more ritual about it later on. Let's try to get back a little bit more spontaneity. Before we start the spontaneous questioning session, the president, since there will probably not be so many at the end of the ordinary questioning session, will take the opportunity to wish Christmas, thank you for the cooperation and wish good New Year, and I hope that everyone comes back here rested. Resting is basically quite healthy, and you can do it in many different ways. The President won't interfere with it, only you rest a little bit and come back in peace. Merry Christmas and good New Year.
ParlaMint-NO_2007-12-19.ana.ud897e101	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: Knut StorbergetTrond GiskBård Vegar Solhjell The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Erna Solberg.
ParlaMint-NO_2007-12-19.ana.ud897e120	Let me start by wishing the President a Merry Christmas and a Happy New Year, in case I shouldn't be here at the end of the meeting. My question goes to the Minister of Knowledge. We are all concerned about Norwegian children being given the opportunity to go to kindergarten – a qualitatively good kindergarten with enough pedagogical staff and with good material around it. That is why everyone in the Norwegian economy has agreed that it should be put on and built up a good kindergarten offer. As a party, SV has promised full child care coverage – and may be engaged in the speed of being in target everywhere. Based on the unanimity that has been around this, it's amazing to experience that when a government council meets its own pledge breach, it chooses to direct the big shot at other parties, and at the municipalities that have done a hard job in recent years to achieve what we've all wanted. Let me take an example from my own hometown. Since 2003, when it was a political shift, 4 560 new kindergartens have been built. In 2000, 9 kindergartens were built in that city, so it was a huge tow. Then my question is whether the minister really thinks it's worth using the attempts at a mediajippo to smoke his own promise break, that you can't reach the goal of what you've promised, by shooting at those who are actually doing a hard job.
