ParlaMint-NO_2007-06-19.ana.ud1045e39	The representative, Mr. Bård Hoksrud, who has been on leave, has once again taken the seat.
ParlaMint-NO_2007-06-19.ana.ud1045e48	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President will propose Sigvald Uppøen Hansen. – Other proposals are not available, and Sigvald Oppebøen Hansen is unanimously elected president of Stortinget’s meeting today. The representative, Jon Jäger Gåsvatn, will present a proposal for a representative.
ParlaMint-NO_2007-06-19.ana.ud1045e55	On behalf of the representatives of Anders Anundsen, Åse M. Schmidt and myself, I would like to propose a national package of measures to combat unrest and disciplinary problems in the Norwegian school.
ParlaMint-NO_2007-06-19.ana.ud1045e60	The proposal will be dealt with in a regulatory manner. The President will propose that the Stortinget deal with the supplementary agenda on the ordinary agenda. – No objection has been raised, and it is deemed to have been adopted.
ParlaMint-NO_2007-06-19.ana.ud1045e76	This case involves much more than the purchase of transport aircraft. But I'm going to leave those sides to point to the setting. The Committee has just focused on transport aircraft. It is not to be avoided that the procedure has been central to the debate. This was a matter that the government started in December 2006, and as far as I understand it, they had planned to deal with the matter in the Council of State on 25 May this year. That also happened, but the problem with that was that it would give the opposition parties in Stortinget three and a half days in the proceedings after the case was referred here in the house, before we had to have our proposals ready for our groups. It's highly unsatisfactory. We are well aware that part of this time has been used for long internal debates between the three government parties. The fact that half of the Storting has been familiar with the drug, and half of it, is unfortunate. We have confronted the Council of State with this relationship a few times — during consultation and in debate here in the Chamber last week — and then the Council of State stressed that the Government needed time. It certainly did, but it's quite unacceptable that the opposition only gets a few days to go through this. In fact, based on the answers we have received, I am in doubt that the Council of State has taken this seriously. It may indicate that the Government is occupied with itself and its power, and so others are only allowed to be quick when the Government has finally made up its mind. However, when this matter is dealt with – despite the time pressure that has been – it is partly due to the attendance of the Storting as such, and partly to the fact that the opposition has shown significantly more efficiency than the government parties have done. I would like to stress that if this case had not been dealt with, 100 pst would be. This is the responsibility of the Government – and of the Council of State. When I'm concerned about this relationship, it's not just about getting this case highlighted, which is important in itself – it's after all a decision of 3.6 billion kroner we're talking about – but it's also about the next big issue we're going to get, namely the long-term programme for the next four years. If the government manages to spend six months on such a relatively limited matter as this, you might wonder how the government will manage to complete the entire long-term programme in the four to four and a half months available. I must again stress that the committee has unanimously said that if we are to deal with this matter properly, the matter must come here in the winter. The government itself, through the way they have managed the appointment of the Defence Policy Committee, has come into the situation that they can only start proceedings after 1 November of this year. That means that the government has four to four and a half months to not only make the professional assessment in the Ministry of Defence, but also to do the political horse trade that has proved so difficult in this limited case. I just want to repeat this. If you can get a significantly more effective treatment than what the Government has shown in this case, it will be possible to have the long-term programme dealt with after the scheme. But if it isn't, then it's the government's choice and the government's responsibility. The few months you have given yourself are due not least to the fact that it took ten months from the time you decided to have a range of defence policy, until the government managed to appoint this range of defence policy, so that the responsibility is clearly placed. Then to the facts of the matter. In many ways, it is surprising that the question at all appears in the Stortinget. We shall not go back further than to the budget documents last autumn – St.prp. No 1 – where it is clear that when the aircraft we own today – the four that have been sent for upgrade in Canada – come back from Canada, we will be in the situation “that the aircraft can again carry out all kinds of known tasks up to approx. 2012-2015». That's the proposition's promise. When that's true, it's strange that we've come into this situation. So the question is, why did the Council of State take such a sad mistake last year, when this statement is in the budget papers? One of the reasons is, as we've been informed, that the availability of the planes is lower than what we thought. It appeared in a user conference between C-130 users during the autumn. That is a good and acceptable justification. But the question is, of course, how exactly is science now the question of availability? We just have to admit that the committee has not had the opportunity to drill properly on that matter in the few days we've had at our disposal. Another possible argument is the ability to protect and deploy upgraded avionics in the aeroplane. This is something the Defense and the Government themselves chose to take out. If it had been put in place, according to the hearing we have had, every single aircraft – that is, individually – would have been able to carry out missions, as far as I understand, also in Afghanistan. But then comes a new question. Would it have been possible to get this upgrade if you had moved on with it? Then there was some interesting information in the hearings and in the written answers, that it had now been calculated that it would take 45 months, by the way, four years, to get this right. The question then is: if this information is correct, how could it be believed, when the budget documents were written last year, that the aircraft would be able to carry out all kinds of missions until 2012-2015? So it would be four years before you were there, and four years from 2006 or 2007 is probably about. 2010 or 2011. The question is, has it ever been an option to get these planes in the air the way you want? I would like to remind you that Afghanistan is not a new operation. It's an operation we knew about last year's harvest. I guess we also knew that this could go a lot of ways. It could be more dangerous, and the safety assessments that the government is now making, I'm going to assume that last year, too, we were thinking about. What then becomes the question the Council of State has to answer is: Was the statement in St.prp. No 1 error when the proposition was written? I'm not going to say that it was, but I'm sitting with a feeling that one of the principles that's underpinned here is that the way goes on as you go. So the question is whether it's satisfactory for such a big decision as this. Now we're once in this difficult situation, and then the question is, what do we do? I think it's of limited interest to go back five to ten years and ask why you didn't buy new planes at an earlier date. As far as I understand, that was an economic justification. There was a lot to go into the defense, and the defense had to balance its expenses better. I think it's hard to judge those assessments, even though we would all want the frames to be better at the time, so that you could have been in a better situation. But the answers now give me the impression that there are funds. It's nice. We then have the freedom to handle the matter. However, there must be very strong reasons for setting aside normal tendering procedures. There has to be something extraordinary and something problematic in the matter to do so. So the question is, are the problems we are now facing, big enough for us to set aside a tendering procedure? The government clearly says yes, but is similarly economical in justifying this position. The hearings and questions asked give some answers, but I have to say that it is a little difficult to deal with matters on the basis of the tail and the drag principle – that the burden of proof is closest to the Storting, and that it is our job to find the arguments. It is not primarily in the documents that they are written. I also see that we have repeated several times that we do not want to have so-called tactical transport capacity. The point is that when the planes come back from Canada, it is possible to carry out all normal missions, with the exception of the Afghanistan operation. You get the impression by reading the answers. But Afghanistan is important. I would like to underline that. It's priority number. 1 for Norway, priority No. 1 for NATO, and not least it's important for my party that that operation be carried out with force. This, I think, is an important argument. There's still reason to say two things. When the planes cannot be used in Afghanistan, I understand that there are two reasons for this. One is the security situation, where the government describes a kind of ‘worst case’ in the proposition, which presupposes that ISAF does not succeed in its task in the first few years, but still has a problem. I agree that such a strict assessment is used, for safety must be at the top of our crews. I don't think there's any particular doubt about that. Although questions can be raised in the description, I am not in doubt that we have to base a worst case scenario, because neither is this some kind of exact science, and then we have to introduce the necessary margins. The second question, which I'm probably a little bit more in doubt about, is the availability question, which is also not an absolute size, but we haven't been able to drill enough in this. The third is the time factor, which I have to say I'm a little bit surprised, because it'll actually take a little while before we have all of these planes in place. The time gap to cover, as far as I can look for quick head count, will not be more than three to four years – that is what we are talking about. What is at the heart of the matter is that because of the Afghanistan operation, a margin-of-marginal safety assessment and an assessment of availability, and for a rather limited period of time, we are now deciding the entire transport aircraft solution on a long-term basis. It's a pretty demanding position to do it. Now I don't feel sure that we've got all the elements, even though we got some extra days in the committee. I therefore want to be most comfortable with that we get a more thorough assessment from the Government. The question is, of course, whether by asking for a more thorough assessment, we close one of the options, namely the one proposed by the Government, a quick purchase, and that the matter is missing if we are not able to write the contract in June. It says in the papers, in the answers, that that could be the situation. That's the formulation used. It means in good Norwegian that the government really doesn't know, because you've never had the imagination to think that you don't get what you want, and you haven't checked out and asked the Americans if it's possible to sign this in October too. That's why the answer to this is: don't know. But I do believe that if the Storting does not manage to deal with the matter and send it back to the Government, it will be possible to deal with this question as well – at least the answers from the Government are repeatedly so vague in this area. I would like to mention proposal No. 3, which is a short-term postponement, until the Storting meets again until the fall. Then I think it would be possible to get this done. Now I'm realistic enough to know that as long as the issue has been put to reality in Stortingen, it's not certain that that proposal will be adopted – to put it that way. There will therefore also be a need to report a card in terms of what happens if we are forced to vote for reality. So I am not comfortable with that situation, but I understand that it is coming, and then, as I have also reported in the setting, ready to say that everything takes into account at least few uncertainties by going for the recommendation itself. I would then like to emphasise that we base a strict assessment of safety. I'm not sure we can. We can't get the best plane. But I am not so worried about the price question, which will be an important part of the tendering procedure. I agree with the Council of State in her assessment that the US Air Force has probably managed to negotiate a price that would not be so easy for Norway to beat – to say it that way. And this single element makes me calmer than I would otherwise be.
ParlaMint-NO_2007-06-19.ana.ud1045e122	The representative Jan Petersen has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2007-06-19.ana.ud1045e127	The representative Petersen writes, and also says in his post now, that there are still important aspects of the matter that are unsatisfactoryly illuminated. We all agree that the committee has had a relatively quick examination of this matter, but we have actually received an answer to what we have asked for. In this case, which is just a tenth of a whole budget, we have actually asked three times as many questions as in the defence budget of the year. So we've at least asked questions, and we've had open consultations with defence ministers, bosses and stakeholders, so it hasn't been tails and drags, as the representative said in his statement. After the hearing, the Right informed that more questions would arise. And you were open to it, you were to get answers. But the right did not ask any more questions, and then my question is to Petersen: What is the Right still not answered in this matter?
ParlaMint-NO_2007-06-19.ana.ud1045e134	It's obvious that Signe Eye has fewer concerns than I do, and I respect that. But what's the point of our tailing and pulling – I want to keep that wording – is that we have to feel safe about the recommendations that are being made, and I still don't feel safe about that recommendation. I don't feel sure we're getting the best plane. I do not feel secure in the assessments of the times given here. I notice, among other things. that the department has not had the talks with Airbus that one should have to try to clarify what one disagrees about. I think it has some questions about how good C-130J will be. Are they fully prepared to go in, or are they not? There are a number of questions that I would like to have clarified. But I came to the stage that I saw that part of those questions are of such a technical, so difficult nature that the committee is not suitable to go deep into this. It is first an assessment by the Government that will give us that substance. When I came to that confession, I declined to go further in these questions. And that's to be welcomed by the Government, because the conclusion of this would have been that the matter would remain in the committee, and then there would not have been a big deal on this issue until the fall, no matter what the majority of people think about it. In this area, too, I might think that the Committee has been shy about the Government.
ParlaMint-NO_2007-06-19.ana.ud1045e139	The rapporteur criticises the fact that the Government has given the Committee a short time to deal with this matter. What I'm asking is whether the rapporteur does not see that there may be a connection between going in for quick purchases, and the fact that previous governments, including the representative Petersen himself, have not been clear enough or quick enough to make a decision, either regarding the upgrade of existing aircraft or about the purchase of new transport aircraft. This means that Norway has no special tactical transport aircraft capacity today, which we are all concerned about being changed on this matter. Could things have been done better before? That's the question to the representative Petersen.
ParlaMint-NO_2007-06-19.ana.ud1045e144	It is possible, but as Breck is aware, it is completely irrelevant in this context. The point is that the government has been sitting for six months with the case. The point is that much of that time has gone into talks between government parties to try to agree. If the government parties had only escaped this matter one or two weeks earlier, there would have been a dramatic second situation. And that it had not been possible to get to this one or two weeks before – I do not buy it. Frankly, I think this was one of the more exotic attempts to talk about something else. The responsibility lies with the government parties. The responsibility lies with the Government. And I think maybe if the government in the next election campaign makes a big point of how powerful a majority government is, you have to be prepared for quite a few crooked smiles around the table.
ParlaMint-NO_2007-06-19.ana.ud1045e151	This government has done a lot to sort out the financial management of the defense, among other things. establish a good supply and competition situation in relation to the purchase of combat aeroplanes. So we're in that situation, which hopefully is a one-time case, that when it comes to transport aircraft, we're going to go away from that principle. Can we expect Right too to support the fact that in the future one will be completely consistent in establishing and following a process in which all the providers will be allowed to make their bids when purchasing in the Defence Sector?
