Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-06-12	ParlaMint-NO_2007-06-12.ana.ud1288e155	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-12	2007-06-12	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-12	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2007-06-12	ParlaMint-NO_2007-06-12.ana.ud1288e170	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-12	2007-06-12	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-12	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.MORH	Høglund, Morten	M	1965	
ParlaMint-NO-en_2007-06-12	ParlaMint-NO_2007-06-12.ana.ud1288e179	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-12	2007-06-12	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-12	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2007-06-12	ParlaMint-NO_2007-06-12.ana.ud1288e188	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-12	2007-06-12	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-12	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HEH	Holmås, Heikki Eidsvoll	M	1972	
ParlaMint-NO-en_2007-06-12	ParlaMint-NO_2007-06-12.ana.ud1288e205	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-12	2007-06-12	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-12	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2007-06-12	ParlaMint-NO_2007-06-12.ana.ud1288e243	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-12	2007-06-12	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-12	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.AIS	Samuelsen, Alf Ivar	M	1942	
ParlaMint-NO-en_2007-06-12	ParlaMint-NO_2007-06-12.ana.ud1288e271	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-12	2007-06-12	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-12	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ANML	Larsen, Anne Margrethe	F	1950	
ParlaMint-NO-en_2007-06-12	ParlaMint-NO_2007-06-12.ana.ud1288e311	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-12	2007-06-12	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2007-06-12	ParlaMint-NO_2007-06-12.ana.ud1288e316	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-12	2007-06-12	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-12	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.JGS	Støre, Jonas Gahr	M	1960	
ParlaMint-NO-en_2007-06-12	ParlaMint-NO_2007-06-12.ana.ud1288e329	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-12	2007-06-12	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-12	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PEG	Gitmark, Peter Skovholt	M	1977	
ParlaMint-NO-en_2007-06-12	ParlaMint-NO_2007-06-12.ana.ud1288e356	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2007-06-12	2007-06-12	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2007-06-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
