ParlaMint-NO_2007-10-01.ana.ud2007e29	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2007-10-01.ana.ud2007e41	The President-in-Office of the Council will ask the Secretary of the last big thing, Signe Eye, to act temporarily as a secretary. A roll call was then made. The following representatives were absent: Åse Gunhild Woie Duesund, Morten Højlund, Gunvor Eldegard, Eva M. Nielsen, Øyvind Halleraker, Karin S. Woldseth, Petter Løvik, Eli Sollied Överaas, Bjørn Jacobsen, Thore A. Nistad, Inger S. Enger, Heidi Sørensen, Truls Wickholm, Øyvind Waksdal, Eirin Kristin Sund, Ketil Solvik-Olsen, Gunnar Kvassheim, Erling Sande, Sigvald Opbeøen Hansen, Bård Hoksrud, Tord Lien and May Hansen. The following representatives had notified the case: Peter Skovholt Gitmark, Anniken Huitfeldt, Jan Petersen, Vidar Bjørnstad, Kari Kjønaas Kjos, Trond Helleland, Lise Christoffersen, Karin Andersen, Erna Solberg, Harald T. Nesvik, Per-Kristian Foss, Britt Hildeng, Øyvind Korsberg, Gunn Karin Gjul, Jorodd Asphjell, Ingvild Vaggen Malvik, Silvia K. Kosmo and Vigdis Giltun. From the other representatives present the application for leave [[see below]]
ParlaMint-NO_2007-10-01.ana.ud2007e55	The President-in-Office shall propose that the Rules of Procedure used last time be put into effect. – It shall be deemed to have been adopted. A number of permit applications are available: From 1 October onwards, and until further notice, from 1 October onwards, and from 1 October onwards, from the General Secretariat of the European Parliament, from the General Secretariat of the Council of the European Union to the General Secretariat of the Council of the Council of Ministers of the European Communities, from 1 October onwards to the General Secretariat of the Council of the European Communities, from 1 October onwards to the General Secretariat of the Council of the European Communities, from 1 October onwards to the General Secretariat of the Council of the Council of the European Communities and from 1 October to the General Secretariat of the Council of the European Communities. Those applications are proposed to be examined without delay and accepted. – It shall be deemed to have been adopted. The first deputy of the Rogaland County of Unn Therese O. Sørensen currently has maternity leave and is therefore prevented from meeting in the Stortinge under Eirin Kristin Sund's leave. The first alternate of Mr. Møre and Mr. Romsdal County of Ingrid I. Opedal is currently abroad and is therefore prevented from meeting in the Stortinge under the leave of Mr. Bjørn Jacobsen. From the first alternate of the Hordaland County, Eli Årdal Berland, the first alternate of Oslo Kari Yrvin and the first alternate of Eastfold County Andreas M. Lervik, there are applications to be exempted from meeting in Stortinget under the representatives of Øyvind Hallerakers, Truls Wickholm and May Hansen, respectively, due to illness. Those applications are proposed to be examined without delay and accepted. – It shall be deemed to have been adopted. The following alternates are proposed to meet during the leave period: For East-Agder counties: Kjell Ingolf Ropstad For Akershus County: Tove Nyhus and Gorm Kjernli For Finnmark County: Ann-Kristin Engstad and Kirsti Saxi For the Hordaland counties: Harald Victor Hove and Georg Indrevik For the Mora and Romesdal counties: Elisabeth Røbekk Nørve, Oddbjørn Vatne and Laila Skaret For the State of Oppland: Morten Ørsal Johansen and Anne Tingelstad Wøien For Oslo: Khalid Mahmood For Rogaland County: Bente Thorsen, Espen Torsteinsbø Hansen, Odd Jostein Zazzera and Helge Solum Larsen For Sogn and Fjordane counties: Knut Magnus Olsen For Telemark County: Lise Wiik and Magnhild Holmberg For the South-Trundellag County: Hanne Dyveke Sweets For Eastfold County: Linn Laupsa – It shall be deemed to have been adopted. Kjell Ingolf Ropstad, Tove Nyhus, Gorm Kjernli, Ann-Kristin Engstad, Harald Victor Hove, Georg Indrevik, Elisabeth Røbekk Nørve, Oddbjørn Vatne, Laila Skaret, Morten Ørsal Johansen, Anne Tingelstad Wøien, Khalid Mahmood, Bente Thorsen, Espen Torsteinsbø Hansen, Odd Jostein Zazzera, Helge Solum Larsen, Knut Magnus Olsen, Lise Wiik, Magnhild Holmberg, Hanne Dyveke Søttar and Linn Laupsa are present and will sit.
ParlaMint-NO_2007-10-01.ana.ud2007e285	The Presidents and Secretaries shall then be elected. The President-in-Office will refer to the fifth paragraph of Section 4 of the Rules of Procedure, which reads as follows: ‘In the first election of Presidents and Vice-Presidents, the votes shall be in the case of non-signatured banknotes. In the case of subsequent elections in the same parliamentary term, the rules in paragraph 44, first paragraph, point (d), first and second sentences shall apply.’ That provision of the Rules of Procedure means, therefore, that the election of Presidents and Vice-Presidents can now be made in a normal manner, without the use of ballots. The President-in-Office will then propose that we vote in the usual manner. – It shall be deemed to have been adopted. The President-in-Office of the Council is asking for proposals from the President of Stortinget.
ParlaMint-NO_2007-10-01.ana.ud2007e300	I have the pleasure of proposing Thorbjørn Jagland.
ParlaMint-NO_2007-10-01.ana.ud2007e309	Mr. Thorbjørn Jagland has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2007-10-01.ana.ud2007e318	The President then asks for proposals from the Vice-President of Stortinget.
ParlaMint-NO_2007-10-01.ana.ud2007e324	I'm glad to propose Carl I. Hagen.
ParlaMint-NO_2007-10-01.ana.ud2007e329	President!
ParlaMint-NO_2007-10-01.ana.ud2007e336	The representative, Rolf Terje Klungland, has asked for the floor.
ParlaMint-NO_2007-10-01.ana.ud2007e339	On behalf of myself and with the background of Section 4, fifth paragraph, and Section 44d, first and second sentence, I require written voting.
