ParlaMint-NO_2007-06-01.ana.ud1321e51	The representative of Laila Bavøy, who has been licensed, has once again taken the seat.
ParlaMint-NO_2007-06-01.ana.ud1321e60	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President proposes Sigvald Oppebøen Hansen. – Other proposals are not available, and Sigvald Oppebøen Hansen is unanimously elected president of today’s meeting in Stortinget.
ParlaMint-NO_2007-06-01.ana.ud1321e76	The setting shows that there is an almost unanimous committee behind the work that Norway is doing in the United Nations. There are just a couple of comments the Progress Party is not in, and the party will probably sail to explain why. I think it is good that the Stortinget gets such a comprehensive report, so that we have the opportunity to discuss and express our views on the work of the United Nations. It is important to point out that it is in particular small countries, such as Norway, that we have a United Nations-led world order and not a situation where nations are making their own arrangements or trying to go beyond the United Nations, such as the United Nations. President Bush has now signaled that the United States will do on climate issues. That's why it's a challenge to make the United Nations work to solve the important issues we're facing today. How are we going to solve the problem of poverty, how are we going to solve the climate and environmental challenges, war and peace and disarmament issues and human rights issues? That is why it is so important for the UN to have more say and take initiatives, and to be able to solve the challenges whether they are in Afghanistan, in the Middle East or in Africa. It is a challenge for rich countries such as Norway to play an active role, and it does so in Norway. That's what this report shows. The Government announces to the Storting a setback for some of the reforms adopted at the 2005 General Assembly. There have been trends in attempts at rematch, for example: in the work of the Peace Building Commission and the Human Rights Council. The theme for the 2006 general debate was the implementation of a global partnership for development. In his last opening post as Secretary-General, Kofi Others focused on security, development and human rights. The reform process has been a recurring theme, and we should note that the High Level Panel, which was led by, among others. Prime Minister Jens Stoltenberg, handed over the report «Delivering as One» to the General Assembly. Current Secretary-General Ban Ki-moon said in his speech to the General Assembly on 16 April this year that there is a broad consensus that the UN can do much better in the countries of the United Nations. The organisation is considered fragmented and weak at the country level, he said. It is this challenge that the High Level Panel proposal seeks to solve. It proposes a more comprehensive UN at country level, and better organisation of the units to help create a more efficient organisation in the countries where the UN provides assistance. It remains to be seen whether the UN is successful. Some countries have been designated as pilot countries, such as Mozambique, like Marit Nybakk and I visited in January. Let it be said that despite the many weaknesses of the United Nations, much of the help reaches people in rural areas, whether it is to the poor, it is to the young or it is to the HIV/AIDS sufferers. But the UN needs to become more powerful to complement the very central role the organisation has, and will have, in the development work. After several NGOs and women activists had mobilised and made input to the reform process, the High Level Panel made a clear recommendation that the UN reform process must include a gender and gender perspective. There is a need for a woman's own organization, a woman's own unit in the United Nations, and it is a pleasure that this is now supported by Secretary-General Ban Ki-Moon. It is important that Norway, which otherwise has a clear view of resolving the poverty problem with the women’s eyeglasses, is now actively following up and allying with those countries that have the same understanding. There is a clear need for the establishment of a clearer UN structure for women and equality. As this work is being carried out today, it is too weak and characterized by a fragmented structure that is both understaffed and underbudgeted. It is important to note that the UN General Assembly discussed an important report on violence against women. Many reports show the serious problem, and this report received a lot of attention. The Committee states in its opinion that it is concerned that the negotiations on the resolution on corruption showed that some countries ‘are not willing to take the necessary measures’. It is good that our own Minister of Development and the Government are so clear that a force must be taken on both corruption and tax havens, for this can be seen in the context. This work must be brought even stronger into the United Nations. Tax Justice Network proves that global tax evasion is a disaster for the poorest countries. These go missing $3,000 billion each year in lost tax revenue because of tax evasion and tax competition. Corruption would not have been possible without hiding the money anywhere. Therefore, an offensive against tax havens and against corruption is so important in achieving the Millennium Goals. One of the biggest challenges facing the world is man-made climate change. But precisely because climate change is man-made, it is possible for the nations of the world to do something with them, so that generations after us can also have a land they can live on. Norway has been active in discussions in the United Nations on the environment and sustainable development. Discussions on the climate resolution were demanding – and the result, unfortunately, was disappointing. It is also in this context a challenge for rich countries to show willingness to act both nationally and locally, and to take responsibility globally. More than ever, the forces that fight against the proliferation of nuclear weapons and for disarmament are needed. That is why one must also include in the reform process a reinforced fight against non-proliferation and for disarmament. Norway’s involvement in this area has been clear for a long time, including under the previous government. Norway has been, and must be, a driver for the widest possible and most binding non-proliferation and disarmament work. The proliferation of nuclear weapons is a serious threat to international peace and security, and one of the most serious threats to the existence of the planet. It is therefore very good that Norway continues to cooperate in the 7 countries, which are also members of Chile. We were told that yesterday when we met the president of Chile. It is important that the 7-country group progresses as regards the follow-up to the 2000 Conference of Supervisors and the preparations for the 2010 Conference of Supervisors. We know that neither the 2005 Conference of Supervisors nor its UN summit were able to agree on new measures to address the threat of nuclear proliferation. It is important to recognise the link between non-proliferation and disarmament. The danger is to land, as for example. Iran, acquires weapons, and countries like Israel, Pakistan and India, which have weapons, and the traditional nuclear powers do not rust down. It is in this context that we need to see the debate on missile shields and missile defence, a debate which, hopefully, will be further reinforced. It is important, as the Committee points out: ‘Diplomatic negotiations — not the use of violence and terrorism — are essential for a peaceful resolution of conflicts.’ It is very good that Norway raised the question of the use of class weapons. We know that more and more people now join the initiative to get rid of these terrible weapons. In its position, the Committee has addressed many important issues, such as: on human rights and on the alarming situation in Western Sahara. I don't want to mention these questions any more, because they make it clear in the settings. Finally, I would like to say that I am very proud that Norway, both through debate in the UN and through concrete action, by eradicating illegitimate debt, has shown that it is possible – and important – to do something about the debt crisis of many poor countries, to which they are stuck. I made comments on this topic at a conference for parliamentarians – under the direction of the World Bank and the IPU – in South Africa. In such a context, it is a real discovery of the importance of the presence of governments in small countries who are willing to take courageous steps and bring this theme into their home, namely in multilateral institutions, such as the United States. UN.
ParlaMint-NO_2007-06-01.ana.ud1321e123	The 61st General Assembly has undoubtedly been embroiled by the issue of a UN reform. While this may have led to other important issues falling in the shadow of the attention given to the reform issue, it is clear that it is essential that reform work is followed up and driven forward, and that attention to this crucial roadblock of the UN system is also high outside the UN building. Our goal is to step up Norway's international efforts for peace and reconciliation. The government therefore wants to strengthen the role of the United Nations in the world community. Norway has a general objective and a desire for a more UN-led world order. The UN is often subjected to more criticism than praise in the political debate. The UN is not – and will never be – anything else, more or less than what the Member States make up the organisation and want it to be. Lack of success for the UN is therefore nothing more than a Member State that does not want and does not. The UN is a good, old-fashioned team. The thought behind is that «Together Each Achieves More». It is therefore essential that Member States make their best efforts to make the United Nations team the best possible response to challenges. It is in the interests of the Member States themselves, no one else. The reform debate is just about this: how can the UN team be better able to meet challenges in the future? The High Level Panel, where Prime Minister Stoltenberg participated as one of three panel leaders, presented in November its report on how the UN can be reformed to make the organisation more effective in development, environment and emergency aid. The core of the report and the aim of the proposals presented is for the UN to act as a single player in development work, humanitarian aid and the environment. That is a good and necessary goal. One UN shall be established at land level, with one head, one programme and, if possible, one office and one budget. I think we can establish that the situation in many places today is that UN work in different countries is fragmented due to a large number of UN organisations and offices in each country – with what can be called a potential in terms of coordination. The report addresses and proposes a more coherent policy for the allocation of tasks and resources across the UN system. Norway, of course, supports these recommendations. It is important that we also in the future, when it is now, as the case-rapporteur was concerned, we may seem to be a little busy working to support and implement the report and the proposed measures as an important part of the UN reform process. Norway fully supports the modernisation process. This was also the main objective and focus of Norway's participation in the 61st General Assembly. The further influence and pursuit of reform towards a strengthened, more effective and legitimate UN as a tool for meeting the common challenges of the Member States is necessary if the UN as an organisation is to meet future requirements and needs and to achieve the Millennium Goals. Of events in the 61st session that I personally remember well, 9 October is last autumn. It was the day when North Korea carried out its nuclear testing, despite an international community as a whole and the existing non-proliferation and test stop agreements. Work was also carried out in the United Nations 1st Committee, chaired by Norway, and the debate on the embodiment of and the Member States' condemnation of the bombings. In addition, a historical innovation after the 2005 summit was the establishment of the UN Peace Building Commission, which is responsible for making recommendations on peace-building strategies and measures for specific countries. It is a pleasure to record that the work has started well. The global challenges are completely different today from when the UN Pact was signed. In order for the UN to be the best possible tool for combating poverty in the future and to be a solution to conflict, the UN must become more commercial. It is also a continuous challenge for the UN system to have sufficient legitimacy in, for example, development work. The UN is constantly being accused of having a heavy bureaucracy. The UN is accused of being a blackout and of being an undereffective channel for development and emergency aid. Of course, any accusation of a badly functioning UN must be taken seriously, because a UN without legitimacy is definitely a weakened global tool. But we are not going to accept any groundless criticism of the United Nations system. We often tend to point out the problems and criticisms against the UN as an organisation and forget to talk about the important and crucial job that is done every single day by men and women in the UN service around the world, which is undoubtedly invaluable, and the world would definitely not succeed without it.
ParlaMint-NO_2007-06-01.ana.ud1321e155	It has been said very well both by the case rapporteur and by the representative of Anette Trettebergstuen. I'm not going to draw the whole perspective that they drew up. This isn't necessarily an invitation to look at every situation at the United Nations, but I want to take the opportunity to pick up some things that have happened. I very much agree with the case rapporteur when she says that it is a challenge to make the UN work. We all depend on the optimal and best possible functioning of the UN. The representative of the Trettebergstien was also within it. That is why we also agree that this is a need for reform. Bringing the reforms forward, for which I think most people see the need, is one of the challenges. The angle of incidence of how we're going to get it becomes important. We are together with the other parties in the vast majority of comments. I think most of what's happening in the United Nations – I want to take the opportunity to say it – is positive, it's important, and it's a good job. Nevertheless, from time to time we have to take advantage of the opportunity to address problems and challenges that we need to focus on in order to improve the UN. To get the United Nations to become the tool we need in the world society, we have to dry up to focus on the problems. One of the comments we're not in at this time is that we're currently in need of our own women's organization. We fully agree with the issue of gender perspective, gender equality and the role of women in many countries, which is quite different from what we would have liked to see. But if a private organization solves those challenges, we're not sure. The UN is probably not primarily known for lack of organizations, perhaps rather the opposite. In such a context, we would like to draw up an overall debate, discuss and look at the following: are there any organisations we can merge? Is there anything we can put down? Is there anyone who can do their homework more, etc.? We see all too often that you add new things, and there'll be a lot of overlap. We are very uncertain whether it creates the most effective UN. Since we are in the middle of a reform debate, we don't think it's the way to propose new organisations, but that the subject matter is important, and that it needs to get stronger on the UN agenda, we agree. We think that's a better way to address the problems. Even though what I am going to say, does not necessarily concern the 61st ordinary General Assembly, I would nevertheless like to comment that Zimbabwe was chosen to lead the Commission which is going to work on sustainable development. It itself shows some of the problem we're dealing with, and is a challenge for the world community. How do we solve such issues? How do we meet them? How do we deal with the work that Zimbabwe is going to do and that is important? How do we deal with Zimbabwe in such a situation? How can we get into such a situation that a country that is almost a parody is chosen to lead such an important work? We have to take along the joy that Belarus did not have a place in the Human Rights Council.
ParlaMint-NO_2007-06-01.ana.ud1321e172	I think the case rapporteur had a very good review of the activity. She pulled out many sides of this. The main impression is that there is a lot of positive work going on. We know that. In previous years, I have used the occasion to deal with this matter to say a part about the development of the evaluation work and on effectiveness. I'll leave it this time. The reason why I asked for the floor to give some consideration is that over the last few years, I have been increasingly given the opportunity to participate in various parliamentary network connections related to the United Nations, and in an increasing number of meeting places. That experience has given me an unexpected impression. I increasingly think that a meeting meets the contradictions in areas that I thought were absolutely fundamental to the joint work of the organisation. We have met this in time, in the sense that when we are travelling, whether as a committee or in other contexts, to countries where democracy and human rights are weak, most people may have signed the UN Conventions on Human Rights, while implementation and implementation are often the same. The test is often the degree to which the legislative body, the courts, is free and can monitor its practice. We know that, perhaps especially in connection with parts of the UN reform work. When, for example: on the problems you have encountered in the work on the new Human Rights Council, one sees that there is also a lot of discussion about values that we thought might be completely fundamental, shared, committed and concrete. This means that in addition to some completely natural contradictions between the north and the south, between the developed and the underdeveloped part of the world, some of the basic values, on which we – or at least I – thought the UN was based, are called into question. That means they're under pressure. Now I am of those who use many opportunities to talk about that we must have great tolerance for the institutions that are built around the democracies and the state apparatus of different parts of the world, where different historical backgrounds, different traditions and religions, different culture – or whatever it is now – can look different. But there are, after all, some basic elements that are common, which are at the heart of what we mean by democracy, and which should be even more clearly so in relation to human rights. I think it is very important that we are further aware that it is not a matter of building up more confrontation, more polarization, around these things, but rather of working with those who are in our own political, democratic cultural circle to gain increasing understanding and commitment to the fundamental values of human rights and the democratic values to be found in the United Nations. We can do that by taking more part, by showing up where we can, both on the part of parliaments and on the part of governments. We might also be able to pay more attention to this in our ongoing work, for example. in the Great Britain, where there is very little UN debate and perhaps some misunderstanding between our expectations of what we believe the United Nations should do when international crises appear, and how much we really think about what we will contribute to the United Nations in the future. So there's a challenge to ourselves. It's about using the meeting places, about taking the job, about making what we stand for, and it's about being visible.
ParlaMint-NO_2007-06-01.ana.ud1321e183	Let me start by thanking the case rapporteur for a thorough review of the setting on the table. I am pleased to note that there is a great deal of agreement in this Chamber on the broad lines of our work. It is also a strong desire on the part of the Central Party that we should make progress in implementing part of the reform work that is absolutely necessary and that is highlighted by other speakers. Let me take this opportunity to focus on some fields that are not mentioned. It has been working to establish a central Emergency Response Fund, and I am happy to note that from the Norwegian side we have been one of the forerunner nations. If I am not mistaken, it is put in place approx. 250 million. kr. I think we also have to work to try to activate other nations, because there was a significant degree of consensus after the major tsunami disaster that we had to put in place such a fund in order to make an effective effort in the first few hours after a disaster. I hope and believe that we can be able to continue that work. Another important area is the work on maritime law and fisheries. There I would like to stress the importance of what the Government is doing in its efforts to achieve legitimate, sustainable fishing methods, and to stop illegal, unregulated and unreported fishing. It's alarming when we see that 80-90 pst. Of what are the marine resources useful to humanity, is actually overtaxed. That we're so lucky that we have a little corner of our globe, the northern part of the Norwegian Sea and the Barents Sea, where we have – and we shouldn't boast too much of ourselves – some control and balance, is good, but let's keep working on the goal of getting to proper management of the rest of the world's resources. I am pleased to note that it is working to clarify the outer limit of the Norwegian base and to include it in the Treaty of the Law of the Sea. It's a work that's very important, and we'll see updated in time. Like the case rapporteur, I had the pleasure of attending a meeting with the President of Chile, who, with a smile, found that Chile is also involved in the process of getting a ban on class weapons. There I think we have done a good job, and I hope that we can keep up with the intensity of the work that is coming in time – because it is necessary. The last thing that happened in Lebanon clearly shows the unfortunate consequences it has for the people who are being taken by such weapons. I am also pleased that Norway is doing clear work — and has a clear role — to establish binding agreements on fissile materials. There is an important alliance work to launch international negotiation processes in order to achieve the goals we have. It is also gratifying to note that Norway has an active role in achieving international patent agreements in line with the Convention on Biological Diversity. We are on a safe and good footing in that work, and I believe the UN in the time to come will see more clearly than in the past that the role is necessary.
ParlaMint-NO_2007-06-01.ana.ud1321e200	Now, when we're going to evaluate the UN job in 2006, we're not going to get away from this reform process that very many others here have been talking about. Prime Minister Jens Stoltenberg has played a very important role here in leading the high-level panel that presented the report ‘Delivering as One’. It proposes a more coherent UN at country level. The objective is to create a more effective organisation in the countries where the UN provides assistance in different areas. However, this is only a small part of the reforms needed. Central Keyword here is a more representative Security Council, a more efficient General Assembly and a more comprehensive effort to prevent and broker conflicts. We also have disarmament measures targeting the most dangerous weapons of our time. Furthermore, there is a need for more modern staff management where employees can also be assigned, transferred and dismissed when the organisation's challenges so require. Almost all the reforms were stopped by different groups of Member States. Sometimes countries in the south will not provide the Secretary-General with support or power to streamline the administration. At other times, there have been major acts that would not increase the effectiveness of the UN to limit the spread of dangerous weapon technology. The work of making the Security Council more representative approaches those who benefit from the current regime. It actually reflects the conditions of power as they were in the world in 1945. I mention this to show what counterpowers you actually face when you're reforming the United Nations system. This is a big task, and it requires a sustained effort by a lot of actors. We must show the political will to move in the same direction. The back of this exercise is the emergence of a new multipolar world order. We see that both China, India, Brazil and Russia are in the process of finding solutions as new major powers. One can be induced to breathe easily beyond the fact that global power will eventually be spread more widely across several countries. We've seen a little bit of that in the post-war period. But there's a lot of danger signals here. The world is becoming more complex and the international institutions are failing. Neither the United Nations, the World Trade Organisation, the World Bank, nor the International Monetary Fund are able to deal with the new conditions of power. Although the world is closely intertwined economically, it is becoming increasingly difficult to find global solutions to common challenges. The UN has traditionally had a strong role in Norwegian foreign policy, as has been said here in the past. The progress party has broken a little bit with this. They have gone out loud and said that it is a corrupt and inefficient UN that “has rather acted as a destructive body for world peace”. I think that's very little nuanced and very little constructive. The UN has about as many employees worldwide as the Municipality of Oslo. Almost never more than half of the resources requested by organisations in their work for peace, human rights and assistance. Despite this, the UN can point to a wide range of important outcomes. We could mention helping to settle or limit the wars in Angola, Sierra Leone, Liberia, East Congo, South Sudan, North Uganda, Nepal and Lebanon. Furthermore, the UN High Commissioner for Refugees has been the main driving force behind sending ten million refugees home to safety. This merit list we could have done a lot longer. But instead, I want to say something about the many corruption charges against the United Nations. After several years of intensive investigation, only a limited appeal was made against one central UN official who was associated with oil for the food programme in Iraq. Furthermore, it has been revealed that a handful of officials have received bribes from the Peacekeeping Operations Purchasing Office. All of this is serious. But in relation to the size of the funds that are managed, and the programs that have been implemented, I'm actually going to argue that the UN is probably much less corrupt than most other organizations of similar size. Just a few words about the UN's new Human Rights Council. It shall more effectively monitor the human rights situation in the world. The UN Member States shall, inter alia: be subject to a periodic check. The problem here is that many countries that themselves violate human rights are involved in the Council and contribute to undermining its work. This is one of the areas I really hope the United Nations can clean up. Finally, I would like to stress that the UN is far from perfect. But as we see it now, we have no other option. The left wants an orderly world based on common driving rules and not the strongest right to rule. That's why we need the UN.
ParlaMint-NO_2007-06-01.ana.ud1321e226	I would just like to add a few comments to the debate. The attitude I think is very good, and it follows up the report that the government has given. To the representative of Vallersnes: I think he points to important issues of how we meet values under pressure. I agree with many of the dilemmas he points to, including what he says we must use these frames and meet countries with which we have common values, try to avoid confrontation and try to bridge. It is a paradox that we end up with Zimbabwe in such an important role, but at the same time the dilemma is also the alternative. Is not this way of working on also an opportunity to hang them in, and at least put them under the necessary pressure? To the representative Samuelsen: I want to follow up on the class bombing initiative, where the Lima meeting was important. It's now 69, or let's say 70, states that are involved in this process. There's more than I thought we'd be. 20 of them are countries that do not participate in the CCW process, where this case was previously. Exciting regional initiatives are now being taken for class-bomb-free regions, among others. in Latin America. We have brought with us the world's hardest hit country, Laos, in the process, and constructive work is being done towards the next meeting of the parties. It's an important process. Then I will be allowed to say that I will join the post of the representative of Eastby, whom I believe was committed and precisely around many of the issues facing the UN, and the balances we have to do there – we must not do the best for the good enemy, but work through the UN channels. I must be allowed to make a visit to the Advance Party. I read the settings two and three times to try to find out the comments Siv Jensen made earlier this year in his battles against the UN, and as the representative of Eastby commented here, where it was said that the UN was a destructive body for world peace – quite powerful language usage. I did not find it again in the comments of the Advance Party, and so I thought it was positive. But it could be interesting if the representatives of the Progress Party in participation in various UN events presented the criticism there, it took it out to the international arena with the same language usage, to confront how it was received. That would be an interesting picture. I think it is interesting to see that the Progress Party is involved in such positive comments in the committee position, which I think contrasts with their budget proposals, which are in favour of quite deep and dramatic cuts, which the UN would probably survive, but which would have been a quite significant change in Norway's profile. Then the representative Morten Højlund of the Progress Party was concerned with the one point he wanted to raise, where the Progress Party did not join the majority, that is, this with a women's organisation. There I will be allowed to inform, and I do not know whether this may have been poorly clarified in the basic material of the Government, that there is a proposal exactly in the direction that the Progress Party called for, namely to try to consolidate many programs into one organisation. It has been part of the Prime Minister Stoltenberg's reform agenda, but we are talking here about taking programmes and other part-sessions into one organisation, getting it more focused, more clear and more responsible. If we succeed, with the support of the Progress Party, it has been a positive step.
ParlaMint-NO_2007-06-01.ana.ud1321e243	I took care, in my post, to stress that at the moment we do not see the need for this women's organization, but does it happen the kind of changes that are outlined here, with contractions etc., of course we are willing to reconsider it. Unfortunately, that's not what the story is all about. In the name of the compromise, the new organisations like to come – and then the old ones stay. There's a lot of reasons for that, but I'm not going to get into it. Now this wasn't a broad UN debate, it had a more defined area. The Minister for Foreign Affairs will be sure that when we are travelling – at least in the meetings I have attended, where the representative Jensen has also attended – we have raised criticism in our question form and raised critical questions. We'll keep doing that. It's not only reserved for the domestic Norwegian press, but we think it's a very interesting discussion to bring with us when we travel around and meet the UN. There's a relationship between what we're saying in one place and what we're saying in another place. I underlined that we agree very much, for example. on Norway's approach to this, and our criticism of the UN must not take away the perspective that we stand together on very many important values and the concrete work. At the same time, we believe that it is sometimes important to put things in perspective and really try to push something to make progress – for the sake of the United Nations and for the sake of the world community. If we just let things scour and go, accept it and say yes, yes, that must be so, I'm afraid we can end up in a situation where we get a UN we're not served with. As I also said in my post, what approach we take to the reform work in the United Nations is demanding and difficult. We have said that we should perhaps be somewhat more restrained by the financial support we provide, just to push the UN in a reform-friendly direction. I'd like to admit that these are many dilemmas. I also share many of the perspectives expressed by the representative of Eastby. There are dilemmas, there are challenges, and it is difficult to get this ‘team’, as the representative of the Trettebergstuen spoke about, to work as well as possible. It's not easy, it's a challenge. We are choosing a somewhat different approach to some of these issues than what the Government and the Foreign Minister are doing, but I think we will do the same.
ParlaMint-NO_2007-06-01.ana.ud1321e256	I am often reassured when I listen to the representative, Höglund, because he is soft and nuanced. He says it's not easy, and that's quite right. But my question was that I would like to see the minutes from the meetings outside, if the representatives Höglund and Jensen said what was said earlier this winter, namely that the UN could be a destructive body for world peace. I do not think that is within the tradition of the representative, Mr Höglund, that we agree on most things, and that we want the same thing – because if that is the position, we do not want the same thing. With regard to the fact that you should be careful not to pay money to programmes that you do not trust, that you are critical of the use of other people's money, I believe again that the representative of Eastby had a good point. Continuously, the UN programmes are very good at what else is money use. Here, the Progress Party must tolerate the focus on words and actions and budget proposals, in which it is, in part, a deep cut in the appropriations for what the United Nations is doing, among other things. peace and reconciliation. It'll have an effect. I believe that this is not a theme for a broad UN debate, but it is, after all, a debate on the work of the UN in the last year. And we live this year, we're working with the UN year after year, and then it's not unnatural that we also focus on the principal questions.
