ParlaMint-NO_2007-06-05.ana.ud458e51	The representative André N. Skelstad, who has been licensed, has once again taken the seat.
ParlaMint-NO_2007-06-05.ana.ud458e68	At the request of the Business Committee, the President will propose that the debate be limited to 1 hour and 25 minutes and that the speaking time be allocated to the groups as follows: Work Party 30 minutes, Progress Party 20 minutes, Right 10 minutes, Socialist Left Party 10 minutes, Christian People's Party 5 minutes, Center Party 5 minutes and Left 5 minutes, In addition, the President will propose that there be a succession of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the posts of members of the Government – within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-06-05.ana.ud458e79	The Norwegian fisheries policy shifted direction after the enlargement elections in 2005. A new and comprehensive coastal policy to provide a basis for coastal settlement and employment is now under way. There is an ideological distinction between the Bondevik II government and today's government in the view of the ownership of the fish resources. Well there is verbal agreement that the fishing resources belong to us all, but in practice the previous government allowed the most capital-intensive players in the fishing industry to buy quota rights of no part and ownership, at prices that are only exceeded by what we now see in Iceland. This form of privatisation of fishing rights is now coming to an end. With the support of the government parties in Stortinget, the Government is now returning to time-limited structural quotas, but in a new design. This means that fishermen who purchase an additional quota in addition to the basic quota will borrow it for 20 years, when it will be returned to the Community. In other words, the structural quota system acts as a privately funded concession scheme, where, after a pre-agreed period of time, the allowances fall back into the Community and are re-allocated within the vessel group concerned. In order to obtain the effect of the structural scheme without reserving access to the allowances to the most capital-intensive operators on the market, it is important that the quota period is of such a length as to provide reasonable assurance for the investments, while keeping the quota prices at an affordable level. Then 20 years is a sufficiently long period. It's a normal credit period in business, and it's a reasonable depreciation period. And so, in order for those who today have bought «permanent structural quotas» under the Bondevik government to receive some compensation for the transition to fixed-term structural quotas, a further five years have passed. I would like to point out here that the government is asking the government to ensure that, in future re-allocation, it seeks to equalise inequalities in the quota base. This is particularly the case with the ringnote group. It is fully agreed that in the future we will also have a varied and profitable fishing fleet capable of delivering fresh fish to the domestic market and to the large markets outside Europe and the world in general, which will ensure industry access to raw materials throughout the year. Yes, the whole purpose of structural policy is precisely to contribute to increased profitability and good profitability, not only in the fishing fleet but throughout all parts of the value chain, from the fish taken up by the sea to being sold on the market. It is this that will give lives to our coastal communities, and that will ensure settlement and employment along our coast. Fishing is one of our most important industries in the future. With sustainable management of fishing resources, with good and predictable framework conditions, the fishing industry will provide the coastal population with safe jobs in the foreseeable future. The ownership of the fishing fleet is therefore important. Locally anchored companies and ownership are of great importance for housing and employment and for the processing industry. There is a relatively broad consensus that we need ownership restrictions within the different fleet groups to prevent ownership from being concentrated on too few hands. All parties in the Committee wish to have limitations of ownership, albeit to a different extent. In the sea fishing fleet there are such limitations, but not in the coastal fishing fleet. Actually, today we know a little too little about how the ownership of the fishing fleet is divided. There is a clear need for monitoring, which must also include minority shares. However, there should be no doubt, particularly after the Committee's trip to Iceland, that the monitoring to be carried out should lead to general restrictions on ownership, including in the coastal fishing fleet. In addition, it may be appropriate to restrict the so-called "cross-ownership" of the sea fishing fleet to the coastal fleet or to the minority shares of industry in coastal vessels. I have noticed in particular that the Norwegian Coastal Fishery Team arranges that an active fisherman should not be able to own and operate more than two vessels. I think this is an interesting proposal, and a broad majority of the Committee asks the Government to assess this and/or similar arrangements that can ensure a varied and decentralised ownership of the coastal fishing fleet. The average age of active fishermen is high. In fact, the fishing industry is in the process of being digested. At the same time, the industry notes increased competition for labour from other industries. Without a profitable fleet ensuring the success of the practitioners, the fishing industry will lose its competitive position on the labour force of the future. An overall committee therefore stresses the need for structural policy to create room for new recruitment. It is important that new practitioners are brought into the industry in the coming years. Therefore, we ask the Government to give priority to the recruitment work. First of all, it is important that schools providing training in the fisheries sector are allocated sufficient training quotas to be able to provide practical and varied training for students applying for the fishing profession. The school system is essential for recruiting crews to the fishing fleet. Competence must be built here and students motivated for their professional choice. The issue of own allowances for vessels incorporating apprentices must also be considered. And finally, we're asking that part of the total quota be set aside for recruitment. The Committee also requires that the recruitment work be carried out in close cooperation with fishermen’s organisations. Both the Government, the Government and the opposition parties stress that the allocation of allowances between the different vessel groups is fixed, i.e. it is not affected by the structural message itself. It has been a prerequisite for the Committee's work, and I would also believe that business organisations and everyone else who has participated in the structural debate. And the debate has been important in all its phases – before and after the Structural Committee presented its position, before and after the Government presented its communication, and during the Committee's examination of the Structural Communication. In fact, I also believe that the debate has affected the outcome. In particular this applies to the coastal fleet and to the fleet group below 15 metres. The Government Parties support, as is known, the Government's proposal to: that the mastering system is to be continued for the smallest coastal fleet vessels until 1 July 2008, as the system is to be evaluated under an adjusted structural quota scheme for those groups which now have a structural quota system that lower the quota ceiling for coastal fishing fleets should also be able to benefit from the structural quota system between 11 and 15 metres in length, but with a lower quota ceiling; In particular, the proposal for structuring in the vessel group between 11 and 15 metres has appealed to coastal emotional life. However, it seems that the militia has calmed down somewhat after the government parties in the committee position asked the government to consider the Coastal Fishery Team's proposal to structure down the Shark Fleet. It will in reality mean the establishment of a 15-metre fire wall, where vessels below this length limit can purchase allowances from larger vessels, but not vice versa. In this respect, I would like to remind you that the Government's proposal for a limited structure contributes to increased profitability in this group, while increasing the efficiency of the fishing fleet below 11 metres – a group of vessels that has not even managed to fish their share of the total quota. Finally, I would like to mention that the Structural Committee proposed that the possibilities for co-fishing should be assessed in greater detail, especially for the smaller groups of vessels. The need for such a scheme has not been clarified and the arrangement for any co-fishing arrangement has not been assessed. This should be done before we introduce such a system, if appropriate. However, I think it is worth stressing that co-fishing must not be seen as a substitute for the operating system. However, co-operation may have important safety aspects that may be considered. That's why we're asking the government to take a closer look at these questions. As I assume that the opposition parties will explain their views and proposals, I recommend the Committee's position.
ParlaMint-NO_2007-06-05.ana.ud458e134	It's going to be line change.
ParlaMint-NO_2007-06-05.ana.ud458e137	Before this government joined, there would be a completely different industrial policy. There would be more predictability in business policy. The representative of Gullvåg was right when he said in his speech that the fisheries policy has changed direction after the government change. But instead of having a predictable policy, we have an unforeseeable policy, which is more marked by political ideology than by reality – so also in this case. Several of the Government's proposals have produced significant noise in the industry and along the coast. Is the representative Steinar Gullvåg willing to take some self-criticism for this noise that he, the government parties and the government have contributed to in this matter, or does this criticism go by?
ParlaMint-NO_2007-06-05.ana.ud458e142	I think it is very interesting that it is the Progress Party that is now addressing the noise level as a problem in the Norwegian fishing industry. Because in recent years some have actually contributed to raising the noise level of the fisheries policy debate, it is precisely the Progress Party. I think it is very interesting that, on this occasion, the Progress Party is demonstrating an unparalleled reverse operation in the fisheries policy. Because if you go back and look at the positions of this party at the latest two years ago, you can see that the cause of the unrest is not the conversion that is now taking place, but the turnaround that took place in 2005 and 2003, when almost a pen stroke introduced eternal quotas in the fishing industry.
ParlaMint-NO_2007-06-05.ana.ud458e147	This was supposed to be the reversal of the Norwegian fisheries policy. The fishing resources were to return to the community. The so-called privatisation of fish quotas would end. The settlement ends today as an adjustment to structural arrangements, with some serious violations of the principles of decision-making with retroactive effect, and the Government extends even some of the structural quota arrangements for smaller vessels. The government has now argued internally for almost two years. The possibility of a wide lashing in Stortinget disappeared. This means that we have two years of structural halt and perhaps only two years of predictability of today's decision, by the fact that an ideological crusade ended in a solid bellyplate and a highly frustrated fishing industry. The representative of Gullvåg said that the time-limited allowances go back to the Community. That's wrong. The allowances go back to the other quota owners in the same group. So a fish doesn't go back to the community, and the quotas don't get more or less private than they've been all along. I would like to ask the representative, Mr Gullvåg, whether he believes that this process was worth the cost to the fishing industry.
ParlaMint-NO_2007-06-05.ana.ud458e156	Yes, I think it makes sense that the government has taken the time to have a structural break, that the government has set up a structural committee, which has investigated the structural arrangements in the industry, and that the Stortinge has again been given the opportunity to discuss structural policy. The ratio is that the outgoing government actually changed the conditions of the overnight structural arrangements in 2005 in the case of the sea fishing fleet, without any reason to consult the Stortinget. This government has done it, and has spent time on it. I think it is important that the policy is actually anchored in this Chamber. Otherwise, I think it is remarkable that the right-wing parties in the configuration write page up and down about changes in the fisheries policy that they actually call an adjustment.
ParlaMint-NO_2007-06-05.ana.ud458e163	The fishing industry is a very important industry, which ignites both stable and precautionary conditions. To do that, it's important to have a broad deal. That should have been a broad agreement. Initially, the case spokesperson was clearly very prepared to do this. He went out public in different ways and invited to a broad settlement. But as the matter progressed in the committee, this became harder and harder. From the Christian People's Party's side, we have been willing to stretch very far to reach a compromise that could give stability and security. My question is: can the case-speakers, Gullvåg, give a brief explanation of what was actually changing along the way, since this case evolved into the only possibility of a compromise, or a broad settlement, was everyone, at all points, joining the government?
ParlaMint-NO_2007-06-05.ana.ud458e168	The structural message has come about through a relatively long and broad process, with which the representative Sørfonn is well known. During the process, it has been necessary to make compromises, adjustments have been necessary until the Government has submitted its notification. It is with regret that I record that it has not been possible for other parties to join the extended hand given by the Government in the presentation of the structural message, which differs significantly from the setting provided by the Structural Committee. It would have been interesting to hear if the fundamental difference in the view of fixed-term and perpetual allowances, as shown in the setting, is also subject to discussion. But the representative, Sørfonn, can address that in a later article.
ParlaMint-NO_2007-06-05.ana.ud458e177	The cord shift is over.
