Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e31	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e34	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PTA	Amundsen, Per-Willy	M	1971	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e39	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e53	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e62	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.RE	Eriksson, Robert	M	1974	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e71	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.MARE	Engeset, Martin	M	1964	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e86	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e89	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e102	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ADV	Duesund, Åse Gunhild Woie	F	1944	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e115	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.DAGS	Sundsbø, Dagfinn	M	1946	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e129	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ANNS	Skjelstad, André N.	M	1965	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e142	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.BHH	Hanssen, Bjarne Håkon	M	1962	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e159	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e163	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BENH	Høie, Bent	M	1971	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e178	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.MARE	Engeset, Martin	M	1964	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e187	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.DAGS	Sundsbø, Dagfinn	M	1946	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e204	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e212	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e220	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2007-11-15-lower	ParlaMint-NO_2007-11-15-lower.ana.ud2122e273	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-15	2007-11-15	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-15	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AGV	Valle, Ågot	F	1945	
