ParlaMint-NO_2007-12-17.ana.ud1745e106	The representative of Asmund Kristoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-12-17.ana.ud1745e115	The President will propose the election of two presidents for the Stortinges meetings today and for the rest of the current week – and consider it adopted. The President will propose Sigvald Uppøen Hansen and Gunn Olsen. – Other proposals are not available, and Sigvald Oppebøen Hansen and Gunn Olsen are unanimously elected presidents of Stortinget's meetings this week. The representative, Odd Einar Dørum, will put forward a proposal for a representative.
ParlaMint-NO_2007-12-17.ana.ud1745e122	I have the pleasure on behalf of the representatives of Vera Lysklätt, Leif Helge Kongshaug, Trine Skei Grande and myself to make suggestions to start a five-year general teacher training as soon as possible.
ParlaMint-NO_2007-12-17.ana.ud1745e127	The proposal will be dealt with in a regulatory manner. From the Prime Minister's office there is the following letter to Stortinget, dated 14 December 2007: ‘In the Council of State of the H.M. King held at Oslo Castle on 14 December 2007 at 2.30 p.m. 1100 is hereby decided:State Secretary Frode Berge is hereby dismissed from office as State Secretary for State Council Dag Terje Andersen.Special Adviser Øyvind Slage is hereby appointed State Secretary for State Council Dag Terje Andersen." The referenced letter shall be annexed to the minutes. – It shall be deemed to have been adopted. Before the matters on today's map are dealt with, the President will propose that the morning meeting be interrupted, if necessary, for Stortingets Christmasunsj kr. 13.45 p.m. and I'll see you again at 13.45 p.m. 16 for the evening meeting. – No objections have been raised to the President’s proposal and it is deemed to have been adopted.
ParlaMint-NO_2007-12-17.ana.ud1745e156	At the request of the Economic and Social Committee, the President will propose that speaking time be limited to 40 minutes and allocated up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to five lines following the intervention of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-12-17.ana.ud1745e165	I'm going to keep the post to the President-in-Office, Elisabeth Røbekk Nørve, in her absence. We need to treat the setting to St.meld. No 32 on the fisheries agreements concluded by Norway with other countries for 2007 and on fishing under the agreements for 2005 and 2006. Following the United Nations Convention on the Law of the Sea of 10 December 1982, coastal States have sovereign rights to exploit marine resources within their economic zones. Coastal states sharing one or more fish stocks shall cooperate on regulation and protection. In addition, Norway has concluded different agreements on foreign fishing in Norwegian sea areas. This year, as in previous years, the Industry Committee is behind the position and is taking the presentation for information. This has, however, become a bit strange. The government parties come without basis with accusations that the opposition wishes to break concluded international agreements. In addition, the government parties have made their own comments throughout the entire setting, although in many questions they are likely to be fully in line with the comments made by the rapporteur and behind the opposition. The opposition rejects in a special note the claims made by the government parties that the agreement was broken, and states that the Government, as usual, has the Stortinge behind it in any renegotiation to improve the conditions of Norwegian fishermen. I guess someone from the government parties will explain their comments. An overall opposition places great emphasis on the work against illegal, unreported and unregulated fishing, so-called UUU fishing. Here it is only to commend the Council of State for following up the extensive work of the Fisheries Minister Svein Ludvigsen. This requires focus over time, and it is important that we have control regimes that are good enough. Better control has revealed a high level of overfishing, especially in the Barents Sea. The problem is made visible by profiled individual cases, but also by the fact that agreements have been put in place as a result of good work over many years. There is some optimism that the Directorate of Fisheries estimates a decline in blackfish of 23 pst. from 2005 to 2006. Of course, this is no exact science, because it's all about calculating the extent of an activity that's illegal. Of course, there may be random changes from year to year. Whether we have a decline, it's serious about the dimensions that this problem has. In letters to the Committee, the Government estimates the value of overfishing in 2006 to be between DKr 1.3 and DKr 1.8 billion. In other words, we are talking about major losses for Norwegian fishing industry. As regards the fisheries agreement with the EU, the opposition points out that over several years the EU has overfished the mackerel quota. The challenge in the agreement with the EU is the distribution and management of the mackerel stock. In this context, it is important to establish a research project to identify the belongings of the mackerel population. A central theme is, then, whether there is actually a southern mackerel population, as envisaged by the EU. Here, the opposition believes that Norway needs to go more offensively to work, increase research efforts and possibly stand without a mackerel agreement to try to resolve the situation. Fisheries Minister Svein Ludvigsen was pressured by a change in the water regime that gave the EU great, and unfair, benefits. It is important that there is a political pressure in such cases, for Norway, of course, does not get anything free in negotiations with other nations. At the conclusion of the Smuttull agreement between Norway, Iceland and Russia in 1999, the Foreign Affairs Committee stated that, by means of revision, there should be an objective to achieve a better balance between the quota that Icelandic vessels can take in Norwegian zones and the Norwegian vessel quota in Icelandic zones. The Fisheries Shipowners’ Association took the initiative to renegotiate the agreement both in 2002 and 2006. This is an agreement that can be renegotiated every three years. The Committee asks the Government to take the initiative to renegotiate this agreement at its next opportunity, or to inform the Government of the reason for not doing so. As far as framework conditions are concerned, it is important to ensure the same level of technical regulation as possible. An example is the determination of the water flow rate. Other examples are that fleets from different countries use different conversion factors, different mesh sizes, different minimum dimensions, etc. In the issues of the Muttull agreement, the EU agreement and the framework conditions, government parties express great frustration at the fact that these are at all mentioned in the comments on the vote. A more indifferent approach to the key framework conditions for the Norwegian fishing industry should be sought for a long time. It tells us a little about the situation in the Norwegian fisheries policy that the views of the Workers' Party's Fisheries Commissioner, Steinar Gullvåg, in today's Fisherman are reflected in the clouds of Icelandic fishing boaters. Government parties should take into account the fact that, like the NOx tax and structural issues, this is a matter of major importance for Norwegian fishermen. This is probably a matter where the opposition has to press the Government to take care of Norwegian fishermen's interests.
ParlaMint-NO_2007-12-17.ana.ud1745e204	In recent years, there has been civil peace on the Government's annual notification to the Storting on fisheries agreements with other countries. But not now. The opposition wants to renegotiate important agreements, primarily the agreement on the Smutthole. The opposition is also dissatisfied with the mackerel agreement with the EU, and they are critical of the Government’s efforts to combat illegal, unregistered and unreported fishing. Now it's hardly any news that the opposition parties are still stuck in Svein Ludvigsen's and Bondevik government's fisheries policy. But I think it is alarming that they choose to express it in this context, because it gives the impression that the Government no longer fully supports the contract that this and former governments have spent years developing. I have some doubts as to whether this is really the opposition's view. If so, it can actually influence Norwegian positions in future negotiations. The fisheries agreement with other countries is, and has been, a carrier of Norwegian fisheries policy. Without mutually committed agreements and good and trusting cooperation with our main neighbouring countries, it will be difficult for us to manage common fish stocks in a sensible and sustainable way. And without a common agreement and control system, we will not live in black fishing either. The agreement between the Governments of Norway, Iceland and Russia on fishing in the Smutthole was concluded in 1999. Since then, the agreement has been extended twice, since 2006. There is reason to recall the origin of the agreement. It was concluded as a result of a significant Icelandic fishing activity in international waters of the Barents Sea and a fundamental disagreement on fishing outside the 200-mile limit. In the agreement, Iceland made significant concessions. Iceland now recognises the Norwegian-Russian administration regime for Norwegian-Arctic cod and thus refrains from fishing in the protection zone and the Smutthole. It also grants fishing rights to Norwegian and Icelandic fishermen in each other’s economic zones. This trading relationship and the Icelandic concessions are the basis of the agreement. Therefore, there is a reason why the Norwegian governments, i.e. the Bondevik government in 2002 and the Stoltenberg government in 2006, did not request a revision of the agreement. Neither have any of the other parties to the agreement. I have recorded that in this context the opposition parties also run the case for the Fischbooträder Association when they now ask for a renegotiation of the agreement. I don't think it's wise immediately to throw yourself at the play of some nutritionists in this particular question. Norway, the EU and the Faeroe Islands have had a joint management of the mackerel in the north-east Atlantic since 1999. This management plan has provided stable and sustainable mackerel fishing. Since we now also agree on the management of Norwegian pelagic herring and colt, all the large pelagic stocks are covered by fisheries agreements. Leaving Norway away from these agreements means that the countries currently managing common resources are no longer bound by a total quota for the common stock. In that case, the consequence will be over-taxation and in the worst case, that the stock can collapse. Government parties do not seem natural for the Storting to decide on the framework and content of future fisheries agreements. We believe that it must be up to the government at all times to assess what serves Norwegian interests best, of course within the framework of the overall mandate given by the Stortinget.
ParlaMint-NO_2007-12-17.ana.ud1745e221	Let me first thank the case rapporteur for the job that has been done, and say that we can join most of the post that Mr Hansen made on behalf of the case rapporteur. Let me start by commenting on the last post, from the representative of Gullvåg. I think one of the reasons why there is an overall opposition behind the comments is that it will do something about fisheries policy. We want an active fisheries policy. We have an engagement. Then we just have to record that the government parties want it the exact opposite, and that neither should we talk about the fisheries agreements. There we totally disagree. We don't want to move power from this hall. We actually want the Storting to have an engagement in that area as well. But for the representative of Gullvåg and the red-greens it is probably most comfortable that the least possible of the various things that come from this government are dealt with in this room. We have seen that, among other things. within travel, and we've also seen it in shipping. Having said that, we believe it is important to improve the framework conditions for the Norwegian fishing industry, and then, of course, renegotiation of the agreements is a central position. We want to strengthen Norway's position, not weaken it. We believe that this is important for the industry. We record that other business operators believe the same thing, and we have no problem supporting them in this way. Because we share the Norwegian fishing resources with other countries, and it is important to make good positions and have a commitment. I wish that this government had the same commitment to the fishing industry as one has to the climate issue in Bali. Then it could have been done quite well for the Norwegian fishing industry. By sharing resources with other countries, it is important to combat the unregulated and illegal fishing that is happening. We see that the commitment of the Government in this matter is to follow up what the Fisheries Minister Svein Ludvigsen and the previous government did. That is what we think to be good. But we are deeply concerned that this government is now making sure that the Coast Guard has a significant reduction in its budgets, which means that the number of sailing days for next year is falling by between 20 and 25 pst. If you are unable to control where crime is committed, you have been faced with a very difficult situation. So this government has done it with full consideration. When you look at the huge amounts of illegal fishing, up to 2 billion dollars a year in first-rate terms, it's quite incomprehensible to choose such a passive strategy for Coast Guards. I just want to show that the Progress Party in its alternative budget proposed to strengthen the Coast Guard by 300 million. kr. I think that's a minimum of what the Coast Guard should get for next year, and that's what we're going to follow up in the years that are coming.
ParlaMint-NO_2007-12-17.ana.ud1745e232	Fishing agreements with other countries are crucial to ensure Norway's access to fishing resources and to avoid overfishing. There is a broad consensus on whether they will override the objectives of securing the interests of Norwegian fishermen and having the most efficient management of resources. At the same time, as it's already shown here, there's a problem between the government and, among other things, the government. Christian People's Party on Procedurals and Tools. A collective opposition of e.g. that the Government should initiate the renegotiation of the Smotthol Agreement with a view to achieving a better balance for Norway's advantage. This would be in line with the intention of the Foreign Affairs Committee in connection with the conclusion of the Agreements in 1999. Both in 2002 and 2006, as has already been said, the Federation of Fishermen took the initiative in such a renegotiation. The fishermen have reason to be disappointed that the government party didn't give us a big one. Russia shows little willingness and ability to follow up the actions agreed between Norway and Russia in the context of control. This is not acceptable. In the EU, it is now recognised that their fisheries policy is in crisis. The EU's own audit body states in a recent report that the EU is running almost uncontrolled overfishing, resulting in dramatic stock failure. Four out of five species of fish are overfished. The same is the conclusion of a report known through the Financial Times on 26 September. The report shows, among other things: that the EU has, because of overfishing, a fishing industry that is among the least profitable in the world. About 80 pst. EU stocks are overfished. The global average is 25 pst. When the European Commission received the report, he was banned from circulating. It may not be so strange. The one author, David Symes at the University of Hull, United Kingdom, writes: Over the past 25 years, the EU institutions have represented over a period of disparate decline for Europe’s fishing industry. The second author, former president of the International Council for the Exploration of the Sea Mike Sissenwine, writes: It is difficult to understand how an organisation located almost inconclusively in Brussels can manage the variation in fisheries and coastal communities spread across Europe. Norway's fisheries management is particularly good and resilient compared to what we find in the EU. But the government must act. The EU needs to be forced to change, such as: Former Minister of Fisheries Svein Ludvigsen took part in bringing an end to the EU's unfortunate watershed decision. In the case of fisheries crises in the EU, Norwegian North Sea fishermen are also affected. An overall opposition indicates that the EU has overfished the mackerel quota for several years. The government must have a joint research project in place to map the region of the mackerel. Thus, we can have a better distribution of the macroloutt between Norway and the EU. The release of fish is also a major problem in the EU. Up to 60 pst. EU fishing in the North Sea will be thrown out at sea, according to the EU's own figures. The EU's Fisheries Commissioner, Joe Borg, told the NRK on 20 November that the Union had agreed that something had to be done. But he didn't know how to agree on the details. This is not possible! The government urgently needs to engage in dialogue with the EU Commission and the UK and other countries in order to prevent discards of fish. Something else will be a betrayal of the food situation in the world, of the environment and of Norwegian fishermen.
ParlaMint-NO_2007-12-17.ana.ud1745e255	I would like to begin by stressing that sustainable resource management is a central objective of the Government in the fisheries negotiations we conduct each year with other countries. I've read the Committee's configuration, Innst. S. No 77, with interest, and must say that the Committee's comments show that in most cases there is a consensus on the objectives we should have in these negotiations, and what are our challenges. I notice that the committee is particularly concerned about illegal fishing. This is a concern which, of course, I fully share. In the negotiations with Russia, the illegal interception of cod in the Barents Sea has been the central theme for several years, and Norway and Russia agreed on further measures to address the problem in the autumn. Since October 2006, the fisheries authorities have exchanged data on satellite tracking of fishing vessels throughout the Barents Sea and the Norwegian Sea. This has provided both national authorities with a much better overview of fishing activity. The Minister of Justice, through talks with his Russian colleague, has reached an agreement on enhanced control cooperation, and therefore representatives of the Russian Public Prosecutor's Office took part in the 36th session of the Norwegian-Russian Joint Fisheries Commission in October this year. Norwegian fishing authorities have transmitted a comprehensive material on the fishing activities of Russian vessels on shared stocks. As a result, Russian authorities have fined Russian operators for several $10 million. In 2007, the Norwegian and Russian National Audit Office completed a comprehensive parallel audit of the management of the shared stocks in the Barents Sea by the two countries. The report concludes that Norwegian fisheries management is consistently working very well to reduce illegal, unreported and unregistered fishing, the so-called UUU fishing, in the Barents Sea. According to estimates, overfishing was reduced by 23 pst from 2005 to 2006. for cod and 55 pst. for elevators. This represents fish for hundreds of millions of dollars, and the reduction of overfishing leads to an increase in cod quota for 2008. We also have indications that overfishing is further reduced from 2006 to 2007, both from the monitoring of fisheries in the Barents Sea and from the market. The Norwegian-Russian Joint Fisheries Commission established a total quota for Norwegian Arctic cod for 2008 of 430000 tonnes. There is an increase in the quota of 6000 tonnes compared to the current year. The increase in the quota from 2007 to 2008 is a consequence of the reduction in overfishing, thus benefiting law-abiding fishermen. The quota is in line with the adopted tax strategy for Norwegian Arctic cod, on which Norway and Russia have previously agreed. Control was also a central theme of the negotiations with the EU on a 2008 fisheries agreement. I am pleased that we should continue the strong focus on control. The EU is a constructive partner in the fight against UUU fishing and Norway has achieved significant steps in the right direction in its efforts to achieve satisfactory control regimes for all fishing Norway is participating in. The Parties shall continue to focus on the control of pelagic landings. After achieving much on the landing side, the parties shall now have a special focus on what is happening at sea, such as: draft. In the bilateral fisheries agreement with the EU, we have put in place long-term management plans for herring, sieving, hay and cod in the North Sea. The aim is to ensure sound management and to contribute to a stable framework for industry. Norway and the EU agree to strengthen cooperation in order to introduce measures to improve the pattern of taxation in the North Sea, including the introduction of more selective tools and reduced drafts. This is very important to ensure that the effective extraction is sound. As regards the international administration of Norwegian springing herring, the coastal States also continued the agreement in 2008, with an increased quota in line with the recommendation of marine research. As regards the management of coal, the agreement continued for 2008 with a reduction in the total quota from 1,7 million tonnes in 2007 to 1,150000 tonnes in 2008, a reduction resulting from the biological advice. Norway has the overall strategy of achieving responsible management of all marine living resources in the North Atlantic. Such responsible resource management is committed to Norway by international law through the United Nations Convention on the Law of the Sea and the United Nations Agreement on all fisheries at the high seas. Cooperation in the north-east Atlantic has developed very positively. In 2007, the parties have worked in particular to monitor the implementation of adopted measures, port State control and control of pelagic landings.
ParlaMint-NO_2007-12-17.ana.ud1745e291	It's going to be line change.
