Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-12-13-upper	ParlaMint-NO_2007-12-13-upper.ana.ud1991e91	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-12-13	2007-12-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-12-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2007-12-13-upper	ParlaMint-NO_2007-12-13-upper.ana.ud1991e105	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-12-13	2007-12-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-12-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2007-12-13-upper	ParlaMint-NO_2007-12-13-upper.ana.ud1991e121	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-12-13	2007-12-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-12-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2007-12-13-upper	ParlaMint-NO_2007-12-13-upper.ana.ud1991e137	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-12-13	2007-12-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-12-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2007-12-13-upper	ParlaMint-NO_2007-12-13-upper.ana.ud1991e153	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-12-13	2007-12-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-12-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2007-12-13-upper	ParlaMint-NO_2007-12-13-upper.ana.ud1991e169	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-12-13	2007-12-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-12-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2007-12-13-upper	ParlaMint-NO_2007-12-13-upper.ana.ud1991e185	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-12-13	2007-12-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-12-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2007-12-13-upper	ParlaMint-NO_2007-12-13-upper.ana.ud1991e201	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-12-13	2007-12-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-12-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2007-12-13-upper	ParlaMint-NO_2007-12-13-upper.ana.ud1991e217	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-12-13	2007-12-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-12-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2007-12-13-upper	ParlaMint-NO_2007-12-13-upper.ana.ud1991e233	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-12-13	2007-12-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-12-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2007-12-13-upper	ParlaMint-NO_2007-12-13-upper.ana.ud1991e250	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-12-13	2007-12-13	Upper house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-12-13	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
