ParlaMint-NO_2007-02-01-lower.ana.ud803e67	No one has asked for the floor. [[See page 278]]
ParlaMint-NO_2007-02-01-lower.ana.ud803e83	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 5 minutes to each party and 5 minutes to the Council of State. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies from members of the Government within the allocated speaking time. The President will also propose that those who are on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted. The first speaker is Sonja Irene Sjøli – for the rapporteur, Inge Wohnning, who is a member of the Lagtinget.
ParlaMint-NO_2007-02-01-lower.ana.ud803e94	Since 1997, the Norwegian patient register has been established as an unidentified register with the Consent of the Data Protection Authority. The purpose of the register is to provide the basis for the administration, management and financing of the specialist health service. In Ot.prp. No 49 for 2005-2006 the Government proposes that the Norwegian patient register be made person-identifiable. The objectives of the register are proposed to be extended so that the register can be used for medical and health research. In addition, disease and quality records shall be based. It is pointed out by the Government that the current register cannot satisfactorily fulfil these objectives because it is not possible to follow the individual patient through the course of treatment, since the RE is not a ‘patient’ but ‘event’ of the specialist healthcare service. An overall committee supports the Government’s assessment — that it is appropriate to be able to follow patient courses, in order to facilitate better research and quality assurance of health services. This will provide a basis for the development of a better patient offer. However, the present proposal also raises fundamental questions about how to balance the interests of privacy with the need to promote research and development in the health sector. There is a clear dividing line between the government parties and the opposition on how stringent we are to impose on the protection of sensitive data protection in the new health record. The majority of the Committee is based on the fact that health information is by its nature sensitive and that this implies that the protection of privacy must be given particular attention in relation to the processing of such data. The government’s proposal for a person-identifiable register without consent means that large amounts of sensitive information are collected in one place, without patients having the opportunity to reserve themselves against this registration. As the majority sees it, the Ministry's proposal for a register form involves a significant deterioration in the privacy of individual patients, while at the same time a collective risk of misuse of very sensitive information. The majority of the Committee considers that the fact that more people will have access to sensitive health information means, in itself, that patients’ needs for discretion are less met, irrespective of the rules on professional secrecy. We believe that this is problematic, especially in the light of the fact that patients are not given the opportunity to reserve themselves against registration. While the social benefits of a person-specific register are obvious, the majority consider that the personal disadvantages are significant. The right has received support from the other opposition parties in the demand for external encryption of patients' identity in the new health registry, and we are pleased about that. This will mean that no one will have access to encrypted identity and the actual identity of the patients. Such a solution would better ensure the protection of individual requirements for the protection of sensitive information while at the same time reducing the risk of collective misuse of information. Both the Swedish Data Protection Authority, the Swedish Health Authority, the Norwegian Medical Association, the National Centre for Telemedicine, the National Association for Cardiology and Pulmonary Diseases and the Joint Organisation of the Disabled also advocate external encryption of privacy and support the majority of the Committee. The external encryption requirement is in addition to the other security measures proposed by the Government. The majority of the Committee has argued that it is possible to follow a patient’s course even through external encryption, but that this is somewhat more demanding and implies that only healthcare institutions can contact the patient. The disadvantages this brings to researchers will clearly be compensated by better privacy. The Government Parties state in the vote that the majority's proposal implies the establishment of a new register form. This can hardly be an argument against an external encryption scheme. It is the policy that must preside over legislation and not the other way around. Several times, at the latest in the Great Britain debate before today, the Government has pointed out that the previous government sent out a draft consultation in line with what they are now proposing. And that's right. However, contrary to current government parties, the opposition has been willing to listen and to adjust the law to the serious objections raised in the interests of privacy, among others. from the bodies that I mentioned earlier in my article. When the government now proposes to collect large amounts of sensitive information in person-identifiable form, without the patient having the opportunity to reserve himself against this, we believe it is alarming that one is not willing to ensure the best possible protection of privacy.
ParlaMint-NO_2007-02-01-lower.ana.ud803e115	I'm not going to make any comment, because the debate went into the Stortinget earlier today on a similar matter. I'm just going to explain that the Workers' Party, the Socialist Left Party and the Central Party are promoting proposals for amending the legal text. We believe that the legal text must reflect the fact that our person-identifiable records are internally encrypted, and therefore propose an alternative legislative wording to the proposition.
ParlaMint-NO_2007-02-01-lower.ana.ud803e120	The representative, Rune J. Skjellera, has taken up the suggestion he made.
ParlaMint-NO_2007-02-01-lower.ana.ud803e123	I'm not going to contribute to doing this any longer than necessary, but just saying that as the Government and government parties see it, we believe that the de-identifiable register we have today cannot meet the need to manage and manage healthcare properly. The reason for this is, as was also seen in the debate in Stortinget, that we cannot follow the individual patient through the course of treatment in such a register. It is an overall task for the Government to ensure that the health of the population is best cared for. When this is the case that the register we have today does not provide sufficient information on the extent to which healthcare is able to ensure good access for the whole population to high-quality healthcare, we believe that we need to do something about it. Like everyone, we believe that good quality treatment is very important for people to have confidence in health care. Then it's a problem that we lack an overview of the morbidity of the population. I'll just mention one example to illustrate it: Heart and car diseases are, as we know, the most common cause of death in Norway. But we don't know how many people get heart attacks every year, how many survive, and if the survival rate is the same for women and men, for example. Unfortunately, the lack of such data applies to a large number of diseases. One important exception is cancer, through the Cancer Register, as known. This is the background for proposing Norwegian patient registry in the form that we do. Then we get better data and opportunities to research more, and balance it against the other important consideration, namely privacy. But the whole purpose of this is to be able to give patients a better patient offer.
ParlaMint-NO_2007-02-01-lower.ana.ud803e134	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 280]]
ParlaMint-NO_2007-02-01-lower.ana.ud803e150	The Economic and Social Committee has examined Ot.prp. No 85 for 2005-2006, amending the Law on seafarers. The Committee has noted that the main issue is the introduction of established rules on non-discrimination at work, to which we are obliged by EU law and which have also been implemented in other Norwegian labour law legislation. The Committee considers it natural that these amendments are also included in the Maritime Act. Furthermore, the Committee has had no other comments on the Government’s proposal.
ParlaMint-NO_2007-02-01-lower.ana.ud803e159	The present legislative proposal is, in fact, a follow-up to the EU directive on equal treatment for men and women at work and on information and consultation with workers. In Norwegian law, these directives have previously been included in the Working Environment Act, so now the Maritime Act is under way. The Maritime Act does not currently have provisions that explicitly prohibit discrimination in the labour market. The government proposes that two new chapters be introduced into the law. They deal with equal treatment in the labour market and the prohibition of discrimination and information and consultation with business representatives. Thus, the legislative proposal prohibits direct and indirect discrimination on the grounds of political views, membership of an employee’s organisation, sexual orientation, disability or age. In addition, rules are provided on information and consultation for use in ships registered in the Norwegian Ordinary Ship Register. The law covers all aspects of employment at sea — from the publication of a post until the vacancy ceases to exist. Consequently, the prohibition of discrimination will also apply to matters such as: promotion and establishment of pay and working conditions. However, the law cannot be applied to differences arising between employees due to membership of an employee organisation, i.e. as a result of collective pay and working conditions. Therefore, in the fight against social disparities in Norwegian and, to the extent, also in international shipping, the proposed amendments to the Maritime Act have a relatively limited impact. Obviously, there has to be other instruments here. Seafarers' wage and working conditions are unfortunately a competitive factor in today's shipping. As the importance of compensation of employees for the operation of ships, at least in some areas, becomes smaller, and the knowledge and competence requirements will increase — and the fact that more and more countries join the ILO legislation in this area — the social conditions of seafarers will hopefully also be settled gradually. However, in Norwegian shipping, Norwegian domestic shipping, we are facing a very acute situation where Norwegian ships with Norwegian pay and working conditions are increasingly facing competition from foreign ships with completely different pay and working conditions. Norsk Sjømannsförbund sees no solution to this but that the law on the publication of collective agreements must also be applicable in Norwegian territorial waters. With an increasing traffic between Norwegian ports, and as far as the Norwegian base, of foreign ships with foreign crews, this is a threat that we have to take seriously in time to come.
ParlaMint-NO_2007-02-01-lower.ana.ud803e174	Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2007-02-01-lower.ana.ud803e191	The Economic and Social Committee has examined Ot.prp. No 87 for 2005-2006 on the Law on Safe Seas. The Committee has noted that this proposal for a law is a scrapping-up of existing legislation which has been partially outdated and has carried out a good and necessary clean-up in this legislation. This is a model that the Government should also consider applying to other legislation that needs revision. The matter is unanimous on the part of the Economic and Social Committee. However, I would like to point out the following: the bill sets out a comprehensive regulatory framework. I would like to ask the Government to be careful to create an overly comprehensive regulatory body, so that the legislation is not too complicated for them to deal with, and for those businesses that are going to comply with this law. In addition, I would like to point out that during the examination, the Committee has received an enquiry from the Norwegian Association for the Protection of Vessels, NFF, which is concerned that the fleet of protected vessels will have problems complying with such a modernised legislation in areas such as: crew training and construction requirements. I would ask the Government to take this recording into account when preparing the regulations relating to the law, so that those who are engaged in good and necessary ship protection do not suffer from the introduction of a new law in this area.
