ParlaMint-NO_2007-06-13.ana.ud1426e94	The representative, Elisabeth Aspaker, will put forward a proposal for a representative.
ParlaMint-NO_2007-06-13.ana.ud1426e97	I have, on behalf of the representatives of Erna Solberg, André Oktay Dahl and myself, the pleasure of proposing the introduction of minimum penalties when convicted of serious criminal offences third time or more.
ParlaMint-NO_2007-06-13.ana.ud1426e102	The representative, Per-Willy Amundsen, will put forward a proposal for a representative.
ParlaMint-NO_2007-06-13.ana.ud1426e105	On behalf of the representatives of Jan-Henrik Fredriksen, Jan Arild Ellingsen, Øyvind Korsberg, Tord Lien and myself, I am delighted to make suggestions to wind up the Finnmark property – and close the Sametinget.
ParlaMint-NO_2007-06-13.ana.ud1426e110	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will propose that the morning meeting, if necessary, continue beyond the regulatory time, at 5 p.m. 16 until today's map has been processed. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-06-13.ana.ud1426e126	No one has asked for the floor. [[Fotation, see page 3596]]
ParlaMint-NO_2007-06-13.ana.ud1426e142	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 1 hour and 10 minutes and that speaking time be allocated to the groups as follows: Working Party 20 minutes, Progress Party 15 minutes, Right 10 minutes, Socialist Left Party 5 minutes, Christian People's Party 5 minutes, Center Party 10 minutes and Left 5 minutes. Furthermore, the President will propose the possibility of a replacement of lines within the allocated speaking time of up to three lines after the submission of the main speakers of the parties and up to five lines after the insertion of members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-06-13.ana.ud1426e153	Today, we are going to consider how to ensure that municipalities can provide a good school offer, a safe and close care for the elderly, a good cultural offer and fill some gaps in the way – we are going to deal with the municipal planning for 2008. First, I want to start with some facts. The municipalities get between 1.5 and 1.75 billion more in free money. We're adding 425 million. kr more to the resource-requiring services scheme. At the bottom of this arrangement is that we've got 700 million. kr more in increased tax revenue this year, which means that we have a solid foundation for next year's budget. If we include the earmarked bets, next year, the municipal sector will have between 4.5 and 5.25 billion more to work with. With this scheme we have got a real growth of approx. 20 billion kroner over the years that have gone after the election. It is a solid foundation for the municipal sector. In a hundred days, there will be a choice - local choice. 431 rapporteurs and thousands of elected representatives should ask for trust. There will be a flood of local debates. Local candidates should point out the direction and give their answers to the challenges they face in their municipality, as we did two years ago. The first two points in my and the Central Party election program were school and care. The solution we in the Centerpartiet, Arbeiderpartiet and SV pointed to was strengthened municipal economy. We pointed to community solutions. The direction we wanted was clear, and people decided in elections. Then the question is after two years: can we see any change in direction after the big shot? Is there a significant difference between the debate today, when Haga is a minister, and the debate four years ago, when Solberg was a minister? I don't think I need to answer. Everyone who can see sees it. Direction has been changed. A new course is fenced out. And as the rapporteur-in-Office, I am happy to say that today there is peace in the finances of the municipalities. A broad majority of the Committee has joined the framework established by the Government. In the setting, there are essentially two views of why the change has occurred. Someone thinks it's a coincidence. The rest of us see it as a result of the election. The political parties involved in welfare and community came forward. Those who were betting on the opposite, went back. Erna Solberg's line was rejected in elections. Norway is a country with a diverse geography and a very different population composition in different parts of the country. In Norway, we have had the will to balance differences, and that is not least what we see in the income system. The majority and the Government want a facility for next year's municipal planning that will allow everyone to participate in the welfare growth. The minority tax regime, with the Progress Party, the Right and the Left, would have led to only a few municipalities sharing in the growth. In my view, such a policy would have led to increased centralisation. Four years ago it was an dawning municipal uprising. It was stagnation and partial degradation of public welfare. There were many conflict- filled processes that took the focus away from the main thing, namely to provide good care and provide a good school. According to a 2003 KS study, 56 pst decreased. of the municipalities one or more services. The reductions particularly affected two core areas: school and care. Now we see a completely different reality. The reports show that it has gone from cut to reinforcement. The extra money is largely used where they are needed most. In 2006, 16100 more kindergartens were established, a larger increase than ever before. There were 3,900 new annual works in the care sector. There are more young people in secondary education than before, and more people have the first choice. The political change the voters asked for has begun to work. Now there is local choice, and the basis is soon in place, so that you get real local freedom of action. One can look at the possibilities for development in its local environment instead of degradation. Democracy works, direction is reversed.
ParlaMint-NO_2007-06-13.ana.ud1426e174	It's going to be line change.
ParlaMint-NO_2007-06-13.ana.ud1426e177	Let me first begin by congratulating the government parties on taking a major step towards price financing. The funding mechanism for resource-intensive services has been reversed from next year. That's very good. You're going to have a very complicated and unwieldy system, which hits the municipalities fairly randomly, to a system that more closely follows the individual user. The system has a proper entry point and a special feature for the individual municipality, but in principle it is the same as the Progress Party has always worked for in this room, that is, a single price finance, where the costs of the individual user are covered. It's a good promise. The Government Parties will extend this scheme to other types of basic services, so that it may also apply, for example: for the elderly?
ParlaMint-NO_2007-06-13.ana.ud1426e182	In the three government parties, we are dedicated to seeing people and looking at whether the solutions that we come with are adapted to the reality that is out there. We have a pragmatic relationship with politics to just solve the challenges we are facing. We saw that the resource-requiring service system was not good enough. To find a good solution, we added more funds, 425 million. NOK, and we put in a predictable system. We believe that it was wise and correct in relation to the special group, where an individual can turn out an entire municipal budget. Predictability for municipalities is important, so if they move a strong multi- handicap to their municipality, they know what they are getting. I think it was wise and right that we made that change. But this is not a sign that we want price financing. We're looking at every area, we're thinking practical and wise. I think we have come up with a good solution that ensures the individual, but also gives greater predictability to the municipalities that have many heavy users.
ParlaMint-NO_2007-06-13.ana.ud1426e189	The representative Trygve Schlagsvold Vedum has made history falsification a sport. He starts writing history consistently in 2006 in terms of the municipality's economy. The government's calculation selection has several times determined that the change in local government's economic development occurred in 2004, and the main reason for this is higher tax input. They also explain developments in 2006 and 2005 in the same way. State Council Åslaug Haga answered my questions in January 2006 that 2004 was the year of historical growth in the municipalities' economy. It is necessary to return to 1997 in order to find a corresponding growth. The reason for that time was that the economy was turned upside down. Battle violence Vedum samples in its article to produce that this development is also due to a government shift in the autumn of 2005. The government's own calculation selection proved it was wrong. What is the representative of the Battle Force Vedum, as the Government's calculation committee does not know in this matter?
ParlaMint-NO_2007-06-13.ana.ud1426e198	In the election campaign four years ago, Right went to the elections with the slogan: More left for the money. The focus was very much on efficiency, rationalisation, community mergers, large processes that applied to the structure. This year, the Right has agreed to many of the same comments that the majority have. I'm glad. I think that the right has also seen that the line they led, especially the first few years they put in government, was flawed and created many conflicts and few results. When we took over the government power, it was a completely different economic arrangement from the Bondevik government, than what we decided. We added over NOK 4 billion in our setup in Stortinget, and last year we got a huge boost in the municipal layout, with over NOK 6 billion when the sums were summed up. So it was a change of pace after the big shot, and I think that's what everyone can see if they want to see.
ParlaMint-NO_2007-06-13.ana.ud1426e203	The Christian People's Party is pleased with every single krone that comes extra to the municipalities for well-being, whether it comes from tax receipts or through framework transfers. Is it not the case that approx. half of the income of municipalities comes from tax revenue? So if tax revenue doesn't increase, and if we don't have a good business that goes well, very much of the municipality's economy won't be improved. I talked to Sandne's municipality, in which I myself live, about the results of the last year. I asked, how can it be that there are better results than in 2006? Well, it was mainly due to the tax revenue that had increased, increased dividends from power companies, and, thirdly, increased framework transfers. Isn't it, Trygve Schlagsvold Vedum, that we have to include all the factors and a good industrial policy when we boast of the local economy?
ParlaMint-NO_2007-06-13.ana.ud1426e210	The President will remind you that all speeches must be addressed to the President.
ParlaMint-NO_2007-06-13.ana.ud1426e213	This government has allowed the municipalities to keep the tax growth, precisely because we think it is so important that the municipalities get a growth, and they can do the important tasks they have. That's why they've got to keep the tax revenue. You could choose to do the opposite, but thanks to the political will, we have not done so, because we want to strengthen the community. In addition, we have chosen to increase the framework transfers to the municipal sector. It is also part of this year's municipal proposal that more efforts be made to increase the framework transfers, precisely in order to have a good distribution effect, so that all municipalities will share in the growth of wealth, not only those with tax-intensive inhabitants. So in total we've done two things: we've increased the framework transfers, and then we've let the municipal sector keep the tax growth. It is a political choice that needs to be made, and we have done so, because we want to strengthen well-being. We see that today's results, and I'm glad that the Christian People's Party also sees is a good and sensible policy.
ParlaMint-NO_2007-06-13.ana.ud1426e221	The cord shift is over.
ParlaMint-NO_2007-06-13.ana.ud1426e224	Now that we're dealing with the municipality proposition for 2008, we can start to see a lot of the whole of the policy of the red-green government. The majority government has contributed to raising the public sector economy. With regard to the financial structure of municipalities and counties in 2008, the Government is still adding up to a real growth in the total income. This growth facilitates the continuation of positive developments in municipalities. As of 2005, revenue in the general government sector has actually increased by 8 pst. The government has made a clear commitment to welfare solutions, and it is gratifying that we are now beginning to talk about quality over quantity. The Government aims to support and further develop COSTRA as a tool for further quality development. It is satisfactory for the Workers' Party. There are several challenges and tasks that we are concerned with. The Workers' Party is working with the Soria Moria Declaration. For this reason, further notice is given on bets and focus areas in the municipality proposal for 2008. We're busy looking at both what we're getting, and what we haven't been able to get so far. A short-term challenge is the demographic development of county municipalities, which has a significant increase in the number of 16- to 18-year-olds in secondary schools. This we hope to ensure through the fact that the county councils will receive a slightly higher percentage increase in free income than the municipalities next year. First of all, I would like to say that I am very pleased to be able to track a quite clear bet on children and young people in the proposition. The kindergarten bet is, of course, maintained. There we are targeted, and full kindergarten coverage is in sight. Further work is also being done to include childcare facilities in the framework funding, and this reform is a major task. These are many thousands of children who will have the right place, they will be able to expect quality, and they will have predictability. When kindergartens are transferred to municipalities, it is important that we have dialogue in focus, so that the transition can be as smooth as possible. Then it's school bet. We still need more years of teaching, and this is what we're doing. The figures are on the way up, with 600 new annual works in 2006. When we're working to create greater security and more activity in school, we also have to make sure that the children get good guidance and safe adults around them. It is therefore gratifying that the government is trying an extended school day. It's a step in the right direction. We need students to get a greater benefit from school day. A strengthening of real science, homework and physical activity hope we will deliver results. A first-rate education is currently only organised for three hours, while the daily life averages six hours with the SFO. We believe that this is untapped opportunities for students and active six-year-olds. The proposition also shows that it is important for the Government that we focus on children’s health and development. Last year, the Communication entitled "Recipe for a healthier diet", a message that all government members with their respective departments have signed to contribute to healthful care for children and young people. I am very pleased that we are introducing a fruit and vegetable regime from next year. It may help more people to approach these ‘five a day’, and I personally feel it as a quality promise for the public school. First of all, we put it in high school. It is in order to give the municipalities some time to find good solutions so that it can include the infant in a little while. I also have to mention briefly that the Committee wants the Government to continue its work on finding a loan scheme for the upgrading of school buildings – so it will be a continuation. Despite increased income for municipalities in recent years, there is still a bias in the distribution that is justified by factors in the income system. The Sørheim committee is reduced, and it is important that we leave the selection to work. In this way, we can get an overall assessment of how we can manage the municipalities that come out the worst, for example. my municipality in Vestfold. This is a very complicated system of many factors, but we are eager to find better solutions than we have today. The Labour Party continues to work towards the Soria Moria Declaration, and the goal in 2009 – as the Council of State has also stated – is to say that there is a balance between tasks and resources. It could have been nice.
ParlaMint-NO_2007-06-13.ana.ud1426e247	It's going to be line change.
ParlaMint-NO_2007-06-13.ana.ud1426e250	The representative Kosmo did not come into the care of the elderly. When the Workers' Party came into government position, they promised that they would see to it that we had an elderly care that shined, and that it would be a national, priority target. Now we have read in the municipal bill that resource-intensive services should also be a national priority area for the government parties, and that from that point of view, they have provided earmarked funding for this. The setting reads as follows: ‘However, the majority agree that designation is to some extent to be used as a management tool to achieve national priority objectives.’ Then is my question to the representative Kosmo: Will the Workers' Party also use earmarked funding to achieve the goal of an elderly care that shines?
ParlaMint-NO_2007-06-13.ana.ud1426e260	In the case of framework transfers in general, the Progress Party also knows that the Workers' Party is in order for local politicians themselves to have the most control of income. As far as care for the elderly is concerned, I believe that the strengthening of the municipal economy we have done in the period now has contributed to the fact that the conditions have been completely different in the care of the elderly. We can refer to several annual works, and as far as further development is concerned, I think we will be able to see more quality-oriented actions in the future. We have started to talk about user management in its own rows in the case of home help services etc. I have great faith that the care of the elderly is well taken care of by our local politicians. Parenting will also be a topical issue for us in the election campaign.
ParlaMint-NO_2007-06-13.ana.ud1426e267	The representative also said nothing about the municipal structure. But Prime Minister Jens Stoltenberg did that a year ago. Then he said, ‘Freedom will be stronger if local politicians at least show a willingness to unravel mergers’. And he went on to say, to the Municipal Report: ‘To me, it is obvious that the municipal structure that was right before is not necessarily right in the future. Changes in technology, infrastructure and demography mean that we must constantly show willingness to change and have a dynamic approach to the debate on local borders.’ This is what the Prime Minister believes. That's what he said. Nevertheless, the Government is now withdrawing the grant introduced by the Bondevik II Government to stimulate voluntary municipal associations. A good process was initiated by our government, but now it's over. With the Prime Minister's position, is it wise policy when the Government now removes the financial incentive that could make the municipalities consider changing the municipal boundaries voluntarily?
ParlaMint-NO_2007-06-13.ana.ud1426e282	The proposal refers to a very small voluntary activity on the part of municipalities in applying for these funds. We are engaged in quite major structural changes also in the regional debate – through the administrative reform. I am personally still very concerned that the mergers should be voluntary, and that it should be natural for the municipalities to seek cooperation elsewhere. Intercommunal companies and their development through many issues we have dealt with in the Committee earlier this year show that municipalities are just looking for good, effective solutions for their citizens. I don't think aggregations are always the right solution. I think it has to be up to the municipalities themselves to solve this.
ParlaMint-NO_2007-06-13.ana.ud1426e291	The government has promised a stepping-up plan for the local economy, but it announced an increase of DKK 1.5 billion to DKK 1.75 billion will cover only the increased costs of population development, which the representative had in mind in his contribution. According to what KS said in the hearing, this status quo means in the local economy. The high level will keep going, but there's no stepping up. My question is, simply and simply: where is it from the promises of a stepping-up plan, and where is it from the means of maintenance, to fill the swimming pools with water, etc. – the entry that you will never be able to cover before it becomes a escalator?
ParlaMint-NO_2007-06-13.ana.ud1426e298	I do not agree with the description of the representative, that there has been no escalation. As the economy has evolved, as I mentioned in my post, it has also been a real growth of 8 pst. in the municipalities. I think it's good. At the same time, we should focus on continuing to work, so that the public sector does not get back on track. I believe that when we focus on our core areas, on welfare solutions, this government has a good starting point in the Soria Moria declaration. We're targeted there. I also believe that the representative of the Christian People's Party has seen that this works, since we have reached such a consensus in relation to the municipal proposition.
ParlaMint-NO_2007-06-13.ana.ud1426e307	The cord shift is over.
