ParlaMint-NO_2007-03-08.ana.ud644e41	The representative, Kenneth Svendsen, will put forward a proposal for a representative.
ParlaMint-NO_2007-03-08.ana.ud644e44	I am pleased to make suggestions on behalf of Robert Eriksson, Gjermund Hagesetter and myself that employees over 67 years of age are paid full-earned pension regardless of how much they have in labour income.
ParlaMint-NO_2007-03-08.ana.ud644e49	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2007-03-08.ana.ud644e63	The annual reports refer to the year 2005, which is referred to as the ‘2005 Year of Personal Protection’, among others. having regard to the fact that 25 years have elapsed since the establishment of the personal and data protection legislation.
ParlaMint-NO_2007-03-08.ana.ud644e70	In 2005, extensive studies were carried out on the knowledge and attitudes of the population and businesses to privacy. The survey shows that the population has particular confidence in the processing of personal data by public bodies. This is in isolation positive. Both the public and private sectors must aim at a high level of confidence in the proper processing of personal data in the future. It is, as I said, positive that the population has great confidence in the processing of personal data, but if we look at the degree of compliance with the law, there is reason to ask questions about those who process the personal data has made this trust worthwhile. It appears that there may be a misunderstanding between the level of confidence of the population and the level of compliance with the data protection law, both in public and private actors. Although the population survey shows that employees and employers largely agree on what is acceptable on-the-job monitoring, it is important for the Government to provide a clearer regulation of legislation and regulations in this area. The use and commercialisation of online services with the possibility of charging for services over the network leads to a need to identify the payer. This is an important and predictable development of digital services, but it also confronts us with important challenges in the area of privacy. Among other things, identity theft seems to be an increasing problem. This may be due to the fact that it is becoming increasingly common to have to provide personal data by, among other things. purchases of services. In the extension of the increasing use of personal data in the purchase of services, anonymous alternatives also disappear. The Committee has pointed out in its opinion the objections of the Data Protection Authority to fully automated toll stations where no anonymous alternatives exist. It is difficult to see that there are well-founded and pressing reasons which speak of exemption from the right to anonymous movement in relation to toll stations. There is a need for a broad, cross-sectoral debate on the possibility of anonymous activity and the Committee supports an analysis of various measures to ensure anonymous solutions, as proposed by the Government in St.meld. No 17 for 2006–2007, An information society for all. The government has announced that a parallel to this work will put in place other necessary measures, including: focus on the right to be anonymous and the development of solutions that ensure such an right to anonymity, where appropriate and identification is not necessary. The government will also have measures to stimulate the use and exploitation of technologies in other ways that strengthen privacy, including: using so-called privacy-promoting technologies. Government alerts in St.meld. No 17 that it will set up a data protection commission. The Data Protection Commission shall address the vulnerable situation of privacy in relation to technological developments and make proposals to strengthen the position of privacy. Of course, there is reason to pay tribute to Lars Sponheim and Odd Einar Dørum for the initiative of a Data Protection Commission through a proposal for a representative. It is also important that we now have a government that takes privacy issues seriously and that is liberal enough to listen to good suggestions from others.
ParlaMint-NO_2007-03-08.ana.ud644e86	First, congratulations on the day, especially on all the girls! Annual reports are not the usual invitation to the most exciting political debates. Typically, annual reports are used to confirm their own political excellence or to blame the pastors. The number of supervision in recent years has increased inversely with deregulation and depoliticisation. It started already at the end of the 1970s and speeded into the 1980s and 1990s. It is obvious that even the most thoughtful liberals do not believe in Adam Smith’s ‘hidden hand’. There is a need for an open hand that can control and fix where the hidden hand does not work. In contrast to some other supervision, the Data Protection Authority is not a direct result of the deregulation process, but as much as a consequence of globalisation and not least of the new technologies, which have opened up completely new ways of recording, collecting and storing data and information. Data protection was 25 years old in 2005. There's a reason to give praise for the way they marked the anniversary. The From Trust to Control book is a reason for reading; it is a book to get wise. The book should be mandatory reading for all those who are concerned with human rights, privacy and democracy. Every day through camera surveillance and electronic tracks, we are exposed to a system where Storebror sees you. Many of us experience this as unpleasant. It's uncomfortable because it's perceived as a threat to our integrity and the private sphere. The Committee was in the United States last week. I do not know how many times during a day we were checked and inspected. I don't know how many times in a day we had to identify ourselves to confirm who we were. Control and camera surveillance have increased sharply in the last five to six years, including in our society. I also record that the majority of Norwegian people accept increased camera surveillance. The reason is the fight against crime and the fear of terror. It is a crossroads of thought that the terrible situation we had in the United States on 11 September 2001 was not prevented despite the extensive monitoring and control that was in front of us. This development is frightening, and it is unpleasant for several reasons. It is unpleasant because we are all perceived as potential terrorists, and it is a threat to democracy. It's uncomfortable because some of us experience this as a threat to our integrity, and it's boring on our private sphere. Liberal democracy requires respect for privacy. If we don't have a private sphere, we don't have an area where we can try to shape our own opinions and opinions. Privacy is the very lifeblood of democracy. One of the most obvious features of totalitarian society is the invasion of the private sphere. The totalitarian societies we know from our own close history did not have the same sophisticated ways of controlling, checking and indicating what today's technology opens up. It is all the more daunting to think about what can happen if democratic control is weakened and all information and collected data comes into the hands of people who have other goals for social development. My point of this statement is to stress that there is a limit to the use of undemocratic instruments, instruments belonging to other types of society by democracy in the defence of democracy. If we cross that line, the road is open to totalitarian society. I don't know where that boundary goes, and where we stand in relation to that boundary today, but it's important that we keep having a debate and are concerned about this to see where the border goes, and discuss and are awake and ringing about democracy. We must also keep the debate on privacy, democracy and human rights alive. That's why I think it's good that we get a data protection commission that's going to help keep the debate alive and keep the debate going. But it is primarily our task as politicians to keep the debate on privacy, human rights and democracy alive.
ParlaMint-NO_2007-03-08.ana.ud644e112	Strong privacy has been an important issue for the Left for many years. Privacy is an important part of individual freedom, and without a conscious privacy policy, we can end up in a totally monitored society. I am therefore pleased that an overall committee records that an increased requirement to provide personal data in more and more cases leads to the disappearance of anonymous alternatives. An overall committee cannot see that there are well-founded and pressing reasons which speak to derogate from the right to anonymous movement. We in the Left are also pleased that the Committee believes that there is a need for a wide-ranging debate on the right to anonymous movement. I want to address a particular topic that also has to do with anonymity, and that's data storage. I am promoting today a proposal relating to the EU Data Storage Directive. This Directive could have a major impact on the fundamental right to anonymous communication. The left is concerned that any implementation of this Directive will interfere with both privacy and freedom of expression. The Data Storage Directive was adopted on 15 March last year. This Directive requires telephone and Internet providers to store traffic and location data for at least six months and a maximum of two years. When privacy is set up for other benefits, it usually turns out that privacy needs to give up. In the vast majority of cases where privacy is being pushed, one has good intentions. This also applies to the Data Storage Directive. The aim of the Directive is to combat crime and terrorism. Work on the directive started after the cruel bombings in Madrid and London. The left realizes that it is more difficult to be privacy-friendly in practice than in theory. We also realise that privacy sometimes has to give way to the fight against terrorism and organised crime. However, we believe that the Data Storage Directive goes far too far in interfering with the freedom of ordinary citizens. In this context, I would like to suggest that, in implementing the Data Storage Directive, the Government must ensure that the information is not stored for more than six months. With this I take up my own proposal.
ParlaMint-NO_2007-03-08.ana.ud644e127	The representative Vera Lightcloth has taken up the proposal she referred to.
ParlaMint-NO_2007-03-08.ana.ud644e130	Sixteen years ago, a larger data protection survey was carried out. The Ministry of Renewal and Administration was behind it, and it was the Transport Economic Institute that carried out the investigation. It showed that very few of us are thinking in particular about collecting information about us, or we actually don't care about it. There is great confidence that the processing of personal data in public bodies and private enterprises is actually going on in a proper way. At the same time, there is little understanding that each individual must take an active responsibility when it comes to taking care of his own and others' privacy. It may not be so strange. It is difficult for individuals to see the risks involved in collecting and misusing personal data. The privacy investigation demonstrated that most of us need to become more aware of, and get better knowledge about, electronic tracks and privacy. People simply need more help to take responsibility for their own privacy and show respect for others. This is why the Government has increased the budget of the Data Protection Agency by 2 million. to communication measures to increase awareness and disseminate knowledge of privacy, rights and obligations. When the Data Protection Authority received these funds, I gave a signal that I expected them to give priority to the work directed at children and young people. In cooperation with the Directorate-General for Education and the Council of Technology, the Data Protection Authority has developed its own website on «dubedeur.no». The campaign I was with and launched on 29 January this year. It's targeted at 15-16-year-olds, so the motto is you decide. Material was sent to all youth schools and secondary schools in the country, and 60,000 brochures, posters were printed – the campaign site is established, films are made, etc. Already after one month, the data protection system is empty, so it has to print up new material. The school feedback is that there is a great need for information about the theme. The bullets did their homework not only to the target group we had fed it into, but actually to the entire youth ball and all the classes in the secondary school. Some schools have ordered up to 20 sets of classes. It says something about an enormous need to get campaigns in this area. The material takes on serious privacy issues, but does so in a humorous way, so that young people can recognise themselves in the issues. Not least, young people themselves have been involved in designing the material. We made a draft, and then we had a partnership with a 10th grade at a youth school at Lillestrøm, which was involved and actively helped to get the language right, that we got the right copies. Because it's not useful to come up with a top-down brochure from the country in this area. It must take place in order for the young people themselves to be involved and take an active responsibility for their own privacy. On the other hand, the investigation showed that the companies themselves are too poor to pay attention to their responsibility for privacy, so they were 2 million. kr would go both to children and young people, mainly, and to a campaign directed against the enterprises. This has also been developed now by the Data Protection Authority, comprehensive guidance material on internal control and information security in the enterprises, which is now available on the website of the Data Protection Authority, as well as on some active information campaigns. The efforts to create more data protection have also been intensified throughout 2006. This has been a significant increase in the number of deaths compared to the 19 mentioned in the Storing Message. As of 26 February this year, a total of 64 privacy laws have been adopted. Several of these represent several activities, so that the number of enterprises with privacy laws is significantly higher. There is every reason to praise the Data Protection Authority also for this strong commitment in the area that has produced results. The privacy investigation showed that people who have been subjected to privacy measures are more sceptical than others about how privacy is protected. Cases of so-called identity stealers underline the seriousness of this. The debate that has taken place in the media over the last few weeks shows that even information that is required may fall on others if the security or restraints of those with the information are not good enough. The thing is, I think I've been a thinker for a lot of people and I'm a good example of the fact that just storing personal data can be a threat to privacy, especially given that it's increasingly possible to identify people in connection with different payment solutions. For this reason, it is important to have a debate on privacy challenges, including: the right to remain anonymous, to which several of the representatives have been subject in their contributions. Where, for various reasons, information should or must be stored, it will be important to take a closer look at the different types of access restrictions or the logging of those who have been inside and viewed the information. This and several other important privacy challenges are mentioned in St.meld. No 17, An information society for all, which was also referred to by the case leader. As you know, I am in the process of creating a commission, including: with a background in a suggestion from the Left here in Stortingen last year. One of my favorites for the Commission is to help raise awareness about the challenges of privacy and to make a holistic assessment of privacy challenges, especially in the light of technological developments. The work of the Commission will provide us with a good basis for considering concrete proposals on how to protect privacy, whether it is a question of using new technologies or how the current instrument can be used even more effectively. So finally, just two words about the proposal from the Left, which is presented in the Chamber today. There is no doubt that the Data Storage Directive presents us with challenges. The intention of the proposal is very important that we carry with us in the assessment of the directive. The government is running the current work. I just want to say that we take these signals and this hold of the directive – which one might disagree with or disagree with – with us in the work that the Government is now doing with the finalisation of, and then we get back to the Storting in our own way and report it back.
ParlaMint-NO_2007-03-08.ana.ud644e156	From the Right-hand side, I would just like to stress that we are attending to the work of the Privacy Commission. This is an important field, and it won't be less important in the future. In this way I am very much in agreement with much of what Rolf Reikvam said in his post. When I asked for the floor, it is because the Left has put forward a proposal here in the Chamber today. With reference to the Council of State's response, we think it would be right to come back to Stortingen with this after a treatment in the Government – and in a major context – and we would recommend the Left to turn this proposal into a transmission proposal. If we are to vote on it today, we will have to vote against it.
ParlaMint-NO_2007-03-08.ana.ud644e163	It's for the Left's proposal. I think this is a good proposal. Let me say that in that way that I agree with the intention, and I also agree with the wording of the proposal for my own part. But the situation now — this case is being dealt with in the Ministry of Justice — would make it wise to turn this into a transmission proposal. I sincerely hope that the Left will do so, for it would be terribly stupid, both from my point of view and obviously also from the point of view of others, if this were to be voted down here in the hall. If, on the basis of what has been said and which will hopefully be said during the debate, it becomes a transmission proposal, which we send to the ministry, it should be a fairly clear signal to the ministry as to how they should deal with this directive. So my appeal to the Left is that they make this proposal a transmission proposal. As I said, I very much agree with the intention – what is in the proposal. It follows as a natural consequence of what I said in my main post.
