ParlaMint-NO_2007-02-06.ana.ud797e45	The representative Hans Olav Syversen, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-02-06.ana.ud797e54	The President proposes the election of a president of the Stortinges meeting today and for the rest of the current week – and considers it adopted. The President will propose Gunn Olsen. – Other proposals are not available, and Gunn Olsen is considered unanimously elected president for the current week.
ParlaMint-NO_2007-02-06.ana.ud797e79	I thought for a long time about promoting this interpellation and thus addressing this difficult issue in Stortinget. But after talking to the suicide research section, I became convinced that it was the right thing to do. Many of us have a story or experience in this area. The aim of this interpellation is to highlight a difficult issue and to help set the agenda. As a politician, I believe that one should also dare to take the tough debates and take the responsibility we have. During the weeks after Christmas, LEVE – the National Association of Survivors – has had an information campaign to raise awareness. A false death announcement across a whole newspaper page has made many of us feel that the message is direct, and it hits something in us. The aim of the association's campaign is to become visible and to increase understanding of the situation of the survivors of suicide. Every year 30,000 Norwegians experience that someone they know commits suicide. Young survivors are struggling for a long time with frustration, anxiety, depressive thoughts and feelings, concentration problems, sleep difficulties and increased incidence of physical diseases. They often experience a disturbance and recall the incident. About 70 pst. feel that they need the help of professionals. In 2004, 529 persons in Norway took their own lives, 93 of whom were men between 15 and 29 years of age. In Europe, it is estimated that 135 000 people take their own lives each year. The number is impossible to determine correctly, because there are cases where suicides are not reported. Young boys, in addition to men in their 50s, are the most vulnerable group. More die in suicide than in traffic. Norway is in the middle of the suicide rate among the population as a whole. However, in terms of youth suicide, we are at a high international level — higher than England and several other European countries. Although there has been some decline since the 1980s, it is in no way surprising that suicide continues to constitute a health problem in Norway. The causes are many and complex, and there is no fasitivity. One of the reasons for this may be the absence of the labour market during this period of life. Young boys are on their way in, while older men are on their way out. Having a job to go to and be able to support themselves and their closest ones is for most the most important thing. Today, society is making enormous demands on the right type of competence, a personality that easily slips into environments, and adaptability. Many men only have their workplaces as the social outside the home's four walls. The cost to society is that jobs are laid down and many are retired early. Other reasons why the numbers are particularly high among young boys are that it is more taboo to talk to your friends if you have it tough. For many boys, it can be difficult to seek help, such as a health care sister and a psychologist. There are also more men who succeed in their efforts. There is no doubt that mental illness and suicide are linked. Studies from several countries suggest that 90 pst. of those who take their own lives have a mental disorder at the time of the suicide. The risk of suicide is high in such conditions as depression, bipolar disorder, schizophrenia, unstable personality disorder and drug dependence. Combinations of these disorders further increase the risk. In figures, we can estimate that the risk of suicide is between 5 and 10 pst. in these conditions individually, which is approximately 10 times the increased risk compared to those who do not have such disorders. It's estimated that 15-20 pst. mental disorders of the population are milder or more severe. This means that in Norway about 800,000 people suffer from mental illness, according to St.meld. No 39 for 2001–02, Growth and living conditions for young people in Norway. The prevalence of mental illness in children and young people is estimated to vary from one survey to another. 20 pst. Furthermore, the grossing-up message states: ‘For every suicide we find more attempts at suicide. The State Institute for Public Health has estimated that the incidence of suicide attempts in the age groups below 20 years is almost twice as high among girls as among boys. In a study of high school students in Oslo, it was found that five percent had attempted suicide, while a whole 32 percent reported that they had had thoughts of taking their own life or harming themselves.» Yesterday we read in the Newspaper that the number of suicide attempts among young girls has increased dramatically in recent years. The proportion of girls who have tried to take their own life has increased by almost 30 pst. from 1992 to 2002. This shows a recent study published by NOVA. Many people don't want to take their own lives, but are self-damaging. The motive is to deal with difficult feelings, not to take your own life. This is a major challenge for health and society as a whole. Another report by the NOVA research institute on the living conditions of homosexuals and lesbians revealed alarming figures in relation to the mental health of this group. The high incidence of suicide attempts among young homosexuals and lesbians is particularly worrying. The NOVA report shows that 27 pst. by men and 25 pst. of women aged 16 to 24 years in this sample have tried to take their own lives once or more. The media often focuses on suicide, where the story of individuals is portrayed, where the survivors demand better follow-up, and where parents say that their child was not heard and did not get help. The school and contact teacher, often the only non-family adult in contact with youth, play an important role. When parents do not reach their children, the teachers can reach them. Many teachers don't dare to take up the theme because they're afraid of boredom. I would suggest that the Minister of Health, in cooperation with non-governmental organisations, launch a campaign in high school on suicide and self-harm. The aim here is not to leave the whole and full responsibility to the school, but to improve cooperation in this area. Both in prevention and in the case of young survivors, the school must be a resource. Environmental therapists and employees in sports organisations, sports clubs — and other recreational services for young people — are being associated with young people at the most difficult times. These should be trained in mental health and suicide. In summarising the joint supervision of the school health services by county doctors in 2000, the State Health Authority concluded, inter alia, that: that in secondary education there is a complete lack of provision of school health services or a severe reduction in the offer. There are considerable differences between municipalities and municipalities. Many single-members have suffered from the fact that, for periods, municipalities have closed out children’s and youth mental outpatient clinics, the BUP. SINTEF has conducted a study on treatment provision in the BUP based on treatment and user experience. The 2005 report states that treatment provision also varies drastically from municipality to municipality, and that waiting time is very long. Anne Berit Sætermo in LEVE Nordland, with whom I have been in contact, and who told me his story, says that youth is a vulnerable and weak group that does not scream if they do not get help – there must be someone else who takes responsibility for helping children and young people when they need it. With knowledge, she says, we can save lives. Today, we young people often hear how lucky we are and that the world is in front of our feet. We have parents who grew up in the postwar period, with just enough food to feed every hungry mouth in the family. They worked the readings themselves, and were pierced in them, they were stopped. Our parents have wanted to give us everything they didn't get – food in abundance and the latest cool jeans. Many of us are studying, and we're later entering the adult ranks. But at the same time, there are huge demands that we earn free education, good jobs – and not to talk about the last jeans. Many say that we live in a colder society now than before – the neighbor is a dying race. We have to start caring more about each other. Everyone is not successful in everything. Yeah, we're good, and most people grow up in enormous wealth. But we are faced with great demands for success, body ideals, finding the great love, economics and work, and performing. Often one of these things can be the drop that makes a desire to float over.
ParlaMint-NO_2007-02-06.ana.ud797e124	I would first like to thank Anna Ljunggren for bringing up a difficult topic, which it is important to talk loudly about, and also important to do something about. The problem of suicide affects all the arenas of life, which were also involved in the interpellant. And the reasons why someone chooses to try to commit suicide — and someone succeeds — can be many and complex. This could be done, for example, by: be – in order to go all the way back to growing-up conditions – the family situation, conditions in kindergarten, school, in a study situation, in the workplace and in crisis situations. All of this may be the back door because someone chooses to commit suicide. Too many relatives we know that it's hard to see what the cause can be, and that it seems pointless and inexplicable. It is therefore also quite challenging to develop concrete suicide prevention measures because there are so many different reasons why this can happen. Nevertheless, fortunately, we get more knowledge of what we can do, including what we can do. because it has been working very actively with it all the way back to at least 1994. I fully agree with the interpellant that suicide prevention work is helping to save lives, and it can save many relatives and leave too much sorrow. It is, as the interpellant points out, especially many young people who commit suicide, and of course it contributes strongly to poorer living conditions in the population. And not least, the relatives are hit hard when someone close to them has chosen to take his own life. What we also see is that both friends and family often have mental problems after such an event, and unfortunately this group also has an increased risk of suicide. That's why I agree with Anna Ljunggren that preventing suicide is a very important goal. In many cases, mental or drug dependence is part of the picture when it happens — but not always at all. Young people may not have a mental illness, but they may have been vulnerable from childhood onward — and are not robust enough to cope with the pressures they may face later in life. It also says how broad such preventive work must be. In any case, strengthening the supply of people with mental health problems and those with drug dependence is an important measure in itself. I fully agree with the representative Ljunggren that it is unacceptable to have a situation where about 3,500 children and young people on average wait for three months to get help from the specialist health service, especially because we know that many have waited for months and years before they get there. The government will therefore propose during the spring a separate waiting guarantee to ensure that children and young people do not have to wait as long as the case is today. The provision at the health centres in the municipalities needs to be upgraded — and, in particular, the school health service. We all know about many examples from schools where there is hardly a health sister — at least far from what is needed. And we know that many children and young people in stages of life may have problems talking to friends as well as to their parents. Then it's important, as Anna Ljunggren also says, that there are other people there. I think it's important to me that, in order to do something more about this, we strengthen the school health service. The PP service, child protection, decision-makers, the social office, the specialist health service and, in particular, the district psychiatric centres need to be strengthened. On the part of the Government, we give this work a high priority in the framework of the mental health escalation plan. Both getting help when you need it, getting caught as early as possible, and having good quality of the offer given is crucial. There is no doubt that we have specific challenges for children and young people. We know that the offer has been strengthened through the psychiatry escalation plan, but unfortunately we have not come as far as we want. Despite the fact that we have never treated so many children and young people in psychiatry, we see that the waiting lists are increasing. One answer to this may be that people discover that it is an offer — and therefore seek help. That's good. But we see that more people have more complex disorders than was the case before. I believe that some of the most important things that can be done in this area are prevention — in a broad sense and in all arenas. For example, reducing bullying in school is a very important matter. Having people can talk to – the school janitor, for that matter – when you need it, is important to prevent. In addition to strengthening school health services in the form of health sisters or other adult staff, I believe it is also important to equip schools with more psychosocial skills. We know that sober and concrete information in youth settings on suicide and mental health is important to prevent suicide and to prevent the development of an idealisation of young people who have committed suicide. This is a type of work we will go further with – together with the Ministry of Children and Gender Equality and the Ministry of Knowledge. It has been, and is still, a challenge to have sufficient knowledge of the occurrence, causality and good prevention methods — and of the treatment methods that work. This will, of course, vary from person to person. At the same time, there is no doubt, I think, that auxiliaries need to upgrade their skills in terms of both suicide prevention, treatment provision and follow-up after suicide. We're on our way, but there's no doubt that we're not in the goal. I just want to mention some of the most important measures that have already been taken. It's e.g. Section for Suicide Research and Prevention, which was established at the University of Oslo in 1996. During 2006 and the year we are now in, five regional resource centres will be established on violence, traumatic stress and suicide prevention. These centres shall be established to ensure the environment of competence in each health region. They will help to give people who work on this, more competence and guidance. It applies in all parts of the auxiliary apparatus. Several provision of training has been made in the area of suicide prevention. It has established its own two-year post-secondary education in suicide prevention work. And from the National Institute of Public Health, it's working to get better statistics and more reliable data, so hopefully we can find out more about the causes and incidence of suicide. Of other targeted actions that have been taken, I would like to mention support to the National Association for the Survivors of Suicide, who do an invaluable job. The launch of research projects to identify appropriate methods for treating young people with suicide behaviour is important, for these young people are at risk of suicide. Unfortunately, today’s treatments have proved not to be good enough. A special research project is also under way. We are now developing guidelines for suicide prevention in mental health protection. They will be put to death by 2008. Work has begun on the creation of an assistant supervisor and, not least, for those who are left after a suicide. We have also started a new study both in the municipalities and in hospitals to evaluate the whole treatment chain through suicide attempts – to learn what to do better. I would also like to say that I think Anna Ljunggren has many good ideas that I want to take with me further in the important work we have to do. For example, I think the idea of making a campaign in school is exciting and interesting. We know that in this way we will reach many young people, and that some information is important in order to prevent something more. I want to make sure that we keep working across departments and sectors to get even better in this area. I'm glad that Anna Ljunggren has raised this question, and I'm going to take the ideas with me and follow them up further.
ParlaMint-NO_2007-02-06.ana.ud797e158	I would like to thank the Minister of Health for a good answer. It is reassuring to see that this government really addresses mental health among young people. In connection with this debate, I asked my old social teacher at Frydenlund High School in Narvik, Idar Notøy, to take a conversation with one of his classes on the topic of suicide. They discussed for three hours, and four of the students in the class had experienced suicide in close proximity and close quarters. The debate was very much about an Internet game called World of Warcraft – games and addiction thought the students were an area of concern. In the game world, people are accepted, especially those who have failed in other areas. You run away from a pressurized everyday life. You become dependent on the kind of person you create yourself as. You play a role that you like and feel comfortable in. So it's hard to get out of it. You agree to meet and commit to other players all over the world. The students thought that there are too many superficial and selfish parents and adults who do not take the problems of youth seriously. You can't professionalize everything that has to do with such difficult and deep human relationships. I don't think we should continue this debate about this game and gambling addiction, but I think my old teacher by taking this conversation in class really realizes that it's a problem. By getting such a conversation in the classroom, you make suicide something you're allowed to talk about. I bet the conversation also continued after the school day was over. Now this weekend I heard a story about a young boy who had tried to take his own life. He was transported to the hospital and strapped into bed. The problem was that there was so much in the hospital that he was placed in the hallway. The doctor made this as if there was no problem, and that the boy and the family just spent his time. Clearly, we have major challenges with regard to children and young people and mental disorders. We have so few young people in this country that we must take care of all we have.
ParlaMint-NO_2007-02-06.ana.ud797e178	I fully agree with what the representative Anna Ljunggren said, and especially the last time that we need to take care of all the young people we have. There is no doubt that suicide is a major public health problem. There are 550 people who commit suicide every year in Norway – and there are many! We know, as Anna Ljunggren said, that there are many more men than women who do. It also takes the Government the utmost seriousness. The story that the representative referred to here, where a young boy must have been laid in the hall, seems to me to be quite horrible. I'll check that out, because that's not how we're supposed to do it. We have to try to make sure that the offer we make is worth and real. Staying in a corridor, no matter what suffering you have, is fundamentally unworthy. It is particularly unworthy in such situations as the representative Ljunggren referred to here. I feel that we very much agree on what is reality, what is the goal, and on many measures that need to be taken on the road to get even better.
ParlaMint-NO_2007-02-06.ana.ud797e189	The interpellant said she had been thinking for a long time about putting the suicide problem on the agenda. I can admit that the idea has been there with several others as well. Therefore I give tribute to the representative Ljunggren, who took the step fully. This is a difficult area, an area where there is no Fasit response, but where human relationships can have a great deal of value. Gro Harlem Brundtland wanted the neighboring kerb ring a few years ago, and people went on the smile band. But the neighboring kerchief is not to be missed. She was there, and she is there, both in sorrow and in joy. She cares about you, but she doesn't care about you - she doesn't care about what you do. The nabooker ring is an elusive race. We've got it so busy. We've got enough of ourselves. We search for status and fine titles and often live in a shell surrounded by pointed elbows. We have less time for each other, at least what we say. We live through organized from hour to hour most of the day. There will be little time for conversations where you can observe the signal that not everything is right. I also have no solution to how to bring down these high suicide rates – plus the darkest ones. Psychiatric services may be helpful to many. When young boys don't think life is worth living if their girlfriend picks up – and one is only 20 years old – then it's hard to understand that death is the only way out. Psychiatric services are also not good enough in many municipalities, to which the Council of State was also concerned. Some hours in the youth school with information and dialogue with the students, on which the representative Ljunggren was involved, could be helpful. Perhaps it could give thought and contribute to further discussions between students on a subject that has so far been taboo. Perhaps a few people who themselves have experienced suicide in a close family, someone who is good at putting words on grief, but most of all on guilt and unanswered questions that one should fight with for years, to be in such groups. We all have to be better at talking about it. We have to be with and share the grief and the burden. She's incredibly heavy. The interpellant was concerned that the second group, which is clearly distinguished in the statistics, is well-adult. Then they ask, is the career hunt too tough for some people? Is it to feel that a non-stretched, participative? If so, should employee conversation be mandatory? One I knew who gave notice to a superior is no longer among us. One should actually be strong if one is to address mental problems with integrations, with colleagues, in a place where everyone knows everyone. And where does the information that you've been given as an employer go? Is the health service the right place in this phase, or should one, at least in small communities, play for the first time on the neighbor, on the tourmate, on the childhood friend, on someone who has a big heart without being a professional? I'm calling for the low-threshold supply. I have to say that I believe in the last, but here maybe privacy is a bad thing. We must be careful to be so pervasive that we forget to be fellow humans, forget to live for each other a little outside the four walls of the house. The solitude is on the way to becoming the new public disease in the country that is capable of one of the best to live in – materially speaking. Nabokjerringa should be given the honorary mention of her fortresses. She's good to have, and we might need her as much today as in previous times. Voluntary work has many good in it that cannot be purchased for money.
ParlaMint-NO_2007-02-06.ana.ud797e211	This is a serious debate, and it is serious and sad when a person chooses to end his own life. Every year, a million people worldwide choose to commit suicide. Besides, there's probably a lot of darkness. This is more than the number that dies in war. When a person chooses to take his own life, it is clear that then there is no other way out. There are many young people who choose it, and there are two and a half times as many boys as girls who end their lives in such a way. It is not said that girls have less problems, but boys choose a more dramatic way. They choose to shoot, they choose to hang, they choose to drown – and the result is final. Many girls are rescued from suicide attempts and are able to get through it and live a good life. It's been trying a lot. The Council of State also mentioned a great many measures. But it turns out that it's almost impossible to figure out what to really do. There's no fasit. It has been tried with close follow-up, with a green card – I have tried to read to find out what you can really suggest as a good solution. The only thing I can see is that in Iceland you had a campaign that targeted especially young men. There they got a reduction. They had thorough training of health professionals, improved access to emergency care — for high-risk groups in particular — and a awareness campaign. Maybe it's with awareness, it's with the neighbor who it was about here – just the social exposure around this – that has to happen. It's not easy for young guys to show up as weak, and many people perceive it so that when you have problems, when you don't deal with your own life, and when you resort to help, you're weak. Perhaps a lot of the equipment around, including family, friends and health care, is aimed at girls — girls who can afford to be weak and who have easier to talk about their problems. Maybe you have to be a little more aware that boys and men can also have big problems. The expectations they had for men before were that they would grow up and become family caregivers. Today, it can be quite confusing for many young men what is expected of them, what role they should play, and whether they can play that role. We saw a tragic example -- it was probably last week -- where a family father killed his family and himself. It wasn't just suicide; he killed the whole family. It was expectation pressure, it was disappointment not to stretch to. Life was simply too difficult. It's a tragedy that's completely indescribable. Some people choose to end their lives because they feel that they are not stretching to themselves and to the outside expectations. Trying to find measures that can take and that may be in place when they need it is important. Then it won't take three months to get to the psychologist, it won't be useful to have to take many phone rounds to get answers in the case of adults. At least we have to make an offer that is there when someone takes the step and asks for help. That's the least we can do. So society and each of us have to think a little bit about it: is there anyone who has it hard around us? Can we stand up? It's a awareness-raising campaign that maybe can stir up a little bit of it with the neighbor, the fact that we're there for each other – not to care about, but to care about us. We can never, I think, get there that no one takes their own life, but we can try to be there as little as possible, so that they at least get the help they can get. In the case of the relatives, it is also important. Often we see that it is set up with crisis teams when major accidents occur, while those who lose their closest in another way, actually have no one to resort to, and get no help. This is important, and I think the Council of State came up with a lot of good things that it's working on. Then each of us gets to think about how we are, and how we can help them around us, and to help those who are seeking help get it when they need it.
ParlaMint-NO_2007-02-06.ana.ud797e247	The interpellant has raised an important and serious debate. I will give tribute to the representative Ljunggren to address this question. When more than 500 people, many of them very young, choose to end their lives, this is a dramatic warning that our outer wealth is in sharp contrast to the inner pain many feel. The story of the individual people behind the numbers is what makes the strongest impression. These stories can also teach us something about what we can do differently from the authorities. The theme of the World Day for Suicide Prevention in 2006 was ‘Understanding Gives New Hope’. I think this is a good starting point for our political efforts to prevent suicide. The relationship between mental illness and suicide is well known. Studies from several countries suggest that about 90 pst. of those who take their lives have a mental disorder at the time of the suicide. The escalation plan for mental health has produced many important results in terms of strengthening mental health protection. In 2005, 43,426 children and young people received treatment in mental health protection. This is an increase of 110 pst. in relation to the level in 1998. There have been 391,000 outpatient conversations with adults with psychiatric disorders, i.e. an increase of 82 pst. in relation to the 1998 level. 75 new district psychiatric centers have been built to help patients get better help in their community. The Co-operation Board put the Roadmap for Mental Health on track. The Minister of Health and Welfare, Ansgar Gabrielsen, was the first to instruct health businesses that the growth of mental health protection should be stronger than in somatic care. It is very gratifying that the Brustad Government Council will pass this on in its newsletter to the regional health companies for the current year. Nevertheless, it is obvious that in many cases many of the quantitative results achieved are in stark contrast to the experiences of mentally ill people and their closest relatives. A study conducted by NOVA, which was reported in the Newspaper yesterday, shows that mental health in young people has worsened over a decade. In view of this, it is particularly alarming that the waiting time for children and adolescents who have started treatment in mental health protection increased from 86 days in the second tertiary in 2005 to 96 days in the second tertiary in 2006. The Council of State presented several measures that could help to improve mental health protection and the prevention of suicide. The national knowledge centre has recently published a summary of knowledge on prevention of suicide in report No. 4 - 2007. I expect the Council of State to ensure that this knowledge is translated into a better offer for the patients who are in the risk zone of suicide. I do not doubt the good intentions of the Council of State. Some of that she clearly expressed in her article. I'm glad, but the Right is impatient on behalf of the mentally ill. I have to say I was disappointed that the government proposed a slight increase in the appropriations for mental health protection for this year compared to the previous two years. It was also criticised by several consultation bodies during the budgetary hearings of the Health and Welfare Committee before Christmas. I would challenge the Council of State to guarantee that she will propose appropriations to ensure that we at least meet the financial objectives of the Road Safety Plan next year. Nor are we satisfied that the Minister of Health and Welfare has sent out a consultation proposal that mentally ill children and young people should be guaranteed assistance within three months. I agree with the Council when, in the evening post on 10 January 2006, she says that three months are unacceptablely long waiting times for these children, which she also repeated in her post here today. As the Right sees it, children and young people need to receive assistance within a medically sound time limit, set after an individual assessment, as required by the Patient Rights Act. If these provisions do not function as intended, the Council of State must follow this up with the health establishments. Another challenge is the lack of capacity utilisation of private contract specialists. On November 22nd, last year, I asked the Council of State whether there was an available capacity of private psychologists and psychiatrists who could be exploited to provide more rapid help to mentally ill people. The council then replied that she lacked an overview of this, but that she would work to chart it. Last week, the NRK News reported that private operators have free capacity but do not have contracts with healthcare companies. From the Right, we will assume that the Council of State will ensure that healthcare businesses make immediate use of this available capacity, so that mentally ill children, young people and adults can get faster help.
ParlaMint-NO_2007-02-06.ana.ud797e273	First, I just have to say thank you to the interpellant, who takes up a serious topic. It's bravely done. I am surprised that this kind of debate comes up in this Chamber. We're talking too little about the serious stuff in this room. We're arguing about numbers and who did what when. The good discussion on the important issues I have partly missed, so this is a great occasion. It's almost impossible to believe that there are as many people who see suicide as the only way out of a situation. That young people who, as the interpellant himself says, have all the opportunities — the dessert generation, or what we should call it, who have this very purpose — cannot see that there is any other way to continue, are worrying. What's this really about? We have young people with role models that rush around and have to achieve absolutely everything we have to succeed with absolutely everything. We adults – I myself am the mother of three young people – have a great responsibility to be the good models that are present and offer ourselves. Where I live, in the municipality of Melhu, it is a married couple who have dedicated their lives to young people who are either without parents or have parents who have so many problems that they do not have caring ability either for themselves or for their children. They have a motto for their lives and for their deeds: See, hear and love. And that's how not all questions have a political answer. I think three months of waiting is long if you have a problem. Three hours is long if you have a serious problem. A short time ago we heard about a young man who chose to take his life on board a boat one hour after he was arrested. So one hour was too long. This family that I mentioned, who works very well and thoroughly with young people, says that everyone who enters the door of them should feel that they are seen, heard and loved. That's what this is all about. Parents, all neighbors and neighbors, teachers and adults really have one job, and that is that regardless of what they look like, no matter where they come from, regardless of sexual orientation or anything else, all children and young people – without exception – must get an experience of being seen, heard and loved. I don't think we can afford to get away from every suicide. But as it has been said here: I think we can do a lot by having a device that is there when they need it – a low threshold offer. That means we have to dry out talking about these things even outside of this hall. It was wonderful that the interpellant has made the teacher start a discussion in the classroom. We have to make sure that it's normal, even if you're really cool, 18 years old and just got a driver's license, to tell you if you're tired, tell you what you're struggling with -- not 100 pst. successful all the time. In fact, I think that's how every human being is 50 pst. All right and 50 pst. That's terrible. It's a balance. We're up, and we're down. But what makes this tipping the right way is that every day we experience being seen, heard and loved.
ParlaMint-NO_2007-02-06.ana.ud797e288	Increased pressure on children and adolescents may lead to depression and, in the worst cases, suicide. Psychiatric health is one of the areas that are kind of a stick in the society we live in, among other things. because the reasons are so complex. I want to pay tribute to the representative Ljunggren, who is raising this important debate, especially to focus on children and young people's mental health. As we have heard, NOVA figures show that suicide rates are increasing among young girls — 30 p.m. more from 1992 to 2002. More young people are depressed. Among the reasons why several girls have tried to take their own lives, one point out, among other things. three factors: increased use of alcohol — particularly alcohol — conflicts in the affected state and serious disputes with parents. Among the reasons why more people are depressed, one refers to weight problems and dissatisfaction with appearances. It's less acceptable to be different, and so it's easier to fall outside. The ideal is extreme, and many people have problems living up to these. Children and young people's growing-up environment is characterised by increased commercialisation, and they have become, to a greater extent, the target group for commercial bidding and purchasing pressure. Children and young people have little influence on the society they're part of. For the Christian People's Party, it is important to bet on prevention. Among the reasons why suicide increases among young girls, drug use and alcohol in particular is increasing. Every fifth child aged 12 to 14 years has been drinking alcohol. A total of 8 000 children in this age group drank regularly, showing figures from the MMI. Includes a 15-year-old, increasing the number of young alcohol users to a total of 28 000. This is frightening when we know that those who start early with alcohol also have a high alcohol consumption later in their youth. Among the reasons for high consumption, young people point out that there is a high level of drinking pressure. Here, a bet has to bet wide, among other things. through the free provision of leisure time for young people, awareness campaigns such as ‘Relax, now’ and an active alcohol policy. Young people need to be guaranteed low-threshold supplies. The school services need to be better and more accessible to students, and more professionals should be involved, such as psychologists, counselors, priests and child protection educators. The Youth Health Centre shall be an open service with professional guidance staff, where young people can seek health care, advice and guidance. VIP, the National Psychiatric Health Initiative in the School, is a good way to improve knowledge of mental health. What does youth need with mental illness? And how do we care when we see that someone wears out? The answers to these questions are important. Lack of interaction between levels of health services and between etats also takes place before psychiatry and in the encounter with children and young people who are tired. Interactions between health services in municipalities and hospitals need to be improved. This is particularly important in the transition between childhood and juvenile psychiatry and the adult psychiatry. Young people who are being treated in children’s and adolescents’s psychiatry often have to wait for treatment after they reach the age of 18. This could result in acute insertion, which would have been avoided if the transition had been planned. Responsibilities groups and individual levels are tools that could ensure a better follow-up, but unfortunately they are not always useful as they are thought. Such system failure must be avoided. Another transition one must focus on is when young people move from home when starting a study or transition to work. Many people may have problems setting up networks on new homes. Your own identity as the crop develops, and someone to talk to is crucial. Student health care needs to be strengthened, especially in view of the supply of mentally ill people. It has been a great deal of progress in recent years. One must also focus on better interaction between child protection and psychiatry. The mental health escalation plan must be followed up, with the specific strengthening of the paediatric psychiatry. The Christian People's Party aims to avoid waiting lists for children and young people suffering from mental illness by 2009. Children and young people suffering from mental illness need to secure treatment places in their own institutions or departments — in order to ensure a safe and dignified supply — where they can bypass people of their own age and with equal rates of disease. The NOVA study on suicide attempts and depressions among young people shows that the causes of mental problems among young people are compounded. Some factors may act as preventive factors; other factors may give rise to this risk. It requires a broad approach to finding solutions to these challenges. First of all, there must be good health services to ensure that those who need help get it. Secondaryly, it's about creating a society that gives each one room to be himself, and that family, school, work, etc. are set up so that people with different challenges are caught up.
