ParlaMint-NO_2007-12-18.ana.ud731e131	The representative, Mr Solvik-Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2007-12-18.ana.ud731e134	On behalf of the representatives Torbjørn Andersen, Tord Lien, Kåre Fostervold and myself, I am delighted to propose an energy policy action plan.
ParlaMint-NO_2007-12-18.ana.ud731e139	The proposal will be dealt with in a regulatory manner. At the request of the Committee on Family Affairs and Culture, the President will propose that matters be referred to the Committee on the Environment, Public Health and Consumer Protection. 1 and 2 are treated as a whole. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-12-18.ana.ud731e166	The President will propose that the debate be limited to 65 minutes, and that speaking time be allocated as follows: the Labour Party 20 minutes, the Advance Party 15 minutes, the Right 10 minutes, the Socialist Left Party 5 minutes, the Christian People's Party 5 minutes, the Central Party 5 minutes and the Left 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of up to three lines with replies after contributions from the main speakers of the parties and up to five lines with replies after contributions from members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted. The first speaker is Mr Erling Sande, on behalf of the President-in-Office of the Council, on case No. 1 and 2, Magnhild Eia.
ParlaMint-NO_2007-12-18.ana.ud731e175	The voluntary message is a strong and solid touch to the thousands of fires and participants involved in voluntary organisations throughout the country. It is also right from this pulpit to extend a great deal of thanks to all those who differ, and in different positions, to the great lack and the enormous effort that is so clearly described in the message. With the actions outlined in the message, combined with the creation of the voluntary register, this government has given voluntary action a stronger and more independent platform. The centre party went to cultural and voluntary elections two years ago as important issues for this enlargement period. In the Government Declaration, the party was given the advantage that the work on a new and holistic voluntary policy and the better framework for the voluntary sector should be given priority in the Government’s work. Now we deliver the goods in a message that I am sure will mean a better everyday life for voluntary work and not least a strong recognition of the work being done under the auspices of voluntary teams and organisations throughout the country. I note that this message has been met with an overwhelming positive response from the sector itself. In meetings with both individual organisations and associations that hold several organisations, e.g. Volunteering Norway, the message will be praised. It is therefore strange to record the comments and comments from the opposition party in the option, which contrast sharply with the feedback messages and assessments provided by the sector itself. In the setting, the opposition interprets the very basic idea of the message that I think there is no evidence, and that only tends to derail the debate and obscure the reality. Let me again, therefore, underline the fundamental foundation, namely its self-esteem and self-esteem. Government policies shall facilitate the strengthening of activities and involvement in the voluntary sector. Sale of waffles and hard work builds communities and, therefore, has a value in addition to the purely economic one. But the Center Party wants to give everyone's voluntary greater opportunity to spend their time and commitment to what they've initially said yes to, that's to create activity, and thus less time and energy to raise money in cash. Through the voluntary notification, the Government gives a solid and concrete handshake to the thousands of fires and participants involved in voluntary organisations throughout the country. For the Centre Party, it has been important to listen to what the volunteer organisations themselves experience as challenges. Debureaucratic interaction between organisations and public powers is a high priority. The message thus outlines a new, holistic, voluntary policy that will free up time — and thus resources — for increased activity and less paperwork in teams and associations. It has to be, for example. a systematic monitoring of the reporting and information requirements imposed today by the public on voluntary organisations and, in this context, a proposal for concrete simplifications. Here, there is a challenge both on public administration and organisations themselves to identify non-necessary reporting and administration, and at the same time, a system that ensures that public funds come to their destination. This is one of the greps that shows that the Government wants a more autonomous voluntary sector. Here the Central Party believes that the voluntary register will be a decent travel hub to reduce the need for reporting, etc. Voluntary activities shall be stimulated and developed – not stifled by bureaucracy and poor finances. In the Center Party, we are concerned with practical policies and concrete results. By implementing the measures in the voluntary notification, the Centre Party will continue its efforts to improve the framework conditions for voluntary work, both nationally and locally.
ParlaMint-NO_2007-12-18.ana.ud731e196	It's going to be line change.
ParlaMint-NO_2007-12-18.ana.ud731e199	It's nice to have the representative Erling Sande in the debate with the family and cultural committee again. In the voluntary notice, much of what happens in the voluntary sector is described very well. At the same time, it's missing, and we had expectations, when you were going to have a holistic review. The representative Erling Sande said that the government has delivered the goods. In a comment in the section, we see that there is a absence in the mandate of the selection to go through the VAT code in the cultural and sporting fields and the voluntary sector, to eliminate VAT compensation, in the sense that zero rate should be paid, if necessary a reduced rate, and the service tax problem. It had many expectations. Here it is clear that many representatives from the Government have spoken in several languages. Many have had expectations that, for example: The zero rate would be paid. But now one thing is clear from the fact that the mandate does not even allow this to be done. What is the Central Party's answer to that?
ParlaMint-NO_2007-12-18.ana.ud731e208	I have to admit that the Center Party also believed that this was one of the things that the selection was supposed to do. Now we'll see what the selection comes with, if they talk about these questions. What is at least certain – we cannot go in and regulate the work of such a selection along the way – is that this will be discussed when this matter comes to political handling.
ParlaMint-NO_2007-12-18.ana.ud731e213	When entering the voluntary service, it provides a full description of how the voluntary sector can contribute in different areas. It's about assistance. It is about integration and diversity. It concerns inclusion, democratic development, etc. In the further work – because that is what we need to look forward to, there are not so many conclusions here – does the representative Sande realise that these tasks need to be further stimulated, that this work needs to be continued, and that the public can come up with targeted means of how the voluntary sector can address these issues?
ParlaMint-NO_2007-12-18.ana.ud731e220	The voluntary sector is independent. The state shall not use voluntary sector to achieve policy objectives if no voluntary sector so wishes. I understand the representative Thommessen that he will not exclude the voluntary sector from the arrangements made by the state to achieve policy objectives. At the same time, I think we're some people who believe that, on the side of it, we're going to ensure that volunteer work is a self-contained platform, so that it can develop without having to depend on state promises that require one to meet certain state objectives.
ParlaMint-NO_2007-12-18.ana.ud731e227	In the big election campaign, I was involved in several political debates with central party people who were very committed to volunteering policy. I believe them. One of the issues raised as a major problem was the red tape of the voluntary sector. That's why, in the opposition, we've been pretty excited about what the Center Party would do to the government in terms of bringing down the bureaucracy. We have been waiting a long time for this message. We've waited so long that we've actually started to get a little impatient. We have thought that the Center Party has probably worked a lot in the Government to bring down the bureaucracy. Today Erling Sande says that it is now going to be a systematic monitoring of bureaucracy. What has been done after a few years in government is to get a systematic survey, which will probably lead to more bureaucracy for organisations where systematic monitoring is to be carried out. Is it time for Erling Sande to admit that he might be a little disappointed in his own government?
ParlaMint-NO_2007-12-18.ana.ud731e234	If that were the case, I would have liked to admit it. But that's not the case. The review we are going to have is just going to lead to less bureaucracy for voluntary organisations. The voluntary register we've created should lead to less paperwork, less bureaucracy for voluntary organisations and more time for volunteers to do exactly what they're doing, simply voluntary work, working with what they're interested in, and what they're burning for. I thought it was nice that the Left was insolent after the government reached the goals it has seen. Nothing is better than that. I look forward to the right-wing representative Skei Grande's post, where, hopefully, she will focus on what may have happened in the voluntary field under the government of which the Left was part in the previous period.
ParlaMint-NO_2007-12-18.ana.ud731e241	The cord shift is over.
