ParlaMint-NO_2007-01-31.ana.ud49e24	The representative Borghild Tende, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-01-31.ana.ud49e33	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President will propose Solvency Horne. – Other proposals are not available, and Solvency Horne is considered unanimously elected president of the current meeting.
ParlaMint-NO_2007-01-31.ana.ud49e50	Propositions will be dealt with in a regulatory manner. The representative, Gunvald Ludvigsen, will put forward a proposal for a representative.
ParlaMint-NO_2007-01-31.ana.ud49e55	On behalf of representatives Lars Sponheim, André N. Skkelstad, Leif Helge Kongshaug and myself, I would like to make a proposal for a simpler and better regulation for local producers of alcoholic beverages.
ParlaMint-NO_2007-01-31.ana.ud49e60	The representative, Mr Dagfinn Højbrätten, will present a proposal for a representative.
ParlaMint-NO_2007-01-31.ana.ud49e63	On behalf of the representatives Hans Olav Syversen, May-Helen Molvær Grimstad, Line Henriette Holten Hämdal and myself, I will make a proposal on preferential treatment and reduced customs duties to promote increased trade with developing countries.
ParlaMint-NO_2007-01-31.ana.ud49e69	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2007-01-31.ana.ud49e93	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Kristin HalvorsenState Council Helen Bjørnø State Council Knut Storberget The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Børge Brende.
ParlaMint-NO_2007-01-31.ana.ud49e112	My question goes to the Minister for the Environment. In fact, in recent days there have been considerable uncertainties and uncertainties about the policy of the Norwegian government regarding climate change. Climate change is the biggest challenge facing mankind in this century, so it has been important and important for Norway to take on a leadership jersey here. Therefore, the Right Pleasure was when the Minister for Environmental Protection, across a whole page of the Evening Post, decided that the Government will go in for 20 p.m. reduction in to Norway’s greenhouse gas emissions by 2020. That guarantee lasted a few weeks, until the Prime Minister said yesterday that he could not stand behind this. According to the Evening Post today, even the Minister for the Environment has been told that she has gone out and made ambitious demands. Had this been a small matter and not concerned with the greatest challenge facing humanity in this century, it might not have been so important. But here we have a Norwegian government that creates confusion about where you want to go in climate policy, and about what the objectives are. One thing is to speak to the papers, another thing is to speak from the pulpit of the Great Britain. It is absolutely necessary for the United Kingdom to clarify whether Norway has a policy in this area, or whether it is such that government councils in Norway think they can express themselves as environmental policy commentators in the press. My question then goes directly to the Minister of Environment as the Norwegian Government's Council of State: Is it that the climate objectives are not clarified, or is it the Minister of Environment's guarantee in the Evening Post that applies, that Norway should reduce greenhouse gas emissions by 20 pst. by 2020? I would like an answer to what is the government's policy.
ParlaMint-NO_2007-01-31.ana.ud49e121	The government has said that Norway should be a leading country in environmental policy. We have also said that the climate challenge is the most important environmental issue we face. Then the government has also stated to the Stortinget that we are working this spring with the main measures that we are going to put in place to reduce emissions in Norway as well. We have told the Storting that during the spring, work will be done on the sectorial climate action plans, which means that we are going into all sectors of society to find concrete measures to ensure a reduction. Then we have said that we should also follow up on the Low Emissions Committee report and come back to the Storting in an appropriate way on the long-term objectives of climate change reduction in Norway. And then we have said that in this work Norway must also achieve its specific objectives. The Stortinget has been briefed on this. I want to repeat today that during the spring we will come up with our determinations of the concrete objectives. Then I have said in the evening post and also in many other places that Norway should have an ambitious climate policy. I have also said that it is at least as important to state that Norway should have at least as ambitious climate policies as the EU. The EU has not set its objectives either, but the European Commission has made a proposal. We want to reflect to spring what concrete objectives we have reached.
ParlaMint-NO_2007-01-31.ana.ud49e126	I did not get an answer to my question as to whether the Minister of Environment's guarantee in the Evening Post that Norway should reduce its emissions by 20 pst. by 2020, is the Government’s policy. The government appears in the most important matter facing mankind in this century, with a vague policy. It is not a government that heads – the government appears to be a climate policy seminar in this matter. I cannot, therefore, be confirmed by the Minister for the Environment that what she guaranteed – she herself used the word ‘guarantors’ – in the Evening Post is to be reduced by 20 pst. by 2020, is the Government’s policy. When the Minister of Environment is unable to answer that question, I therefore take the opportunity to ask the Minister of Finance – as the Deputy Minister of the Government – the question: Did the Minister of the Environment speak on behalf of the entire Norwegian Government as she guaranteed the Government will reduce greenhouse gas emissions by 20 pst. by 2020? I want the Minister of Finance's answer to that.
ParlaMint-NO_2007-01-31.ana.ud49e133	The President has doubts as to whether the Minister of Finance is responsible for such issues in the Government, but will leave to the Minister of Finance even if she wants to answer Børge Brende's supplementary questions.
ParlaMint-NO_2007-01-31.ana.ud49e136	Yes.
