ParlaMint-NO_2007-03-06.ana.ud392e79	The representative, Lena Jensen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2007-03-06.ana.ud392e100	The aim of this interpellation is to shed light on how we in Norway can increase trade and interaction with Russia and its citizens at all levels. First, a little bit of history: the conversion in the churches after the closure of AS Sydvaranger was tough, and if it wasn't for some of the border barriers on the border with Russia in the same period of time to be gone, the conversion in the Kirkenes and Kirkenes area would be even harder. For example, the Kirkenes area today, as a community, has shops and sales chains for a population of approx. 16,000 people, while in reality there is no more than about 16,000 people. Nine hundred there. In other words, trade with Russia has meant a lot for the settlement in the area and for people on both sides of the border, for those who travel across the Great Forest to act, and not least related to the Russian rays lying in the Churches. There are also reports suggesting that if border crossings/visa arrangements were simpler, much more Russians would want to visit Norway than today, which would in turn increase trade and strengthen South Varang's position as a bridgehead towards Russia. Today is 7-8 pst. by the inhabitants of the South Varanger of Russian origin. The number of Russian origins has also increased considerably in the rest of Finnland. It is therefore important to put in place a regulatory framework that takes account of the fact that there will be an increase in social and trade relations. It becomes a little pointless when the legislation today prevents a Russian mother from nurturing her own seriously ill daughter in Churchnes, who has Norwegian citizenship, while Norway is betting millions on people for folk-cooperation, and while Mulla Krekar is going on the street as a free man. Russia is a changing country with an ever stronger private and public economy. In addition, there are many other societal changes in the north that call for a growing need for cohesion and trade: the importance of the northern regions in a national, economic and ecological perspective, our fishing interests and our maritime interests, an increasing international focus, Norwegian sovereignty in the north, unexplained border agreements, foreign policy, security policy, various types of preparedness, the Arctic dimension, marine bioprospection in the north and not least that everyone is aware of the enormous values there, related to oil, gas and fisheries resources. I believe it is high time to focus on how we can reduce border barriers and make border crossings more flexible than it is today, in such a way that Norway unilaterally reduces self-imposed restrictions. It's in many ways where the shoe prints, because historically there's been a reciprocity in our agreements with Russia. It should be possible for most people to understand that it is easier to build this one-sided down with a population of 4.5 million people than it might be with a population of 145 million, which is the case in Russia. But it is a challenge that, in the context of most of the problems we face that will simplify border crossings, there are many actors and many departments involved. I live and live in this area, and everyone should be aware that over the years I have received an incredible number of complaints about the system that Norway is preaching today. There are many Russians who are very dissatisfied. Therefore, I believe that the overall objective now needs to be what we can do on the Norwegian side in order to contribute constructively to adapting border crossing and visa regimes through greater flexibility and less bureaucracy. This will not compromise stability and predictability in the north. On the contrary, this will be an important initiative to improve relations between Norway and Russia. When we like to call ourselves a Western democratic society, we should perhaps put some resources into this, so that as a nation we can appear simple and unbureaucratic towards Russians, and that in practice we emphasize the importance of people to the people-cooperation. Practical things that can be done: You can upgrade the road from Storskog to Kirkenes. We can build capacity on exit and entry, so that the time factor you use on a border crossing becomes predictable. You can get more lanes and parking spaces. Electronic passage of commuters and drivers who cross frequently can be carried out. You can remove the black windows with a one-way view, which gives the impression that you arrive at an interrogation room and not an open society. You can place signs that actually want Russians to welcome in Storskog, and you can run information that enables the Russians crossing the border to understand that they are actually welcome to Norway. Furthermore, Norway has a number of unnecessary and self-imposed restrictions on the issue of visas to Russian citizens. This, together with an unsustainable length of treatment and sometimes poor service to visa applicants at the Murmansk Consulate-General, allows Norway to be perceived as a small, friendly country that does not want to trade and social relations. Norway may remove self-imposed restrictions on the issue of visas without conflicting with the Schengen acquis. In addition, Norway should adopt a much more offensive approach to visa facilitation between Schengen and Russia. We can reduce the processing time for visa applications from today's self-imposed two weeks to three to five days. We can reduce the waiting time for multi-visa from four to six weeks to 14 days. The Consulate-General in Murmansk should understand that the applicants for a visa are law-abiding, normal travellers. We can change self-imposed rules on the exact date of departure and entry by introducing a flexibility of a few days. The delay in air traffic is enough today to put someone to cross the border, in a very difficult squeeze. We can remove the invitation requirement. If the visa seeker has insurance, financial resources and clean leaflets, the person must and should be able to obtain a visa to Norway. We can allow Russians as individuals or as a group to obtain an entry visa to Norwegian airports. We can eliminate visa fees for larger groups. This will strengthen Norwegian infrastructure. We can also set up a UDI office in Kirkenes, which has the task of cooperating with regional actors and the Consulate General in Murmansk. It would therefore be desirable to facilitate these restrictions. It would also be desirable to set up Russian companies in Norway and stimulate action to this end, and further facilitate the establishment of Norwegian companies in Russia, so that Norway actually has a higher level of ambition than we have had at present. One of the things that should be obvious in this way is to review the statutes of the investment fund for North-West Russia, so that the fund becomes a driving force for the establishment of different types of industry in the area – on both sides of the border. Therefore, the management of the fund should be moved from Oslo to Kirkenes, so that the ringing effects of the fund happen where it actually belongs naturally. It must also, as I see it, come up with a complete review of the functioning of the customs and taxation system for most people and business at border crossings, and then so that the legislation here also facilitates increased trade and interaction, and that it is not, as many people today experience, directly obstructing increased trade and relationships.
ParlaMint-NO_2007-03-06.ana.ud392e130	I would first like to thank the representative, Fredriksen, for addressing this important issue. I would also like to thank him for having many exciting thoughts and ideas about border crossing completely into the practical level. I have noticed them, and I will follow them up beyond the answer post I am now giving. One of the main points of the Northern Region Strategy is measures to increase cooperation with Russia and, as the strategy states, ‘to make it as simple and free of charge as possible to strengthen relations with Russia at all levels’. The government has announced several measures to contribute to this. In this interpellation, I will explain some of the things that have been done since we launched the North Region Strategy in Tromsø on 1 December 2006 and what we intend to do in the future. Let me first say that I agree that increased trade between Norway and Russia in the north will have a major impact on the population in the north and in the border area – for the whole North Region initiative and our relationship with Russia. And as I said earlier, this is also part of our European policy. The economic development we have witnessed in Russia in recent years offers great opportunities for North Norwegian business – opportunities that many have already seen and used, but there is still much that can be done. Nevertheless, we now see a broader commitment from several parts of the business community, and that is something we want to welcome and want more of. Energy is important, and possible fields in the Barents Sea are important, but our ambitions must go deeper and wider. So to the concrete questions about border crossings over our only crossing point with Russia, Storskog. Here I'm busy seeing more things in the context. We all agree on the objective: there should be as few obstacles as possible to cross-border traffic. As we all know, over the past 15-20 years, there has been an explosive increase in traffic across this border. Prior to the dissolution of the Soviet Union, there were a number of border crossings of only a few to three thousand a year, while traffic increased to over 80 000 border crossings both roads in 1992, further increase to 131 000 in 1999, and the number was 106 000 in 2006 — about the same as in 2005. The increase has given rise to major challenges for all Norwegian agencies involved; the EEAS, the police, customs, foreign agencies and others. The Norwegian authorities are the easiest to do with these measures to facilitate the entry of Russian citizens into Norway. We have to look at the whole chain from the visa application submitted to the Consulate General in Murmansk, until the traveler has passed the boom at Storskog, on which the representative Fredriksen was also in. One measure already taken is that the processing time for visa applications to Norway at the Consulate General from 1 February has been reduced to half: from 10 to 5 working days. We have managed to do this even though the labour pressure is high because of the high traffic, and even if new visa treatment procedures are in place. This measure is a significant improvement. I would like to give tribute from this pulpit to those who work at the Consulate General for the efforts they are making in this regard. The new visa agreement negotiated between Norway and Russia will, hopefully, enter into force before the summer. This will simplify the visa procedures for many groups of travelling Norwegians and Russians. It will also provide greater opportunities for multi-travel visas for a longer period, both to Russia and to Norway. The work is also in the process of preparing the conversion of Storskog border station to make it more public friendly. The North Sea Strategy indicates that agreement has been reached with Russia to extend the opening hours at this border station. From our side, we will be ready to take this action in the first six months of this year, so that the station will be open from six in the morning until eleven in the evening. This is a measure that has been put in place, inter alia: at the expressed wish of a business team in Finnmark. One of the questions raised with the authorities is the practices of Storskog when Russian travelers with visas to Norway pass by. It is claimed that these meet more stringent documentation requirements than is usual if they fly to Norway or cross the border from Russia to Finland. I have raised this matter with the foreign authorities, who, in cooperation with the police, will look into the matter in order to achieve as smooth procedures as possible. I can promise that I will follow up on what these authorities are now doing. At the same time, we will focus on respecting the obligations we have, since this is the external border of the Schengen area. In this way, I think it is an interesting but demanding discussion, with too many unilateral Norwegian measures in what is a responsibility Norway has in relation to other countries. However, I believe that through some concrete measures – some of which have already been mentioned – we will make the border crossing more flexible. It shall not be more difficult for a Russian traveller to meet Norwegian authorities in Storskog than at Gardermoen. Measures such as shorter processing time, new visa agreement, extended opening time, conversion of the border station – yes, among others. removing the black squares – and smoother border crossing will make it easier and less time-consuming, especially for those who cross the border often. The meeting with Norway shall be characterised by attendance and hospitality. And then we'll see if we can also set up a sign that says the same thing. The interpellant also addresses the issue of work permits in Norway. I guess he has Russian workers in mind. This is a question that has often also been raised by industry, in view of the high labour shortage in many parts of the country. There are several issues here which affect the responsibility of the Minister of Labour and Inclusion. Firstly, are the schemes already in existence fully used? And secondly, are there restrictions in laws and regulations that we can and should do something about? There are arrangements where skilled jobseekers outside the EEA can actually apply for a so-called jobseeker visa – travel to Norway, apply for a job here and then apply for a work permit while in Norway, if they get a job. Employers are not required to prove that there is no Norwegian labour force to recover before they can hire the foreign applicant. This scheme, which, of course, also applies to Russian applicants, has been used poorly. A job can be done both from the government side and from business organisations to make the scheme better known. I am open to dialogue with business on these issues, reviewing the needs of business, the obstacles they face, and what can be done to make better use of existing schemes. The North Sea Strategy states that cross-border business cooperation in the north is a priority field. By focusing on knowledge, innovation and business development, the Government will facilitate increased economic trade between Norway and Russia. In addition to the concrete and practical measures I have mentioned, the Government has taken some action in the field of industrial policy to promote cooperation. Let me mention the following: In order to strengthen Norwegian investment in Russia, the Government, through Innovation Norway, steps up the business towards North-West Russia. This is done by the regional office in Vadsø, the newly established office in Kirkenes and by representation at the Consulate General in Murmansk since August 2006. SIVA is working on setting up innovation centres in Murmansk and Arkhangelsk, to promote economic trade and the ability of Norwegian business to position themselves in the region. These are valuable contributions to strengthen economic links between countries. The budget for this year is set at 5 million. kr for the further development of SIVA’s involvement in North-West Russia. As part of the effort to increase Norwegian-Russian industrial cooperation as a driver for the development of the northern regions, the Government has proposed to propose the creation of an economic and industrial cooperation zone in the border regions. The Northern Region Strategy explains that the Government is working on a proposal for such a zone, with a view to presenting it to the Russian authorities during the spring. We are doing this well, and a proposal will be made in a short time. The idea of close country-based cooperation between Norway and Russia to promote economic interaction on both sides of the border, especially to serve future petroleum activities in the Barents Sea, is good. Although it is too early to address details about this, I would like to stress that the principles of such a zone are to be based on Norwegian legislation on Norwegian territory and Russian legislation on the Russian side. Interpellant mentions that there are challenges related to Russian business start-ups in Norway. It is true that, until now, Russian establishments and investments have had a limited amount here. On the other hand, Norwegian-Russian business contacts have increased significantly, and Innovation Norway’s foreign offices often receive enquiries from Russian companies seeking information and assistance. Often this applies to Russian companies that will apply for project support from the Norwegian instrumentation in Russia. I believe that increased communication, closer cooperation and networking between Norwegian and Russian business actors will provide a basis for increased Norwegian-Russian business cooperation in border regions. Then we have the process of Russian membership in the WTO. This is a long and difficult process, but progress has been made here. A bilateral protocol was concluded with the United States last November and with Norway as early as 2005. Still a lot of work remains, but I think that once the process is completed, there will be an important step towards strengthening trade and economic relations between Norway and Russia. The conclusion of a free trade agreement between EFTA and Russia is another measure that could strengthen trade. As soon as Russia becomes a member of the WTO, the negotiation of such an agreement will be a high priority from our side. Let me finally say a few words about the road link. A lot has happened here in the last year, especially on the Russian side. The Ministry of Foreign Affairs allocated funds in 2006 for the continued development of the Nikel-Prirechnyj road. This is a safe bypass for the main link between Storskog and Murmansk over Petsjenga, which sometimes has to be closed in storms, and where there are also some military restrictions. Means have also been allocated to road safety measures on the Russian side. The new bridge over the Kolafjord in Murmansk town, which the Russians opened for traffic last year and which is fully funded by the Russians themselves, provides shorter and better access to Murmansk for traffic from Norway. This has helped to improve the accessibility and safety of traffic between our countries. There is also a desire for improvements both on the E6 and on the E105 on the Norwegian side of the border. This is assessed by the Ministry of Transport in the context of the National Transport Plan Map Communication 2010–2019. From our point of view, the leadership of the North Sea Strategy will be an important part of the work of the National Transport Plan. The expected treatment of this Communication by the Storting in spring 2009 will give the final priorities. I hope this article has shown that the Government is working to strengthen cooperation in the north in earnest. Much is done, much is still done, and the interpellant has made a lot of useful input in this regard.
ParlaMint-NO_2007-03-06.ana.ud392e172	Thank you very much to the Minister for Foreign Affairs. There were many interesting things and details that came out. What I think it was skipped a little bit, is whether we're going to continue the tradition we've had related to invitation. I think it's high time we started treating Russians like a neighbor. Is it necessary in the future to have requirements other than that a person has financial resources and clean leaflets in order to obtain a visa? Do you also have to go with an invitation bit? Because it's self-imposed. Whether a pomor zone is created in the future, as it is called, or not, most of the elements that I have described as problematic regarding border crossing will be there whether you get this zone or not. It is also the case that Russia as such, related to the road, has invested incredibly much more than we have, although Norway has also contributed here on the Russian side. But what I first took for granted was what we could do on the Norwegian side related to the road, because Norway has been an important donor and has provided assistance for Russian road projects, is absolutely true. We have been. I would also like to highlight what I feel is important; just that Norway stands for a unilateral decline. If we're going to continue the tradition we've had and say that we can't build down now on the Norwegian side until you might have done the same thing in Russia, I think this will be a very long way to go. The only way we can go ahead and be a good example as a Western democratic country is to take an initiative in this matter.
ParlaMint-NO_2007-03-06.ana.ud392e183	Let me first just repeat that the representative Fredriksen in his post brought up a wide range of issues that I think were valuable. When I get the written draft of the submissions, I want to go through all the points and see the status of it. I think my post covered a lot, but I want to see if there were things it was not covered, and then I would like to get back to the representative with their status. I appreciate that this in the hall is such a detailed focus on these arrangements, because this means a lot to both individuals and businesses. I fully agree with what the representative stresses; that Russians are treated like a common people; and that is what Norway will stand for; that is what we want to show over time. The representative mentioned this with stability and predictability. That's exactly what we want to be characteristic. He's right in that zone or not, there are challenges in crossing these boundaries, so we have to focus on it. I'm about to get across this line as easily as possible. This is not the case in Norway today – I say today – that we use border crossings as a regulatory mechanism to create a sufficiently high threshold because we do not want more interaction. At the same time, I would nevertheless urge a certain reflection around this with unilateral degradation. It's true, as the representative says, that because we have a country of our size and close contacts, we have easier to take action quickly, and that on the Russian side it's more demanding. Now, if we get rid of the sooty routes -- at least some of them -- it's an important signal. Making it more pleasant to cross the border is an important signal. But I have to say that it is not always a party to travel the other way – to say it carefully – and it is important to engage the Russians in as much reciprocity as possible. We who are standing at the border station the other way around, see that there are also changes on the Russian side – actually – but I think it's part of the reciprocity we have between Norway and Russia that has a verdict there. I would also like to stress that I believe it is important for Norway's reputation in Europe and as a Schengen member that we deal with this borderline relationship with Russia in a very real, predictable and rule-based way. But we can also be an example by showing that we are making relief because we believe that the basis is now laid for making relief. Because we are about the only country – we and Finland – that has the kind of border with Russia, it is important that we show this as part of the northern dimension, and among others. is in close contact with Finland. In my meeting with border representatives in Kirkenes at the beginning of January, I was assured that some of the sooty glasses would be removed. At the same time, it was also argued that there was a political justification for actually having opportunities to look at people on the other side. I am committed to finding the right balance, so that we can also assure people on the Norwegian side that this is happening in a regulated and proper way. But as I said, the painting should be that it is as simple as possible and as predictable as possible.
ParlaMint-NO_2007-03-06.ana.ud392e196	The potential for cooperation with our largest neighbouring country is high, and it needs to be exploited to a much greater extent than today. This applies to countries in general, but of course it is particularly true where we have a common border. There can be an activity that is in turn conducive to development, creating jobs and better well-being on both sides of the border. From an old age, there's a saying that friendship makes sense. I think that it's important to get integration, and that one in that way contributed to relaxation. I believe that when people are mutually dependent on each other, they have much easier to solve common problems than if they were sitting on each other's side and possibly looking over a high fence, as it was not many years ago. In my view, it must be a goal that the activity across our borders in the northeast of our biggest neighbour is as easy as the activity across the borders of our other neighbours, such as Sweden, Finland and Denmark. Today this can seem totally unrealistic, but if we look at Europe's history for the last 15 years, there has actually been a lot of unrealistic happening there. Who would have believed that the Iron Curtain that passed through Europe would be replaced by integration? Where there was a previously hermetically closed limit, there is now no limit to the whole. Who had believed that the former Warsaw countries would be fully integrated into the EU and NATO members? On a general basis, I would like to say that it is important now that we avoid building a new border and that Europe is again divided – this time further east. Therefore, we must work for the greatest possible openness and reduce obstacles between the EU/EEA and the countries east of us. Russia and Ukraine need to be able to be integrated into Europe and not face unnecessary obstacles. Historically, it has our close ties across the Norwegian-Russian borders. Pomor trafficking was important for both countries and contributed to development. Now we have another opportunity to exploit the potential for greater interaction in this area. Therefore, we must jointly contribute to the fact that what was a closed border during Soviet times becomes a parentheses in history. The goal must be to make the obstacles as few as possible and to contribute to normal cooperation in as many areas as possible. It is positive that this challenge is now being refocused on. If this is what the interpellant claims, there are many national boundaries, I think we have to have the ambition to remove them. As I experience the Foreign Minister, he is also positive to this approach angle. If it is such that we have practical changes, e.g.: of border stations or other things can help to integrate the people on the two sides of the border better, it must be done as quickly as possible. Still, I think we have to be honest that it's not just Norway alone to solve these problems. We are a member of Schengen, and I think that might affect our space for action. I could imagine asking the Foreign Minister how much room we actually have for action. What kind of independent policy can we have? Is it e.g. so that we can make exceptions when it comes to the rules on fees relating to Schengen visas, or in other ways make it cheaper and easier for Russians to visit Norway? But it is also my clear impression that there are challenges on the Russian side. I have had conversations with Norwegian business leaders operating in Russia on various occasions, and they show that there is a good deal of problem. I believe it is important that we in Norway use political discussions with Russian colleagues to address such matters. In such a context, it may also be possible to bring up a dialogue that allows one to reduce various obstacles together. Finally, Russia is an increasingly important market because of its economy. But also the Russian population is getting richer, and not least as tourists they will travel more. It is important that Norway becomes a positive and good tourist destination for Russians who want to come here.
ParlaMint-NO_2007-03-06.ana.ud392e217	I would also, like the chairman of the Committee on Foreign Affairs, stress the political dimension of this, and the historic fact that Russia is now integrated into Europe in a completely different way from what it experienced a few years ago. I also want to pay tribute to the interpellant to address an important question. Even though we're talking about a border station, there's a lot more symbol of something. We are very pleased with the way in which the Minister for Foreign Affairs met this. He points to a number of processes that are going on and a part that he wants to tackle. We are now meeting the results of these processes and looking forward to finding a solution to many of the issues that are currently being addressed as problematic challenges and contributing to increasing flexibility and flexibility. The Schengen and Schengen acquis have been mentioned. The representative Akselsen asked some important questions about the degree of flexibility we have. However, when we sit at the Schengen table with the other Schengen countries, we must also take an active part in the design of the acquis and take into account the concerns and interests we have. This could be done, for example, by: Here just go on fees, on visas and such things. These are questions that have not only been raised in relation to Russia. For example: This is an important issue in relation to both Ukraine and Belarus. Otherwise, I am very pleased that the Foreign Minister pointed to the commercial situation, and that when Russia, hopefully, now quite soon becomes a full member of the WTO, it will take up the issue and pursue a free trade agreement between EFTA and Russia, which I believe will be very favourable and very important for Norway.
ParlaMint-NO_2007-03-06.ana.ud392e228	The head of the Foreign Affairs Committee says that it must be an objective that it should be as easy to cross the Russian border as it is today to cross the border with Sweden and Finland. I think we must all have that as a clear objective. But then he says at the same time that this is not just up to Norway alone. Of course, he's quite right about that, while the Foreign Minister confirms the well-known fact that it's not always as fun or easy to travel the other way. He's obviously right about that. On the other hand, this is a bigger challenge for us than it is for anyone else. I think there is every reason to ask the question in this debate: is it such that other countries are better off in their seas, their interactions, with Russia than Norway is doing, which has the strategic opportunity and the strategic challenges that we actually have when we call about the concept of 'north-area policy'? I believe that in many ways it is a fact that other countries have succeeded better. In the name of reverence, we just have to state that the last few years of evolution have given some setbacks that make us have to ask ourselves the question: why is not communication, the interaction, better than it actually is? It is enough to mention examples of boycott that have hit Norwegian fishing industries and the setback that has affected cooperation in offshore development. We have seen that in the case of clean-up projects – AMEC projects – official officials from Norway have been stopped and sent back again. We have some examples that make us have to ask ourselves complicated questions. And the interpellant has actually done that today. I think that even if the interpellant goes very far in its judgment, there's every reason to stop and ask the question: why do we have the evolution that we have today, with the fact that opening the frontier at a little faster pace than what we're doing? Although we see that the number of Russians who come here with visas is increasing, it is actually primarily in our interest that we succeed better in this area. Russia is, and will become to a greater extent, an economic power, an energy-political power, although today we see that we have a solid welfare gap between Norway on the one hand, as the world's perhaps richest country, and Russia, which has a poverty concept hanging over them in these geographical areas. I believe that the administration – and that is also a sluggish trend towards it in Norwegian policy – still sees this region as a sort of local policy thing. You have to stop that if you're going to get a few steps further. I think the approach we have to these challenges is very good. It does not have much imagination to realize that in a few years' time this region will be Europe's most important site. Then it is that we have to prepare the ground, which both the interpellant and the foreign minister have been in. It is primarily in our interest to succeed. We have a common management of resources. We have some environmental challenges that don't know their counterparts anywhere in the world, in our neighbourhood up here. We have, as the interpellant has been faced with, also some other challenges in the exercise of authority that affect security policy interventions. For this reason, it is important that in its wider approach, we also have a course on what our instruments domestically and externally can contribute. The Minister for Foreign Affairs has mentioned SIVA. I think it is also high time to see if Innovation Norway is not going to get a more active hand on the steering wheel – if not the work done with central Europe, now just to a greater extent needs to be moved northward and westward. Innovation Norway's head office in Praha is now perhaps as well up and going that you can turn a little more towards the north and west. It is therefore important that the Minister of Foreign Affairs continues to have ‘hands on’ in these cases in his positive approach to the interpellation.
ParlaMint-NO_2007-03-06.ana.ud392e241	Opener borders between Storskog and Boris Gleb are about cross-border cooperation and connecting peoples to peoples, cultural cooperation. It is about solving difficult environmental challenges and speeding up development in industry, education and research. A debate on the open border between Norway and Russia is historic for us in SV. The party arose as a protest against an absurd nuclear race and cold war, not least in the north. Now we clean up, now we connect. In border regions, economic development and peoples are interwoven into people-cooperation, culture, environment and security. Therefore, the Government has a broad red-green north-area strategy, not a thinner market-blue approach. SV adopted a 10-year North Norway strategy in 2005, where international cooperation and open border with Russia are important points. This ambition has been followed up both in the Soria Moria Declaration and in the Northern Region Strategy that the Government presented before Christmas. For the last 15 years, a lot has happened. The number of barrier barriers over Storskog and Borisgleb has doubled to over 100000 per. years. Roads have been repaired, and Norway has spent 22 million. kr to build the border station on the Russian side. There are now more than 1,000 people working in Norwegian companies established in Russia. There are 80 enterprises built in 14 different industries. This also goes both ways. Only in the ports of the Church's 300 jobs with the Russian trade. The roads have improved between the churches and Murmansk, but more needs to be done in the short and long term. As the Foreign Minister said, much has been done, and much more will be done. Because it is obvious that something needs to be done, both with the bottleneck barriers and the visa rules, which create difficulties. We get a lot of reactions to the fact that obtaining visas, especially work visas, can be heavy and time consuming, either because of the rules or because of the practice. We are told that Russian professionals and workers needing visas will not be able to deal with their applications quickly enough, or that they will be refused, and that it is too difficult to come to Norway. For example, Nordlys wrote: recently on a Russian inauguration invited to the Arctic Frontiers conference in Tromsø. He was not allowed to come because he had been in Norway for too many days during the last year. Therefore, the work now done is important, and it is good that the new visa agreement is opened for multi-travel visas. The pomor trade can get its reindeer. On the Russian side, there are growing markets and an increasingly economical population, and the northwest will mean more and more for the deployment and introduction of goods into the huge Russian area. The Murman state has more than ten times Finnmark's population. The economy is in strong growth, and parallel to screaming distress, it's also a top class and a middle class looking westward. Needs must be addressed, and it is also part of the red-green North-area policy to contribute to health and social development. Here, there is clearly a market where there are opportunities for much more tourism, including from Russia to Norway. That's a lot of challenges. In particular, SV will focus on environmentally friendly infrastructure, economic cooperation to clean up the environment and focus on renewable energy. In order to increase border trade and economic cohesion, it is important to invest in infrastructure, and then environmentally friendly infrastructure. The government will continue cleaning up work in the Atom Church Garden. Pressure still needs to be put on the Russians to do something about the huge, acidic emissions at Nikel. Finnmark has the greatest potential for wind power throughout Northern Europe, and Hammerfest has built the world's first tidal power plant. At the same time, the power grid in Finnmark is a single big bottleneck. It must then be a goal to build up the network both in the county and towards Kola. The goal must in the long term be to phase out Kola nuclear power plants. So there's a lot of possibilities in the north as well as oil and gas. There is trade between people. That's why people for people-to-people cooperation is a central part of the Northern Region Strategy. The aim must be free flow of artistic and cultural expressions across borders, cooperation between artists and cultural workers and children and young people. Communication and understanding create development on both sides of the border. It creates meeting places and ground for cooperation in other areas of society.
ParlaMint-NO_2007-03-06.ana.ud392e262	Let me start by supporting the inter-pellant in his commitment to concretely put in place Northern Region policy and further develop the border region cooperation between Norway and Russia. I would also like to welcome the constructive approach of the Minister of Foreign Affairs to the interpellation. Interpellence focuses on concrete challenges in border cooperation between the two countries. However, it is important to understand these challenges in the light of the greater political dimension of the meeting of Western Europe with Russia. The major policy concerns have an impact on the co-operation climate and the willingness to find practical solutions that can facilitate the interaction between the peoples of the border regions. A small country such as Norway — with a common border with Russia — has an interest in maintaining a good relationship regardless of the major political climate between Western Europe and Russia. Safety policy assessments have traditionally been of great importance to Norwegian Russian policy. Although we are currently experiencing increasing self-confidence in Russia about their role and opportunities, this nationalisation of Russian policies and governance should not prevent us from looking for concrete, practical solutions to the challenges of border region relations with Russia. It is precisely in this situation that contacts and cooperation need to be built in several areas. Security policy perspectives need to be balanced against the need for people to cooperate with people, economic development, skills building and exchange, good environmental cooperation, improved health and well-being conditions and the organisation of indigenous peoples' contacts and development. I notice that there is an increasing centralisation in Russian politics. The power is brought together with the President in an effort to gain better control and more effective governance. In concrete terms, this means that decision-making powers are transferred from the regions of Kola to Moscow. It means less flexibility and longer time for decisions, perhaps even less responsive to local and regional needs. But also in Norway, we need to consider critically whether our policies and our systems red tape and prevent border regional cooperation. These include the possibility of visas to Norway, the availability of Russians to Norwegian authorities, the provisions of the Schengen Convention on border control, etc. And it's about our willingness to facilitate increased business cooperation. I am familiar with the desire to use Varangerfjorden as a place of transhipment for fish and oil, and that it draws out with answers from the Norwegian authorities. I believe Norway has an interest in finding practical solutions in relation to Russia. If we are to succeed, it will be important to build direct contact with the Russian presidential power in order to create a common understanding of the opportunities and challenges in this region. That dialogue must cover more than just fish, energy and oil. The aim must be to develop broader business cooperation based on the opportunities and needs of the regions. I also see the need for a stronger dialogue with the Russians on climate change and adaptation in the north, a stronger focus on sustainable nature management and pollution reduction, among others. from Nikel. Greater industrial cooperation will require more flexible arrangements for border crossing and increase opportunities for greater cooperation on culture, indigenous peoples, health and well-being. I don't think there is a shortage of financial resources for an exciting development in the Barents region. We need to focus more on the legal framework in order to facilitate contact and make investments predictable, and we need increased political will for practical solutions to further develop the region. We can do that through a constructive dialogue with Russia on a common commitment to this region. To achieve this, we also need to create informed and insightful alliances in the Nordic countries, the EU and the United States. In this respect, I would like to mention the Conference on the Northern Dimension of the European Union which some Norwegian parliamentarians attended in Brussels last week. Clearly, there has been a new impetus in the work on the EU’s northern dimension since the agreement of the EU and the governments of Russia, Norway and Iceland on a joint declaration on further cooperation last November. This new approach is also reflected in increased involvement among parliamentarians. I would like to underline the importance that this contact is also used to develop our dialogue with Russia, and to engage in this dialogue of informed and insightful partners, which we have in the other Nordic countries, which we have through the renewed and strengthened engagement of the EU northwards, and which we also have in Arctic cooperation, where both the United States and Canada are involved in the dialogue. I think it's a lot to pick up by playing also on these parliamentary bodies in cooperation.
ParlaMint-NO_2007-03-06.ana.ud392e279	Let me start by thanking Jan-Henrik Fredriksen, an interpellant, who addresses this important topic. I would also like to thank the Minister for Foreign Affairs, who gives a thorough account of the challenges we are facing. Let me also stress that it is important that we give our Russian friends in the north the same treatment when crossing the border that we give to others in other parts of the country. That being said, we must be happy to note that there has been a positive development in the north. In the Soviet era, we had a border crossing of 2,000 to 3,000 people per. year, towards almost 107,000 in 2006. It means that there is a good connection between our two countries. I noticed the Foreign Minister's willingness to strengthen measures to facilitate border crossings in the coming period. It may not be well known that we have a border agreement between Norway and Russia of 1948, with underlying protocols. It still applies. It must be maintained and used with the same cleverness, flexibility and sensitivity as our border inspectors and the border commissioner of the Churches have demonstrated. It is equally valid and binding as our Schengen Agreement, but not as well known. It is good to note that there is still a strong focus on facilitating better interaction between our two countries. A people for people-to-people cooperation and an active district policy in the north are important contributions from the Norwegian side to create trust between actors in the many fields. It is crucial for us and gives us a comparative advantage and a advantage compared to some other actors. We note that in the north we have increased petroleum activity. We have management of common fisheries resources, and we have opportunities to develop land-based activities that will further strengthen the interaction between our two countries. But I think it's important that we take into account that the perspective we're working on is longer than the lifetime of the petroleum season. We have a much bigger perspective that we have to take care of. But if we're going to succeed, we're gonna have to have people in the area. We need people with the right skills. We need to strengthen research and education, and we need to show flexibility and give work permits to more people in the Barents region – and especially in Russia – in order to achieve this. I noticed with interest that we have a university called Arctic University. The idea of a North2north programme has been launched – a cross-border crossing in the east-west region, not just north-south. Maybe we'll find a common arena for people with a common time of darkness. The Minister of Foreign Affairs refers to the economic perspective between Norway and Russia. He mentions innovation centres built in Murmansk and Arkhangelsk. He also mentions increased economic and industrial cooperation in border areas. But let's include the other areas that are also important: fisheries, tourism, culture and arctic agriculture, to mention something. The Foreign Affairs Committee was visiting Russia. We had conversations with both businessmen and the governor in St. Petersburg, who took up the cross-border cooperation and pointed out how important it is. That's why it's time we saw this with a lack of research activity in the Barents Sea in this context and tried to do something about it.
