Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e44	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e49	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.HEH	Holmås, Heikki Eidsvoll	M	1972	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e56	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e70	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e79	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e108	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.FR	de Ruiter, Freddy	M	1969	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e125	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JONG	Gåsvatn, Jon Jæger	M	1954	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e153	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.IME	Søreide, Ine Eriksen	F	1976	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e177	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.LEJ	Jensen, Lena	F	1973	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e200	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.JSA	Sahl, Jan	M	1950	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e213	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Regular	notMP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.TOAS	Aasland, Tora	F	1942	
ParlaMint-NO-en_2007-11-08-lower	ParlaMint-NO_2007-11-08-lower.ana.ud1755e230	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2007-2008, Sitting day 2007-11-08	2007-11-08	Lower house	Term 2005-2009	Session 2007-2008	-	Sitting day 2007-11-08	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
