ParlaMint-NO_2007-11-08.ana.ud1064e38	The representative, Kari Lise Holmberg, will present a proposal for a representative.
ParlaMint-NO_2007-11-08.ana.ud1064e41	On behalf of the representatives of Per-Kristian Foss, Bent Höie, Cathrin Bretzeg and myself, I am delighted to make a proposal for a comprehensive refugee and migration policy with a particular focus on developments within my own country, the action room of Norway and the development of the EU.
ParlaMint-NO_2007-11-08.ana.ud1064e46	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2007-11-08.ana.ud1064e60	At the request of the Foreign Affairs Committee, the President will propose that the maximum speaking time for speeches by the main speakers for each party group and members of the Government be set at 10 minutes and for the other speakers at 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and up to five lines with replies after the contributions of members of the Government within the allocated speaking time. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-11-08.ana.ud1064e67	First, I would like to thank the Minister of Foreign Affairs for a good account of the EU and EEA issues in question this autumn. This statement is the second one in the series following the examination of the European Communication in ours, where proposals for such half-yearly presentations were also unanimously supported. There has been a slight adjustment: In the spring session the comments from the parties came as a reflection right after the presentation, now we have had opportunities for reflection for a few days – with the opportunity to involve more. From the Labour Party we have therefore also wanted to involve our members in this debate from the committees responsible for the subject areas in question. The aim of the European Communication and the setting here in Stortinget was, of course, to involve more people in a more open, coordinated and active influence and influence on EU/EEA matters in the early stages of the process. This could be better taken care of by Norwegian national interests, but could also provide opportunities for input into the EU, not to say Europe, joint development, because this will ultimately affect our own development in Norway. In the follow-up to the European Communication and the Settings, it is the responsibility of both the Government, the Stortinget and the party groups. Let me therefore briefly mention that, at yesterday's group meeting, the Labour Party decided that we should appoint EU/EEA leaders from among our members in each committee, which is to constitute an enlarged EU/EEA fraction. Furthermore, measures were proposed for closer contact with our party group in the European Parliament. Norway’s main link to the EU in the last 14 years has been the EEA Agreement. The agreement, with its limitations, has worked well and has given Norway access to the internal market and a level playing field for trade and economic relations in Europe. The EU is a partner and a crucial area for Norway and the Norwegian economy. However, the EEA Agreement means that we are not at all places, that we are often late in the process, and, as the Minister for Foreign Affairs pointed out, there are questions about the ability of the agreement to meet new challenges and areas of cooperation. There is a consequence of not being a member of the EU, which the Labour Party is basing on. Within this framework, an active European policy is needed. A new EU reform treaty is in place. It is necessary to analyse its importance for the development of EU cooperation and for Norwegian policies in relation to the EU and the EEA. However, let me say that I agree with the Minister for Foreign Affairs that we are served by the functioning of EU cooperation, because EU policy now intervenes in all aspects of Norwegian society, including those which have traditionally been domestic policies, as we write in the position of the European Communication. I would like to see the EU's capacity to act in the field of foreign policy strengthened as a result of the Treaty, because I share the value base of the EU's foreign policy commitment. Norway must continue a close dialogue with the EU in the field of foreign and security policy and on security policy in a broad perspective. I was so lucky to be here as a guest at the Nordic Council's session last week. All policy areas are now being discussed here, and countries that are members of the EU but are not members of NATO, non-EU NATO member countries, and countries that are both members are participating. The basic thing is that this is a common Nordic position, with opportunities for convergence of interests also in a European perspective. I mention the Nordic welfare model and the northern dimension, including climate and environment. I think this is an exciting development. The Minister for Foreign Affairs suggested that the Treaty could involve new legislation more quickly by increasing the use of majority decisions. This will be an additional challenge for the impact of the alienation. It is positive that national parliaments should be involved in the work on new legislation in the past. Here we should consider whether anything can be adapted to Norway’s position and Norwegian circumstances, so that the Stortinget also has the opportunity to record at an early stage of the process. Of course, the Labour Party supports the Foreign Minister's assessments of the specific issues and disciplines he addressed in his presentation. However, I also refer to the views and comments of our members on various committees later in the debate on climate and environment, maritime policy and Schengen and Prüm cooperation. Let me just give a general reflection on these issues: we share the same common basic positions or objectives with the EU in these areas, despite the variation in concreteisation. Today, we have a major labour market in the EEA area, which has gradually benefited us in Norway. Several tens of thousands of people from EEA countries are working in Norway today because we have a great need for labour. Many people have organized pay and employment, but too many do not. We must avoid the emergence of a group of workers with lower pay levels and lower working conditions than we accept for Norwegian workers. The government has an offensive attitude here and has implemented several measures to combat social dumping. This must be followed up. But there is no doubt that the fight against social dumping must also be waged in the European arena, as part of our foreign policy. It is important that Norway supports the social dialogue in Europe, an area where we have great experience, competence and good results to point to. We need to ensure cross-border cooperation and exchange of experience. I am therefore particularly pleased that next year's government has earmarked funding for the social partners to promote social dialogue and cooperation with the parties of the new EU countries in Central Europe. The expansion of the EEA territory this year to include the new EU countries Romania and Bulgaria was important in order to ensure a single internal market. Norway will contribute large amounts to achieving economic and social development in the new EU countries. The new financial instrument related to the inclusion of Romania and Bulgaria was that half of the funds were to go to bilateral cooperation programmes, directly managed by Norway. The programmes provided for cooperation projects with Norwegian actors. With reference to the importance of the social dimension and the social dialogue, I would like to stress the social partners' target group. The EEA financial instruments are a prerequisite for participation in the EU's internal market in line with the EU's own Member States. The financial instruments shall be renegotiated during the current maturity period. My challenge to the Minister for Foreign Affairs will be whether one here can achieve equivalent management and include the social dimension as an objective and social partners as a target group for the development of cooperation relations with all the new EU countries. I also do not ignore cooperation between other civil society organisations. I believe that strong organisations and cooperation between the social partners in the labour market will be positive for each country's social and economic development and prevent social dumping. I record on the list of speakers that there are far more people today involved in the debate on EU/EEA matters than at the previous presentation. We can therefore note that some intermediate targets from the treatment of the European message have already been met. The debate on matters has come from the EEA Public Space Committee, and more from different professional committees are involved. It's a positive development.
ParlaMint-NO_2007-11-08.ana.ud1064e103	It's going to be line change.
ParlaMint-NO_2007-11-08.ana.ud1064e106	Under the heading ‘So close, yet so distant’, the evening post in the executive position comments on yesterday’s statement by the Minister for Foreign Affairs, and I quote: ‘With a broad pen, he concluded that Norway’s role in Europe is limited to responding to initiatives coming from the EU, and that as a starting point, we can do what we can to safeguard Norwegian interests.’ The description of the evening post corresponds essentially to our reaction to the conclusion of the Minister of Foreign Affairs' statement. Is the Workers' Party comfortable with such a defensive approach to European policy?
ParlaMint-NO_2007-11-08.ana.ud1064e118	It is a reality that developments in the EU will have an impact on very many areas of domestic policy in Norway. There shall be no doubt as to the primary position of the Workers’ Party as to the fact that membership would have served our best interests, but the Soria Moria Declaration states that EU membership is not on the agenda today and that it is the EEA Agreement and the Schengen Agreement that are our primary lines of contact with the EU. I think it is a little strange that the Right Representative accuses us of having a passive attitude, all the time when the previous government, where the Right was sitting, was apparently criticised both by the Riksrevision and by the State Consultant that they did not take advantage of the opportunities provided by the EEA Agreement. It is now trying to correct this government by having an active European policy which has been unanimously endorsed here in the United Kingdom.
ParlaMint-NO_2007-11-08.ana.ud1064e125	Several have not asked for the word for a line.
ParlaMint-NO_2007-11-08.ana.ud1064e128	Climate and environmental policy were very key issues in the Foreign Minister’s presentation. In my speech, I would like to focus on that and refer some of the other issues, which are also important, to subsequent contributions from the representatives of the Progress Party. I would first like to thank the Minister of Foreign Affairs for a presentation that addresses many important issues, many key issues. When one discusses the environment and climate in this context, it is not because one necessarily discusses the goals of the Government. They're important. The Progress Party is also concerned about resolving the problems. But one is a little bit more concerned about the way the government has handled some of these questions. In fact, they appear to be quite bleakly handled. It seems that it has taken very lightly on the challenges, there has been a kind of dream factory that has come with great ambitions and big goals that this government and Norway are now to become world champion in almost all areas. But in terms of implementation, the government has not taken into account the world society in which we live, and the rules that we are imposed by the EEA Agreement. Then it really seems quite pointless to appear to be the great, ambitious master, when one does not live in the world of reality. I'll take care of it, among other things. the climate allowance law and the purchase of developing country allowances. Mongstad and CO2 cleaning illustrate this very well. I expected the Foreign Minister to explain where the process of the industrial power regime now stands and where the process of repatriation stands. These are issues that are highly related to the theme of the presentation. There are issues that the government has not solved in any way, but it has created great expectations that they will be solved in a very good way. In the opposition they said that it was very easy to solve them, if they just got power. Then it is a little special that both the industrial power regime and the fall-back are bypassed in silence. I look forward to the negotiations in Bali. There are significant weaknesses in the Kyoto agreement that need to be improved. As the Prime Minister has also said several times, among others. to the national meeting of the Labour Party, there is a serious weakness in the Kyoto Agreement that only 36 out of 172 countries have restrictions on their emissions. This means that a new agreement needs to have a much broader form of commitment to avoid what has been the criticism of Kyoto by the Progress Party, namely that one within the agreement can only move emissions from countries with restrictions to countries with no restrictions. It means a turn of economic activity, but it does not mean a profit for the environment at all — rather, on the contrary. What is also a consequence of today's Kyoto agreement is that it contributes to building China into an economic centre of power – a development that is not easy to reverse, and which one does not believe is desirable either, given that welfare states, major powers, must have a significant degree of industry in their own country in order to be credible. I noticed that the Minister for Foreign Affairs did not mention the challenges that now exist in relation to Kyoto, where among other things. Canada expressed doubts as to whether they would comply with the agreement, and where England has recently concluded and said that they are unlikely to achieve the EU's renewable energy objectives, which are an important part of the EU's compliance with the Kyoto agreement. So I recommend to the Norwegian delegation in Bali to focus on realistic solutions when they negotiate, rather than high-flying ambitions that only oil-rich nations that Norway can afford to meet. Then the Foreign Minister was much within the EU quota system, and he said it was very good with the EU quota system. And I agree. When the EU quota system is initially so good, it is quite incomprehensible that Norway spends so much time negotiating relatively marginal strange adjustments. Now, less than two months before the quota trade is due to enter into force, many Norwegian companies still do not know what framework conditions they have to deal with. An example is the gas power plant on Kårstø. Do they get free allowances, or do they not get free allowances? That's two more months! The difference between a yes or a no there is up to 200 million. kr per year. I think that natural force had thought it was very good to get a clarification, and I challenge the Minister of Foreign Affairs or the Minister of Oil and Energy to come up with an explanation of this, because it has a little bit of predictability. One cannot only complain that the EU has not completed its rules in sufficient time to meet the Government’s ambitions, when the Norwegian Government is unable to have its rules clear enough for Norwegian business to have predictability. Why does a new business want to be treated more closely in Norway than in the EU? In its report on REACH, the Minister for Foreign Affairs stressed that Norwegian industry should have the same framework conditions as its competitors in the EU. In terms of chemical policy, a level playing field is required. As far as CO2 policy is concerned, this government has deliberately opted for a stricter approach in Norway than in the EU. No free allowances shall be allocated to industry established in Norway after 2001. This is completely across EU policies. This shifts industry out of Norway but does not reduce globally. One example is NorFra Kalk, who delivers to a global market. If NorFra Kalk doesn't deliver, the other will take over that delivery. There are probably factories that have more emissions than NorFra Kalk would have had. So one says, it's not to allocate free allowances. This will give an incentive for an investor to invest in new, better technology. NorFralk is a brand new factory that has not yet been opened. It is already invested in the best technology available, but without free allowances they get such a significant extra cost that others will compete with them without any problems. Then it must be a challenge for the Minister for Foreign Affairs, when he talks about how great the EU's quota system is, to ensure that Norwegian industry is allowed to compete on equal terms in the quota system. I would therefore challenge the Foreign Minister to look at the quota system again, because there is an important prerequisite here that the government parties failed, but that is now broken. I refer to what Asmund Kristoffersen and Tore Nordtun said in Odelstinget's debate on 19 June. Asmund Kristoffersen said that one could have more stringent allocations to new industries, because the new industry would be able to buy without limit with quotas from the Green Development Mechanism. It's cheaper than what you get in the EU system. Tore Nordtun said: ‘This is strict. At the same time, however, we have a more liberal approach to using the green development mechanism. [[...]] What has happened after this was said? The EU has said: No, you cannot use the green development mechanism as you will. You get a maximum of 10 pst. through it. This means that the assumption that the new Norwegian industry would be able to buy cheap allowances is not met. It is then a natural consequence that one looks at the whole climate quota law, so that one does not completely destroy for new Norwegian industry. I hope the government's representatives will respond to that. So I wonder in this context: how can a government that has the most offensive and ambitious climate policy in the world still sell 12 million tonnes of CO2 in the European market, as mentioned in the proposition? If you think it's offensive, you'd have to torture these quotas instead of filling the treasury. Then I challenge the Foreign Minister to clarify what he really meant when he said that the business community is preparing for ‘no allowances will be free after 2012’. Is it not clear that the Government will work for the EU to have that policy in 2012? But will Norway apply that policy, regardless of what the EU does? This will be interesting for new Norwegian industrial establishments in the next few years. Then go to Mongstad. It has long been known that ESA may have objected to Mongstad. It's not a news this past week, even though the Minister of Oil and Energy, is new in his role, later on as if it hasn't been a theme before. There is quite a lot that has suddenly become new after we got a new State Council in the Oil and Energy Ministry. But I would like to draw the attention of the Minister of Oil and Energy to the Progress Party and the Right's remarks when the Mongstad case was dealt with, where we pointed out that the Evening Post as early as March 8 pointed out the very same thing as is now the subject, that ESA will not automatically approve the project that is now in place, a substantial work must be done. We addressed this with the previous Minister of Oil and Energy, Enoxen, by letter of 16 April and 24 April this year. He did not try to clarify this, probably because they already saw that this was difficult. One can only wonder what the motives are for the government to only now make a public debate about this. Is it because you see that you can't meet the goals of the timeframe you've set, and now someone needs to blame? For the issue is not new in any way. Then I also see that the government is now saying they are going to consider a notification of the Kårstø plant. Kårstø, which is to be completed two years before Mongstad, and with which the Government has worked – and has been clear – much longer than Mongstad, one has not yet notified. So it's going to have 100 pst. State financed — more than Mongstad. Then you can just wonder what kind of screams are going to come from the government when you see that this too would be problematic. I would then challenge the government to look at the project again. One has already broken the promise of the Soria Moria declaration to deliver CO2 clean-up in 2009. The cost of the project over a 25-year period will be NOK 17.5 billion. There are better ways to develop new CO2 cleaning technologies than to build concrete and steel on Kårstø, e.g. to research more?
ParlaMint-NO_2007-11-08.ana.ud1064e182	The Foreign Minister’s presentation on key EU and EEA issues includes a number of themes: climate challenges, the environment, food security, maritime policy, justice policy, crime prevention, migration challenges, asylum policy, etc. Several of these themes will be commented on by my party colleagues in different committee fractions. It is interesting to see that EEA matters arouse wide involvement. In fact, the Minister for Foreign Affairs made a presentation on the very central issues of domestic policy. Our strong integration into EU cooperation means that ‘important EU and EEA matters’ can also be referred to as ‘important Norwegian issues’. The EU's decisions and policies increasingly affect us, as changes in the EU and global changes take place. For a long time, Norway has believed that it will be better served to participate fully in the European arena, because Norway is part of Europe and because EU membership will give us the right to contribute, to be heard and to vote. We believe membership will make it easier to attend to Norwegian interests and values. Now it's clearly a new argument: we have to in terms of our democracy. When international matters and decisions affect us more than before, we need to participate in decisions taken, in order to safeguard democracy. By choosing continued exclusion, we leave to others to make the decisions for us. Therefore, the EU case is increasingly about strengthening Norwegian democracy. So now the issue of membership is not the issue today, but the Foreign Minister's statement has not weakened the Right in the belief that we are approaching a time when membership has to be on the agenda again. The Minister for Foreign Affairs presented the EU's ambitious objectives and comprehensive work in the field of climate policy. Today, it is well beyond doubt that the EU is a priority area for both high climate targets and effective climate solutions. The aim of the last Minister for the Environment was that Norway should not be worse than the EU. The opinion is a good illustration of the EU’s important role in addressing climate challenges. When the Government points out that the economic system needs to be set up in such a way that people and businesses are drawn in a more climate-friendly direction, i.e. that the market mechanisms have to be put into operation, the Government is absolutely right to do so. However, the management of so-called market empires, such as: the absence of any cost or price of CO2 emissions requires international cooperation. As the Minister for Foreign Affairs points out, the internal market paved the way for EU countries to develop a common quota system. The EU has proved to be a business area in creating and establishing a multinational allowance market, and Norway is among the countries that have joined the EU ETS. The right considers that the Government adopted an approach that discriminates against existing companies in Norway, without any environmental impact. But we support the connection to the system. The EU is a key driver of international climate negotiations and was central to both negotiating and implementing the UN Convention on Climate Change in 1992 and the 1997 Kyoto Protocol. Of course, the EU will have a central role in the forthcoming climate negotiations in Bali. Some of the challenge for Norway will be to influence and coordinate us with the EU in advance of these negotiations. But it might seem like we're hanging out a little bit. It must be a crossroads for the Government that Norway wants EU support for our so-called moon landing project in Mongstad, but chooses not to contribute to the flagship project that the EU Commission and the United Kingdom are now contributing to in China. They have started cooperation on the financing and development of a coal-fired power plant almost without CO2 emissions. Yes, it may seem that it is Bellona, and not Norwegian authorities, who have contributed to the EU reaching significant levels of CO2 capture and storage, both in Europe and as part of an international climate agenda. This is why it responds to the Government saying that it is concerned about progress in its own projects because EU legislation is not in place. It is incredible that work on the project in Mongstad and the agreement with Statoil was started without coordination and contact with the EU bodies. However, the right considers that the case illustrates very well the challenges for Norway by being outside the EU. This is true of climate policy and, increasingly, of energy policy. In January this year, the EU promoted a ground-breaking action plan on energy. As you know, the objective is to reduce CO2 emissions by 20 pst. in relation to 1990 levels by 2020, and by 30 pst. if other large industrial areas, including the United States, are included. Sustainability and the fight against climate change are the red line of the EU's new energy policy. In a number of areas, EU countries will concentrate on measures for more efficient energy markets, energy saving, technology development and renewable energy investment. The EU also has a crucial dialogue with Russia and countries in Central Asia on energy, a dialogue in which Norway does not participate, but which can also have a significant impact on our energy cooperation with Russia. The Minister of Foreign Affairs concerned the new EU Treaty and the challenges it could pose for Norway. There is little doubt that, if the Treaty enters into force by June 2009, it will have a major impact on us. When the pillar structure changes, the EU will have greater freedom of action to see policy areas and actions in the context, as the Minister for Foreign Affairs said. The decision-making structure is changing and national parliaments will have greater influence. What this means for Norway and Norwegian Governing Bodies is an important theme that should be high on the Government’s agenda for the period until 2009. The majority must have the Government’s honest assessment of whether the changes affect Norway’s ability to influence. Right-wing alerts already indicate that we will follow this up in parallel with the EU ratification process. The agreement on a new reform treaty makes it possible for the EU to become more effective and clear, which is essential for the EU to play a more important role internationally. There is a significant global shift of power in favor of China, India and Russia and energy-rich autocrats. Despite the fact that the United States is, and will remain, the most economically, militarily and politically important single state in the world, it is obvious that in recent years the United States has lost a lot of political legitimacy, or what can be called soft power. In this rather complex international situation, there is a need for an EU that can contribute more forcefully and clearly to democracy, human rights, security and sustainable development in the world. The EU is expected to have a more comprehensive, coherent and effective foreign policy. This is one of the most important advances in the new Reform Treaty, which was adopted at the EU Summit at the end of June. Although there will still be areas where Member States disagree and will appear with national markers, the changes include: the establishment of a High Representative for Foreign Affairs and Security Policy, a proper step towards increased coordination and thus greater European strength and ability to address international problems. The Minister for Foreign Affairs concluded his statement by saying that: ‘Our task is to respond to initiatives coming from the EU and to do what we can to safeguard Norwegian interests and influence with our eyesight’. Thus, an active European policy is summarised. But should Norway calm down on responding to initiatives? Is that our contribution to Europe's common challenges? Right means no. An active European policy is about premising, being involved in shaping the solutions, so that our northern perspective is also about the end result. An active European policy will, for example: be associated with the countries we are particularly close, such as the Nordic countries, in order to increase the efficiency and dynamism of European cooperation. Such a European policy would be right. However, as long as we are outside, we will be grateful for presentations about the many initiatives taken by the European Union, and for the government's efforts to intervene so-called close to the EU.
