ParlaMint-NO_2007-06-15.ana.ud714e76	The representative Mr Børge Brende will make a proposal for a representative.
ParlaMint-NO_2007-06-15.ana.ud714e79	On behalf of the representatives of Gunnar Gundersen, Sonja Irene Sjøli, Olemic Thommessen and myself, I am delighted to propose an action plan for cleaning up Mjösa.
ParlaMint-NO_2007-06-15.ana.ud714e84	The representative of Gunnar Gundersen will put forward a proposal for a representative.
ParlaMint-NO_2007-06-15.ana.ud714e87	On behalf of the representatives Børge Brende, Sonja Irene Sjøli, Øyvind Halleraker, Martin Engeset and myself, I would like to propose a general extension of the hunting season for cervids.
ParlaMint-NO_2007-06-15.ana.ud714e92	The representative Line Henriette Holten Hemdal will present a proposal for a representative.
ParlaMint-NO_2007-06-15.ana.ud714e95	On behalf of the representatives of Laila Davøy, Åse Gunhild Woie Duesund, Jan Sahl and myself will promote a proposal for a representative on the universal design of Moss Airport Back.
ParlaMint-NO_2007-06-15.ana.ud714e100	The representative, Mr. Tord Lien, will make a proposal for a representative.
ParlaMint-NO_2007-06-15.ana.ud714e103	On behalf of Per-Willy Amundsen, Torbjørn Andersen, Hans Frode Kielland Asmyhr, Ketil Solvik-Olsen and myself, I would like to make suggestions to limit the county council and county council's right of objection in municipal level and area matters.
ParlaMint-NO_2007-06-15.ana.ud714e109	The representative proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will propose that the morning meeting, if necessary, continue beyond the regulatory time, at 5 p.m. 16, until the completion of the current map. – No objections have been raised to the President’s proposal and it is deemed to have been adopted. At the request of the Financial Committee, the President will propose that cases be brought before the Court of Justice of the European Communities. 1 to 4 is dealt with as a whole – and considers it to be adopted.
ParlaMint-NO_2007-06-15.ana.ud714e162	At the request of the Financial Committee, the President will propose that the debate be limited to 2 hours and 5 minutes and that the speaking time be allocated to the groups as follows: Working Party 45 minutes, Progress Party 25 minutes, Right 15 minutes, Socialist Left Party 10 minutes, Christian People's Party 10 minutes, Center Party 10 minutes and Left 10 minutes. Furthermore, the President will propose that there be a change of line with up to five lines of response following speeches by the main speakers of the parties, after parliamentary leaders, after the Prime Minister and the Minister of Finance, and up to three lines of response after submissions by other members of the Government, within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2007-06-15.ana.ud714e173	For the government party, fighting unemployment and ensuring fair distribution in society is the most important thing in economic policy. In both of these areas, the Government delivers great results. The unemployment rate is lower than ever in 20 years. Employment continues to grow. Multiple add-ons pass from part-time to full-time settings. Immigrants can enter the labour market more easily. More older workers are more likely than before to be included in the labour market. Budgetary policy shall contribute to a stable economic development. The safe economy for households is central in this context, especially for families with large mortgages. Many of these younger families will be particularly vulnerable if interest rates increase faster and more than the change reported by Norway Bank. We now experience capacity problems and labour shortages in some industries. This is the image even though we have had increased labour migration. The increase in wages is also on the way up. If the cost of competitive business increases too much, jobs across the country may be threatened, not least in the districts. For the government party, it is therefore decisive that an economic policy is pursued that does not result in a sharp increase in interest rates, a higher dollar rate and an increasing wage and price pressure. Another policy course will put jobs at great risk. The government party is busy building up good welfare. But we don't have to use so much of the revenue from the oil and gas business that we're looking at the economy. It is not a solidarity policy. The government is taking a new, important and necessary step in economic policy. The use of oil money will be reduced from 4 pst. to 3.8 pst. of the real return on the pension fund. So the structural oil-corrected deficit in the budget is reduced by DKK 3.2 billion. Such an arrangement is consistent with the intention of the rule of action. It is a necessary step to counter strong pressure in the Norwegian economy. The Progress Party and the Right are tumbling with the idea of joining a new government project. The slopes between them are very different, for example: in the use of money. What unites them is a commitment to the government party. Right will cut the budget by 722 million. kr. On the other hand, the progress party is on a completely different course and will increase the use of money by approx. $3.5 billion. The political rift is large and visible. Within a defence-related economic framework, the Government has found room to invest in several key areas, in particular children, young people and training, stronger environmental efforts and action in the districts. It is very important for us to involve people in the labour market. Therefore, the Government is in favour of keeping the measures for ordinary and disabled jobseekers at the same level as in the 2007 budget, although unemployment has fallen sharply. Another measure that will also inspire people to get into work is the use of kindergartens. An additional effect of this is that young children’s parents can be economically active. Yes, this group gets better conditions than they've ever had. In the draft budget, the budget for kindergartens will increase by 370 million. kr for the remainder of the current year. It's even a step closer to full kindergarten coverage. A growth in capacity for 2006 and 2007 is assumed to be 38,800 full-day seats, of which 22,700 this year. The collection makes this up for the last two years or so. 6000 more places than what was expected in the balance of the budget. The differences are clear between us and the other parties in kindergarten policy. On the right, the nursery price will increase and extra costs will be incurred by parents of 325 million. kr. The left suggests in the same direction, but with a lower amount. None of these suggestions motivate young children’s parents to go to work. Children in need of child protection are a very vulnerable group. We see that unfortunately there have become more children under care. As a result, the cost of child protection measures is increased. This makes it necessary to strengthen the rights of child protection by 220 million. kr. The government suggests this because it is busy giving children good deals. At this point there is no divergence in the Financial Committee. Children and adolescents should have good dietary habits. It'll help provide better learning outcomes in the school. As a new and constructive measure, the Government proposes the introduction of free fruit and vegetables for all elephants in youth schools and in combined children’s and youth schools. The scheme shall apply from August of this year. It is the school owner, who in most cases is the municipality, who is responsible for implementing the new measure. For the government, it is a goal to strengthen the training by several hours per. week in the base ball. We believe that the benefits of the training can be increased by such a scheme. In addition, there is every reason to believe that such a measure will help to smooth out differences in socially motivated learning outcomes. The draft revised budget sets out the means for experimenting with extended school days in the coming school years. The test will include an increase in hours between 1 and 4. Steps, homework, physical activity and testing of scouring foods. Experience from the experiment will be important in implementing full-scale action across the country. Unfortunately, in recent years we have seen that too many young people do not undertake further training. This is particularly unfortunate for young people in debt, but the socio-economic impact is also negative. The Government Party will strengthen advice in continuing training precisely to motivate young people to take proper education choices. The government will strengthen environmental protection. It happens in several areas. Public transport in cities and districts is allowed to increase the risk. In addition, funds are proposed for new walking and cycling roads and for investments in the railways. In the Ministry of the Environment’s field, several proposals are being made, such as: on the means of working against the salmon parasite Gyrodactylus salaris. The Government Declaration states that everyone should have a chance of joining broadband by the end of 2007. It's an ambitious goal. But with a total increase of 255 million. kr in the revised budget is the reason why the target is now actually being met. We are not content to stimulate the demand for broadband. Infrastructure is now being developed. It's totally positive. Broadband is a service for scattered construction, district-based business and public sector renewal. It is gratifying that the cost of people's security can be reduced by DKK 2.1 billion in the revised budget. Expenditure estimates have changed in a positive direction. Outlays on sick leave are falling. The same is true of costs of rehabilitating, rehabilitating and renting. In other expenditure chapters for health care purposes, expenditure is increasing. In the revised national budget, the promises are increased for the necessary purposes. At the same time, the use of revenue from the oil and gas industries is significantly reduced. It is an effective contribution not to increase the temperature of the Norwegian economy. The right is saying that our draft budget is too expansive. I disagree with that. The interest rate goes up when the growth is good. In an economy with strong growth, there is no need for the governor to pursue active monetary policies to stimulate growth beyond low interest rates. I point out that the governor recently said the following: ‘The most important thing that is now that we have interest rate increases is that the interest rate was so low — it was so low in Norway, and it was so low out there. [[...]] So it's the eccentricity of the interest rate setting that's the main driving force both out and at home behind the interest rate increases we have. That's our main analysis." I take up proposal No. 104 from the Financial Committee, and would like to recommend the opinion of the Committee.
ParlaMint-NO_2007-06-15.ana.ud714e220	The representative, Mr. Reidar Sandal, has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2007-06-15.ana.ud714e225	I registered that the representative Sandal was concerned about this with access to labour. We know that many people today are waiting for treatment at one of our hospitals, either a private or a public institution. And while waiting for the necessary treatment, you go out of work, get into social arrangements and wait. Wouldn't it make sense at a time when we actually lacked labour in some sectors, that this had now been speeded up with patient treatment, so that the people waiting for treatment get it faster, so that they can get back to work?
