ParlaMint-NO_2007-02-08.ana.ud2647e37	The representative, Elisabeth Aspaker, will put forward a proposal for a representative.
ParlaMint-NO_2007-02-08.ana.ud2647e40	On behalf of Erna Solberg, André Oktay Dahl, Kari Lise Holmberg and myself, I have the honour to make a proposal to give the police a basis of residence to intervene in the provision of sexual services, organized begging, etc.
ParlaMint-NO_2007-02-08.ana.ud2647e45	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2007-02-08.ana.ud2647e63	After the first riot that naturally occurred after the well-known violence incident on the tram in Oslo a short time ago, a number of conditions arose that should have caused the alarm bells to ring. At least it called for the man with Somali background who went to the doctor with earpieces after his doctor's advice. Voices that threatened him took over control of his life, and at the same time he was very run down after a strong abuse of the cat. He himself stated the following in court: "I was frustrated because I didn't have a place to live, and therefore I continued to rush. I used approx. One kilogram of cat a day, and I used it both during the day and at night. I felt it very strongly, and that I almost went mad." This man is not alone and is part of the back of the Medal of Integration Policy. A stone’s throw from the Greenland police house in Oslo is sold for periods of one tonne of the banned narcotic plant cat in less than a week. The majority of users are from Somalia, and an estimated 50–70 pst. of Somali men chew the intoxicating leaves on a regular basis. But there are also other groups with immigrant backgrounds. This social problem has been identified at irregular intervals, but it has not been taken seriously by either political authorities, police and prosecution authorities or health services. In the past, police and customs seized no more than 2.7 tonnes of cat. There are pro-miles of weekly turnover in the middle of Oslo in periods. Every day, 11,418 people pass the customs locks on the main aerodrome of the country. Five of these are taken and assigned to simplified presentations, according to numbers from the VG. In January of this year, the Health Policy spokesman of the Workers’ Party, Jan Bøhler, felt that enough was enough. It is unacceptable that the police do not intervene, said Bøhler in a large interview in the evening post. In reply to me dated 17 October, the Minister of Justice, on his side, replied that cat is somewhat more powerful in effect than coffee/caffeine, and that cat should have about the same function for a Somali as alcohol for a Norwegian. As most people see, there is a certain difference between Jan Bøhler's approach and the Government's approach, but there is little doubt that Bohemia's approach should inspire, to say it cautiously. The right as the only party has taken a clear stand on zero tolerance to drugs in order to create safe communities. Men who use cats get irritable and can quickly become violent at home, and they can't get into or keep a job. Initially, there is also reason to say that more and more women now start using cat simply to try to keep men at home. This leads to a negative spiral for both: sleep problems, mental problems, and they are definitely not effective workers — to the extent that they have a job. Like other addicts, catwrights have to spend a lot of money on getting the drug. A bundle of the fabric costs about $200, and a person uses from one to four bundles every time he uses the fabric. It destroys many families both socially and economically. And cat abuse contributes in every way to preventing the integration of an entire population into Norwegian society. Children and young people growing up in this area are more than potential recruits for gangs and organised crime, in the absence of other adult models. All of this could have been said about alcohol and other drugs too, but while the authorities in most of the contexts have developed strategies to reduce this abuse, this is almost empty – apart from the fact that we are all being raised when a mentally unstable Somali who chews kilos of cat, goes amok on the trick, and the cat abuse is part of the total problem for this. By accepting the extensive catgling, the Norwegian authorities accept that a large proportion of the approximately The 18 000 somalists living in the country are out of town because of drug abuse. We do not close our eyes in the same way to the corresponding problem in a so-called ethnic Norwegian environment. I think that is discriminatory. Comparing cat with coffee is in this context a very bad signal and not a contribution to explaining especially young people how dangerous a cat is, to make them better able to resist pressures from the environment. In its October reply, the Council of State warns that prevention measures require broad cooperation between public authorities, including integration authorities, health services, social services, customs and police as well as the Somali environment itself, and that the Government should ensure that police take part in such cooperation. It's a positive intention that the Right and I'll stick to it completely. I would therefore like to ask the Council of State today to clarify what this cooperation is, or will consist of. Has the Council of State and the Government, for example: will contribute to the establishment of pilot projects focusing on the treatment of those most severely affected, detoxification and help to structure their lives, and that this is done in cooperation with existing health services? Does the Government share the assessment that individual competence and guidance needs to be surveyed combined with the building of skills aimed at the needs of the labour market? Examples of things that can work are training in Norwegian and training for driving licences, driver training, which also gives status in parts of the Somali environment, or adapted training arrangements in how to start own activities in Norway, introduction of laws and regulations and different guidance services. It is important to follow up on young people so that they get on with work and education, and not get involved in the cat environment because of lack of other things to deal with. They may not have parents — several of them are lone minors — or, as I said, have parents who themselves abuse cat, and no other role models. Many young people with a minority background need, as a well-known help to understand concepts in higher education and lower vocational education, such as: auxiliary care, where there is a great need for skilled labour, because they do not have a deep understanding that makes them master the subjects and stand for exams. I choose to think so very loudly, because, as I said at the outset, it is not established proper strategies or procedures to combat the cat problem as such. But I'm also going to be so honest and honest that I recognize both that the Constitutional Responsibilities of the Council of State are limited in relation to the extremes of the issues I raised now, and that there are no fixed solutions that can be implemented tomorrow. The introduction programme, for example: have many strengths, but many of the cat addicts are not covered by it, and the possible local offers do not have the positive mixture of whips and carrots needed to get them out of the abuse. Finally, something which, on the other hand, is within the constitutional responsibility of the Council of State, and which I am not least asking the Council of State to comment on, is the signal effect that one of the nearest neighbours of the police house is a drug dealer. It creates unsafe families, it creates unsafe communities. A zero tolerance strategy is required also for the misuse of cat.
ParlaMint-NO_2007-02-08.ana.ud2647e96	Kat is to be regarded as a drug. It's on the drug list. It was included in that list between 1989 and 1990. There is therefore no doubt that the placing on the market and use of cat is a criminal offence in Norway. The same applies to the other Nordic countries. In this way, I share the interpellant's concern for the Somali families affected by the abuse and – easily – the use of cat. However, I do not find any point of view to say, as the interpellant with reference to my answer to question 43 for 2006-2007 to the Storting claims, that the need for action is ‘decreased’. When discussing the best way to prevent the use of cat and the use of criminal instruments, it is necessary to know about the adverse effects of the substance. According to Kripos, cat is a low-proportion amphetamine-like material, somewhat more potent in effect than caffeine, but less than for example. Amphetamine-containing preparations. This was also the content of my response to the representative Oktay Dahl, to whom he refers, and to which he draws to the point that we are comparing the use of catwort with coffee drinking. I have problems understanding how to interpret such an answer in such a way. I think it is absolutely important when we are going to fight all kinds of drugs, that we also dare to go into the more pharmacological effect of the drugs. There are differences, and that's what we've been trying to describe. I think it's important to have it with you, also to understand the effect of it. So at the same time, I want to use the opportunity to invite the representative Octay Dahl and the representatives of the Right to take part in the next interpellation debate, because if you really want to get involved in the drug use in this society, it is also time to get involved in the topic that is going on that debate. So this is the way that Kripos classifies cat's strength. It is not a de minimis approach to cat use, nor is it a presentation of the fact that cat has a potential for damage in line with coffee drinking. Kat is a drug and is then treated. The use of cat is mainly a problem isolated in some immigrant settings, perhaps in particular Somali. It is mainly men who use cat, and we know that it can have major economic and social consequences for the user’s closest – women and children. Thus, the problem of cats is not just a question of the use of an illicit drug, but, to the most extent, a question of the well-being and inclusion of immigrant settings where cat is prevalent. Kat is in this way in the same category as many of the other drugs we surround, both the legal ones and the illegal ones. The prevention and detection of drug crime is one of the primary roles of the police, and it is for this reason that the police have to assess at any time how best to take police action. This also applies to the misuse of cat. Police action against cat therefore needs to be seen in the context of other forms of drug crime and drug use, especially in relation to the most risky drugs, such as heroin, amphetamines, cocaine, cannabis resin and alcohol use. Oslo police districts have carried out actions against places where cat is used and traded. It is therefore not debatable, either under the previous government or under the current government. However, experience shows that once the police have closed a collection site, the environment is moved immediately to another location. Police action alone is therefore not enough to stop the use of cat. Otherwise in Europe, cat is only considered to be an exceptional drug. It's a challenge for us, because we don't get the same pressure in international cooperation when other countries accept this drug and make it a legal substance. It is thus a political challenge to combat both the introduction, placing on the market and use of the drug, when other countries in Europe generally do not give priority to this. It makes police cooperation across borders difficult. Such cooperation has a very good experience in combating other drugs. On the Norwegian side, some of the work on stopping entry into the country has to be concentrated, and some of the work on arresting and punishing the individual user has to be done. The introduction of cat to Norway is mainly from England and the Netherlands by aircraft. The largest and most seizures are made by Customs in connection with airport entry control. The police confiscation of cat is made essentially in Oslo, Rome and Eastfold police districts. Both the number of seizures and the number of kilograms of cats seized have dropped from 2003 to 2004 and from 2004 to 2005. In 2005, the quantity of cat seized was slightly above 2 700 kilograms, to which the interpellant was assigned, with a total of 211 seizures. In order to prevent the introduction, sale and use of cat, broad cooperation between public authorities is necessary, on which interpellant was also involved. Integration authorities, health services, social services, customs and police as well as the Somali environment need to join forces on prevention measures. In cooperation between the departments concerned, appropriate measures will be considered to reduce the negative impacts of cat-use. These measures must be seen in a comprehensive welfare policy perspective, where education, work and inclusion are important elements. In addition, the prevention of cat-use needs to be seen in the context of the prevention of other drug problems. I want to underline this issue. It is with all kinds of drugs that we see a close link between the use of illicit drugs and the use of legal substances, so that a dangerous way to prevent all types of drug use is, in fact, to pursue a still restrictive alcohol policy in this country. I want to invite Right with in an active collaboration in that way. The work shall be research and knowledge-based and the Government shall play on teams of relevant immigrant organisations. The government will come back to concrete actions in implementing the forthcoming escalation plan for the drug field – a work for which the Minister of Health and Health has the primary responsibility – and we will take with us the signals that are now coming from the Stortinget.
ParlaMint-NO_2007-02-08.ana.ud2647e126	I thank the Council of State for the answer and the extended hand in terms of cooperation to continue a struggle that has not really begun. It accepts the right, and we're going to contribute. This is primarily a question of integration policy and how to create a new chance for people who have fallen outside for many years. So it's part of the work that was taken up during the Questionnaire yesterday to Councillor Bjarne Håkon Hanssen. Of course, he is not here today, but probably one of the most important jobs he has to do, along with the rest of the government, is to make sure that these somalists, because that is largely the case, have an opportunity to get back to work – along with the approx. 800,000 who are in working age — and not only become a crime problem and a challenge in relation to public budgets, not least in view of their potential human resources. When it comes to minimizing or not responding from October, my interpellation and response are based on the reactions and attitudes of the environments involved. Several of them perceive the answer as a blow to their faces when they try to find out that this has to be taken seriously. Of all the possible signals that can be given to young people, that was not the best thing. I am now recording that the Council of State has a clear position here today. We take note of that, and I assume that those who follow the debate will also be included. The main point is — when you talk about the next debate today — to include the work against cat in the overall work on drugs, because it has not been done. Cat work is not included in the work of enterprises or public authorities, health authorities, etc. There's simply silence about it. And then we call out when there's a man going crazy on the trick. Then we call for more police. We need that, but we also need a policy where this is viewed as part of the total problem in the group that we're dealing with. Right-wing understands that the Oslo police cannot give absolute priority to everything. It's not very strange, considering the total budgets for the whole country, where we now see it approaching a real cut of 80 million. kr the resources available to the police. The Oslo police have no investigative powers, and they lack resources. But I want to challenge the State Council a little bit on the cultural attitudes of the Oslo Police. Does the Council of State think combating this type of crime, not least with the people involved, is a matter of priority in the Oslo Police? And there are good enough warning routines to deal with, for example: Child protection when young people are seen to fall outside the scope of parental abuse? In terms of international pressure and that it is difficult to obtain: Yes, it is clear, but it is the same as in terms of e.g. abuse of children. Then we have to start here at home, so at least we have some credibility when we get out of the world. But that these are challenges, I'll be the first to admit.
ParlaMint-NO_2007-02-08.ana.ud2647e141	It is true that the inter-pellant and inter-pellant parties often use the opportunity both in the public vocabulary, including here in the Stortinget, to accuse the Government of giving priority to all the police's tasks. I just want to say, as a heartbreak, that it's a challenge for any government to want to tackle a lot of the crime that's out there, whether it's trafficking, it's organized crime, or it's everyday crime – which someone calls profit crime, which is dominating in many cities – etc. But I have to say, with all due respect, that when it comes to the issue of cat, it is important that we also have with us what kind of social setting this is going on in – perhaps especially here in Oslo – to be able to point out some alternative strategies when we think about prevention, which the interpellant is also affordable at. Some tasks may not be the most important when you look at what the police are going to put high pressure on. It is in the debate I think it is important that we also have with us how this substance actually works. We know that it's a type of substance that in many ways is very extensive in volume and quite woody to handle, and that, as far as I'm concerned, only has effect in more or less fresh condition. With all due respect to reporting, I believe that it is important at the same time to combat drug abuse that we have an opportunity to address the pharmacological effect of the various substances. This is where I think it is crucial when we are looking at what kind of action we are taking, among other things. cat, to know what kind of substance it is, and what kind of effect it actually has. I suppose at least that when Right wants us to give more priority to how we use the police's resources, we have to bear in mind how strong the drug is, how harmful it is to the individual, and that it is actually important that we slow down the use of all, the most powerful drugs. And when we look at the use of drugs under one whole, we have to look at the substances that actually recruit users for the strong drugs. And there's a cat, too. It makes it important that we focus on it. But we're not going to get so unsound in this important fight that we don't have with us how the different drugs work. I think the Oslo Police have a very conscious relationship with the question of the more cultural aspects of this. We also see that there are specific challenges in the fight. But I'm sure with the strategies of the Oslo police, cat will still be an area where you want to intervene.
ParlaMint-NO_2007-02-08.ana.ud2647e150	I think the interpellant goes too far when he criticises the Government for the lack of will in this matter. The cat problem has been known for a long time and has been criminalised 20 years ago. I can't see that the Right did anything to reduce this problem when they last sat in government. Let's do something about that. It was this government that took the initiative to find out the extent of this abuse and what measures should be taken. Last year, the Norwegian Institute for Growth, Welfare and Ageing, also called NOVA, was commissioned by the Ministry of Health and Social Affairs to monitor the use of cat in Norway. This research was done last year, and the result is now known. Researchers Tore Gundersen based this research on interviews with cat users, police, social services, Aetat and the drug network. He clearly states that this substance is widely used by Somalis, mostly adult men. The main environment for this is in Oslo, with two smaller environments in Bergen and Skien. The Somali environment is strongly polarized on the issue of the use of cat, and most of Oslo's 9000 Somalis are very against cat use. The Oslo environment is linked to a particular café. That's about. 350 solids in the environment, 200 of which are major consumers of cat. The extent of use is known, based on research in England. A large consumer of cat risks sleeping problems. The substance may cause sadness and depression. And if there are complex problems from the past, such as unemployment, economic problems or housing problems, the drug can quickly trigger psychosis with hallucinations and strong paranoid traits. It is already known that some men in the Somali environment have past war experience and that many are unemployed. Therefore, they are at risk of causing severe psychosis by the use of cat. The research into NOVA also points out that some people use this substance as a mere self-medication. So it's obvious that you have to do something about this problem, but we don't think the Right solution would be particularly successful. The right-hand solution is known to hunt prostitutes, drug addicts and beggars away from areas where ordinary people travel. Out of sight, out of mind, is the way of thinking. It would have been interesting to get a real answer from the Right on where they've been going to hunt them they think doesn't fit into the cityscape. The conclusion of the NOVA report is that no specific catalogical care should be established, but that the relevant public agencies and bodies should take the catalogical perspective into account in their work. This means that employment, education and leisure activities in this environment should be targeted and a mental health service available and not least known to this group must be provided. This means that the total instrument, from state to municipality, has to deal with this problem. What work has started, but needs to be intensified.
ParlaMint-NO_2007-02-08.ana.ud2647e163	It's an important issue this interpellation is about – also the interpellation we're going to have afterwards. We know that cat is a prohibited drug, but we have a big challenge in terms of the Somali environment and those who use cat. It's a substance that may be legal and quite common to use in the country from which they come, and they use it instead of alcohol, as a beverage. We know that all drugs are harmful, and that abuse of a drug can lead to many problems and tragic actions. It is important to focus on this issue in terms of prevention that information is given to the environments that use it. Not least, it is important that Customs has the necessary resources to enable them to seize our borders. What we need to focus on, as the Progress Party sees it, is to stop all the introduction of illicit drugs, and to promote information and prevention in the environments involved here.
ParlaMint-NO_2007-02-08.ana.ud2647e172	It is commendable that this debate is raised in the country's parliament. Unfortunately, the matter has not received the attention it deserves, and should have been given too much time back. It is very commendable that politicians engage in the matter, including politicians from the Right. However, it is a policy trend that we forget history – either we forget, or we choose, not to take it with us. The environment has long asked for an involvement in this matter. The earliest document I have been able to track down is a question that was asked in Oslo City Council from SV, where we asked the then Health and Social Agency, Erling Lae from the Right, to look at the matter and inform the City Council of what the problem was, and how it could be resolved. The question was asked in 2000. In May 2002, I invited the then Minister of Justice, Odd Einar Dørum, to intervene and clear up the matter. I asked him to intervene because the police said straight out: this is a matter we do not prioritize. That's what they said over and over again. Finally, I was encouraged – and challenged – by the Minister of Justice to intervene. It was at a time when the turnover and use took place approx. 200 meters from the headquarters of Oslo Police District. The fact that we are discussing the matter again today in the country's parliament means that, as I said, the matter has not received the attention it deserves. In between, the Right has been in government for four years. The fact that we are again discussing, and that we are about where we were in 2000, shows that unfortunately, the Right has not done the job that they are asking us to do today. This government is going to do this job, but it's important to take history with it, otherwise it's going to be -- we can say -- a little solved. We're glad that it's now being applied for, and asking for, commitment. The absence of efforts during these five, six, seven years has caused the environment to ask for help over and over again, and even made the claim that the police and other authorities are not doing anything because this is only about black youth and black men. The claim is that if it had been white youth, political Norway would have put in other types of effort. I will not support that claim, but political Norway and multicultural Norway cannot afford to have many such claims on their way. We have to clean this up, and it's going to be possible. I don't have to repeat all the issues related to the abuse, but I want to mention the situation of women. When men abuse this — for there are men who use it — they leave themselves out of the family, leaving the economy, the education of children, homework and the follow-up of the children and the family to women. Unfortunately, many of these women don't have education with them before, and then they get even bigger and heavier problems to solve. It makes these women have a very difficult life. The environment, as I have said, has almost asked for help on its knees. No later than one year ago, Somali Velferdsforening went out and asked for help. This means that there are cooperative environments on the part of minorities. It is now up to the authorities to do their job. The conditions allow us to be able to combat this evil.
ParlaMint-NO_2007-02-08.ana.ud2647e183	To start where the last speaker ended: we know that there are many women, not least with Somali background, who sit at home with their children and wait for the father to come home, because unfortunately he often rushes on the drug cat – and he does it every day. He's out of work, and the majority of the family's scarce income is spent on cat. Many Somali women look dark in the future, because there are few incentives, which were also in the interpellant, on the part of society that can help to achieve abstinence. Yes, maybe it's around that if the husband had been white and rushed on cannabis or on cannabis, there might have been some hope. From the Christian People's Party we see, like the interpellant – and I also perceived the Minister of Justice there – with concern for the many problems caused by the use of cat. This is particularly true of the Somali population in Norway. The use of cat is therefore also a major social problem for the families affected. And it's a major integrational challenge, which concerns both adults and children, in this context. In the same way, it's also a criminal issue, because it's a prohibited drug that we're talking about here, that's being traded and used to a relatively large extent. Somali spokespersons have said that cat is in the process of returning an entire ethnic group, both economically and socially. This opinion is supported by data on, inter alia: low professional participation among the Somali population. There is reason to be concerned especially about children growing up in families where the abuse of cat is a fact. Children need parents who prepare for them, who can help interpret the many facets of society and who can be advisers to them. Unfortunately, that is often not the case in the family situations we are talking about here. The challenges for some minors are also great. This may, for some, be based on very difficult family conditions as a result of the misuse of cat. It is also important for this reason that a work is being undertaken to combat the use of this drug, including by police. So here we have a job to do. Therefore, it is important that this interpellation has come. I registered that the Minister of Justice said that in connection with the escalating plan for the drug field, the Government will also promote its proposals, so that we can meet the unfortunate developments pointed out in the interpellation. We'll meet them.
