ParlaMint-NO_2007-05-08-2.ana.ud311e30	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-05-08-2.ana.ud311e33	Old dogmas don't fall. Unfortunately, today’s government parties refuse to admit that the dwelling obligation does not function properly. Well, so far is nothing new under the sun. The obligation to live does not contribute to the purpose of the dwelling. A research project at the Institute of Economics and Social Sciences at Norway's Agricultural Higher Education School, today the University of Environmental and Life Sciences, showed several interesting findings in 2002. The survey looked at 39 municipalities throughout the country with housing obligations. These were compared with corresponding municipalities without accommodation. The survey showed that the housing obligation did not have a positive effect on an increase in the population, nor did it prevent a decline in the population of non-residential municipalities. The study further showed: The average number of dwellings transferred from one full-year residence to another to one of the less-favoured municipalities during the year is the same as in non-residential municipalities.The percentage of dwellings transferred from one full-year residence status to one of the less-favoured municipalities is higher in residential areas than in municipalities.The obligation to live prevents the movement of property.The obligation to live leads to a lower level of investment and maintenance.The obligation to live has no positive effect in increasing the population.The obligation to live increases the financial risk for people buying property in a municipality with weak growth, population decline and housing.The control of compliance with the obligation to live is difficult to implement and create conflicts in the local environment.The obligation to live is easy to circumvent through the so-called family paragraph. On the other hand, the study confirms that housing leads to a severe reduction in the value of the owner. Housing is declared to be the key instrument of rural and agricultural policy. This is alarming, given that there is no professional basis for claiming that the obligation to live has a positive function in terms of ensuring a spread of farming or farming activity. It must be a paradox that there will be a time limit or a long-term exemption from living obligations on a large scale. On March 16, 2007, the nation writes that only 9 pst. by those who applied for exemption from the obligation to live in agricultural properties in 2006, they were refused. Regulations involving strong intervention and major potential negative consequences for individuals should have sound professional justification. That is why the conclusion here is clear: the obligation to live must be removed!
ParlaMint-NO_2007-05-08-2.ana.ud311e78	We have gradually become accustomed to the right-wing parties attacking agricultural regulation. So this time it's the home and the price regulation they're going to go on. As always, it is the market mechanisms that will solve all problems, as if the market has ever responded to the challenges we face in Building Norway. In fact, housing is a very important instrument of agricultural policy. Without active farming with resident farmers, the countryside is depopulated. For most of us, it's pretty obvious. However, I am not particularly surprised that the Progress Party and the Right believe that the money and the market alone will determine the ownership of Norwegian agricultural properties. When ownership is weighed against life and activity in agriculture, it is the sacred and inviolable right to own that always weighs most heavily on these lots. There is little doubt that the obligation to live and work is a main reason why we have managed to maintain a living agriculture with self-owning farmers to this day. Without the obligation to live and operate, it would not be possible to maintain housing and cultural landscapes. A large part of the applications for exemption from compulsory residence and employment are granted on a permanent or temporary basis. It is natural and in itself reassuring. The provisions are enforced and exemptions are not sought for no good reason. I think it shows that the system is working. It is then possible that the Government is now reviewing current regulations and their enforcement, also in order to confirm the functioning of the dwelling obligation. I have also noticed that housing has gradually become an important issue in coastal areas along the Oslofjord and the south coast. But here it is not the agricultural property that has to be protected against buying-in. Here, local communities and local people are threatened by money buyers from urban areas who are increasingly buying properties in the beach zone and converting them into leisure homes. In this way, the local population is displaced from coastal areas. The prices of ownership in coastal areas are now sky high. Only the very few, the ones with the most well-filled wallets, can today hope to buy a home with beachline in this part of the country. The level of prices also leads to such dwellings being offered for sale in the event of family break-up or heir settlement because none of the parties appears able to redeem the others. In municipalities like Tjøme, which has imposed housing obligations, it has to some extent succeeded in keeping prices down. But now the local Progress Party and the Right are in the process of breaking down the obligation to live. If the two parties win the local elections of the autumn, the local people at Tjøme have to fear – there too, of course. There is little comfort in the fact that they get what they deserve. The best thing to say about the Right Party and the Advance Party is that they never deny themselves. They are always on the side of capital and market forces.
ParlaMint-NO_2007-05-08-2.ana.ud311e97	First, I would like to make the previous speaker aware that the high price of coastal property is just coming from the fact that there are restrictions as to how many of the types of property that the authorities today allow it to be built. Governance leads to higher prices. A representative from Vestfold should have brought that. So to this debate. I think it has been encouraging to hear a debate in which a Central Party Council of State has got SV as its strongest ally on property issues. I think that's sad. I had believed that the Central Party in this type of case would balance this to the advantage of ownership and support the views expressed by the Right and the Advance Party in this matter. In my reply to the Council of State, he replied that the main purpose of the obligation to live is to have economic development and activity in the countryside. It's not that the person who owns the property and who is forced to live on it is also going to run it. So the main purpose is that there should be industrial development and activity in the countryside. Then you can ask questions about what contributes to it. Does it contribute to rural activity if a lawyer from Oslo who serves well is allowed to buy a small farm in Telemark, where the Council of State comes from, and channel much of the income he has from other activities into the small business? It has to be obvious that it would be positive for these towns. It's just to point out what's happening in our neighboring country Sweden. There, border areas of Norway have been deportation areas, while Norwegians have found it appropriate to buy a torpedoes, i.e. a small farm, there. It has become popular, and this has led to these depopulated rural areas in Sweden having a new spring and a growth because the Nordics want to invest their funds in these properties. The figures from the Central Statistical Office show that there are 34 000 housing units on agricultural properties that are currently unoccupied. The question then is how the Council of State, by practicing a strict housing obligation, has intended to get light in these houses.
ParlaMint-NO_2007-05-08-2.ana.ud311e108	The President has resisted the temptation to make statements. Several have not asked for the floor on case No. Eight. [[Fotation, see page 2857]]
ParlaMint-NO_2007-05-08-2.ana.ud311e130	There was almost no need to take the word after the President's excellent presentation of the interpellation text, but I would like to complement what is also shown by the interpellation submitted some time ago. A more vulnerable electricity supply where electricity consumption has increased more than recent power generation has led to a significant underbalance in electricity supply in some parts of the country. This should of course have been the result of the government initiating an increase in local energy production. When the government scraped the green certificates and promised a better scheme, but instead introduced an alternative with a support amount that is only half of what the certificates would have given, very, very many renewable projects are dropped out in District Norway. Of course, when local development is not implemented, Statnett – that is their job – plans instead to carry out large and new power lines. There are planned power lines through valuable natural landscapes throughout the country. The development of the electricity grid conflicts with many interests along Hardangerfjorden, Sunnmøre, Agder and Sogn and Fjordane, among others. near Nærøyfjorden and Geirangerfjord, both recently integrated into the UN exclusive World Heritage List. Norway’s fjord landscape thus has both national and international interest, which should provide additional protection for these areas. The tourist industry, the local population, outdoor operators, cabin owners and conservationists are opposed. Why are the reactions so strong? Because there are many large masts through scenic areas that are popular for both the visitors and the locals. The masts will be 25 to 45 meters high, and go for about 25 to 45 meters high. 40 meters wide power streets where the vegetation is cleared away. Only in Sogn and Fjordane and in southern parts of Sunnmøre will this be about something like 300 km highspentmast. First amanuensis Ståle Navrud at the Department of Economics and Resource Management at the University of Environment and Life Sciences, with a specialised social economy, has made estimates showing that each household in Norway would have to pay between 25 and 40 kroner per year. years in increased network leases for cable installation, thus preserving the valuable landscape in Hardanger. Alternatively, of course, there could have been an opportunity for the Government, which now has approx. Extra 20 billion dollars a year at the disposal of the kerosene fund, because of the return on the kerosene fund, to have spent this money on reasonable investments to prevent unnecessary natural interference, if it would have been preferable. In practice, the increased network lease or appropriations from the Government will also be reduced, as the additional costs of cable will become a fuel layer with industry. So far, the focus of the authorities has been linked to the cost of cableing, either sea cable or other wiring. But one should also focus on the benefits of avoiding landscape interference by placing the cables in the sea and in the ground, and not just on costs. Nor should we forget that climate change speaks in favour of land and sea cables. Navrud draws up Steigen as a current example of how vulnerable a power supply in the airline may be. Navrud is critical to the way in which the energy sector conducts analyses of planned projects. This is where I want the Council of State to now involve itself. All sectors of society are required to assess the socio-economic benefits and socio-economic costs of their projects. The energy sector is distinguished by the fact that socio-economic analyses do not include the environmental costs of planned deployments of electricity lines. Are the Councils of State interested in the following, and will the Council of State require Statnets to carry out, the type of socio-economic cost-benefit analysis, in which nature is also appreciated in this context in the energy sector? In other sectors, such as transport and the environment, environmental costs have been much further incorporated into socio-economic analyses, which are consistent with the Ministry of Finance's analysis guide. So for example, at the Baltic Sea in Oslo, a power line goes along both the water and the nature reserve. The power line was planned to be upgraded, and two alternatives were involved. The most reasonable option was to attach new arms and new cables to the masts that were already there. The second option, which would mean a less natural action, was to put a cable in the ground. A random selection of 600 households on Bøler, Lambertseter and the Baltic Sea were asked what they were willing to pay in increased power bills to remove the masts, as they felt they were shattering. When people are asked directly, it turns out that they see great value in preserving the natural landscape against interference. In the planned development of the central network, the population should also be consulted, and there should be a concrete assessment of the specific project, also in relation to the nature intervention. Of course, the best thing would be that you had an arrangement with an aid amount that would be in line with what green certificates would have given, so that you had a local power generation. There are ready-to-use 15 TWh projects in Norway that could have been implemented but are not implemented because of the urgency of the Council of State and because the Government has scrapped the green certificates and has put in place an aid scheme that is only half of the aid rates that the green certificates would grant. Of course, if local energy production, new renewable energy, could be started in central Norway or the West, there would not have been the same urgent need for these transmission lines. But it doesn't seem like anything's happening in that area. Now, hopefully, we're going to make a climate deal here in Stortinget, and an inevitable demand from the Right will be that we push forward support schemes for new renewable energy that trigger it. If we succeed in pressing the Government to introduce something similar to the green certificate, it will provide support for the release of new renewable energy, so it can take some of the pressure away from these lines. These are not wires that occur in one day. Here we are talking about a planning process with a horizon at least until 2012–2013 many of these sites, some of which will come before. In this respect, it was very encouraging that a clear decision was made at the Central Party's national meeting, which stated that the Government was required to take the initiative to put power lines into cables where the environmental costs of air voltage are high. And then the SV also came after at their country meeting. Then the Center Party and SV are in place, and we have seen that it works, at least in climate policy. Then the Prime Minister and the Labour Party also came into place gradually – albeit reluctantly, but when they arrived, they came as a shot. It really made way for the well. What I am concerned about now is getting a constructive debate here in the Chamber. How can we increase local energy production? Where we do not see that this is fully realistic, we need to look at the legislation and guidelines that Statnett has to deal with today, so that they can also consider wiring more effectively as an alternative. A sea cable through Hardangerfjorden will be more expensive, but what is the price natural, touristic and for those who live there by such an intervention? I believe that this type of balances must be carried out by means of concrete expansions. I'm curious if the Council of State has now thought about how he will follow up the Central Party's national meeting decision that there should be a concrete assessment of wiring in the event of major natural disasters. We're all excited about it.
ParlaMint-NO_2007-05-08-2.ana.ud311e160	Then the voltage will be triggered. The interpellation will be answered by State Council Odd Roger Enoxen.
ParlaMint-NO_2007-05-08-2.ana.ud311e163	The representative Brende may have given an answer as to why the previous government did not build power lines into those areas where there is a significant deficit in power. But I don't know if the representative has responded equally to why the government did not introduce green certificates or provide sufficient local production in areas where it was known that there would be a large power shortage in the years to come. - But leave it. I have been concerned about the issue since I joined, and during the last year, extensive measures have been put in place to increase the production capacity of the Norwegian power system. In particular, the Government has been concerned with developments in just central Norway, as the representative Børge Brende points out, is one of the difficult areas, plus Hordaland, which is also a demanding area of supply. Before Christmas, part of the action plan for Central Norway was presented. Facilitation of new power generation locally is a central element of this action plan. The government has also presented and has given a majority in the UK for an ambitious strategy to achieve significantly more renewable production in Norway. The Government has set an overall target of 30 TWh of increased renewable energy production and energy efficiency improvement by 2016 compared to 2001. A base fund of DKK 10 billion has also been established, which will be increased by another DKK 10 billion in 2009. There is an input of renewable energy resources that no previous government has done. Overall, this will increase the economic framework for renewable energy production by around 900 million. kr every year. In addition, the Government has through St.meld. No 11 for 2006-2007 proposed an aid scheme for renewable electricity. Gas power deployment with CO2 management is also a central element of the government's policy and also needs to be mentioned as an element in how to increase local power generation in those areas that have a large undercover, especially in the two areas that I am talking about. The government has concluded a historic agreement relating to the realisation of the gas power plant in Mongstad, where the CO2 management system ensures the development and testing of new technologies, while at the same time establishing new production capacity locally in Hordaland – an area where it is absolutely necessary. The effort on new generation capacity and energy conversion will help to strengthen the national and regional balance of power in the coming years. Having said that, I would say that it is not that we can or should choose between new production and the development of networks. Unfortunately, it is not that simple. Both local focus on new generation capacity and focus on strengthening the power grid are essential elements of a strategy for a secure energy supply. A well-developed power grid, both domestically and between Nordic countries, is essential for the efficient functioning of the Nordic power market, thus providing the best possible use of resources and a secure energy supply. In particular, Norway, with a hydropower-based power supply, is vulnerable and dependent on a functioning Nordic system, including: good transmission connections. So it's quite right, as Børge Brende points out, that the construction of transmission lines is expensive and often has negative effects on both nature and the environment. Therefore, the analysis of consequences, alternative pathways and various remedial measures becomes an essential part of the work that needs to be done. In addition to the assessment of cables, remedial measures are considered such as the adaptation of tracks, the reorganisation of old installations, parallelisation with existing wires, mast types and the colouring of masts and lines. The measures in question vary, of course, from project to project, but in most power lines, concrete assessments are made of cable as an alternative to air pipeline. Both the benefits and the costs of bridging or other remedial measures vary from place to place and depend not least on the level of tension. The choice of cables or other remedial measures is based on the same principles as in the concession treatment of production plants, i.e.: after carefully weighing environmental impacts against costs. Unfortunately, cabling also involves natural interference. Therefore, the benefits of cabling will depend on the impact of an air line on natural diversity and landscape, in relation to the nature interference cables. For example, cables in the snäufjellet will lead to much greater natural interference than in areas with abundant soil and rapid revegetation. On the cost side, too, the picture is complex. The costs of wiring will include, inter alia: depending on whether the cable can be dug down or whether the cable has to be blown up. In addition, the need for access points for the regional network will often provide a clear framework for possible cross-fertilisation and thus for how to install any cable. Energy management, in cooperation with environmental management, has developed the current management strategy for the environment and aesthetics in electricity pipelines. The Ministry of Oil and Energy put forward the question of cable as an alternative to the air pipeline in St.prp. No 19 for 2000–2001 and this joined the Stortinget. The strategy implies that the use of cable at higher voltages should be restrictive, but cables are not excluded in sections where there is strong environmental concern. The government is aware of regions where the growth of consumption is or is expected to be particularly high over the years ahead and is actively facilitating new power generation in these areas. However, a well-functioning local and national power system often requires significant reinforcements of the power system. The current management strategy for cabling already implies that a balance between the benefits and disadvantages of cabling and other remedial measures will be the basis of the concession treatment. Of course, it will also be grounded in the future. As the representative says, environmental concerns, natural interventions, etc. be given more and more attention. I see no need to change the legislation on how this is done. But what I see reason for is to spend even more time and even more resources on figuring out and evaluating different alternatives to each other. From project to project, as the representative asks, we will carefully assess whether wiring can be a better alternative than air voltage, both in terms of nature interventions, in relation to the environment, and we will also assess the costs in this context. In this way, I will meet what the Central Party's national meeting has asked for, and which is also the Government's policy: taking environmental considerations into account, taking into account thorough assessments before deciding on each project.
ParlaMint-NO_2007-05-08-2.ana.ud311e195	First, a well-meaning advice to the Council of State: when the Government has been sitting for almost two years, it does not keep the same way in every context to point out that everything that is bad and difficult is the fault of the pastors, while, for example, now reaches. unemployment falls, such references are rarely used. I think it's time for you to actually take responsibility for the fact that you've been driving this country for two years. I don't think the previous government has anything to be ashamed of when it comes to the effort you made to get more energy in place, among other things. More hydropower was built over four years than was done in the 1990s. In the case of green certificates, the draft law was sent to the hearing. It was, of course, difficult to implement it before it was in place in Sweden, as there would be a single market between Sweden and Norway. In fact, that was not possible if it were not to be a purely Norwegian market. Even the previous government was in fact unable to do this. Negotiations with Sweden did not go so well, so you had to scrape the green certificates. We have said that we have now had this debate. What the Council of State has said is that there should be at least the same level of support – a better level of support – when implementing it in Norway. So now we're going to have support for mini-power plants of four centimeters, for wind power of eight centimeters, and for bioenergy of ten centimeters. With the green certificates, you'd be 15 to 20 cents. Then it's only half as good. That's not the main point. The main point is that when this is half as good, it also triggers much less renewable energy that is potable and that could have been produced in these areas, so that instead of these heavy power lines you could actually have increased local energy production. When it is that the government, for the time being, has not realised this, and is not willing to make a compromise which means that it will be at least as good, one must also look at this with wiring. Then this problem reported itself. Of course, I am disappointed that the Council of State determines that he sees no need to change the regulation. It also indicates that he does not necessarily send new signals when it comes to attaching extra weight to nature. Is it the case that the Council of State will also demand, and I would like to have a concrete answer to that question, that nature intervention will receive a price in the economic calculations? And is it so that the Council of State today, at least to the Grand Council, can send a signal that he is against Statnett, for example. in Hardangerfjorden, in Sogn and Fjordane and on Sunnmøre, will seriously assess sea cabling? Yesterday a sea cable was opened from Norway to the Netherlands. It's okay, but in the case of our own Western fjords, it's a restraint that I think is quite astonishing. What we're looking for is to get some strong signals that you're also willing to think about new things.
ParlaMint-NO_2007-05-08-2.ana.ud311e206	I'm a little surprised, because I actually think that I answered the representative's request quite politely in relation to putting a strong emphasis on just environmental considerations in the future. So I think we all have to respect that there are no projects that are the same. Sea cable is one thing, building cable tracks on land is quite another, and can often lead to as much natural interference as for example. an airline may be used. The problem with an air line is that it's shaming because you see it, but it's wired, for example. In some areas, 420 kV involve significant natural interventions where they are to be landed. There is a significant difference between sea cable and what has to go overboard. But anyway, there will be thorough assessments in each project, both on the partial sections and on the entire sections. There can be a lot of problems around this. It is true that long-distance cabling does not allow regional take-offs or that regional take-offs on such a route will be very expensive and difficult. It's counting in the negative direction. Then it's actually wrong, as the representative claims, that local production could prevent the construction of power lines. First of all, it would be like a production in central Norway based on, for example, wind power, which would provide the entire deficit in the area without reinforcing the transmission links into this area, is almost unmistakable. We are talking about a significant production that must exist in this area. Secondly, the need for a secure energy supply also implies that one must have a combination of power generation and transmission connections, as stated by the Government. For example, at a gas power plant, which provides a very large point production in an area where we have petroleum plants and industry – take MidNorway – a break, a fault, at this gas power plant, where it can stand for two months in winter, to take an example, could have dramatic consequences for the area if there are no transmission links into the area that are capable of feeding the area the amount of energy needed at such a possible stop. What I'm trying to say about this is that there are many complex and complex issues that need to be considered when deciding what to do. It's not a either-or. I'm afraid it's a boat and a boat. It costs, it means natural intervention, and it means local production. The government suggests that we should take the utmost environmental considerations and carry out these assessments on a case-by-case basis.
ParlaMint-NO_2007-05-08-2.ana.ud311e217	The exchange of words we have had so far shows that the theme that the interpellant has addressed is important, but extremely complicated. In this way, one cannot solve the problems that are being addressed through an interpellation. There are basically two main challenges: one is increased local production of power, and the other is a possible new policy for the construction of lines. The production of power based on water is the most environmentally friendly way of producing large amounts of power. In Norway, our electricity consumption is based on hydropower. The weakness of having a one-sided system is that one is very vulnerable to the fluctuations in rainfall from year to year. This means that there must be an exchange of power between parts of the country and between countries. This is a situation that has only intensified. The situation of imbalance is, as mentioned, related to Middle Norway and More and Romesdal in particular, but also other areas will face a similar situation in the foreseeable future. Now it is not very pleasant to chew up the pot from last year, but when the interpellant so unilaterally puts the load on – and accuses – the government that has now been sitting for 19 months for not having done the job, it becomes a derailment. State Council Enoxen showed in his statement what the red-green government has done to improve the balance between consumption and production. For example, the target is 30 TWh, i.e. 25 pst. increase in renewable energy and energy efficiency, with the ability to achieve an acceptable balance over time, as a single measure. As far as I remember, the Right and the representative Børge Burnde voted against just this fund of 20 billion kroner that would add up to such a scheme, referring to a desire for a green certificate market. At least the previous government did not get this in place, and when the red-green government took over, it turned out that it was not feasible. But we have put in place support schemes for bio, wind and smaller power plants. We have made a hard effort to build a gas power plant with CO2 handling. The size knows well what lies there of appropriations. This means that one over time will have a national effect. So it's like, when it comes to the transfer of power between parts of the country, some of the lines go through valuable natural landscapes and vulnerable nature. That's why it's important to have a strong focus on this in new line construction, but I think it's a little sad to hear how many there are that help to simplify these problems. It is not that you can compare a sea cable over the North Sea with a cable over a Norwegian fjord. There are completely different issues we're facing, without me going into the technical here, of course, but I want to say right away that when the environmental costs with air voltage are obvious, it has to be able to assess, on a case-by-case basis, the ground or sea cable where it might be relevant. I would also like to remind you of the following: According to information from Statnett, the pieces of cable in a 420kW line will be 500 – 700 meters long, and that means repeated joints on a section, which is both complicated and expensive. The level of tension in the cables will also be such that one must have a broad trajectory, which, if necessary, through mountain soil and snowjel, will lead to formidable natural interventions. This shows that there are no simple answers. We also know that well-recognised cost calculations show that they are maybe ten times higher with a cable than with an air voltage. These are costs that are passed on to businesses and households. I believe that this must be taken into account when assessing solutions.
