ParlaMint-NO_2007-01-17.ana.ud2489e22	The representative, Jan Arild Ellingsen, will present a proposal for a representative.
ParlaMint-NO_2007-01-17.ana.ud2489e25	On behalf of the representatives of Ketil Solvik-Olsen, Per Sandberg, Øyvind Waksdal, Solveig Horne and myself, I would like to propose to clarify that limitation cannot be invoked by state authorities in cases where the State itself can be suspected of contributing to the retention of essential information.
ParlaMint-NO_2007-01-17.ana.ud2489e30	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2007-01-17.ana.ud2489e47	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We'll start with the first main questions, from the representative Per Sandberg.
ParlaMint-NO_2007-01-17.ana.ud2489e56	This is, of course, a question for the Prime Minister – there is not much to choose today. I also use the opportunity to wish a good new year. Recently, the question of whether it is appropriate to merge Health East and Health South into one health region has been the subject of debate in public space. In yesterday’s VG we could read that the director of Ullevål Hospital, Tove Strand, wants a merger as soon as possible. She further states that this will lead to huge gains. Minister of Health and Health Sylvia Brustad follows up in the same article by saying: ‘There are opportunities here to make better use of both human and financial resources for the patient.’ The Progress Party is very pleased that the Minister of Health is now assessing such a combination of these two health regions and indicates that the Progress Party has addressed this many times, most recently in the context of the 2006 budget position. The point of progress is that the place of residence should not be decisive for the nature of the health services provided to the individual. At the same time, we know that there are large savings opportunities in the hospital sector, as estimated at between 600 and 900 million. kr in savings by bringing together the Health East and Health South. At a time when the economy of hospitals is heavily under pressure, there is little doubt that this type of savings will lead to increased patient treatment and a better hospital economy. The Progress Party sees the Minister's signals as very positive. My question to the Prime Minister therefore becomes: Does the Prime Minister of Health Sylvia Brustad share the view that a merger of Health East and Health South will lead to large financial savings and therefore a much better patient offer?
ParlaMint-NO_2007-01-17.ana.ud2489e69	Let me first thank the representative Sandberg for the New Year's greeting. I use the opportunity to wish the representative Sandberg a good new year. Then I'm glad he's asking a very important question, namely how we organize the hospital system in the best possible way. It's good that the Storting is concerned about it, and that the representative Sandberg addresses that question, because it's about one of the biggest sectors – and one of the most important tasks we face as a nation, is how to run a good health service where we get as much health back for the great resources we spend in this area. It is true that the government is now considering new ways of organising Health East and Health South, and there are several models on the table. It all comes out that we have come to a realization that the way this is organized today is not good enough. It is at least addressed with clear weaknesses, including: is known to have two different health regions in Oslo. The Rikshospitalet and Radium Hospital belong to one region, while the other hospitals belong to Health East. I am pleased that the Minister of Health is doing this work. Since she has not concluded, it is also not possible for me to present a final view here and now, but we consider arguments for and against different models. What we want to achieve is that more patients can be treated, and that we get a better use of both money and not least medical and hospital expertise.
ParlaMint-NO_2007-01-17.ana.ud2489e80	I thank the Prime Minister for the answer, and we hope that the Storting will be involved in such a process in the best possible way. The problems relating to the division of health regions have actually been highlighted through a number of episodes in recent years by the fact that the exact place of residence has been crucial to the nature of treatment received by individuals. Among other things, there have been considerable differences in the number of medicines received by persons with the same diagnosis in the different health regions. In the view of the Progress Party, this is due to the inequalities between health regions in relation to the economy and the requirements for saving. The Party may not accept such discrimination. The Progress Party will then also refer to the economic distribution of imbalances between health regions. The fact that in some parts of the country, residents live in health regions that are heavily underfunded makes it apparent, at the discretion of the Progress Party, that Norway needs to be brought together in one health area. My follow-up question to the Prime Minister will therefore be: Does the Prime Minister also see in this process the need to bring Norway together to a health area where the individual's residence is not crucial for what offer is received?
ParlaMint-NO_2007-01-17.ana.ud2489e89	The overall aim for us is to ensure that patients receive the best possible treatment across the country, regardless of where they live. The system of free hospital choice is a contribution to it in the sense that patients can choose to be treated in hospitals outside their country. What we are doing now is looking at two regions – Health East and Health South – if it is possible to organise them better. Different models are being considered. The main point is that we have good experience with the state acquisition of hospitals. An increasing number of patients are treated, and waiting times have decreased. But there are still problems, still waiting lists, and we have to try to do something about that. Choosing the Health East and Health South solution is linked to the 2001 hospital reform. It was not least Tore Tønne and John I. Alvheim who were architects of that solution. Now we see that there is a need for a revision. We're going to review that review to get an even better solution than what we have today.
ParlaMint-NO_2007-01-17.ana.ud2489e96	The President will allow four follow-up questions – first No pay.
ParlaMint-NO_2007-01-17.ana.ud2489e99	Once a pattern has been created to begin with wanting a good new year, it's mandatory to join it, so you shouldn't be suspected of anything. The merger of Health East and Health South was raised in the budget procedure of the Grand Duchy just before Christmas. [[Laughter]] It was originally a proposal from the Right, with the support of the Progress Party. The government parties asked that it be converted into a transmission proposal, because one did not want a vote for and against it there and then. We did so, and the Council of State assured that the proposal for full aggregation would be followed up quickly and with a serious assessment. I'm going to limit myself to showing that both the top administrative directors of the two heavy university hospitals and the top medical professionals, at the latest today at Kaare R. Norum and Stein A. Evensen, with great emphasis, say that this is an over-modern reform, and that it will be a step forward both professionally and resourcely. Can we expect the Government to come back to Stortinget in the immediate future with the result of its assessment? When could that happen?
ParlaMint-NO_2007-01-17.ana.ud2489e110	For the sake of safety: Happy new year also to the representative Wage! [[Laughter]] I can also bring all the other deposit representatives, so no one is forgotten. Then it's done. This is a very big case, as the Statoil-Hydro merger is a big merger. That's, as far as I remember, something over 30,000 employees in Statoil. There are 110 000 employees in Norwegian hospitals. That's $70 billion in appropriations. So it's about very hard resources. Only in Ullevål Hospital there are about 8 000 employees and a budget of 6 billion kroner – in that order. So how we organize this is of great importance. The government has worked on this since before Christmas. We look at different models and will come back to Stortinget as quickly as possible. But we're in the middle of the process, and we're not going to spend more time than we need.
