Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2017-12-04-ps-130	ParlaMint-FI_2017-12-04-ps-130.u1	Minutes of the Finnish Parliament's plenary session 130/2017, 2017-12-04	2017-12-04	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 130	2017-12-04	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
ParlaMint-FI-en_2017-12-04-ps-130	ParlaMint-FI_2017-12-04-ps-130.u2	Minutes of the Finnish Parliament's plenary session 130/2017, 2017-12-04	2017-12-04	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 130	2017-12-04	-	Reference	English	Chairperson	MP	notMinister	KOK	National Coalition Party	Coalition	Centre-right	ArtoSatonen	Satonen, Arto	M	1966	
ParlaMint-FI-en_2017-12-04-ps-130	ParlaMint-FI_2017-12-04-ps-130.u3	Minutes of the Finnish Parliament's plenary session 130/2017, 2017-12-04	2017-12-04	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 130	2017-12-04	-	Reference	English	Regular	MP	notMinister	RKP	Swedish People's Party of Finland	Opposition	Centre	MatsLöfström	Löfström, Mats	M	1983	
ParlaMint-FI-en_2017-12-04-ps-130	ParlaMint-FI_2017-12-04-ps-130.u4	Minutes of the Finnish Parliament's plenary session 130/2017, 2017-12-04	2017-12-04	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 130	2017-12-04	-	Reference	English	Regular	MP	notMinister	RKP	Swedish People's Party of Finland	Opposition	Centre	JoakimStrand	Strand, Joakim	M	1982	
ParlaMint-FI-en_2017-12-04-ps-130	ParlaMint-FI_2017-12-04-ps-130.u5	Minutes of the Finnish Parliament's plenary session 130/2017, 2017-12-04	2017-12-04	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 130	2017-12-04	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	SamiSavio	Savio, Sami	M	1975	
ParlaMint-FI-en_2017-12-04-ps-130	ParlaMint-FI_2017-12-04-ps-130.u6	Minutes of the Finnish Parliament's plenary session 130/2017, 2017-12-04	2017-12-04	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 130	2017-12-04	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JaniMäkelä	Mäkelä, Jani	M	1976	
ParlaMint-FI-en_2017-12-04-ps-130	ParlaMint-FI_2017-12-04-ps-130.u7	Minutes of the Finnish Parliament's plenary session 130/2017, 2017-12-04	2017-12-04	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 130	2017-12-04	-	Reference	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	HannuHoskonen	Hoskonen, Hannu	M	1957	
ParlaMint-FI-en_2017-12-04-ps-130	ParlaMint-FI_2017-12-04-ps-130.u8	Minutes of the Finnish Parliament's plenary session 130/2017, 2017-12-04	2017-12-04	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 130	2017-12-04	-	Reference	English	Regular	MP	notMinister	RKP	Swedish People's Party of Finland	Opposition	Centre	MatsLöfström	Löfström, Mats	M	1983	
ParlaMint-FI-en_2017-12-04-ps-130	ParlaMint-FI_2017-12-04-ps-130.u9	Minutes of the Finnish Parliament's plenary session 130/2017, 2017-12-04	2017-12-04	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 130	2017-12-04	-	Reference	English	Regular	MP	notMinister	RKP	Swedish People's Party of Finland	Opposition	Centre	JoakimStrand	Strand, Joakim	M	1982	
ParlaMint-FI-en_2017-12-04-ps-130	ParlaMint-FI_2017-12-04-ps-130.u10	Minutes of the Finnish Parliament's plenary session 130/2017, 2017-12-04	2017-12-04	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 130	2017-12-04	-	Reference	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JaniMäkelä	Mäkelä, Jani	M	1976	
ParlaMint-FI-en_2017-12-04-ps-130	ParlaMint-FI_2017-12-04-ps-130.u11	Minutes of the Finnish Parliament's plenary session 130/2017, 2017-12-04	2017-12-04	Unicameralism	Vaalikausi 2015	Valtiopäivät 2017	Täysistunto 130	2017-12-04	-	Reference	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	HannuHoskonen	Hoskonen, Hannu	M	1957	
