ParlaMint-HR_2021-06-24-0.u42830	Now it's Mrs. Vukovac's turn to present the position of the House Movement Representatives Club.
ParlaMint-HR_2021-06-24-0.u42831	Dear Vice-President of the Croatian Parliament, colleagues and fellow MPs, therefore false documentation and conflict of interest and the assignment of work through a relationship are ways of misusing European money in Croatia. It was published in its latest report by the European Anti-Fraud Office. Resuming the fraud detected by OLAF in the office last year, two who illustrate how users are trying to cheat domestic and European Union institutions. The first case referred to the construction of a 3m-euro winery and showed that manipulation or circumvention of procurement procedures is often used to hide conflicts of interest. The OLAF investigation focused on a project co-financed by the European Agricultural Guarantee Fund through which more than 1.3m euros were allocated to the company concerned. Neither according to national nor under the law of the European Union, the company was obliged to publish an invitation to compete for the selection of contractors. However, national legislation prohibits users from selecting performers if there is a conflict of interest in particular when there are personal or business links between the customer and the contractors, as well as between their owners. OLAF's investigation has shown that these rules have been ignored. The customer company awarded a contract to build a company without employees who signed a contract with a company owned by the owner's son. OLAF discovered that the only purpose of this maneuver was to hide the obvious conflict of interest. Following the closure of the investigation, OLAF recommended the European Commission's Directorate-General for Agriculture and Rural Development to recover a full amount of just over 1.3m euros as well as the DORH to initiate criminal proceedings against the performers' and subcontractors' users. He also recommended the general administration to address the administrative weaknesses in the Republic of Croatia, so in our Croatian Agency for Payments in Agriculture, Fisheries and Rural Development, which are obviously of the past and often spoken of in this higher home. Making false documents to cover up the lack of work done is another method of fraud that OLAF found in Croatia. One company led three projects co-financed through the Instrument for Pre-Accession Assistance and the European Social Fund, with the aim of providing rehabilitation services to people with mental and physical problems in rural areas with limited access to social services. OLAF found that only 7% of the total cost of work was carried out in some of the pre-determined activities. At that time, the completion rate was never higher than 50% despite the company’s claims for compensation, or for the payment of 100% of the work covered by the false documentation according to which the whole business was shown as completed. OLAF recommended that the main administration of the European Commission for Employment, Social Affairs and Inclusion restore the full amount of 562,000 and 956 euros and recommended to the DORH to initiate the criminal proceedings. After such reports for a reason, the Croatian people wonder, can we fall lower? And of course, what is the responsibility of our institutions which are accredited bodies for the implementation of European Union competitions and funds? Thank you.
ParlaMint-HR_2021-06-24-0.u42946	Thank you, it is now up to Mrs. Sandra Bencic, who will be the position of the Green-Left Block Representatives Club. Here you go.
ParlaMint-HR_2021-06-24-0.u42947	Thank you. Today I am actually going to talk about one topic that we are not dealing with enough at either the legislative level or this settlement, which is the position of older people in Croatia. Croatia could also call a country where there is no room for old people, because when we look at the situation of older people and materially, but also in access to public goods and services, we must really say that neither the Parliament nor the government have done enough for them so far. So according to the quality of life of older people, Croatia was on the 61st of the 96th rankings, on the Global Age Watch scale in 2016. The obstacles to dignity are many, but in Croatia it is indeed one of the key obstacles to poverty. I'm just going to use a number to show you what it looks like. So, according to the Croatian Pension Insurance Institute, for May of this year, the average pension of those beneficiaries who have made their pension under the Pension Insurance Act, so we're talking about retirement pensions, so people who have worked and earned their pension. Thus, the average pension amounted to 2 581 kuna, with a total of 1,145 493. The average age pension is therefore slightly more than a third of the average salary in the Republic of Croatia, and we know that even the average salary does not cover what would be paid for a decent life. Even worse than that, we have 92 281 older people, the users of retirement pensions that amount to poor 234 kunas. 234 kuna! Another 62 600 users with an average pension of only 752 kuna per month. So we're talking about us having about 150 thousand older people, insurance companies, pensioners living, who receive less than a thousand kunas a month. Whether it's possible to live off those amounts, we know it's not. Is it possible to live off the average pension, no. The average pension is even slightly lower than the amount that represents the poverty line, or the risk of poverty. Average pension. So, precisely because of poverty and the fact that our average age pension is less than the amount of risk to poverty comes to frequent situations of exploitation and confiscation of the property of older people, fraud and I would also say that they become increasingly victims of different interest agencies and those who are not really informing them about their rights, take away what they can take away. As early as 2016, the Ombudsman gave 9 recommendations to improve the situation of older people in Croatia, from the fact that the number of extra-institutional social services for older people should be increased, not done enough, still 97% of older people living in their family environments do not have any social services in the community. More up-to-date recognition of the right to retire, introduce state support for the elderly without any income, also ensure the application and modern technologies with traditional ways of informing older citizens about their rights and their obligations. They also stated that it is important to regulate informal care normally, so from 17%, about 17% of people aged 35 to 49 years, so the working and working-age population cares about older members of their family, and very often because of this they are unable to actually enter the labour market, and they do not get any compensation for it. One of the key things was to do transparent waiting lists for, in older and powerless homes, we know how long it's been waiting for you at home, we know that if you have a real last name you get right now, if you don't have one if you don't have one for 10 years.
ParlaMint-HR_2021-06-24-0.u42948	Thank you very much. Ms. Anka Mrak Taritaš will be the position of the Centre and Glass Representatives Club. Here you go, Mrs. Dark Taritash.
ParlaMint-HR_2021-06-24-0.u43030	Thank you, well-respected Vice President of the Croatian Parliament, dear colleagues and colleagues. One of the highlights in yesterday's parliamentary speeches was the question of the resolution of our former counterpart, and now the Euro Representative Fred Matic on the state of sexual and reproductive health and rights in the European Union. I, I must say quite frankly, was ashamed of the speech of some fellow MPs who were yesterday. I think that Croatia should be proud that such a text in the European Parliament is proposed by one of our fellow representatives from Croatia. Instead, a part of us gets up on our backs and screams crazy from a pay phone. It is, of course, the right of every citizen, and then, in particular, the right of every parliamentary representative. But I'm taking the right to have an opinion on it. One of the things that was said yesterday was that the European Parliament is overstepping its powers which is not true in the first place, and the second is not in line with reality. Because the European Parliament is the representative body of the citizens of the European Union, which includes Croatian citizens and has the right to discuss and bring documents on any subject it deems necessary. A completely different story is the directives and regulations adopted together with the Council in the prescribed legislative procedure. But this isn't the case. And secondly, this particular issue is something that must be discussed in the European Union, because European institutions must be able to protect their citizens' rights when Member States do not want to do so on their own. Well, that is one of the important functions of the European Union and for people living in some Member States, which unfortunately includes Croatia, it is fortunate that so. Otherwise let's see what that resolution is about. The resolution is not only about abortion, but also the right to sexual and reproductive health. She advocates the introduction of sexual education into school. It seeks access to infertility treatment for all, equal care for all pregnant women and births, protection against birth-related violence and again calls for the abolition of the menstrual tax. The menstrual tax is one of the topics I have been working intensively on lately, i.e. in the case of the Republic of Croatia, I am going with the proposal for a VAT reduction law on hygienic cartridges and tampons. I have twice referred to the parliamentary procedure such a proposal, and in this conference, I have received the signatures of colleagues and colleagues from left to right, and I am grateful to everyone for this support. Of course, the ruling majority of the proposal, as each time so far, have refused. I'd like to have heard from those who threw trees and stones at the Resolution yesterday about these topics she deals with. This resolution deals with extremely important topics, but of course we didn't hear it because obviously those who needed to speak are not interested in anyone's rights, or anyone's life, or anyone's health, but what they're interested in is just insisting on medieval dark dogs that are incompatible with both life and health and happiness. Thank you very much.
ParlaMint-HR_2021-06-24-0.u43093	Mr. Marijan Pavliček will be the position of the Club of Representatives of Croatian Sovereigns. Pauliche. Okay. Pauliche.
ParlaMint-HR_2021-06-24-0.u43094	Dear Vice President of HS, colleagues and colleagues. Here, three days ago in Croatia was marked Antifascist Fight Day where he attended a good part of the state summit with the country's president, with the prime minister, with several ministers at the central event in Brezovica. There were also presidents of certain political parties, there were representatives of national minorities, representatives of anti-fascist associations, all of them came to bow down to the anti-fascists in II. svt. The war, their sacrifice and the same anti-fascism was one of the major movements throughout Europe right in the territory of Croatia and this same anti-fascism was incorporated into the Constitution of the Republic of Croatia. But thanks to the Croatian defenders, today we live in a free Croatia and we can talk about this dark side of antifascism, which was not to be talked about for 45 years, for which you could have ended up on a naked island as a state enemy or even run out of head. And that dark side is like this anyway. These same anti-fascists who are cooking in the stars these days are responsible for one of the greatest massacres of the Croatian people, Bleiburg and Crossroad, where about 60 thousand Croats were executed without any court. These same anti-fascists committed the slaughter of prominent citizens by breaking the world’s front. That's right, like in Vukovar in April of '45. In just a few days, 300 prominent Vukovars were killed when the same anti-fascists, they say, freed the city of Vukovar. The same situation was in Vinkovci and Djakov and Osijek, these same anti-fascists expelled nearly half a million Germans, Volksdeutscher from their centuries-old hearths in Vojvodina, Baranja, Slavni and Srijem. These same anti-fascists occupied the apartments of the prominent Zagrebans in just a few days and copied them into their possessions. These same apartments today enjoy their children and their grandchildren. These same anti-fascists have done a lot of evil to that same Croatian people. Also today, representatives of these anti-fascist associations say that anti-fascists have hit the foundations of today's modern Croatian states, that they have just returned to Croatia's Dalmation, Istria that no one will dispute, but they do not say that these same anti-fascists, thanks to their policy, have missed certain Croatian ends forever for some of the other eastern Srijem, without talking about Boka Kotorska and Bosnia and Herzegovina. History has never been black and white. Let's talk openly about the good and the bad, and I expect that all these representatives of the state summit who were in Bezovica three days ago will also be found in that same number if not larger in the Croatian people's sites where the rebutted Croats are precisely from those anti-fascists starting from the Breiburg Victims' Commemoration to a number of other sites throughout our beautiful. Let's not look all uniformly, let's not look at all black and white. Thank you very much.
ParlaMint-HR_2021-06-24-0.u43183	And Mr Arsen Bauk will be the position of the SDP Representatives Club. Me, Mr. Prickin, to me, directly to me, thank you. Here you go.
ParlaMint-HR_2021-06-24-0.u43184	Thank you, Mr. Vice President. This morning from 9:30, so here's 3 and a half hours and there will be a debate on the election of the Supreme Court president. The judiciary, as is known in the perception of citizens, is one of the weakest traits of state authorities and citizens, in fact, have the least trust in the judiciary, and not only of the citizens, but also of many institutions dealing with the evaluation of certain qualities that Croatian citizens have in the service of the state and as it has said in the name of the SDP Club today and therefore for competitiveness and for everything that makes normal life even more normal, and it is paradoxical that before the election of the President of the Supreme Court, the election was under the slogan of normal, so that this is the most important topic we are dealing with today, and we managed to draw this story on the story of World War II. Now, this is 2021 the first day of January was Friday and the calendar was the same as 1943 when it was also the first day of Friday. We know that on Brač because we can use this '43 calendar for 2021, but you shouldn't, it shouldn't be a topic. In this country, we find every topic that is most vital in life to return to World War II. For this reason, I need to remind you of a part in pop culture that is quoted, so I ask you to spare me the reminders, and the following is: “In the assembly this morning the same fatism whose dad was a Ustasha and whose partisan. ”
ParlaMint-HR_2021-06-24-0.u43185	And why would it be a warning?
