ParlaMint-HR_2021-07-08-0.u42844	Ruzica Vukovac will be the position of the National Movement Representatives' Club. Here you go.
ParlaMint-HR_2021-07-08-0.u42845	... Given the objectives of the Rural Development Programme for the period 2014-2020, above all, the increase in competitiveness of Croatian agriculture, forestry and processing industries, as well as the improvement of living and working conditions in rural areas in general, while all indicators recapitalising the observed period are talking about the devasted and evicted rural area of Croatia, the question arises, was the previous programme which was well planned, was it well implemented and what actually happened and the objectives remained unfulfilled? [[Specially enabled.]] The current situation we have in agriculture is low income, a constant drop in total added value, a decline in livestock and plant production, an unregulated market, a constant import with a steady increase, insufficient use of resources, a lag behind other Member States in technology and production, we lose 2 to 3 percent of the potential GDP growth annually, and as a consequence of all of the above, we have a depopulation, emigration of young people, high unemployment, unequal regional development, underdeveloped infrastructure, one communal, educational, health, transport, Croatian village is deeply in charge of financial problems. According to EUROSTAT, 30% of the population is at risk of poverty and social exclusion. Of course, mostly in the rural area. No one in the EU has a decline in the production of milk such as Croatia, the area on which agricultural production is taking place, the village is disintegrating and the old, the OPGs continue to fail, the agricultural producer is an increasingly smaller producer and the growing social category. And what do you conclude? Obviously implementation and programming of the second pillar of the CAP are not in line with the promotion of rural development in the Republic of Croatia. I honestly expected that by following the state of play on the ground, the Resort Ministry would make an effort and make a comprehensive and quality analysis of which would be visible where we misturned it. How do we know how to set up a programme for the period from 2021 to 2027 unless we know what went wrong with the programme so far? How dare we design a rural development programme for the future if we constantly deny the cardinal bad situation in the agricultural production and in the Croatian village. If we add to the above all the information that close to 500,000 hectares of pasture or grassland are not in the system of registering the use of agricultural land, they cannot be entitled to direct payments and are ultimately a loss for the Republic of Croatia. Let us add that only Croatia is taxing support from all EU member states to its farmers. Let's ask farmers why most of them have not competed in previous competitions from the rural development programme. They will tell you that the procedures are too complicated, that consultants are not interested in reporting smaller projects, that they cannot meet the tender conditions and their co-financing procedure is too high, that the paying agency has become a narrow throat in the availability of rural development programme funds to a larger number of users, etc. However, this is not the case in our institutions. The village is left to itself, unlike the village and rural space in the surrounding countries. In countries where it is very clear to the rulers that the city can only live if it is leaned on the village. Other member states have made plenty of use of European budget funds and revived their rural environments, increased income to the farmer and strengthened domestic food production. In Croatia, funds from European funds, just like land resources, have served the ruling ones to buy their maintenance in power with them and satisfy the petty interests of their political or party listeners. And that's why we're dealing with OLAF today. When we talk about the rural development programme Croatia has unfortunately missed another chance to save the village. Thank you.
ParlaMint-HR_2021-07-08-0.u42846	Thank you. Mrs Urša Raukar Gamulin will be the position of the Green-Left Block Representatives Club. Here you go.
ParlaMint-HR_2021-07-08-0.u42963	Thank you, Mr. Chairman. So last week, the Festival of Unlawful Construction was held because of a decades-long devastion in Vruja Bay, citizens and citizens protested against the destruction of nature, illegal construction, illegal and violent devastation of the road, the construction of harbors on maritime goods. All these illegal branches were built not on the construction zone and on the coastal area where it cannot be built and still on land owned by the Republic of Croatia. They also protested against an inefficient state, against inefficient inspection, inefficient justice and haughtiness, etc. An investor. And now in the media, more specifically on the Index portal, we read that these illegally built objects are legalized. The construction inspection put them on the list for demolition, while at the same time the Administrative Department for Spatial Planning of the Split-Dalmatia County of Omiš Exhibition on 4 June 2014 legalized two buildings, one auxiliary bracket and a swimming pool. Mario Radevenjić head of the Administrative Department for Construction and Spatial Editing of Split-Dalmatia County on the green-left block on the legalisation of Latković's illegal construction corresponds, according to the spatial plans of the City of Omis and the Municipality of Zadvorje facilities are located within the planned geological monument of nature and outside the construction area of the settlement. However, in the 2014 legalisation solution also sent to us, the head writes with the saying that the building under consideration was built within the scope of that plan and that construction land was built in the zone. Furthermore, it does not truthfully conclude that the buildings in question are not located in the area and areas on which illegally built buildings cannot be legalised. The solution was signed by architect Vesna Morovic, and the head finds that the legality is fully responsible for the referent who issued them and verified them as well as in all other cases which are being resolved in the administrative procedure. Of course, there is the possibility that the mentioned architect has spent more than suspicious legalisation on her own, but there is also the possibility that she has received such a task from someone from above, and perhaps she was also worth the Bandic, no frog from the old woman. Finally, the head informs us on suspicion of the legality of the acts issued, all cases are excluded by the construction inspection or the DORH, and after the results have been completed, the public will be informed of the results and follow-up and possible sanctions. So, after 7 g of travel. DORH and the construction inspection began to deal with suspicious legalization of illegally built buildings in Vruja. The question remains, would it have happened without a festival of lawless construction, so no civil action? From this case, we can only conclude that beside all state institutions that are in charge of implementing the laws of the Republic of Croatia and effectively, and not only declaredly, are safeguarding the most valuable spatial resources precisely those who are truly the only last dam to destroy our coast and island. And while we wait for the results of the construction inspection and the DORH's reconnaissance, we believe that the only thing that would be right would be moral and just that the Republic of Croatia as the owner of the land in the bay of Vruja is forever driving the usurper out of the area, to return the bay to its original state, to remove the illegal facilities, to remove the harbor, to align the road and plant the oleandre, rosemary, pine trees so that no one can ever think of such a blasphemy and such a crime. Thank you.
ParlaMint-HR_2021-07-08-0.u43045	Thank you. Mrs. Anka Mrak Taritaš will now be the position of the Centre and GLAS Representatives Club. Here you go.
ParlaMint-HR_2021-07-08-0.u43046	Thank you, well-respected Vice President of the Croatian Parliament. My colleagues and colleagues, Croatia has a serious problem that I think is about the time that all reasonable heads in this country get together and start dealing with it urgently. It's about vaccination against the crown. We as a state, and as a people, we must wake up and start acting responsibly together because this is no longer a joke. We've all been living together for a year and a half now in a completely abnormal state. We live abnormal lives in every way possible. We're having an abnormal time, we're having an abnormal time, we're going to a doctor, our kids are going to school, or they're not going to school. Travel, weddings, funerals, excursions, cinema, theatre, sports events and sports activities have been disturbed. In one word, everything is disrupted to the limit. It has consequences for our standard of life. To the everyday sense of our self-respect and view of the future, psychiatrists and psychologists warn us that the epidemic of anxiety and depression is beginning because of this prolonged state, and the biggest and most serious consequence of people dying from the crown is mass. As of now, 8.226 people have died in a year and a half, more than half of the dead and missing in the Homeland War on the Croatian side in a year and a half. And that's where we're kidding, people are thinking about being vaccinated, so they're waiting for me to know who and I don't know why. We have a brilliant, literally brilliant range of science and human creativity that can save us from this vicious disease, people don't want to be vaccinated. It's time for all of us to get together and, of course, there's no doubt about it, the government has done a disastrously bad job as usual. No one believes these people, it's the first problem, neither do those who voted for them, they know why they voted, but it's not because of trust. The campaign to convince people of the importance of vaccination is bad or not at all, so no better success could be expected on the side of the country. But this story now exceeds and crosses the frameworks of government and headquarters at some point each of us must take responsibility for our actions and its consequences. This is now a matter of responsibility, this is no longer a question of freedom, spreading a dangerous infectious disease from which mass die is not a question of anyone's individual freedom or personal choice. The issue of freedom or personal choice cannot be a valid argument in this debate at all, there can be no argument at all. Well, it's not a personal freedom in society that I'm able to spread the disease or that because of me and my irresponsible children don't go to school or that the economy fails because of the close-down of personal freedom, that's why people and they created the state to go to the limit of freedom of another man. A million and a half people in this country are responsible for themselves and other vaccines. These are people who want to live first of all, and then a normal life, want to work, travel, go to concerts, movies and theatre, parties and social gatherings, want their children to have classes in school in the fall, not a mobile from the couch at home, they want the Croatian weak economy not to fall even deeper. Now the time has come for all of us to gather together, the government and the responsible to take the job and finally figure out how people will educate and convince themselves of the importance of vaccination without causing both antipathy and resistance. And dear citizens of Croatia I ask you nicely to face together the seriousness of this situation where we have found ourselves, to admit that the crown is seriously dying and that we are living completely abnormally. We have a safe and effective solution, which is a vaccine that has saved thousands and millions of lives in the world so far. All of you who haven't done it yet, please go ahead and get vaccinated. Thank you.
ParlaMint-HR_2021-07-08-0.u43047	Thank you, too. Mr. Marijan Pavliček will present the position of the Club of Representatives of Croatian Sovereigns. Here you go.
ParlaMint-HR_2021-07-08-0.u43115	Dear Vice President HS, colleagues and colleagues. In yesterday's statement on behalf of SDSS Club Dragan Jeckov referred to education in the language and letter of members of the national minorities, primarily the Serb national minority in the area of the town of Vukovar and the surrounding places, and on several occasions called the current city government calling us quasi local school reformers. The same Dragana Jeckov spoke of her sightings and myths as she says who are networked among Croatian citizens, and about teaching in language and a letter from members of national minorities. I don't want to talk about myths or legends here. I want to talk about facts. According to the Constitutional Law on the Rights of National Minorities in Art. The 11th national minorities have the right to education and education in their language and letter. In addition, there is a Law on Education and Education in the Language and Letter of National Minorities, and all of this is detailed in the 3 state pedagogical standards, the pedagogical standard of preschool education, the pedagogical standard of primary and secondary education where there are 3 models of education, model A, model B and model C. Model A implies the entire teaching in language and letter of the national minority, and this model is a model that is carried out in the area of the city of Vukovar. As soon as you enroll a child in the minority class, the only thing you're offered is model A. Model B and model C are not offered at all. And that model A means in practice what? The kids go to the same building, they go on the same shift, but they're completely separated in class and they don't have any contact with each other. And you today have 20 generations of peace integration in the city of Vukovar living in the same city almost without any contact because from the age of kindergarten itself, until the end of high school education is separated from each other. counterpart Jeckov also says that education in minority language and letter has no alternative and that everything else leads to the assimilation of the minority. Dear Parliamentarians Jeckov, no one wants to assimilate one or the other or the third national minority. But an even bigger problem is that you political representatives of your national minority do not want to allow the integration of your national minority into Croatian society. And this model of education is death for the future of the city of Vukovar and primarily damages your national minority because you are segregating your own national minority. Unfortunately, just through this kind of education model, model A is being implemented today in certain parts of the large Serbian propaganda because what do you call drawings that were created a few weeks ago in the Borovo OS where the teaching takes place according to model A, where the children drew a Vukovar water tower with all the war wounds and at the top of the water tower the Serbian flag, is that not a large Serbian propaganda? Isn't it a great Serbian propaganda that I who am 10 years old? Radio in protest I enter the class and the board says on Cyrillic "civil war in Croatia in '91. By '95,' and the constitution clearly says it's the Homeland War, isn't that great Serbian propaganda? On several occasions, counterpart Jeckov says that members of the Serb community do not have nearly the right to education and education as do members of the Italian community who have their minority schools as members of the Hungarian community, as members of the Czech community. However, I have not heard that children attending Italian school drew the Pula Arena and placed the Italian flag on it. I didn't even hear that members of the Hungarian national minority drew Osijek fort and put a Hungarian flag on it, but I heard and saw about the Vukovar water tower with the Serbian flag, but I saw that the board reads "a civil war in the Republic of '91. until '95.’ And I think that the best people who live in the city of Vukovar know what model education is best for the future of the city of Vukovar. We've been given the trust of our fellow citizens three times, and I believe we know best what's best for our city. The only step would be the C model of education where children will go together, and members of national minorities will be allowed to have an additional 5 hours of teaching where they will learn about their language, their culture and their history.
ParlaMint-HR_2021-07-08-0.u43116	Time, time. - Mrs. Crescent. Danica Baricevic will be the position of the HDZ Representatives' Club. Here you go.
ParlaMint-HR_2021-07-08-0.u43307	Thank you very much, dear Vice President, dear colleagues and colleagues. At this very moment, the last meeting of the Government of the Republic of Croatia will be held at which EU Commission President Ursula von der Leyen will inform the Government of a positive assessment of the Commission for the National Recovery and Resistance Plan for the Republic of Croatia. The National Recovery and Resistance Plan is a plan that covers all areas of importance for the Croatian economy and society. The plan has defined the investment areas that will achieve the country's economic and social recovery, but also strengthen the resilience of our economy and state to crisis. This Plan recognized all the challenges Croatia faces and with the programme of planned activities in order to recover and resist, it is actually a real tool for reforming and transforming the Republic of Croatia. The national plan is a valuable document that will allow Croatia to receive 6.3 billion euros, i.e. €47.5 billion of grants over the next few years. In addition to the benefits of grants, we have at our disposal and much more favourable loans with the best credit in the EU of a total of 3.6 billion euros or 27.1 billion kuna. These amounts account for more than 12% of GDP, which is why we are together with Greece at the EU summit. The fact is that all the components contained in the National Recovery and Resistance Plan from public administration education, justice, state property, labour markets, social protection, construction of buildings, science, economy, health care will really contribute to the necessary reforms that we need and GDP growth. Here, in this National Recovery and Resistance Plan for the Economy, the largest growth of planned funds is foreseen, up from 53%, which will boost competitiveness and green transition of the economy and the development of sustainable innovative and sustainable tourism. Only business environment in Croatia characterizes the number and complexity of administrative requirements and therefore measures will be implemented to simplify business, it will be cheap and employment will be accelerated and facilitated. The activities provided for in the National Plan shall be directed towards the ease of business, the digitisation of licensing procedures and the authorisation to work, the unification of compulsory fees and the digitisation of the submission of applications and administrative procedures relevant to entrepreneurs. Therefore, the National Recovery and Resistance Plan will strongly raise our readiness for rapid, sustainable and inclusive recovery and stability. Its realisation will contribute to a more favourable structure and efficiency of the economy, a better quality public administration and justice, better services for citizens and entrepreneurs, as well as the development of a quality system of education and science. The national plan includes both the necessary innovative employment policies, the improvement of the pension system, the quality of social protection, the modernisation of the health system, and the energy and anti-quake reconstruction of buildings. It should be pointed out here that the EU Commission has approved Croatia's request to the EU Solidarity Fund, and the EU Commission has made a decision to allocate 683.7m euros of grants to help with the recovery of earthquake damage. In all, within 10 years, we will withdraw 230 billion kuna or 30 billion euros that we could not really count on not being an EU member. This is a great success, incomparably the largest amount for the Republic of Croatia, which has been withdrawn from the EU, all thanks to the government of the Republic of Croatia and Prime Minister Andrej Plenkovic. Thank you.
ParlaMint-HR_2021-07-08-0.u43308	Thank you. [[CONTINUATION AFTER MEETING IN 13,01 HOURS]] We continue with the work, the first will be the positions and this is the Club of Representatives Mr Ante Kujundzic.
