ParlaMint-HR_2021-12-07-0.u71541	[[CONTINUES AFTER MEETING IN 13,00 HOURS]] Here you go.
ParlaMint-HR_2021-12-07-0.u71542	Thank you, well-respected Vice President of the Croatian Parliament. Dear colleagues, the end of the year in the assembly is always marked by budgets, projections, amendments and ideas as to what should or might happen. That's right this year. We'll finish tomorrow by voting. This year, however, there is one little new thing. The amendments to the draft budget have tried to show how much work there is in Croatia on equality between women and men. And unfortunately, things haven't changed much. Although the government allegedly boasts of good economic results, the revenues of the race, the budget is growing, we have not taken advantage of that opportunity for some serious step. PVD revenues should increase more than 7 billion kuna and 14% compared to this year, but there was no place to reduce VAT to female hygiene needs of the cartridge and tampons. This is a topic that has already been discussed in the assembly, but will be spoken until the government decides to reduce VAT to cartridges and tampons. We'll see what's gonna happen. I am an irreparable optimist, and I hope that the conclusion sent to the government to examine the problem will indeed have some results. I am moderately optimistic also because of the prime minister's reaction to this topic during the current morning. But so far, nothing has happened, so I'm gonna keep this topic on the agenda and I'm not gonna let it fall into oblivion. In addition, I have given amendments to this budget to secure money for free cartridges and tampons in schools. Although some schools in Croatia have already started as some cities have, the government and the state have not heard about it, nor have they been amended, no wonder, also rejected. Menstrual poverty is a serious problem. We have research that has shown that many girls and women in Croatia have problems obtaining basic hygiene supplies and therefore suffers their quality of life. It's not just a Croatian problem to be honest. There are more and more countries where this problem was also seen, but which are more determined to deal with this problem and calculate through reduction of tax and free cartridges we have examples, schools. Croatia is unfortunately not one of those countries. But what I may be most saddened by is that the government had no ear for the procurement of intra-operative radiotherapy devices for the 4 clinical hospital centres Osijek, Rijeka, Split and Zagreb. Croatia has only recently had one such device at the Clinical Hospital Centre of the Mercy Sister in Zagreb, but that is not enough. This device gives high doses of radiation to the area directly affected by the tumor, thus targeting tumor cells without damage to the surrounding tissue. It is mostly used in breast cancer operations, but is used in other gynaecological operations in the head and neck tumors, as well as in some pancreas and colon tumours. Patients do not have to wait for the wound to heal or come to the hospital for long-term radiotherapy as soon as it has accelerated and shortened treatment. In some developed countries that care more about their inhabitants, the device has been routinely used for 2 decades. We are all painfully aware of this country with many patients and many deaths of cancer, and breast cancer but also colon are among the most common. The intraoperative radiotherapy device costs about 5 million kuna. This means that for all clinical centres in Croatia, about 20 million would be sufficient. Now I'm not going to go into that debate as much as millions are given to, and even hundreds of millions, but nearly 174 billion kuna budgets compared to that 20 million is a little over 0.01%. But unfortunately, that 0.01% is obviously too much. The budget is a financial document, but it is primarily a political document. He shows who we are, what country we are, and what we would like to be. Where is this place where the government wants to take us all together? And in that sense, the HDZ government failed the exam again. It was possible to think more about women and general equality in society, and this budget showed that women to Croatian rulers continued to play the last hole. Thank you.
ParlaMint-HR_2021-12-07-0.u71568	On behalf of the Social Democrats Club, a respected representative, Domagoj Hajdukovic, will now speak. Here you go.
ParlaMint-HR_2021-12-07-0.u71569	Thank you, Mr. Vice President. My colleagues and colleagues, I would like to look back on an international day that we have marked this weekend, which is December 5th when the International Volunteer Day is marked. In 1985, the UN General Assembly declared it a team, thus recognising the contribution of volunteers to a large community, and the values they are driven by are those as universal desires to contribute to the general good and spirit of solidarity without the expectation of material compensation. I think we could all testify I would dare tell the heroic acts of volunteerism right in the moments when it's in our recent history, and I'm talking about some last year and a half of it's been the hardest of our lives. Remember the earthquakes in Zagreb, remember the cheerleading groups that evacuate Petrova, so the birthplace in Petrovo, remember Banija, remember all those people and some members of this home who immediately rushed to Banija, carried help, cramped ruins, etc., remember the statisticians who have been checking buildings tirelessly for days so that people can return to them, remember the alpinists who have torn down chimneys and examined chimneys, whether they can be used, remember the chef volunteers who fed people in Bania, remember the construction workers who sent the machines to try, pardon to help clean up. And where's the state? Over 500 million kunas were spent in Banja, and what did we get? Are the families under the roof? Are they provided with a decent accommodation meeting in winter? No, but we spent a lot of money. All renovated houses or roofs are a product of volunteer work, regardless of what volunteers they were, alpinists, statisticians, builders, fan groups, Red Cross, etc., all of them were done by volunteers. And how does the state treat these volunteers and volunteerism? Well, first of all, the money we spend on promoting volunteerism is more than symbolic. I've been making amendments for years to get that position up right now, the hearing wasn't there, I don't think it would be this year either. The National Qualifications Framework, which should evaluate some of the knowledge and skills acquired outside formal education, and one of the ways in which it is acquired is and volunteering has not revived and does not live the way it should. And every time I propose and every year when I propose more resources in the implementation of the National Qualification Framework, that amendment shall be rejected. Extraordinary activities in primary and secondary schools are highly underrated colleagues and colleagues. The state singles out a hundred kuna per grade school a year for extracurricular activities. It is these extracurricular activities that our students should be brought up to appreciate volunteering, volunteering, and understanding of all the benefits of volunteering not only for themselves as individuals but also for the society and community in which they live as a whole. The most this country has done is the Voluntary Law whose amendments and additions have been voted and accepted in April this year in the Croatian Parliament, and the aim of at least the declaration of this law is to promote and develop volunteering in which the government has established the National Committee for Volunteering Development. However, as I have told my colleagues and colleagues, I do not see where the government goes with the development of volunteering, the spirit of volunteering, as well as promoting the fact that volunteering does not only donate your time and work but you enrich yourself as a person, you acquire some skills and also contribute to your community. If we will best see the example of volunteerism, I will repeat it again and I will finish it then look at Zagreb, look at Banija. Everything that's been done is 90% done exclusively by the act of volunteering. So whether it's athletes, firefighters, citizens who self-organized and came to help, remember the scenes of people coming in, bringing help, crumbling ruins, helping, building. And when the state was supposed to jump in, when the state was supposed to take over here are the results we see today. That is why we felt at the Social Democrats Club that it was important to mark with at least one speech and December 5th, or International Volunteer Day. Thank you very much.
ParlaMint-HR_2021-12-07-0.u71603	The next club of MPs will be the HDZ, and the respected representative Marko Pavic will speak. Here you go.
ParlaMint-HR_2021-12-07-0.u71604	Thank you very much, dear Vice President. My colleagues and colleagues, I would like to use this free speech on behalf of the HDZ Club right now to point to yesterday's Regulation on the termination of the Regulation establishing the highest retail prices of oil derivatives by the government. Namely, conscious disturbances in the oil products market have recently been reacted by the government, and thanks to this reaction to the regulation, the impact on the standard of citizens has been prevented, the impact has also been prevented from spilling the prices of oil products to other products and thus encouraging, further stimulating inflation. Now that the price has stabilised on the market, the government has abolished the regulation and today they are also the average container of 50 liters of Eurosuper 95 is cheaped for 14 kuna or gasoline is cheaped for 28 liters per litre. We have thus shown clear message to both citizens and entrepreneurs that the government has a significant tool and does not libily use it to protect our citizens and entrepreneurs and also send a message that if it needs a similar tool, the same mechanism will be used in the future. If the price of oil derivatives on the market continued to be rampant, the government was willing to enter into other tools, reassess excise duties, fortunately it was not necessary in particular because of the cost of the roads and many other projects. This shows the government’s clear attitude to citizens and entrepreneurs as it intervenes when and how oil derivatives are provided, the gas does not accumulate and also limits their prices to spill them. We see that the prices of construction materials are on the decline, now the prices of oil derivatives, prices of other products according to which our projected me that we reached the maximum inflation stand absolutely, and also on Friday and Saturday was the Parliamentary Assembly of the Union for the Mediterranean where one of the main topics was also energy security and climate change. I personally participated as the representative of President Jandrokovic at the meeting of the presidents of the parliaments of the member states of the Parliamentary Assembly and in the work of several working groups on climate change, given that the EU took over the chairmanship of the Union Parliamentary Assembly for the Mediterranean and that the EU is the leader in the fight against climate change. Here, on security of supply of EU energy, we have highlighted the importance of connecting value chains within the Union, and we have only shown that even though the EU is responsible for 8 to 9% of global CO2 emissions, we must, and China, India, the United States, for 50% that we must continue to be the leaders in the process. And it was a pleasure to report that Prime Minister Plenkovic at the COP in Glasgow made clear our commitment to these European policies, a reduction of 45% of greenhouse gases by 2030, the abandonment of coal technology until the use of coal from 2033, but also the protection of 30% of Adriatics under Croatian jurisdiction. One of the main problems of climate change will be the rise in sea level and there is one of the most sensitive seas within the Mediterranean so that the protection of 30% of our Adriatic territory under our jurisdiction is a very good contribution to the protection of the Mediterranean. The former HTZ wing would be the Mediterranean as it used to be and in order to preserve this Mediterranean and the Adriatic as it used to be, we need to ensure the supply of energy and energy, we need to ensure the fight with climate change and Croatia is ready together with EU members to be the leader in this process by protecting the economy, protecting economic growth and opening new jobs of high added value. Thank you very much.
ParlaMint-HR_2021-12-07-0.u71637	The next club of representatives will be the Mosta, and the respected representative of Nikola Grmoi will speak. Here you go.
ParlaMint-HR_2021-12-07-0.u71638	Thank you. Here I will start with one thought of the government of Gotovina, "Croatia is without freedom meaningless and impossible." So, today is the anniversary of death and I'm going to touch myself a little bit, here's sorry that fellow Pavić left, he's one of those people who doesn't understand freedom, one of the people who's said these last days that the covid of the confirmations have been introduced to train people, as if people are animals, as if our citizens, citizens of animals that need to be trained, because it's quite clear that the covid of the certificates are not an epidemiological measure, because the vaccines can spread the virus and most likely this breakthrough in the hospital we have because they're vaccinated, and that's also a large number of healthcare professionals who, like here, our colleagues who have been vaccinated in the first box, this vaccine has long gone, so they're in that category. And that's where the breakthrough happened in hospitals and the possible responsibility of the government, the very headquarters for such a large number of deaths that is associated with the unfortunately not-so-good health system that we believe that our health system is because if you look at the number of splits in Slovakia which is almost the same as in Croatia and compare the number of deaths, you will see that we have another systemic problem, which is the question of the quality of our health system and what happens to our people who end up in hospitals, what they pick up there and how they get hurt. What I want here from this place we'll have a debate on the amendments to the Law on the Protection of Publicities against Infectious Diseases, some called it lex Bulj because they introduce penalties for officials who do not want to share their citizens, their fellow citizens on vaccinated and unvaccinated, but if you look closely at the law, you'll see that the government in that law has set up a wider use of covid certificates, which means that we may be behind Christmas, behind New Year's, waiting for a covid certificate in cafes, restaurants, gyms, wherever people go and go. And I want to send a message, dear people, sign for this referendum it's the last line of defense to stop these crazy measures that don't make any sense, to stop these mandatory vaccination announcements that are direct to human freedoms and rights, and it's actually so ugly to listen to HDZ representatives, here's former Minister Pavic talking about commitment to eu policies, as if on some party line of that European policy that should then be respected. Well, tomorrow, European policy may be this European Commission's guideline not to mention Christmas, so Vice President Reiner and Marko Pavić won't even mention Christmas because it's this kind of commitment to European policies or maybe Ursula will say that Croatia is introducing mandatory vaccination, and then we will forcely vaccinate our citizens. Dear people go to the referendum, we're thrown out by many obstructions, we see what they're all prepared for, what all the meetings are held, what all the joint statements are made just to stop this referendum. We are also exposed to many spins, they say this referendum will legalise the situation, so they have already legalized everything for you, we do not have the Constitutional Court as in Slovenia and constitutional judges who will say that access to the workplace is in the state service, that it is unconstitutional to condition Covid with confirmation. Not that it's unconstitutional, it's scandalous, and I'm surprised that the left-wing opposition about it is silent. So it's scandalous that our citizens are divided, that unfortunately a little bit goes to the library you can't do without Covid's confirmation, without testing, and that in the cafe, in the casino, in the tram, there are trams, so you're going to go in without a problem and you're going to tell me about the epidemiological measures and that Covid is an epidemiological measure. Pavic said well, they train Croatian citizens, and we will say a lot about this training of Croatian citizens in this referendum. Dear people come out and support us.
ParlaMint-HR_2021-12-07-0.u71660	The next club of MPs will be that of the Homeland Movement, and a respected representative of Stephen Nikola Bartulic will speak. Here you go.
ParlaMint-HR_2021-12-07-0.u71661	Thank you, Mr. Vice President. My colleagues and colleagues, we have recently witnessed that individuals like to quote Pope Francis on various occasions when it serves them well. I think there's a lot of dishonesty, even hypocrisy, but by even the left we hear as an argument for vaccination what Pope Franjo said so Mr. Plenkovic recently used it in a replica of me in the assembly. So I think it's important to remind today what Pope Francis was saying on his way back from Greece yesterday. So it is his comment on this European Commission document on politically correct speech on Christmas and other occasions. So, the Pope said in history that many dictatorships have tried to do it to remember Napoleon since then, remember the Nazi communist dictatorship that is a uniquely diversified secularism and has been condemned to failure. So, this interesting notion that Pope Francis is using, divorced secularism, I think colleagues and colleagues on the left could learn something. Therefore, it warns the Pope that this is not the first attempt to build Christian foundations and what has been planted deep in our European culture to try to undermine in some way, even in time, if enough political powers are acquired, can be erased or even condemned by people who continue to use those terms that are consistent with the truth but would say common sense. So, what's the Advent Time and getting ready for a concrete Christmas event, Christmas. Even the President of the Republic of Milanovic had the need to comment on this as someone who declared himself a left-wing liberal politician, he had reason to say that Christmas is Christmas. And to him, it's undeniable. So he is also aware that this political correctness is destroying our culture, destroying Europe. Why is this important? So we see again in the last few days that, for example, the name could be returned to one of Zagreb's squares in the communist dictator. It's not a team from We can announce in the campaign but now it's a current topic again even though they've been telling us the opposite all along. So it's still important to them. It seems to me that, unfortunately, Croatia did not face its own past in the right way, the political elites certainly failed there, and those who lead our education and education. For example, it would mention experience in Russia where the novels of the great Solzhenitsyn are mandatory literature in Russian high schools, in Croatia there is no sign of it in our schools, there are no writers of dissidents known to our high school students. I would take the opportunity to mention one maybe possibility, that's Ante Ciliga a great intellectual who had very early met the horrors of communism in the Soviet Union, lost all his illusions about it, I was like a young revolutionary who had seen and met this cruel reality. He wrote a lot about it even before Solzhenitsyn, but he'd bet our high school students knew nothing about him and his creation. So this may be an incentive to look at the problem in a new way because some say trapped minds are still in chains of ideological and we'll have to face it unfortunately. It's still being imposed. The Croatian people and the Homeland movement won't shut up once. [[Intruder: Thank you.]] Thank you.
ParlaMint-HR_2021-12-07-0.u71742	On behalf of the Green-Left bloc's club, the respected representative Urša Raukar Gamulin will now speak. Here you go.
