ParlaMint-HR_2021-03-10-0.u27281	The sixth debate, SDP representative club, respected colleague Ivana Posavec Krivec, please.
ParlaMint-HR_2021-03-10-0.u27282	I would like to thank the esteemed President of the Croatian Parliament, colleagues and colleagues. In the media space, every day we have a chance to see new sexual harassment affairs emerging, and I remind you again, the Government of A. Plenkovic to the Parliament has proposed not to accept the SDP's proposal on sexual harassment that should be prosecuted under official duty. It happened just a few days ago, it happened on Friday, last Friday before Women's Day. I remind you, just a few days ago, we suggested erasing Article 3. 156. KZ, therefore, any act of sexual harassment would be prosecuted even after a three-month period has elapsed. or on official duty. These changes to the KZ have been refused or delayed by the Government and, in fact, a stronger criminal protection of victims of sexual harassment has been delayed. Maybe in three, maybe six months. At the same time, she sent a public and clear message to the perpetrators that they were still protected from persecution, in fact, we all witnessed on Friday that the Government of the Republic of Croatia had turned its back on the victims. I'm saying this because sexual harassment is happening in the Republic of Croatia, it's happening continuously, it's happening now. One example is the Belovar House for Adults. It is this Belgrade House for Adults who have been investigated these days by police and DORH for several anonymous reports stating the sexual harassment of workers by Director Zlatko Kraljic. A home for adults in Bjelovar was founded in 1969. is owned by the Republic of Croatia and under the direct jurisdiction of the Ministry of Labour, the pension system, family and social policy. Minister Josip Aladrovic, Minister of Government Andrej Plenkovic, is responsible for his business. This topic is particularly sensitive because it is an establishment that provides social services to adults with mental impairment and 70 employees have an extremely responsible and demanding job. That's why it's important to say the consequences of sexual harassment victims. They manifest themselves in individuals and individuals, citing a series of psychological consequences from acute reactions to stress to PTSD development, feelings of uncertainty, fear. When it comes to sexual harassment in the workplace, there may be a development of feelings of mistrust in the environment and of people with whom there is social anxiety, which affects productivity, concentration, in this case precision. Thus, the system makes the victim continue to seek judicial protection through a private lawsuit, through the victim's lawsuit, against an employer who has not removed illegal and discriminatory behavior. And we are now learning from the media that the ministry has confirmed that during the last extraordinary inspection surveillance of the home conducted on October 5th, they have determined the allegations of complaints in a way that talks have been conducted with persons to protect the dignity of workers in the home. On 6 October 2020, on 6 October 2020, the High Inspector, adopted a decision ordering the Board of Directors to examine the responsibility of the Director. It was also ordered by the expert council to examine the issue of complaints and performances related to work at home, the suspicion of possible sexual harassment of workers was also informed by Bjelovar Police Station on 6 October 2020, as well as by supplementing the notice of 23 October. The appointed director of the home for adults Zlatko Kraljic is determinedly refusing to blame the victim. He says it's about a colleague who's generally unhappy with work and who anonymously sent out applications before I even got home. When such reports failed, a colleague apparently decided to make a false application for sexual harassment, the director said without shame. And now, at the very end, it's been more than six months since the board's order to investigate the director's responsibility, as well as inform the police. I ask Minister Aladrovic what he did specifically to protect the victims at that time, I ask Minister Malenica when we will see the proposal to amend the Penal Code and ask Prime Minister Plenkovic if there are any untouchable in Croatia? Thank you.
ParlaMint-HR_2021-03-10-0.u27340	We are going to another debate, this is the Club of Representatives of Croatian Sovereigns and Honored counterpart Hrvoje Zekanovic, please.
ParlaMint-HR_2021-03-10-0.u27341	Dear President of the Croatian Parliament, dear colleagues and colleagues. Here I am this morning wondering where M. Pupovci went? He's not in Croatian media, he's hiding somewhere, and the towers say he went east, that Serbia, and that in Serbia he lobbys with his mentor, A. Vukic, in agreement, of course, with his partner Andrej Plenkovic, that this leader from the east, a great, new leader who comes from the hilly Balkans, is helping us fight the crown of the crisis. It is said that Vukic, thanks to the lobbying of Milorad Pupovac, will donate us a rescue vaccine as he recently did in Sarajevo, as he did in BiH. For those who do not know, Serbia has already vaccinated millions and 650 thousand people while Croatia has vaccinated only 250,000 people or spent a dose, so Serbia is among the first. Is this why Milorad Pupovac is not on TV, is he not in the media, or is it perhaps because he changes it daily exactly because of Alexander Vukic, whom we have in Croatian media every day, exclusive reporting? We know what's going on in Kragujevac, what's going on in Belgrade or New U.S.A., and we don't know what's going on in Sibenik, Zadar or Osijek. Of course this isn't the reason, and this was a joke. Alexander Vukic will not help us like we'll never see a cent of the money he promised to help with the earthquakes in the affected areas. However, Milorad Pupovac has indeed hidden himself, hid for reasons why local elections are coming and Andrej Plenkovic and the ruling furniture is not wise, it is not wise for Milorad Pupovac to be exposed because he still does not like Milorad Pupovac's traditional electoral body, and HDZ needs Milorad Pupovac and his hand, and Milorad needs power because he needs money for SNV and other projects. However, here we must say that this crisis of the coronary crisis, or this global pandemic, which we are faced with has exposed many players and many facts related to the EU. In the beginning, I will say that we Croatian sovereigns are against mandatory vaccination, against forced vaccination, and of course against discrimination against all those who are not vaccinated tomorrow, but also for those who wish to be vaccinated to be given vaccination. So, those who don't want to be vaccinated, and those who want to be vaccinated, let them be vaccinated. Today, however, the EU has shown its incompetence, so it threatens those who do not want to be vaccinated, and on the other hand, those who want to be vaccinated did not allow them to be vaccinated. The EU has shown that it is an ordinary group of incompetent bureaucrats who, in a very funny way, are actually coping with this emerging situation. The first serious crisis faced by the EU, the EU capitulated, fell apart, broke down by seams, no longer exists. Orban obtains an independent vaccine, the Czech Republic also, Slovakia also, Poland, that you don't think that only we from the east are criticising, Denmark is doing the same, Austria is doing the same. However, Croatia continues to remain silent and watchful, wisely poor. He sees what great European players will do, what France will do, what Germany will do. And since they do nothing and Croatia does nothing. Why? Because it does not match the current ruling set in Croatia. So, the only poorer than the current EU policy and its capabilities is the current situation in Croatia, the current political situation, or the current ruling set in Croatia. I repeat, we are not for forced vaccination, we are not for discrimination, but for those who wish to be vaccinated, so let the authorities make it possible.
ParlaMint-HR_2021-03-10-0.u27455	8th debate, National Movement Representatives Club and esteemed colleague Ruzica Vukovac, please.
ParlaMint-HR_2021-03-10-0.u27456	Thank you very much. Respected, offered by the statements held at last week's session on the adoption of the Agriculture Act, how, I quote a colleague from the ruling option, no one is guilty of our peasants because they are unable to fill out a single paper and apply to the competition, which is why he tried to justify the investments of several billion kunas of our Ministry of Agriculture in large companies, while 70,000 OPGs in Croatia are not receiving a single drop from the RS budget. I want to bring Croatia's public closer to thinking from EU level, about the existence and unquestionable support to family economies. The biggest Croatian weakness in relation to Europe is not related to the contractual relations of our commitments to the EU, but is now resting in an unprepared manner to identify to what extent the basic value choice of Croatian agricultural policy is, in fact, the industrialisation of the village in part with the European one. As part of public indoctrination for the past few years, the public has been bombarded with information that small farms will not survive on a demanding and competitive EU market. Even if you do not know the subject of EU agricultural policy, you are sufficient to drive, for example, Slovenia and Austria, countries with which we have so much in common, and much will be clearer to you. There are no large agglomerations anywhere, mostly no large herds, and no pitches are very large either. But you will admire the landscape, the beautiful nature, you will sit in a nearby coffee shop for refreshment, and perhaps quite close to seeing and stopping with a dozen, a maximum of 10 cows with which to produce and offer, for example, yogurt, milk, homemade cheese, etc., which are the key to a small but materially stable economy. In the EU, small economies are considered those who produce food for their own purposes and participate in the market in a very small percentage. On purpose, the setting of any minimums has been avoided and Member States have been allowed to adopt their own criteria for the sustainability of their OPGs. With only two EU enlargements, so I am talking about 2004 and 2007 millions of OPGs have been introduced into the EU, their competitiveness and market integration are very low. These small economies are mostly found in neglected regions where, above all, they serve as support for local communities and important social and cultural services and environmental maintenance, so their disappearance would have a major impact on rural areas within the EU. Small economies make up, between a third and half of the total number of agricultural holdings in various countries, and in countries such as Estonia, Slovakia, the Czech Republic, the number of CAPs is constantly increasing. The role and survival of small economies depend, not primarily on economic development, but mainly on agricultural policy, inherited land structure, land management policy and the culture of individual peoples. I remind you that one of the goals of rural development is to improve the attractiveness of rural space and thus increase the potential for employment and survival of people in rural space. Dearly ruled, peasants who were not even a little ashamed of you were good to you when you needed to take guns into your hands in the Homeland War and defend Croatian territory. Today you take their credit and boast that it is you who created the state. The Croatian public has not forgotten that your ministers, who have been paid to recognize and reward the effort and pain our farmers spend daily in order to survive, are actually dealing with writing regulations based on which they personally apply to new ones, with their newly founded OPGs on competitions and withdrawing millions. Think of your actions and judgments at the expense of our peasants because the old folk says well, do not judge another, lest one day be judged against you. Thank you.
ParlaMint-HR_2021-03-10-0.u27532	And the 9th debate, respected colleague Dalia Oreskovic on behalf of the Centre and GLAS Representatives Club. Here you go.
ParlaMint-HR_2021-03-10-0.u27533	Good afternoon, dear colleagues and colleagues. I'll talk about the election procedure of the President or the President of the Supreme Court. No one doubts that this duty, this judicial and public function should be attended by a person of high professional and personal authority, a person with a significant reputation in the profession, a person with a vision and courage, in short, a person who has all the qualities that now grace Zlata Djurdjevic. Personally, I would be very proud and happy to vote in the Croatian Parliament for the election of Zlata Djurdjevic as Supreme Court President. But right now, that's not possible. And so all of you fellow MPs and MPs, I call on you to be responsible, I call on you not to take away the glow that Goldi Djurdjevic currently has, I urge you not to drag her into the ground floor political accounts so that she does not become a pawn and collateral victim of ours, perhaps with good intentions, but in any case, of false efforts. And therefore I will not enter into the constitutional powers of the President of the State, talk about the constitutional obligations of our representatives in the Croatian Parliament that come directly from the Constitution. Art. 81st indent 10 says the Croatian Parliament conducts elections, appointments and resolutions in accordance with the Constitution and laws. The text of the oath that we have all taken in this Croatian Assembly, he says, I swear by my honor that I will exercise my duties as a representative in the Croatian Parliament with good conscience and responsibility and that I will stick to the Constitution and the law in my work. Fellow MPs and MPs, the Law on Courts is still in force and prescribes a certain procedure and a certain procedure that we cannot ignore right now. The procedure shall be prescribed by a public call which includes the obligation to submit a résumé and a work plan. These provisions of the Law on Courts were amended at the recommendation of GRECO in order to make the appointment of the President of the Supreme Court more transparent and less subject to political preferences. And it was only a small and insufficient attempt to strengthen judicial independence. I believe that Z. Milanovic's move is driven by good intentions, but it will essentially bring us back a few steps, so this way of imposing elections is problematic and harmful and needlessly leading to a constitutional, political and legal crisis. And I agree with Z Milanovic's grades that there is a problem in the functioning of the Constitutional Court as well as a problem in the functioning of a number of other institutions, but who did? Who, after all, left the institution quite rotten today? By disobeying the Law on Courts, we will in fact make the situation worse. Among other things, the constitution states that the Croatian Parliament does not only implement the appointment on the proposal of direct authority of the President of the State but also with the preliminary opinion of the General Session of the Supreme Court and the relevant board of the Croatian Parliament. And what is the situation of this general session of the Supreme Court? To give a positive opinion on a candidate who did not participate in a public call? That's impossible. What is the situation of the Justice Committee, regardless of what is now the majority of MPs from the parliamentary majority? In what way can I give a positive opinion of a person who has not participated in the procedure prescribed by the Law on Courts, adopted by this Parliament? And finally, if we had ignored our constitutional obligation and our duty, our oath here, if in this way we had appointed Zlata Djurdjevic president of the Supreme Court, we would have actually trapped her. Its tasks are not judicial reform, it is the task of this body, the Croatian Parliament. Its task is to do everything in its power in terms of equating judicial practice, in establishing equality, justice. In what way will it be able to maintain its reputation and authority when calling and chairing the general session of the Supreme Court if we put her in a position to come to this post by violating the principle of equality before the law? If that were to happen, wouldn't it be the victory of Z. Milanovic over HDZ, wouldn't it be even the victory of Croatian citizens if a person worthy of these functions finally came to the top of the judiciary? No, I don't. It would be another one in a series of winning policies that shows that the people she chooses and puts in the very beginning are equal and I hope Zlata Djurdjevic Because of his professional reputation and the splendor he now has [[The incursion president: Thank you.]] It won't fall into that trap. [[Break president: Thank you, colleague Oreshkovic.]] Thank you.
ParlaMint-HR_2021-03-10-0.u27630	We're going to the tenth debate, the HDZ Representatives' Club, dear colleague Damir Habian, come in.
ParlaMint-HR_2021-03-10-0.u27631	Thank you very much, Your Honor, dear colleagues and fellow MPs. Here are the last days in the public's focus is the election of a president or president of the Supreme Court. I would say it's actually normal and common since it's about selecting the highest judicial officer in our judicial system, we know that the Supreme Court is the highest court in the Republic of Croatia. Unfortunately, the election of the Supreme Court president is not in the public's focus without its importance, but I would say, because of the strange, unprocedural, and I am afraid in some way, of an illegal procedure that was initiated by the candidate or candidate of the country. As is known, by the provision of Art. 44 a The Law on Courts, which entered into force by its amendment in 2018, is prescribed that the election procedure of the President of the Supreme Court of the Republic of Croatia shall be initiated by the State Judicial Council by publication of a public call no later than 6 months. before the term of office or no later than 30 days after the end of the term of office of the President of the Supreme Court of the Republic of Croatia for other reasons. Thus received applications, the State Judicial Council delivers the Office of the President of the Republic of Croatia which will request an opinion on candidates from the General Session of the Supreme Court and the competent board of the Croatian Parliament. Therefore, in accordance with the Constitution, according to the Law on Courts, the election procedure of the President of the Supreme Court began with the publication of a public call issued by the State Judiciary Council. The public call, as we know, has been made by three candidates, but the President has not chosen either of them and as far as it is known, has not formally informed the State Judiciary Council. However, the president proposed to the Croatian Assembly a candidate who did not make a public call, which was issued by the State Judiciary Council in accordance with the Law on Courts. It is clear and unequivocal that the President of the Republic of Croatia has thus acted against the provisions of the Law on Courts, and in this way such a procedure is described to propose a candidate for the President of the Supreme Court, we can say against the law. What is particularly surprising is for such a procedure, the president of the Republic of Croatia supports the SDP. It was precisely the SDP who, during the amendments and the addition of the Law on Courts when the law in question very clearly and unequivocally laid down the procedure for the election of the president, praised and supported those amendments, for example the parliamentary representative then, the former minister of justice, and now the head of the Office of Presidents said during the discussions on amendments and additions to the Law on Courts that it is certainly one of the best things that brings about the law governing the election of the President of the Supreme Court. We've been deficited so far, and that's a great shift. Now the question is raised which is the real SDP, the one from 2018 who advocated this procedure of electing the Supreme Court president or this SDP that advocates the illegal election of the Supreme Court president? The question is also raised, which is the real SDP president or colleague of Grbin, the one from 2018, who in this House called the new election procedure of the Supreme Court of the Republic of Croatia a good solution or Mr. Grbin, who now supports the position of the President of the Republic of Croatia to propose a candidate for the Supreme Court under the law of the prescribed procedure? And it is not the first time the SDP has supported illegal solutions and the views of the president of the Republic of Croatia. Let us only remember their views on the Code of Criminal Procedure and on who can be informed of the findings and the pre-examinations. Finally, the HDZ Representatives' Club as always will advocate and advocate a clear and unequivocal implementation of the law, a law that has passed the House of Commons. In other words, the illegal process of proposing candidates will not and cannot support, and I suggest that my colleagues from the SDP read once again the legal solution of the Court Act which is 2018. They called it a good and quality solution. Thank you very much.
ParlaMint-HR_2021-03-10-0.u27632	We've come to this end of our position. Now we will hear the third statement, it will be a respected colleague, Marija Selak Raspoudić, on behalf of the Club of Representatives of Most. Here you go.
