ParlaMint-HR_2021-03-03-0.u27275	Let's move on, now it's SDP's Club of Representatives, dear colleague Mirela Ahmetovic, come in.
ParlaMint-HR_2021-03-03-0.u27276	Thank you very much, esteemed President HS, colleagues and fellow MPs. According to repeated repetitions, the government of Andrej Plenkovic has not learned anything on the debts of the wholesalers. He doesn't seem to want to learn. By persistently avoiding recognition that the problem exists, by sticking his head in the sand and seeking transparent excuses, the debts will not be deleted. For months, the SDP club has warned that the problem of debt to wholesales must be resolved systematically. We also warned this last year in the 10th month that it was this situation when the debt grew to more than six billion kunas, which is about 4,07% of the state deficit and 4,07% of the Croatian state budget. We're talking about a budget deficit that's pretty much above the one that's qualified us to enter the Eurozone. It is an incredible ease to justify Minister Beros who accuses of this situation of course of high-priced drugs. The minister's justification is that the HZZO has registered 3.6 billion kunas of debt because it is driven by a maturity of debt, not how they do it by making a big deal out of bills. What is the level of underestimation of the common sense of Croatian citizens is the fact that certain hospitals owe more than a year, which is certainly longer than the legal payment deadline of Minister Beros. However, the fact that hospitals are late with payments is no wonder if we know who is leading them, they are led by prominent HDZ members, both in Zagreb and in the counties where HDZ is in power. For example, the Dubrovnik hospital was put into crisis, led by the director, who is the town council director of the HDZ in the City Council of Dubrovnik, a gentleman who vaccinated the family, priests and chief of police administration. The question arises when Minister Beros talks about blackmailing wholesalers why does the Government of the Republic of Croatia's irresponsible staffing and management allow such blackmail? Why must the debt of large-scale drugs and the irresponsible management of the finances of the Government of the Republic of Croatia be broken over the back of Croatian citizens? If we ask citizens to settle their debts, to settle their obligations, why don't we do it ourselves? Why don't citizens have the luxury to owe more than a year? Why is the government hypocritical, and why does it allow her irresponsible behaviour to be questioned by the health care of Croatian citizens? The SDP government reduced debt to half of 2015. She reduced the payment deadlines should have just kept going. You had a complete recovery plan, I know that your problem is to admit when someone else is responsible or more responsible than you, but try to overcome your enormous ego for what Prime Minister Andrej Plenkovic teaches you and in the interest of Croatian citizens listen to suggestions and others and do something positive other than corrupt affairs that you have destroyed Croatia. To begin with, listen to our two concrete proposals. The government of the Republic of Croatia must come up with a plan to determine in agreement with the wholesales the dynamics of the cross-cutting return of the due debt at a time interval that will not burden state finances. The government of the Republic of Croatia must reorganise the hospital system, optimise consumption and bring financial experts at the head of the hospital that will make a complete recovery plan without touching the salaries of the medical staff and make an audit of public procurement. They release stories about the establishment of state-owned drugstores in which HDZ and the Workers' Front are just fogs with which you're clouding reality. Such an idea would not solve anything because of whom the state's wholesale drug supply would be available. You'd get drugs for free? Hardly. There is no free lunch gentlemen from HDZ, all of which are paid by Croatian citizens, they pay their debts, as well as those left by HDZ. You act like a nog, you know all the problems, and you stick your head in the sand. You must remove it from that sand and start solving the problems you have accumulated and do so quickly, efficiently and preferably without criminal activity. Thank you very much.
ParlaMint-HR_2021-03-03-0.u27336	The third will speak on behalf of the Croatian Sovereigns' Club, a respected colleague of Hrvoje Zekanovic, please.
ParlaMint-HR_2021-03-03-0.u27337	146 days lasted by the only Croatian government in which minorities were not participated. It was the government of Tihomir Oreshkovic, and at the time it was the most influential, most important political figure Tomislav Karamarko. Today, Tomislav Karamark is not mentioned by anyone, and even though a few days ago, the administrative court gave him a great satisfaction because on February 24th, the administrative court decided that the decision of the Committee for the Prevention of Conflict of Interest was to blame or that Tomislav Karamarko was not to blame as the Commission said in 2016. Let's try to remember that 2016. Every day, all day, from all the portals, from all the TVs and all the media, there were headlines about the alleged conflict of interest of Tomislav Karamark because his wife worked for a company that she allegedly worked for the INA, a terrible delinquent. And it was created in the Croatian public literally a link of one person to Tomislav Karamark, and today when it was declared innocent nobody talks about it. No one says Tomislav Karamarko is innocent, not guilty. How about we go a little deeper into the metrics, where was the problem? The problem was that Tomislav Karamarko wanted to get out of INA-MOL arbitration. Did he make it? He didn't make it. Because that's when the SDP and the Bridge, and the HDZ behaves as it is today, no, they decided they should get out of arbitration and, excuse me, that they should stay in arbitration, and what happened in the end? Croatia has lost no less than 5 billion euros, 5 billion euros. Is that what this is about? Don't talk. Is the report by Andrej Plenkovic to the Committee for the Prevention of Conflict of Interest in the "Borg" Group on the solution to the Agrokor problem? Don't talk. That's not what the media is talking about. I know that this speech of mine will not come on national television because it must not come, as well as on national televisions in central news shows will not come news that Tomislav Karamarko is freed and not guilty and that he has no conflict of interest and no one is bothered that today the head of the SDP office at the SDP Club is GONG, and this same person was the main advocate of the destruction of Tomislav Karamark. No one is bothered that Dalia Oreshkovic is today a representative in HS. No one. And she was in charge and responsible for destroying Tomislav Karamark. So obviously we have double standards. Obviously, we have one kind of rule, for other rules of the other kind. Tomislav Karamarko, that by any chance some guilt has been proved, I'm sure he would still be in all the headlines, and since he was found innocent, or not guilty, we won't talk about it, we need to keep quiet about it.
ParlaMint-HR_2021-03-03-0.u27388	Let's move on, now it's time for a respected colleague, Bojan Glavasevic, on behalf of the Green-left bloc's Club of Representatives, please.
ParlaMint-HR_2021-03-03-0.u27389	A few days ago, the CNB published on its site only a century ago under the heading "Macroprudenceal diagnostics" which discusses risks to financial stability in Croatia. As one of the most important and major risks, the further rise in real estate prices is said despite the deterioration of the economic situation and particularly the apostrophe of the adverse role of APN, which the CNB says is guilty of the fact that the average housing prices are at the highest levels so far. This CNB report has finally confirmed what we from the green-left coalition have many times warned that this subsidy policy not only does not achieve the desired effect, but achieves the effect exactly opposite of the desired one and especially among young people. In Croatia, housing policy has been neglected, it is reduced to encouraging and borrowing households by residential loans, not a single government in the 1990s has recognised housing policy as a complex problem and social task that requires a sustainable financing strategy for public and non-profit housing, regulation of the relationship between the tenant and the tenant, and the capacitation of local self-government to put this problem under control and manage it in a sustainable manner. Housing policy, housing issues especially affect younger generations, between 70% and 80% of young people aged 18 and 34. She's still living with her parents. Young people in Croatia can't even find a job, and even less can afford to buy real estate and thus have been denied emancipation. This and this policy of subsidising residential loans only achieves that hundreds of millions of kunas of public money eventually end up as profits from banks and real estate sellers rather than investing in the construction of public rent apartments. The first reason why such a housing policy has been missed is that in months, state subsidies for real estate prices have been granted, especially in Zagreb and on the coast. The most beneficial of these are banks whose loans are subsidized by the state helping them in a better lending process. As the average price increases during the bank's subsidies, they generate higher profits, as well as real estate sellers. Another reason why such a policy has been missed is that credit subsidies are not available to a large number of young people who are not creditworthy because they have a fixed-term working contract, an occasional working contract and the like. It is clear that this policy is not based on facts and the truth about how young people live in Croatia. Although declared to be a younger population, this measure does not take into account the important and increasingly present trends towards which young people are increasingly working on short-term contracts and in other forms of temporary work, which is why they cannot receive loans or are eligible for them. The priority of housing policy rather than subsidising bank loans for the purchase of apartments should be the development of a public housing fund, such apartments are only 2% in Croatia now, while the European average is 15%. The advantages of public rental apartments are that they cannot be resold, remain in permanent public ownership and are available to a wider circle of citizens and citizens, including young people. In addition to opening up a life-saving opportunity for a more favourable lease available to a much wider circle of people, public housing for young people also creates greater security and indirectly affects a whole series of life decisions. The offer of a cheaper public lease would stabilize the overall movement of real estate prices, but none of this seems to interest this government. I would suggest to the prime minister and ministers that, in the future, they are not based on their privileged party subjugation but on real young people, those who are not and will never be like Carlo Ressler, Davor Filipovic or some other privileged party bank.
ParlaMint-HR_2021-03-03-0.u27451	The fifth will be the House Movement Representatives' Club and dear colleague Davor Dretar, please.
ParlaMint-HR_2021-03-03-0.u27452	Dear Mr. President of the Croatian Parliament, Mr. Secretary, colleagues and colleagues, Croatian public, good afternoon, everyone. Let me introduce myself. My name is Davor Dretar, I'm a parliamentary representative of the Homeland Movement, and like the other members of my party, I'm most likely a terrorist. It's not something a man would easily admit. To be honest, I'm not entirely sure that's the case either. Anyway, I'll present my case to you, so you can judge for yourself. When I started thinking about the fact that I was obviously a terrorist, it was reasonable to start from the source. What is a terrorist and who is the person who has the knowledge, ability and authority to call me that? I started with the definition, it's not hard to find her, I found her in books, and I immediately recognized myself, a terrorist is namely a person who is deliberately acting at instilling fear with the intention of scaring the government to achieve goals that are generally political, religious or ideological. So that's the definition and where and in what part of that same definition I recognized myself, I'll tell you right now. I have thoughtfully acted, lived in Croatia since birth, purposefully and very thoughtfully, here I've been studying, here I've started working, here I've started working, here I've started my family, here I'm going to be taken to rest forever, but all the time I've thought about how in this Croatia, corruption, nepotism, social injustice, how one is rich over every measure, and the other is begging for bread, after 30, 40 or more years of working time. I deliberately observe, admit, how and how powerful, how wheels, fists or bows of their yachts take human lives, how entire families throw on the street, how they lock up a grandmother who sells cheese on the road for 20 kn, how they make people into debt slavery, how they rob defensive apartments while these same defenders kill each other out of despair. I've got nothing to say, I've made up my mind, and I've made up my mind that it's my right, my duty, my privilege and my mission to do everything in my power to change this situation for the better. But if I just stop, I talk about all of this, I'm going to get a sticker label, hate speakers, and there it is, Davor Dretar, a nice, verbal terrorist. The second part of my thinking, who told me I was all of it? I'll try to describe it to you. He's intelligent, well-dressed, charming, eloquent, confident, based on complete understanding of anyone or anything, in short, anything. She has the ability to enlighten the truth to those who are not able to see her alone or to know her and to do this insecurely in a modest and mentally weaker manner, as some wise old man from a folk story or a cloth of dangerous yoga at the mouth of Ganges. Speaks understandablely, using simple syntagms and that's important. This won't work for you, there's people catch, there's a serious threat to wrap it up like that, it just depends on how you read it, it's clowns, that movie you won't watch or sometimes propheticly, they'll never come to power. If he's caught in the outing of the truth, the amazingly easy way to get in front of a new network of old threads, right by the ballad, there's always a top excuse ready to take him out of everything, I didn't know. But when the ink is spilled, when the entrepreneurship boys and girls are not with the fingers but to the elbows in the jam, they'll say again "I didn't know" and they can use and tell everyone everything they need to know, use someone's compassion and install half or completely invented conspiracy theories, humbled to elevate him and humiliate anyone who thinks or does otherwise. Now, I've brought up my case, and you can estimate whether Davor Dretar and the MPs of the Homeland Movement of Terrorists or just people who want to change this country to be just, true and truthful? Because I love mine. Thank you very much.
ParlaMint-HR_2021-03-03-0.u27525	Let's move on, the 2nd Club is a Club of Representatives of the Centre and GLAS, a respected colleague of Anka Mrak-Taritash, please.
ParlaMint-HR_2021-03-03-0.u27526	Thank you, well-respected President HS, distinguished colleagues and colleagues. The term "single-horn", a mythical creature, similar to a horse with one horn except for the picture books and cartoons, has become increasingly attached to business lately. The unicorn is namely the start-up of companies worth more than a billion dollars. The name "one-horn" for such companies began in 2013, and the mythic being was chosen as a symbol of the low statistical probability that the "Startup" of the company is worth a billion dollars. For now, Croatia has one company of unicorns and one that is on track to become by the end of the year. Our unicorn is a Vodnjan "Infobit" whose market value is approximately six months ago after a major investment exceeded a billion dollars. The company is well on its way to becoming the "Rimac Cars" who plan to enter an elite unicorn society by the end of this year after two rounds of capital collection. Neither about "Infobit", nor about "Rimac", I hope no one in Croatia should be explained much more. High technology, knowledge and products at the top of the world, constant new employment, growing markets, success not thanks to the usual situation with companies in Croatia. These companies are all what the Croatian economy should look like to become a country of good jobs with added value. A billion dollars, therefore, worth of Startup to become a unicorn, is on the way to say a little less than six billion and 300 million kuna. I don't know what kind of mythologies that mention unicorn beings call a being that's a purely opposite, but in our country it's called the Government of the Republic of Croatia and the Ministry of Health. Because, exactly how much the most successful and pervasive Croatian Startup company is worth so much to this government's debt to the wholesalers. For medicines, we owe no less than one "Infobit" or one "Roman". The only thing I don't know yet is whether the value of these most successful Croatian companies can grow at the rate that the drug debt is growing? I honestly doubt if debt is growing 20 million kunas a day. Debt for larger delivery goods is mass disregarded and does not pay, even more than 365 days, so for a whole one year, which is 6 times longer than the prescribed deadlines. Of course, a regular and timely supply of drugs and other materials has come into question again, and hospitals will again be charged millions of kunas in judicial and executive costs. In order to make things even more tragic, the great drugs of their commitment to the state, taxes and contributions must be paid in time. Croatian citizens give about 30 billion kuna per year for healthcare. Nevertheless, debt has completely out of control, which is a huge threat to the stability of public finances. And what does Minister Berosh do? He commented on the situation with the usual combination of debt denial and the guilt of citizens who do not stand out enough for health care, and on the other hand still use his services too much. I would like someone to finally come to the assembly in front of Croatian citizens with a serious analysis of this financial and organisationally abandoned system, so let's see where all the unnecessary leaks thousands, millions, billions of kunas before all the guilt comes back to who knows which way to the citizens. Until then, Croatia may also get another unicorn because of a private initiative. Unfortunately, they will still be mythical beings who are actually impossible to meet until the unicorns in power stop hoarding billions of kunas or dollars in debt due to ignorance, irresponsibility and inability to take anything seriously. Thank you very much.
ParlaMint-HR_2021-03-03-0.u27624	It is now up to the HDZ Representatives' Club and esteemed counterpart Ivan Celjak. Here you go.
