ParlaMint-HR_2021-02-18-0.u27257	You, too. Mrs. Andreja Maric will be the position of the SDP Representatives' Club. Here you go.
ParlaMint-HR_2021-02-18-0.u27258	Thank you very much, dear Vice President of the Parliament. Dear colleagues and colleagues. In the last few days, an old problem has surfaced in the media area, debts to wholesalers are growing again. The current debt is 5 billion kunas, of which hospitals owe 4.1 billion kuna and pharmaceuticals billions and 100 million kunas. Representatives of the wholesaler say they are now paying where they care in October of last year. Despite the 1.34 billion kuna partial recovery in December, plus another 300 million kuna debts continue to grow. Each month hospitals create a debt of 220 to 250 million kuna. Even 15 hospitals have payment deadlines for over 356 days, and there is already a problem with limited supply, and there is a serious threat of shortages of certain medicines when stockpiles are exhausted in storage stores. In view of this rate of payment, only every fourth drug is paid, so the reasonable cries of wholesalerry are that they cannot supply health care facilities indefinitely with medicines, equipment and medical products without being subject to their obligations. The Veledrogerys are demanding an urgent settlement of 2.7 billion kunas for the settlement of debts of hospitals and pharmacies. They are threatening possible executions towards the biggest debtors, which means that the primary function of the hospital, which is the treatment of people, will be extremely endangered. We have long warned the ruling to threaten the collapse of the health system, the coronary crisis has further deepened problems, but the resolution ministry i.e. The government does not implement the necessary reforms and does not address the accumulated health problems that exist for years. With regard to the financing of the system of mathematics is simple, if you spend on the treatment of the patient 1,000 kuna, and the state pays you 500 kuna, it is clear that the debts will accumulate. The existing limits are not sufficient for normal business and the system cannot function. On the one hand, you have general and county hospitals, health homes, pharmacies, emergency medical institutions for whose business is the founder, so County and City of Zagreb. The KBCs are under the hat of the state to resuscitate them. According to the Law of the Institutions, the founder of the institution is in full and not limited to its obligations, and according to the Health Protection Act, it is stated that in the exercise of its rights, obligations, tasks and objectives in the field of health care of units of local, regional self-government provides funds if not provided by the Republic of Croatia. The State determines the prices of medicines, the size of the limit, the categories of population that are exempt from paying contributions to health care and supplementary insurance, for which it does not meet all obligations itself, and the founders of health institutions, so the county should then settle all debts. So it happens in practice that the county is forced to transfer money from one institution to another in order to at least partially rehabilitate it, reach into budget rebalancing, etc. But that's not enough. The finance minister has not once provided information that in Croatia, health care is allocated to 861 euros per capita, and in other EU countries 3,100 euros and 9.9% of GDP, respectively, which is enough to function. What does that tell us? This is no longer how it goes. This system is no longer sustainable and the state must present reforms and clearly tell everyone how it will do it, whether or not it will hit every citizen's pocket, and not do it under the radar. Well, one example is a new supplement for those drugs that patients have never paid for before. I'll give you an example from my profession, many diabetic patients wish I could no longer pay for my medicine because his price has jumped from 80 kuna up to 130 kuna so they're begging for another drug. Let's say Metformin and Levotiroxin, which so far have not been charged, are now paying for several kunas, kuna per kuna. So, at the small door HZZO made reference medications at the end of 2020. which resulted in the collection, but the additional problem is that medicines are classified by groups, not by molecules, so it practically mixes pears and apples, and when a patient asks for a treatment change, you often cannot prescribe the best medicine, but rather a medium variant that is not being paid. So in conclusion, patients conclude quality health care, the modern 21st century, and the state has to make it possible. So the government is on the move, or the resolution ministry. Thank you.
ParlaMint-HR_2021-02-18-0.u27328	Thank you, too. Mr. Marijan Pavliček will be the position of the Club of Representatives of Croatian Sovereigns. Here you go.
ParlaMint-HR_2021-02-18-0.u27329	The Honorable Vice President of HS. My colleagues and colleagues. This girl is Martina Štefančić, Martina Štefančić would be 31 this year, but Martina Štefančić never had a chance to go to elementary school, Martina Štefančić never had a chance to fall in love, get married, have her own children, Martina Štefančić was brutally executed, murdered in '92. in the Municipality of Borovo in Borovo Sela, in the arms of her grandmother only because she was Croatian. These are your Dario and Damir Paksec brothers, who were also in '92. in occupied Vukovar executed neither they had the chance to fall in love, nor they had the opportunity to marry and have their own family, their children or their grandchildren. Unfortunately, with them were executed and their parents and thrown into the well and today in the town of Vukovar the last name Paksec is gone, their line has been destroyed forever. This is Tomislav Miklos, eight years killed in October of '91. He died along with his mother from a Serbian grenade in the town settlement of Mitnica and he had never had the opportunity to fall in love, to create his own family, to have his own children. Yesterday in the town of Vukovar, a permanent installation was set up at the Pastoral Centre of the Franciscan monastery, an exhibition about children killed in the Homeland War in the area of the town of Vukovar and surrounding places. Thanks to the author of the book "Mama Don't See Heaven" Ana Galovic, biography, unfortunately short biography and tragic fates of 34 children's victims were killed in the Homeland War, their paintings, the way and place of death. And I think they deserve to be read their names at least in this Croatian state council. Igor Balaš 16 years old, Dalibor Černok 6 years old, Stjepan Rukavina 17 years old, Gratijela Jelić 15 years old, Nevenka Markuš 17 years old, Boris Vaselek a member of the Ukrainian National Minority was killed in Petrovic for only 5 years, Stevo Gegić 17 years, already mentioned Tomislav Miklos and his mother, 6-month-old Ivan Kljajic, Mario Kolarić 12 years old, Dario Peijić 11 years old, friends Antonija Vidaković 16 years old and Josip Bandić 15 years old, Đorđe Vidaković 13 years old, Josip Kovačić 11 years old, Antonija Zeko baby prematurely born in an incubator whose electricity flow was interrupted by the Serbian grenade dumped at Vukovar Hospital, Ivan Barbarić, Sabahudih Gršić 16 years old, Matej Aleksandar, Matej Alexander, si sibran and Zorica Pavica Pavić 17 and 15 years old, Goran Čović. Dragutin Balog, Tomislav Baumgartner, Igor Kacic were killed on Ovcara. Igor Černok was killed in the breakthrough, and after the occupation of Vukovar Martin Štefančić, Dario Damir Paksec, Franjo Matijević and Aleksandar Jagodić. I call upon you when you come to Vukovar to visit this permanent lineup, remember these angels, pray for their souls because I believe that the innocent look upon us from heaven from a better world. Thank you very much.
ParlaMint-HR_2021-02-18-0.u27440	Thank you, too. Mrs Vesna Vucilovic will be the position of the House Movement Representatives' Club. Here you go.
ParlaMint-HR_2021-02-18-0.u27441	Thank you very much, Mr. President. My colleagues and colleagues. For a year now, our Information Programme has started with three indicative numbers, several indicative numbers related to the covid-19 virus epidemic, and under the radar there are numbers that are far more alarming and important for Croatia's future. Official statistics from the State Statistics Institute in January this year published official data on last year's population movement according to which Croatia has reached the highest mortality, minimum birth rate and the largest natural decline since its existence. 20.721 is the difference between the number of deaths and births in 2020. I was waiting for a reaction, unsuccessfully, nothing. There's no reaction from the ruling, there's no concern in the media, there's nothing. Full silence and pain, but the crown, covid it every day and so on for a year. And these data didn't cause an absolute reaction anywhere. In every normal state, this natural decline of population from 20,721 people would be a sign of the overall mobilisation of all experts and the creation of not one but several proposals for the demographic revitalisation of Croatia. It is obvious that no one cares or is waiting for instructions from Brussels, and to be even more amazing, she is the Commissioner for Demography at the European Commission Dubravka Shuica from Croatia, not a single trace of her, not a single voice. No one seems to care that at this rate, if it doesn't get worse in just ten years, only by natural means, 200,000 inhabitants, these are the two cities the size of Osijek, the population of several of our counties. If we add emigration to that, then all the alarms would have to be on fire in every country that's considering its future. For the period from 2015-2019, According to official data from EUROSTAT, the population of Croatia decreased by 4.26 inhabitants per 1,000 population due to emigration. Only one country is worse than us, this time it's not Bulgaria but Lithuania. Empty spaces affected by war like Banovina and Slavonia are no longer only demographic but also economic and security problems. Despite all projects and investment-enhancing laws, regional inequalities remain present, they do not shrink. Life standard and purchasing power do not grow despite the billions that are poured into five Slavonia, Baranja and Western Sreme through the project "Slavonia, Baranja and Western Sreme". 18 billion worth of projects have not stopped eviction or reduced regional inequalities, and then infrastructure projects are invested, which in the short term employ a construction operation, and in the long run only generate maintenance costs, new jobs are missing, and even more tragic construction is an economic branch that has a chronic labour shortage so that workers from neighbouring countries work on energy recovery. At our universities, young people are educated for professions that are currently not needed by Croatia, so they go abroad where they get a job as soon as they come without recommendations and appropriate party books. Something rotted in the state of Croatia, apparently smells more and more powerful, furnished tenders, manipulation of state property, guessing, various marriquettes of local leaders become a serious problem that eats our country at all levels, chokes economic freedom, competition and entrepreneurship. Until we make a local shift, we'll have a hard time making a positive shift throughout the country. The demographic problems and the devastation we're witnessing are a complex problem, pushes under the carpet and doesn't solve it. Until we understand the seriousness of the problem and start working on it, everything will remain like this. Let's not do that in 10 years. is now too late because we have Croatia, but the question is whether the Croats will be in it. Thank you.
ParlaMint-HR_2021-02-18-0.u27512	Thank you. It is now up to Mrs. Anka Mrak Taritash, who will present the position of the Centre and GLAS Representatives Club. Here you go.
ParlaMint-HR_2021-02-18-0.u27513	Thank you, well-respected Vice President of the Croatian Parliament. Dear colleagues and colleagues, you probably all heard that joke when television comes to record a contribution about one man and his usual day, but the problem is that he spends his day mostly with brandy or gemist and it's in a client or in a pub and a reporter tells him that he talks a little bit about cultural activities he deals with and then he starts, so you know first when I get up, I get up and I get dressed and go to the library and when I get there, the guys are already read. This ancient joke reminded me of some of the latest decisions of the civil protection headquarters regarding what can and who can or cannot work in Croatia. One of the things that can be done is sitting in a casino or a casino, but one of the things that can't be done is doing sports in a closed house. It's one of the absurd things I want to warn you about today. To be quite specific, this decision means that, for example, Six adult high school graduates can go to the casino or casino without a problem and sit there until they're ready to sit at the machines or tables and spend their money in the middle of the night and create addiction. Dependence on the cube is, by the way, one of the most dangerous and widespread addictions that can lead to material and psychological problems and, in difficult cases, encourage criminal behavior because of the need to obtain an increasing amount of money because let's not fool ourselves with gambling houses always wins. On the other hand, these same six graduates who may be sitting next to each other in class every day for half a day, and socializing in their spare time, I can't go to school or any other sports hall and play hack three to three because it's forbidden. To make things crazy, they can't hang out in either one of them's house because they're allowed to be people from two households at most. So, after school at this still wintertime it's a bad time these guys from this story can't even hack into the hall, not even home to one of them, but what I can do is go to the casino and hang out there for a while. And to be clear, I'm not talking about the fact that casinos need to close down to prevent people from doing it becomes a serious burden for all of us together, but what I want to emphasize and say is that the measures are once again unbalanced and under-thinking and there are always some who are allowed something, and others are not. So if the activity fills the budget then it can be done or if the gathering organized the church and then the people at the top of the headquarters can stand in that mass. Everything together is crazy, everything together is absurd and because official recommendations about training are in cases where they are allowed to be very detailed and strict. So, when it comes to training, you have to keep track of the people present with contact data and make a schedule for everyone who's going to be in the hall at some point, but even with that in detail, these six graduates from this story can't go to the gym. But where can I go? I can go to the casino, I can go to the casino, I can bet, and the three of them are like jokes from the beginning won't pick up on the basket where it would be okay to collect, they'll collect on the machine. Thank you very much.
ParlaMint-HR_2021-02-18-0.u27611	Thank you. The next Club of Representatives will be the HDZ on behalf of which the respected representative Ljubica Maksimchuk will speak.
ParlaMint-HR_2021-02-18-0.u27612	Thank you very much, Vice President HS, colleagues and colleagues. In events marked by several previous days, we missed a very important topic. Namely, it's an old person's fee or so on. National pension. In accordance with the social care strategy for elderly people in the Republic of Croatia for the period 2017-2020. which provides, inter alia, for the introduction of a national grant for older people who do not make a pension on the basis of previous work or paid contributions. It has been estimated that in Croatia about 60,000 people older than 65 years. has not met the minimum conditions for the exercise of the right to pension. Among the elderly, the majority of people without a pension are women, since women were significantly less than men who participated in paid work outside the house, and their work careers were shorter and interrupted. Thanks to the government of Prime Minister Plenkovic, monetary income has been secured for Croatian citizens older than 65. life of 800 kuna per month intended for all elderly people who do not have a minimum retirement period of 15 years and are older than 65 years. and they have no other sources of income. The principle of solidarity and social awareness we have introduced a national compensation for older people, but I must stress that in the previous term of this government we have increased all pensions by 12 and those by as little as 15%. Only the introduction of a national fee was envisioned primarily by the HDZ programme, which was taught by the Government of the Republic of Croatia from 2016 to 2020, and by the social care strategy for older people. In the previous year, we passed the National Compensation Act, which entered into force on 1 January of this year, which means that the first payments will now be realised in February for January. Although some speakers before me have also said in passing this law that they are pre-election tricks, we are going down like geese in the fog, yet today they boast that they have supported the same law. However, on Wednesday, February 17th, payment started for the first users of national fees now in 3091. In February, 2,195,000 kuna were secured from the state budget. The most users come from Vukovar-Srijem County, Osijek-Baranja, Zagreb, the City of Zagreb and Koprivnica-Kryzeva County, and users are as I have already said in the largest number of women, even 64.5% are women. The average age of users is 73. HZMO shall be responsible for the implementation of national fees or for the receipt and processing of requests and for the payment of charges to users. According to the projections of the task force in the first year of law enforcement, we could have slightly less than 20,000 users of national compensation. By 31 January HZMO received 6822 requests from which another 1507 could not be solved because of missing or incomplete requests. Once again, I would like to stress that the right to the national compensation for older people can be achieved by a Croatian citizen who turned 65. life with residence in the Republic of Croatia for an uninterrupted duration of 20 years. immediately prior to the submission of the application. It is important that the user is not a beneficiary of the pension, that the income or income of household members achieved in the previous year does not exceed 800 kuna per month, that it is not a beneficiary of a minimum benefit, that it is not a user of accommodation according to social care rules, and that it has not concluded a life or life support contract. The procedure itself for the recognition of the right to compensation shall be initiated by means of a request submitted to the regional services, offices or HZMO exposures or by electronic means via the E-Citizens system. This way I call on all citizens who have met the criteria that have not done so far to apply for the right to receive national compensation for older people, and we also expect the possibility of increasing this compensation in line with GDP growth and, of course, the recovery of our economy. Thank you.
ParlaMint-HR_2021-02-18-0.u27613	Thank you very much.
ParlaMint-HR_2021-02-18-0.u27682	Thank you very much. Now it's Mrs. Devereaux's turn. Marija Selak Rasdić, who will be the position of the Club of Representatives of the Most. Here you go.
