ParlaMint-NO_2017-10-25.ana.ud320e28	The representative, Nina Sandberg, will put forward a proposal for a representative.
ParlaMint-NO_2017-10-25.ana.ud320e33	On behalf of the representatives of Martin Henriksen, Jette F. Christensen, Torstein Tvedt Solberg and myself, I am delighted to make a proposal on student representatives.
ParlaMint-NO_2017-10-25.ana.ud320e38	The representative, Kjersti Toppe, will present two proposals for representatives.
ParlaMint-NO_2017-10-25.ana.ud320e43	On behalf of the representatives of Liv Signe Navarsete, Sigbjørn Gülsvik, Sigrid Simensen Ilsøy and myself, I would like to make a proposal to reduce the share of intervention-driven funding in the specialist services and not to allow input-driven funding to be passed on to the hospital and department levels. Then I would like to make a representative proposal on behalf of Sigrid Simensen Ilsøy, Emilie Enger Mehl and myself to have the Vinmonopole take over the tax-free sale of alcoholic beverages at Avinor's aviation companies.
ParlaMint-NO_2017-10-25.ana.ud320e50	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2017-10-25.ana.ud320e66	On Monday the Stortinge received a message from the Prime Minister's office that the Councils of State will meet Siv Jensen, Monica Mæland and Bent Höie for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We start with the first main question, which is from the representative Trond Giske.
ParlaMint-NO_2017-10-25.ana.ud320e75	I have a question for the Minister of Finance. One of the best things about Norway is that we have little differences between people. We take care of each other. In very many other countries, we see the opposite: increased conflicts, greater inequality. Norwegian society has not come off its own. That's the result of leaders making wise choices based on values like community, equal opportunities and justice. In the state budget, the Progress Party and the Right-wing elections take us in the wrong direction, and we see that many react: mothers and fathers who are afraid that they will no longer afford to care for seriously ill children, flooded as infidels see that the government cuts in flood and racial protection, volunteer organizations telling them that they have less opportunity to help women who need legal aid, vulnerable children and young people and unemployed. Sometimes you have to cut budgets, but the more important it is that the elections are made on good values. The Party of Advancement and the Right causes several thousand unemployed to lose their daily allowance. The ones that are hit are the ones that have earned the least, the ones that initially have the weakest economy. The government refers to senior researcher Knut Røed when more people come to work when the daily allowance is cut. But to the newspaper, Røed says that the proposal “can lead to fewer jobs, and that it takes longer before people come to work, because they are pushed on to arrangements further away from the labour market”. And then Røed says, "I fear both the negative distribution aspect and that it can help to weaken the working line." It weakens the distribution, and it weakens the working line. What is the reason why the government takes the daily allowance from several thousand low wages?
ParlaMint-NO_2017-10-25.ana.ud320e88	Let me start by saying that I fully agree with the representative guessing that it is good that we live in a country with small differences. This is the broad political agreement, and there is a broad consensus that this is something we are going to take care of in the future. This is about what I think is the heading of the budget that the government has put forward for 2018. It's about job security, it's about creating more jobs, and it's about qualifying more people for an increasingly specialised working life. It's about being able to focus on both how we set up our working life and how we make sure that people are qualified to participate in it. Then, under the heading «sustainable welfare societies», it is about ensuring that we have good, safe welfare systems, which are designed in particular to have a good social profile, that they take care of those who fall outside our society. I believe the government does. We must also focus on this in terms of immigration and integration policy. Qualifying a larger proportion of people with a minority background in Norway to participate in employment, manage themselves, support themselves is also an essential part of building a sustainable welfare society in the future. I believe that the government has taken all of this into account. Then it is absolutely right that we implement changes in schemes such as: is about qualifying more people to participate in the labour market, but not least about having a close relationship with the labour market in relation to the benefits they have. Today's people on daily pay will not be affected by the changes proposed by the government, and the changes are coming at a time when the labour market is improving, unemployment is falling, employment is rising. We also see that the employment share, which the Labour Party was very concerned about in the election campaign, is on its way up again after it began to fall below the previous government in 2008.
ParlaMint-NO_2017-10-25.ana.ud320e95	I thank you for the answer, although I am not sure if I really got an answer to the question of how a cut in cash, making the unemployed poorer, helps to get more people to work. One of the biggest problems we have is just getting more jobs and fewer social security. The Labour Party has made many proposals for solutions: wage subsidies for employers who give a chance of finding a job, a skills reform that allows more people to retrain to new jobs, increase, do not cut, Norwegian training for immigrants who are going to work, apprenticeships that can help the 15 000 who do not complete secondary education each year. Unfortunately, it has been voted down. Instead, it has been cut for those affected – cut in the termination allowance for older workers, cut in the multi-disabled, traffic-damaged and chronically ill scheme, cut in the child supplement for the disabled. It turns out that the miscarriage did not recover from being cut in the child supplement and in their support schemes. On the contrary, the number of young workers has increased by 50 pst. under this Government. My question is: how successful does the Minister of Finance think that the effects of the Progress Party and the Right Cut have been?
ParlaMint-NO_2017-10-25.ana.ud320e104	Let me first remind the representative Giske who took the initiative in the misreform that this government improved and adjusted when we presented it to the Stortinget. That was the government Gishe was a member of a few years ago. Once again, I fully agree that the goal must be to get the most in the job and the least possible in social security. Then it's all about – as I said before – ensuring safe jobs, facilitating more creation, and qualifying as much as possible to participate in the labour market. The measures that I hear from the representative Giske are actually more of what the government is already doing. I think that's very good. This suggests that the Labour Party really agrees with the main trends, in the main directions, in the budget that lies here. It's about qualifying more people throughout the education cycle, it's about facilitating fewer drops out of school. Then we need to make the professions more relevant, we need to ensure that there are a sufficient number of places of study — and we need to facilitate a business that creates more jobs.
ParlaMint-NO_2017-10-25.ana.ud320e111	Follow-up questions are given – first Fredric Holen Bjørdal.
