ParlaMint-NO_2017-05-10.ana.ud551e28	The called alternate of the South-Trundellag County, Ferhat Güven, now takes the seat.
ParlaMint-NO_2017-05-10.ana.ud551e47	On Monday, the Stortinge received notice from the Prime Minister's office that the Councils of State Ketil Solvik-Olsen, Ine M. Eriksen Soreide and Per-Willy Amundsen will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We then start with the first main questions, from the representative Anniken Huitfeldt.
ParlaMint-NO_2017-05-10.ana.ud551e56	Before the 2013 elections, the Minister of Defence, on behalf of the Right, announced a massive increase in country military capabilities. However, the Council of State has come no longer in four years than the continued investigation of the land-use plan. The right promised more efficiency and increased cooperation between police and defence, but started not to present a common threat assessment, as the Storting had agreed. That the cooperation between the police and the defense did not work well enough is serious, and it is documented by the National Audit Office. It may have been difficult for the Minister of Defence to cooperate closely with both the former Council of State, Anundsen and the current Council of State, Amundsen – I see it. But then a strong prime minister is needed. And the executive power here has been too weak. There are many forms of political discharge. You can blame your predecessors -- it's a lot of use. You can blame the economy, or the worst of all, on the case handler. I am surprised that the Council of State, in this serious matter of object protection, chooses to push a case handler in front of it on the question of what should be public. For in the letter to the Stortinget on 25 April, the Council of State claims that it has been drawn up at the level of case handlers and not anchored in the department management. A State Council is responsible for its department – sentence. I want to ask the Minister of Defense about her own promises of openness. Where did it go? The National Audit Office has clearly criticised the Ministry of Defence’s decision to keep the summary of the Object Protection Report secret. In the decision on secrecy – did the Council of State have support from the Prime Minister? Did she make the decision herself? Or was it done by the government?
ParlaMint-NO_2017-05-10.ana.ud551e69	Here it was very much at once, and I'll try to sort as well as I can. Firstly, during this government period, the government has carried out a significant uplift in the defence economy. A systematic underfunding was necessary after very many years. It was in the years when the Workers' Party was in government. The centre party has expressed itself that they thought it was not so important to bet on the defence at the time. Of course, this promise benefits all departments of defence, but it is also an important part of strengthening cooperation with the civil sector. And as Huitfeldt's representative well knows, the cooperation between the defence and the civil sector is now a separate chapter in the long-term plan, precisely where we say that the defence capabilities should be even more dimensioned than before also for support to civil society. The cooperation between the police and the defence is much better than it has been in the past. It's being practiced and trained together. We have liaisons with each other, and plans are being developed together. It's at all a good cooperation, as it feels at all levels. So to the last of several issues related to object protection. Here we've had a discussion in the main hall that I think was good, about the question of who is the information traveler, and who has the authority to assess grading. In-depth professional judgements are made on the issue, including: based on what we know about threat actors, intelligence and anything else that can be crucial for assessing the graduation issue. Of course, it was also done in this case. I have made a thorough presentation in the Stortnings open hearing, and I also explained this in Stortinget when the Stortinget debated the question of grading. I have not at any time pushed case handlers in front of me, but just explained the process that is in all such cases, that there is dialogue at case handler level. It was supposed to be missing, too! It's always done, and it's always going to do that. Of course, it is I, as the Council of State, who have the highest responsibility in the department.
ParlaMint-NO_2017-05-10.ana.ud551e84	Now we got a show on what's the problem here. The Council of State owes it to its predecessors, but does not take responsibility for its own guard. It was a clear promise from Prime Minister Solberg to take greater responsibility for preparedness. She was going to set up an emergency element in the Prime Minister's office to force cooperation between police and defence. The Council of State continues to point back to the problem, and in the future to resolve it, but the responsibility for this matter lies with the Minister of Defence himself. I didn't ask many questions, I asked one. I did not get an answer to that. That is why I want to repeat it: the decision to keep secret – did the Council of State support the Prime Minister, did she take the decision herself, or was the decision made by the government?
ParlaMint-NO_2017-05-10.ana.ud551e91	Firstly, over this period of ageing, the government has both made use of significant resources and made a significant effort to improve both police and defence cooperation and social security. We have put forward a long-term plan that underlines this. We have made significant increases in appropriations for this. We have reduced the alert time for helicopters by one hour, just to be able to provide support both to the police and to the special forces. We have established a common counter-terrorist centre, a common cyber coordination centre. There is no need to force – as the representative says – cooperation between police and defence, because the government has stressed that this is such an important part of our preparedness that we do this better and better. We have made new aid instructions. We have improved and simplified the work of asking for assistance. I believe that this work is now in good hands, although there will always be challenges to tackle and solve. It is not the office that determines. It was a professional assessment that eventually made our decision politically that it was necessary to further grade the summary in the report.
ParlaMint-NO_2017-05-10.ana.ud551e98	Follow-up questions will be raised – first Jorod Asphjell.
ParlaMint-NO_2017-05-10.ana.ud551e103	My follow-up question goes to the Minister of Justice and Security. We all know the history of resources that did not match July 22nd, and the need for better interaction to strengthen the work of culture, attitude and police leadership. Six years later, we're still not in target. The Research Manager of the SINTEF Security Department, Stian Antonsen, said to Dagbladet last June that research done after 22 July shows that interaction between departments and agencies is not working. My question to the Council of State is as follows: Is the Council of State satisfied with the work done to improve the interaction between departments and departments in this period of government, and is the Council of State open to the provision of a growing communication on the work of culture and management, as a contribution to improving preparedness in Norway?
ParlaMint-NO_2017-05-10.ana.ud551e112	I feel, like the Minister of Defence, that we have very good cooperation – across police and defence. I find it difficult to recognize myself in the description that I perceive the opposition is trying to give. On the contrary – both at political level and down in organisations – good cooperation. One practices together, one finds good solutions together, and that has not been lacking in political decisions where police and defence also cooperate very well. So I know that you don't always agree with all the assessments that are made, but then you have appropriate mechanisms to solve it in a good way. I feel that is happening, and that the description you're trying to give in public space is simply not correct.
ParlaMint-NO_2017-05-10.ana.ud551e119	Knut Arild Hareide – for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e124	My follow-up goes to the Minister of Defence. It's because I think it's incomprehensible, the secret to which the Ministry of Defence has committed itself, but I respect that that kind of decision should be left to the government. But it's a very serious debt that comes from the National Audit Office on the state of object protection. My question is, we know that the Homeland Protection itself is a berebel both in our defense and in our preparedness, and there is uncertainty in the Ministry of Defence about how many Homeland soldiers we have. What we know is that the leader of Homeland knows this very well. A few days ago, I was in the South. There they could tell that only in Agder and Rogaland reduce one from 6,300 Homeland soldiers to 3,500, and in Agder reduces one from 2,500 to 400. Does it bother the Minister of Defense when we know the state of object protection, as the Riksrevision has documented?
