ParlaMint-NO_2017-05-03.ana.ud198e28	The representative, Mr Knag Fylkesnes, will present a proposal for a representative.
ParlaMint-NO_2017-05-03.ana.ud198e33	On behalf of the representative Kirsti Bergstø and myself, I would like to put forward a proposal for a representative on a coordinated and offensive strategy for the further development of North Norway.
ParlaMint-NO_2017-05-03.ana.ud198e38	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2017-05-03.ana.ud198e54	On Friday 28 April, the Stortinge received a notice from the Prime Minister's office that the Councils of State, Solvency Horne, Bent Höie and Terje Søviknes will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We will then start with the first main question, which is from the representative of Torgeir Micaelsen.
ParlaMint-NO_2017-05-03.ana.ud198e63	At the national meeting of the Labour Party almost 14 days ago, we announced that we believe Norway should aim to be the best in Europe on e-health by 2025, because the proper use of digital tools can improve patient safety, increase the employment of our great health workers and not least contribute to the fight against serious diseases. At the same time, however, we announced that there is a vision and a goal it is not possible to achieve without the level of ambition being exacerbated, because Norway has good chances of success, and several health regions have already done a great deal of good that now opens up greater interaction between patients and hospitals than before. But the regions have chosen different strategies. It seems to be a consensus that the patients in the West and North Norway have come out the best so far. There they have largely chosen to develop this digital core wall in hospitals under their own control, with their own employees. Here in the East you go the other way. Here, the country's largest health region has chosen to outsource the operation of these systems to a foreign company, and it was done last year. This provision and the agreement, which I understand is that the department of the Council of State Bent Höie has also been involved in at some point, is now being asked a lot of questions. Today, the NRK reports that 110 foreign IT workers may have had full access and extended rights to the computer system, which is also about patient data in Health South-East. This is – if you want to be the best in Europe on eHealth – very worrying information. My question to the Minister of Health is therefore: can the Minister of Health, as the top responsible, now guarantee patients in our largest health region that IT workers in Bulgaria, Malaysia or other countries are not able to access and view their patient information?
ParlaMint-NO_2017-05-03.ana.ud198e74	First to the overall picture. It is very gratifying that the Labour Party too is now ambitious about Norway’s opportunities in the field of eHealth. When I took over as Minister of Health, I received three reports on the status at that time, and it was quite discouraging. Therefore, it has been important to ensure the basic prerequisites for using new and more modern eHealth solutions, such as investing in the basic infrastructure, such as putting in place a law that actually makes modern solutions legal, which was not legal before, and ensuring national governance through the establishment of an eHealth Directorate – three essential areas that made Norway hang behind in this development, and where we are now seeing a completely different development. With regard to the specific case in Health South-East, I have replied to questions relating to it earlier. The case in the NRK today deals with the transformation phase in which one is now involved, and there is the conflicting information provided by Health South-East, and in what appeared in the NRK case. I am therefore going to ask for a further detailed statement from Health South-East about the claims made in the case of the NRK. There is a clear pre-requisite in the case of the Health South-East Board that data relating to privacy and patient safety, the safety of patient information, should be ensured. The board of Health South-East is responsible for taking these kinds of decisions. The decision taken at my business meeting was related to a question of economic conditions around the contract and not the content of the contract itself or its implementation.
ParlaMint-NO_2017-05-03.ana.ud198e81	I hear the government is now warning them to look at the matter again, and it brings me to another dimension around the question of how we can be best in Europe. It's about having both political leaders and an office that has enough technological understanding to ask the right questions in time. And even if it is true that this is a contract work dedicated to the board in Health South-East, it is not good enough for the government only when it is questioned again by the media, to inform the Storting that it is now time to look at the matter again. What we need is increased technological and digital competence and understanding at a wide range of levels, including healthcare. I want to ask the question to the Minister of Health: how has he ensured that his political leadership and his top office, who take a position and get information on these matters on an ongoing basis, have enough technological competence to take care of the concerns we are looking for here?
ParlaMint-NO_2017-05-03.ana.ud198e88	As far as political management is concerned, I'm not going to pass any judgment on our technological competence. I believe that any political leadership depends entirely on the fact that the specific professional competence in the various fields is primarily to be exercised by the civil service. As I said, we have made one fundamental change, and that is to set up our own eHealth Directorate to build up a national environment that has the highest competence in this area, both governance and management. At the same time, we have made reorganisations in the Ministry of Health directly and set up a separate department with a separate head of mission for this area, just to strengthen the Ministry of Health's own ability to control this field.
ParlaMint-NO_2017-05-03.ana.ud198e95	It opens for follow-up questions – first to Sverre Myrli.
ParlaMint-NO_2017-05-03.ana.ud198e100	First of all, I want to say that we never learn! So here we are talking about one of Europe's biggest ICT outsourcings. I asked the Minister of Health about this great exception, and after three weeks I finally got the answer – three weeks! He is very much for this exception – and other types of health care exceptions, he writes. And he refers several times to actions that need to be implemented before the business transfer of the ICT infrastructure in Health South-East takes place. Formulaions such as ‘actions must be implemented’, ‘further work’ and ‘additional measures’ tell of a work that has not been completed, a work that has simply not been done. It cannot be understood that safety measures and risk and vulnerability analyses have not been carried out. My question to the Minister of Health is simply: why has he not assured himself that all safety assessments have been carried out and approved before this major business transfer?
ParlaMint-NO_2017-05-03.ana.ud198e108	Firstly, it is the Board of Health South-East that is responsible for carrying out such assessments. It is also those who are responsible for assessing whether this type of service is to be performed under their own control, by the Hospital Partner or by other private subcontractors. There is no political leadership towards Health South-East related to the choice of solution. They have their mission and need to use the resources of society at the disposal of health, in the best possible way, and where it is clear that priority is given to patient treatment, research and development and to provide a basis for good treatment further. Then it is that the answers – which have also been forwarded to the representative – to the questions asked are about the assurances given by Health South-East regarding the safety barriers to be built up and, where appropriate, the transfer of responsibility.
