ParlaMint-NO_2017-10-11.ana.ud219e20	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2017-10-11.ana.ud219e25	On behalf of Karin Andersen, Freddy André Hövstegård and myself, I have the honour of promoting a proposal for a representative to ensure the transparency of health and care institutions that provide services under municipal authority.
ParlaMint-NO_2017-10-11.ana.ud219e30	The representative, Mr Pollestad, will present a proposal for a representative.
ParlaMint-NO_2017-10-11.ana.ud219e35	On behalf of Nils T. Bjørke, Heidi Greni, Marit Knutsdatter Strand and myself, I have delighted to make a proposal to strengthen preparedness through a stronger soil protection and food storage.
ParlaMint-NO_2017-10-11.ana.ud219e40	The proposals will be dealt with in a regulatory manner. Continued treatment of
ParlaMint-NO_2017-10-11.ana.ud219e58	Before the debate starts today, the President will take the opportunity to inform the new representatives that the agenda and the agenda for today's debate are on the agenda. They can also get up on their mobile phone. If representatives need guidance on this, they can get it on the outside. The President goes on to refer to the adopted debate from yesterday, and the Stortinget is now continuing the throne debate, where the first speaker is Prime Minister Erna Solberg. It opens up a line change limited to 14 lines after the Prime Minister’s posts. The President will propose that the 14 lines be distributed as follows: The Labour Party five lines, the Central Party three lines, the Socialist Left Party two lines, the Left one line, the Christian People's Party one line, the Greens one line and the Red one line. Those who sign up on the list of speakers will have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2017-10-11.ana.ud219e73	Let me begin by congratulating all the big business representatives on the election and the re-election respectively. I look forward to the cooperation in Stortinget this year that comes. There are many important issues that lie ahead of Norway as a nation, and on which I hope we will have constructive cooperation. When we're going to discuss the future, it's also wise to have the past with us. Behind us lies a period that illustrates with all clarity how close Norway is woven into the rest of the world. Both the oil price drop and the migration crisis were the result of international events. That the oil price was reduced by 75 pst. was the most dramatic activity shock for the Norwegian economy in several decades. The financial crisis was primarily about ensuring that banks did not end up. It was demanding, but we could solve that by adding capital to the banks. The fall in the oil price challenged the basis of existence of the nation's sovereign main industry. Over 40,000 jobs were lost, over 40,000 people lost their jobs. Many families experienced uncertain and difficult times. The cooperation parties came together on how to deal with the fall in the oil price. To keep the activity of the economy up and get our hands on work, we invested in line with the rule of action. It wouldn't be right to sit still with your hands in jail and watch people get out when Norway had the opportunity to invest. At the same time, it was important not to hinder investment but to support it during long-term transitions. For migration, Norway is by no means opposed. Like the rest of the world, we need to transform ourselves into a working life and an economy that is characterised by increased climate demands, more technology, robotization and digitisation. In addition – and that is the strange challenge – we need to shift from an extremely profitable industry, which has been the absolute engine of the Norwegian economy, to a slow, but surely smaller, contribution. So the Norwegian economy needs more legs to stand on. Then the economy has to be smarter, greener and more innovative. That's how we get economic growth, which can also give more jobs, and it's going to contribute to a more sustainable welfare society. We ensure sustainable well-being by getting more people to work, and we get more people to work through a good business policy that just creates jobs. That's why we have to facilitate this. It will be the most important job in the years to come if we want to safeguard the welfare of future generations in Norway. But we must not just prevent people from falling off the labour market, we must also involve more people in the labour market. Norway’s failure in the years 2008–2014 was to use the economic growth at that time to increase its employment share. LLO’s then chief economist, Stein Reegård, said in 2014: ‘Since the financial crisis in 2008, the whole employment growth has caused foreign labour.’ Therefore, when economic growth comes to the fore, it will be important for the government to get more Nordics out of work today. By strengthening the working line, we also ensure small differences in Norway in the future, and we strengthen the working line by rusting the individual. Many hundreds of thousands of Nordics lack basic skills in both reading, writing, numeracy and, above all, ICT. We need to ensure that the competence of each of us keeps up with the development of new technology, automation and digitisation. In the future, the government will present a lot of measures to ensure that no one goes out to date in the world of work. It's necessary to think about this area. In cooperation with the social partners, we want to stimulate and support skills measures – raising the skills of adults. For competence, the key to jobs in the future labour market is, and jobs are the way to increased income and wealth – not only for the country but also for the individual. More people have to be longer at work, and more people have to be at work. Therefore, it must also be more profitable to work. The government will invest significantly in early efforts. The more children get the best starting point early in life, the more people will stand on their own as adults. Therefore, the government will also focus on mental health and raise the employment perspective more strongly in cooperation with both integration policy and health policy. The government assumes that we will never give up on humans. It's brutal and hard and creates a colder society if we tell people that we don't need them. To make demands is to care, and that's to believe in people. That is why we will demand attendance in high school, and we demand activity for young social welfare recipients. I have met many young people who say that they were initially not so very happy to be asked for, but who in retrospect are very happy that they were asked to do so. But business also has a responsibility. I will continue to challenge and encourage us to build down barriers to give people with holes in the CV a new chance to show up and master at work. For Norway, the starting point for successful conversion and ensuring a sustainable welfare society is good. In the future, it is expected that the economy will grow more than has been normal. Equally full, we should encourage even more entrepreneurs and innovators. The government wants changes in both the tax system and welfare systems that make it more attractive to start something new and to start it on its own. We should not pursue an old-fashioned policy of higher taxes and more regulation where state enterprises and stronger government governance of the economy are to be the key to conversion. It does not work in the future technology effort and labour market. One should not base economic policy on increased taxes and taxes. It has socio-economic costs, including: in the form of a reduction in the labour force. When economic growth is speeding up, the state must provide less gas in order not to weaken the ability of Norwegian companies to compete internationally. We have been through a strong effort by the social partners, and we have had a lower crown price, which has given us competitive advantage over the last few years. We must not lose that in the years to come. In the future, the growth of oil money use will be lower than it has been. At the same time, we know that a lot of expenditure will increase. The population in Norway is getting older, we have to renovate the defence and infrastructure, hospitals are to be built and rehabilitated. That is why it is not just the economy that needs to be converted into Norway. In addition to creating more jobs, if we are to secure well-being, we need to get better quality and more well-being out of every taxpayer we use. The government will therefore continue to modernise and convert. We have already taken many steps – the red tape and efficiency reform, the pursuit of time thieves, the reform of the road and rail sectors, funding for ICT projects, joint procurement agreements in the state and specialist health services, as well as the transition to digital mail, to mention something. Everything helps us to free up funds that can be used to improve the quality of new areas. It provides a bigger room for action in the years to come than we would if we hadn't done this. In the future, we must both digitise, streamline and modernise more in Norwegian society, simply because we have many ambitions on behalf of those who are the weakest in our society – those who need more health care, those who need more targeted action. We have to raise society better, and then we have to be critical of every penny we use. There is increasing uncertainty internationally. The world has become more unpredictable. It also affects us when the United Kingdom votes in favour of Brexit and the United States withdraw from the Paris Agreement. Strong forces in different countries want more solitude and less community. The international community and meeting shall be held by Norway. The Government shall take care of Norwegian interests. Concerns about international trade may also give rise to more protectionism. As Norway is a small country with an open economy, Norway has an interest in strong trade relations and a strong international framework for, among others, combating climate change. Norway's membership in NATO is important to ensure our peace and freedom. One simple twig is easy to break, a bunch of twigs isn't. That is why the government is a supporter of cooperation. We are supporters of cooperation in NATO, in the United Nations and in the EU and support under multilateral organisations, so that we have common rules of play and a common basis for international cooperation. Norway is NATO in the north. In the years to come, we must strengthen our military presence in the north. Another major challenge in the future is violent extremism. It is a threat to our liberal Western democracies. Therefore, it is also important that we continue to work to combat it, both through international contributions, through strengthening our domestic security and preparedness, and through preventive work to ensure that extremism does not get its foothold on our soil – it is Islamic fundamentalist extremism or right-wing extremist organisations. The four non-socialist parties were given a majority in the election of the year, and the government will therefore continue its work. The government is going to build on the broad consensus that has been reached, among other things. on the tax system, on research and higher education, on infrastructure and on defence. The government invites Stortinget to cooperate in order to create what we in the Common Era have stressed – a sustainable welfare society. We're probably not going to agree on all the tools, but I hope we can agree that this generation's politicians have a commitment, and that's to make sure that we create a society that makes the next generation of young people have as good opportunities as we have in our society. It requires that we dare to have a main focus on the sustainable welfare society in the future – environmental sustainability, economic sustainability, but also sustainability inclusive, ensuring that everyone can participate in the development of well-being together in the future. So we have a lot of work ahead of us, and together we're taking four new years into service for the voters and the country. The problems are going to be both national and international, and so the majority have to be formed in this room. I put my trust that the Storting will act constructively, so that it will still be possible to form a majority that is broad enough to bear the development of Norway over time, that we all do our best for the voters and the country.
ParlaMint-NO_2017-10-11.ana.ud219e107	It's going to be line change.
ParlaMint-NO_2017-10-11.ana.ud219e112	We've had a day of the persuasion debate. We've heard the speech of the throne. I have to say, if we look back four years, it's a pretty strong contrast to the government we met then, which was dealing with politics and ambitions, and the one we got in the throne. I thought it was a throne speech that was more gray than blue. It mentioned some developments, but there were strikingly little warnings about new policies, new plans, new reforms and ambitions to meet the challenges we are facing. It will be exciting to follow. So this hall is different -- it's a new majority. What I experienced in yesterday's debate was that the representatives of the Right and the Advance Party were very busy saying what they expected of the bulk of the population. Now it became clear yesterday that there is a majority to expand the feather quota. I think the Prime Minister is happy about that, because she's really in favour of it. But while there are great expectations of what the majority here is going to think – and I can assure you that we will have an impact on our policy – the question is: how can we expect a new government to act against the majority of the Stortinget? For it now needs to adapt to a new parliamentary situation. What does the Prime Minister think of changes in the approach to the Great Britain from the Right-Fremskrit party government?
ParlaMint-NO_2017-10-11.ana.ud219e119	The government is fully aware that the government is a minority government. We were initially also in the previous period, but with an agreement on how to consult, and a political agreement on some issues. We're still going to seek a broad majority for important, large-scale action in the future, and then we're going to rely on the voters giving the non-socialist parties a majority, which we'll try to manage in the best possible way through, among other things. budgetary treatment and matters dealt with in the Storting. To the comments that the census is «grey»: we have chosen to make a short throne speech this year, which has concentrated on what is two important main action in the future, perhaps just not to drown it in many singles or many guttering messages, which were common before this government joined. Because there are two main projects: one is sustainable welfare in the future, the other is security for Norway. Setting these major projects on rail will be crucial. Then comes reforms and proposals and changes continuously, and some important steps were taken in the comparisons in the previous period...
ParlaMint-NO_2017-10-11.ana.ud219e126	That's it.
