ParlaMint-NO_2017-10-19.ana.ud159e27	The representative, Mr Jørgen Bekkewold, will present a proposal for a representative.
ParlaMint-NO_2017-10-19.ana.ud159e32	On behalf of the representatives of Oluk V. Bollestad, Steinar Reiten and myself, I am delighted to present a proposal for a representative to amend the right to cash support.
ParlaMint-NO_2017-10-19.ana.ud159e37	The representative, Martin Henriksen, will put forward a proposal for a representative.
ParlaMint-NO_2017-10-19.ana.ud159e42	On behalf of the representatives of Jette F. Christensen, Torstein Tvedt Solberg, Nina Sandberg and myself, I would like to put forward a proposal on preparedness teams for increased efforts to combat bullying.
ParlaMint-NO_2017-10-19.ana.ud159e47	The representative of Mr Lene Vågslid will present a proposal for a representative.
ParlaMint-NO_2017-10-19.ana.ud159e52	On behalf of the representatives of Jan Bøhler, Maria-Karine Aasen-Svensrud, Hadia Tajik and myself, I would like to put forward a proposal for a representative to amend the marriage law. [[forbidden child marriage in Norway]]
ParlaMint-NO_2017-10-19.ana.ud159e57	The representative of Une Bastholm will present a proposal for a representative.
ParlaMint-NO_2017-10-19.ana.ud159e62	On behalf of myself, I would like to make a proposal for a representative to wind up the fur industry.
ParlaMint-NO_2017-10-19.ana.ud159e68	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2017-10-19.ana.ud159e86	No one has asked for the floor.
ParlaMint-NO_2017-10-19.ana.ud159e8044	Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - That's not what it looks like.
