ParlaMint-NO_2017-10-18.ana.ud398e28	The representative, Karin Andersen, will present a proposal for a representative.
ParlaMint-NO_2017-10-18.ana.ud398e33	On behalf of the representative Torhild Bransdal and myself, I would like to propose alternative forms of reaction than expulsion and entry ban in the event of a breach of the Foreign Affairs Act.
ParlaMint-NO_2017-10-18.ana.ud398e38	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2017-10-18.ana.ud398e54	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. The first question is from the representative Jonas Gahr Støre.
ParlaMint-NO_2017-10-18.ana.ud398e63	The state budget, which we saw last week, contains a series of petty cuts, we can now read. They hit the weak hard, but it has very little to say for the balance of the budget. The appropriations for organisations such as the Animal Alliance, the Geitmyra Food Culture Centre and the Matsentralen in Oslo were cut. I've been to Matsentralen, and it's a place that gets too little. There is a type of initiative supported by public funds that triggers a lot of private activity. They reduce food waste, they make sure that people who are not in the labour market get a job, and they also make sure that food comes to people who need it. I've been witnessing a strange sight this past week. The representatives of the Right and the Advance Party, and even the members of the government who have made the budget, are now out and canceling the support of the organisations they see as being cut and as they like. However, the Court of Justice, Wayback and Matvett are now to be supported. We'll hear that this is an accident at work. I am pleased that these organizations can now continue to do their work, which makes our society warmer and more environmentally friendly for a very cheap money, helps people with drug problems back to work, formerly convicted, etc. But the list is longer, because there is a pattern of cutting off organisations that are just preparing for the weakest, such as Gate Jurist, Legal Advice for Women, JURK, Jussbuss, Church City Mission, Crisis Centres, Norwegian Asylum Seeker Organisation and Free Legal Assistance in Oslo. But now, government members and representatives from the government parties have put us on track: this is about work accidents. Then my question is, can the Prime Minister clarify about cutting back on the support of the organisations I mentioned here, also about work accidents?
ParlaMint-NO_2017-10-18.ana.ud398e72	Let me start by saying that I think we must have put forward a very good government budget adapted to the economic situation. When it comes to this discussion, the representative of the main opposition party takes as its first question in the context of the state budget, I am pleased, because then we have actually put forward a government budget that seems to be adapted to the major challenges. In this state budget, it's over 11 billion. kr to non-governmental organisations of different types. This is an increase over the last year's budget of about 120 million. kr. But then there are reductions in some areas. There are different reasons for the different reductions. Some areas are justified by the fact that others have been strengthened. For example, in the case of legal advice, an important reason is that we spend almost 47 million dollars. kr more on the protection scheme, which is legal aid to the most vulnerable. That means there might be a little bit less need in other areas. And there has to be room for us to bet in one area. The major challenges in the future are that we need to find room for investment through redistribution, not just through extra funds all the time. In the field of the Minister of Agriculture, there are a number of organisations that have received support without objective criteria behind the aid. That is why we in the budget have removed support in this area. I think it is important that we think that there should be objective criteria for what support is given to the various departments and that there is a need to look through that kind of aid in the future. In terms of whether we know what's in the budget: yes, the entire government is behind the budget that has been put forward. In the case of Matvett, it is that they are supported by two departments. Among other things, they receive greater support from the Ministry of Climate and Environment than from the Ministry of Agriculture and Food, and the Ministry of Climate and Environment will continue to support them.
ParlaMint-NO_2017-10-18.ana.ud398e83	I can promise the Prime Minister a fierce debate on the state budget when we come to the finance debate and on the state budget. But we can say that the government wants to cut the funds of the Gate Lawyer, Jussbuss and more, so it's not a work accident, and the question is why. This is about principles. It's small amounts, but big political messages. Last week, the Prime Minister and I stood here, and then she talked about how it was right to cut the support of the Islamic Council of Norway, but to maintain support for the Human Rights Service because it contributes to diversity of opinion. This is in principle. Erna Solberg thought we had to put up with support for organizations we don't agree with. In other words, the Human Rights Service will receive support to contribute to the diversity of opinion – with arguments she felt were horrific as they drove photo persecution of people on the street – but the Gate lawyer, Legal advice for women and Jussbuss will not get it. Does the principle of using public money to preserve public opinion only apply when organisations – such as the Human Rights Service – support under the political agenda of the government parties, and not when they are critical of it?
ParlaMint-NO_2017-10-18.ana.ud398e90	It is not possible to go through the state budget and say that we have removed support for organisations that are critical of the government. At that time, we had a great savings potential, because very many of the organisations that receive support, and also some of those that get more, are strongly critical of government policies in different areas. It's like this with non-governmental organisations: they work for their agenda, their questions, their affairs. We had a discussion about the Human Rights Service in the previous round. This is the only organisation that has a different attitude to immigration than the others on that list. Then you can discuss whether there are good enough criteria, but last year there was a new criterion system for which support is to be given. At that time, Stortinget agreed to support more votes, including votes that differ from those who are positive and work for the rights of immigrants, within the same position. Human Rights Service has been supported by the State budget since 2005, and the amount of aid is now at the same level as it was in 2010.
ParlaMint-NO_2017-10-18.ana.ud398e97	There will be follow-up questions – first Lene Wagslid.
ParlaMint-NO_2017-10-18.ana.ud398e102	The person who is right will get right – not the strongest, not the one with the most resources. Nevertheless, access to legal help when one needs it is very different. It depends on whether you have a lot or little money, and the distance between having the right and getting the right is too big. We believe that we need to reduce that distance and not increase it, and in that context, the legal aid measure plays an important role. There's a right to justice, that more people who are right can actually get right. That's why I think the organizations that Jonas Gahr Støre mentions need far-sighted and proper framework conditions. When the government is now cutting off the legal aid measure – even though the Prime Minister seemed very satisfied with it – my question to the Prime Minister is: What will the Prime Minister say to those people who today receive the necessary help from organizations such as Jussbuss, such as the Gate Jurist, like JURK, who have no other alternative? What does the Prime Minister want to say to those people?
ParlaMint-NO_2017-10-18.ana.ud398e109	We are concerned that there should be a good legal protection for the weakest. One of the reasons we do re-priorities is that we implement a significant strengthening of the protection system, which has cost considerably more money. This means that there is more money for defence in this budget – because we have higher costs – for the very weakest, for lonely asylum seekers who come here and need protection, and for others who need protection and help in situations. Although there is a decrease in this year’s government budget for special legal aid measures, we propose a total of 35 million. NOK – there is still 4 million. kr higher than that in the 2013 budget. So if it's a scandal and it's terrible, you have to ask, what was the red-green government's own budget characteristic in 2013, which was 4 million? kr lower than what we have in this budget for legal aid?
ParlaMint-NO_2017-10-18.ana.ud398e116	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e121	Prime Minister Erna Solberg said that there should be objective criteria for which organisations should receive support. Therefore, all the organisations involved in building interests have been completely cut. It's not cut 10 pst., 20 pst., 30 pst. or 50 pst. - 100 pst. have been cut off from all organisations working with building interests. Is there an objective criterion for cutting support for all those organisations? One of the most demanding debates in the last year was on predatory policies. Interestingly, the organization that was critical of the government’s predatory policy has received 100 pst. Cut in its budget – absolutely everything – and get zero dollars, while the organisation that supported the government’s predatory policy receives more than $3 million. kr. What are the objective criteria for that?
ParlaMint-NO_2017-10-18.ana.ud398e129	From the budget of the Ministry of Agriculture and Food, there are some non-governmental organisations that have been supported, with the whole aid scheme being removed. One of the most supported organisations is 4H, a children’s and youth organisation that also receives support from other schemes, such as: the same support as all other children’s and youth organisations. In addition, they have received specific support for historical reasons because 4H has been more closely linked to agricultural policy and to agricultural development in the future. Something else you could ask questions about is whether it's right to continue with that kind of scheme. Overall, it's interesting to hear that you're busy with these cuts in such a large budget – with 11 billion. kr to the voluntary sector and by 120 million. kr in the increase of various items. We have e.g. the allocation of more money for action against child poverty, to voluntary measures for the most vulnerable groups. We have prioritised some of the areas in which we perceive that it is very important to get better action.
ParlaMint-NO_2017-10-18.ana.ud398e136	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e141	There is no reason to rejoice too early — the Prime Minister will have questions about all the other cuts she's behind, too. The government has announced tougher times. The big question is: tougher times for who? Judicial aid cuts and cuts to non-governmental organisations are just some of the many cuts proposed in this budget and in the past. It's cut off the day-to-day allowance for the unemployed. We know that many people who have medications on white prescription, now fear large increases in expenses. We've seen the parental rebellion against cuts in care money. In the past, we have increased the proportions of cancer and fire damage. Poor caregivers have lost money. Alone caregivers have lost money. People who have lost their jobs have been taxed on the termination allowance. But there's always someone who gets more of this government. This time it is, for example. those with a share capital. My question to the Prime Minister is, when she says that everyone in Norway who can work now has to work, why does the Prime Minister think that people who have a lot more, if they get more, and that people who have little, provide more if they get less?
ParlaMint-NO_2017-10-18.ana.ud398e152	The comment to which the representative refers is about the changes in the right to benefit from the day-to-day allowance. The change is that you have to earn 1.5 G in the last year in order to earn the right to profit. We think it's right that even if you choose to do other things, for example. have a year off, have a part-time job or leave the labour market for various reasons, it is advisable to have a link with the labour market. 1.5 G as the minimum link to get the daily allowance in the future, we think we're healthy for everyone. It is not the case that those who become unemployed directly from a job receive less daily allowance. We also extend the benefit base from 1.5 G. Care allowance, sickness benefit and study support will now also be included in that scheme. So it will be those who for other reasons choose not to work a year before they become unemployed, who should earn 1.5 G and have a relationship with the world of work. I believe that this is an important form of motivation for everyone to have a close relationship with the future of working life.
ParlaMint-NO_2017-10-18.ana.ud398e157	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e162	It's a little confusing what's the main theme of this question, and it's also a little confusing from what the Workers' Party said the main theme of the question was. But I'm going to try to stick to the question that was originally asked – in fear of being clubbed by the president. What amazes me a little bit in what the Prime Minister answers is that you cut off non-governmental organisations because you've been so good at government arrangements. I can't understand that is traditional, good right-wing policy – that you want the government arrangements to grow, and then cut into the efforts of volunteers to do the job that government arrangements have been asked to take over. My question to the Prime Minister is: Is it a desire to have a lower degree of volunteering, or is it a desire to build up the state arrangements, so that they become larger and volunteering becomes less? Is it the ideological grip taken in this budget?
ParlaMint-NO_2017-10-18.ana.ud398e171	The ideological grip can be seen through 11 billion. DKK to non-governmental organisations and 120 million. kr in increase. New projects and other areas need to be measured against those changes. However, in some areas, making better rights-based schemes — such as the protection scheme, how minors and those in need in Norway have improved and where we spend more money on it — is a prerequisite that it is also likely that there will be less demand for other types of legal assistance, which has often met the needs for relief. That is why we have – of course also on the basis of a general idea that we need not only to spend more on a budget each time, but also to find new arrangements that are getting better – that we also need to adjust and see where we can reduce expenditure. That is not an ideological attitude. But in some areas, when making the schemes more rights-based and state-based, it also provides the basis for reducing the activity of volunteers.
ParlaMint-NO_2017-10-18.ana.ud398e176	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e181	When I hear some of the posts earlier here, I think back to the red-green period, when we developed the sentence: the free will lives off the light, but dies under compulsion. One of the most important things we have been ideologically agreed on has just been that volunteering needs the most freedom possible to flourish and to do the important tasks that volunteering does. I have no faith that the Prime Minister wants to cut in or take away the volunteer – I know how busy she is of it. But when we go through the budget, we see quite systematically that it's all about cutting off important posts to non-governmental organisations, whether it's organisations working with children and youth and doing a fantastic job, or it's those who do an important job for those who need it the most. The Ministry of Agriculture and Food has been mentioned. There is a justification that the operation of non-governmental organisations should be carried out independently and not dependent on support from the country. Is there a reason that the government is behind, or is it just one that comes from the Ministry of Agriculture and Food?
