Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2019-12-20-1	ParlaMint-BA_2019-12-20-1.u55	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03	2019-12-20	Unicameralism	8. mandat	-	Sjednica 03	2020-01-16	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2019-12-20-1	ParlaMint-BA_2019-12-20-1.u56	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03	2019-12-20	Unicameralism	8. mandat	-	Sjednica 03	2020-01-16	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ŽivkovićGordana	Živković, Gordana	U	-	
ParlaMint-BA-en_2019-12-20-1	ParlaMint-BA_2019-12-20-1.u57	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03	2019-12-20	Unicameralism	8. mandat	-	Sjednica 03	2020-01-16	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2019-12-20-1	ParlaMint-BA_2019-12-20-1.u58	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03	2019-12-20	Unicameralism	8. mandat	-	Sjednica 03	2020-01-16	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2019-12-20-1	ParlaMint-BA_2019-12-20-1.u59	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03	2019-12-20	Unicameralism	8. mandat	-	Sjednica 03	2020-01-16	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2019-12-20-1	ParlaMint-BA_2019-12-20-1.u60	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03	2019-12-20	Unicameralism	8. mandat	-	Sjednica 03	2020-01-16	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2019-12-20-1	ParlaMint-BA_2019-12-20-1.u61	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03	2019-12-20	Unicameralism	8. mandat	-	Sjednica 03	2020-01-16	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2019-12-20-1	ParlaMint-BA_2019-12-20-1.u62	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03	2019-12-20	Unicameralism	8. mandat	-	Sjednica 03	2020-01-16	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2019-12-20-1	ParlaMint-BA_2019-12-20-1.u63	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03	2019-12-20	Unicameralism	8. mandat	-	Sjednica 03	2020-01-16	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2019-12-20-1	ParlaMint-BA_2019-12-20-1.u64	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03	2019-12-20	Unicameralism	8. mandat	-	Sjednica 03	2020-01-16	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2019-12-20-1	ParlaMint-BA_2019-12-20-1.u65	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03	2019-12-20	Unicameralism	8. mandat	-	Sjednica 03	2020-01-16	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
