Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u34	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	IzetbegovićBakir	Izetbegović, Bakir	M	1956	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u37	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u38	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	IzetbegovićBakir	Izetbegović, Bakir	M	1956	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u40	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u41	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	IzetbegovićBakir	Izetbegović, Bakir	M	1956	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u42	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u43	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	IzetbegovićBakir	Izetbegović, Bakir	M	1956	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u44	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u45	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	IzetbegovićBakir	Izetbegović, Bakir	M	1956	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u46	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u47	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	IzetbegovićBakir	Izetbegović, Bakir	M	1956	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u48	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2019-03-13-0	ParlaMint-BA_2019-03-13-0.u49	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 02	2019-03-13	Unicameralism	8. mandat	-	Sjednica 02	2019-12-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	IzetbegovićBakir	Izetbegović, Bakir	M	1956	
