ParlaMint-FI_2019-11-06-ps-59.u1	The fourth item in the order of business will be presented for the referral.
ParlaMint-FI_2019-11-06-ps-59.u2	Mr President! There is a Government proposal 64 related to the amendment of the Employment Pensions Act and the Health Insurance Act. I would have liked to ask the Minister about this, but unfortunately he is not here. When the matter has been dealt with here and opinions have been requested, the Welfare sector HALI says here and suggests that a time-out should be taken in the preparation of the law, in which case the impact of the proposal on tax and pension income will be examined in greater detail and the impact of the proposal on the shortage of doctors as a new point of view. I would have liked to know what this means. Does this presentation have a potential effect on the shortage of doctors or on the relief of the shortage of doctors? This proposal is strongly linked to the idea of a care guarantee, because we want more doctors and we do not want legislation that would not bring these doctors.
ParlaMint-FI_2019-11-06-ps-59.u3	The conversation is... Let's see. — All right, Mr Essayah.
ParlaMint-FI_2019-11-06-ps-59.u4	Thank you, Mr President. There is a somewhat confusing situation here, but this is a rather important legislative package relating to the amendment of legislation on occupational pensions and health insurance. I wonder if this is what the Minister is going to present, or are we going to have a debate here, even though the Minister is in the Chamber? However, this is a government proposal, and in that sense I am now a little confused. The President was already closing the whole debate, but is the rapporteur coming? Or isn't he?
ParlaMint-FI_2019-11-06-ps-59.u5	We are having a debate and the Minister has the right to participate in the debate.
ParlaMint-FI_2019-11-06-ps-59.u6	Mr President! I'm glad the minister showed up. I do not know if you have heard, but, in fact, Mrs Juvonen has asked a very relevant question. Recently, we have been talking about a social welfare reform, a nurse's guarantee and access to a doctor and all sorts of ways to get us new doctors. It has been suggested that there will be a thousand new doctors. In fact, I would also like to ask if you have any plans, how to get these doctors now and where to get more of them. It was a very important question for Mr Juvosen as to what the effects of this proposal are, whether to reduce the number of doctors here or whether to increase the number of doctors here. It is good that our representatives from the People's Republic of Finland are awake, so that this debate, too, did not go into the clous very quickly, so to speak. Mr Juvonen has rightly raised a very important question.
ParlaMint-FI_2019-11-06-ps-59.u7	Mr President! Thank you for the second speech. Indeed, we have a thick piece of legislation in our hands, and I draw attention to the view of the welfare sector HALI that this drafting of the law should take a time-out and also ask for an impact assessment. The medical shortage is mentioned here as a new point of view, and I would like to ask you now that this hugely thick bill is, of course, strongly linked to your intention to provide a care guarantee: Does this government proposal have an effect to increase the shortage of doctors or to alleviate the shortage of doctors? Very important questions. And how do you respond to this view of HAL? Just as Mr Meri said, this improvement in the availability of doctors is a top priority, and it is very important that we stick to it. Let us talk about the fact that we need those doctors, not about the multiprofessional team, what you, the government, want to tell us. Finns want to see a doctor, and it is therefore extremely worrying whether the proposal will have an effect that will increase the shortage of doctors.
ParlaMint-FI_2019-11-06-ps-59.u8	Mr President! Good thing the Finns kept the conversation alive. [Leena Sea interlude] We have a shortage of doctors in this country. In recent days there has also been widespread news that health centres are in a deep crisis: there is no access to a doctor. There is talk of a nurse's guarantee and access to care, and it has been reported that more doctors will be hired next year through the central health programme for 70 million. But then experts have told us that $70 million cannot be used to hire doctors. Now, of course, it would be good to find out whether or not this $70 million is available for the Health Centre Programme to recruit supplementary doctors.
ParlaMint-FI_2019-11-06-ps-59.u9	Mr President! Indeed, thank you to the Finns and Christian Democrats for giving the floor here so that the ministers could at least be placed in the Chamber for a moment. Looks like another minister left. [Department : Second Skid! ] But indeed: Finland has very good special care, but our primary health care is the most unequal in the OECD countries. There's no access to the health centers. There are unemployed people, families with children, pensioners. Now that the government has well promised that 1,000 doctors will come, I hope to hear how this bill will affect the availability of doctors. And I would like the ministers or government representatives to tell me what kind of measures are actually being taken to get these 1000 doctors. We were delighted to hear it when Minister Kiuru said that now EUR 70 million will be put in the search, the regions will be able to apply. And the minister said that if this money doesn't get those doctors, then there's no way. But now that the STM officials have said, after the Minister has spoken, that no doctors can be hired and that this goes into development projects, would it be right and reasonable for Parliament to know what this money can be spent on and what money is going to be used for these doctors? We want the Assembly in the parliamentary group to have access to social and health services. We really think it is wrong for pensioners not to get to the health centre, not families with children, not the unemployed. We ourselves can use occupational health care here in Parliament.
ParlaMint-FI_2019-11-06-ps-59.u10	Mr President! I would have liked to take a look at these substance questions of the performance itself. Firstly, it is suggested that if an employee has been aware that the employer has failed to pay his pension obligations, no pension will accrue for that period. I would have liked to know how the ministry has taken note of the fact that many of these situations may be related, for example, to the fact that this worker has been in some kind of understated position, perhaps even in forced employment or in a similar employment relationship. So he may well have been aware that his employer does not necessarily make these payments. Nevertheless, it seems quite unreasonable that the worker is the one who is suffering from the fact that he does not have a pension. Consider, for example, human trafficking situations or similar situations, the worker may have a very strong suspicion that no pension contributions will be paid. And in that sense I would have liked to know from the Minister whether it has been taken into account that in such a situation, for example, pension cover will then be available to the worker if this happens. Then the second question relates to this point of the proposal, which concerns the fact that which pension institution solves this pension application and, in fact, slightly derived from it: we know that there has been a lot of discussion around these wars about the fact that when outsourcing is carried out and these workers move to the private side, these contributions are lower than in Spring. When, at least in the last period, there were strong doubts as to whether these so-called uncovered pension liabilities were managed in that Spring, I would have asked whether or not the fact that pension contributions are different in different pension institutions would have an impact on the possible social security solutions of this government. And thirdly, when we talk here about this right to pension from unpaid periods. In Finland, we have so-called imputed pension accumulated during home care support and also through studies leading to a degree. This is something I have been working on to some extent and I have come to the confusing conclusion that these pension liabilities are currently not funded. In other words, those pension liabilities will be paid to future governments at the time when these people, such as those who have now been supported by home care, are going to claim their own pension cover. And I understand it's all about billion-dollar responsibilities. In 2002, when this matter has been dealt with here in Parliament, these few benefits have been added, but these are not funded. It's been promised that we'll find out along the way. But we haven't figured it out. And we have unfunded pension liabilities there, which are these so-called pension liabilities from imputed pension periods.
ParlaMint-FI_2019-11-06-ps-59.u11	Mr President! This is indeed where I share the concern of the other representatives. We have such a good way here that ministers present such remarkable legislative changes, and actually a little thought that proudly present their own ministries and administrative reforms here, and I would like to do so. I would like to draw your attention to the same thing as Mrs Essayah, to the idea that there is no pension for the employee if, for some reason, the employer has not increased it and paid it, and if the worker has been aware of this: That's a pretty big responsibility right now we're putting on an employee. After all, there may be many reasons why he does not engage in such activities, for example, to report the matter in some way. I would like the Minister to be able to open this up a little, which has been the motive for such a drastic change.
