Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2019-06-07-ps-14	ParlaMint-FI_2019-06-07-ps-14.u1	Minutes of the Finnish Parliament's plenary session 14/2019, 2019-06-07	2019-06-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 14	2019-06-07	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
ParlaMint-FI-en_2019-06-07-ps-14	ParlaMint-FI_2019-06-07-ps-14.u2	Minutes of the Finnish Parliament's plenary session 14/2019, 2019-06-07	2019-06-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 14	2019-06-07	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
ParlaMint-FI-en_2019-06-07-ps-14	ParlaMint-FI_2019-06-07-ps-14.u3	Minutes of the Finnish Parliament's plenary session 14/2019, 2019-06-07	2019-06-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 14	2019-06-07	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
ParlaMint-FI-en_2019-06-07-ps-14	ParlaMint-FI_2019-06-07-ps-14.u4	Minutes of the Finnish Parliament's plenary session 14/2019, 2019-06-07	2019-06-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 14	2019-06-07	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
ParlaMint-FI-en_2019-06-07-ps-14	ParlaMint-FI_2019-06-07-ps-14.u5	Minutes of the Finnish Parliament's plenary session 14/2019, 2019-06-07	2019-06-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 14	2019-06-07	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
ParlaMint-FI-en_2019-06-07-ps-14	ParlaMint-FI_2019-06-07-ps-14.u6	Minutes of the Finnish Parliament's plenary session 14/2019, 2019-06-07	2019-06-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 14	2019-06-07	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
ParlaMint-FI-en_2019-06-07-ps-14	ParlaMint-FI_2019-06-07-ps-14.u7	Minutes of the Finnish Parliament's plenary session 14/2019, 2019-06-07	2019-06-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 14	2019-06-07	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
ParlaMint-FI-en_2019-06-07-ps-14	ParlaMint-FI_2019-06-07-ps-14.u8	Minutes of the Finnish Parliament's plenary session 14/2019, 2019-06-07	2019-06-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 14	2019-06-07	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-07-ps-14	ParlaMint-FI_2019-06-07-ps-14.u9	Minutes of the Finnish Parliament's plenary session 14/2019, 2019-06-07	2019-06-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 14	2019-06-07	-	Reference	English	Chairperson	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	JuhoEerola	Eerola, Juho	M	1975	
ParlaMint-FI-en_2019-06-07-ps-14	ParlaMint-FI_2019-06-07-ps-14.u10	Minutes of the Finnish Parliament's plenary session 14/2019, 2019-06-07	2019-06-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 14	2019-06-07	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
ParlaMint-FI-en_2019-06-07-ps-14	ParlaMint-FI_2019-06-07-ps-14.u11	Minutes of the Finnish Parliament's plenary session 14/2019, 2019-06-07	2019-06-07	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 14	2019-06-07	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MattiVanhanen	Vanhanen, Matti	M	1955	
