Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u1	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u2	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u3	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u4	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u5	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u6	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u7	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u8	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u9	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u10	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u11	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u12	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u13	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u14	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Chairperson	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	TuulaHaatainen	Haatainen, Tuula	F	1960	
ParlaMint-FI-en_2019-06-18-ps-19	ParlaMint-FI_2019-06-18-ps-19.u15	Minutes of the Finnish Parliament's plenary session 19/2019, 2019-06-18	2019-06-18	Unicameralism	Vaalikausi 2019	Valtiopäivät 2019	Täysistunto 19	2019-06-18	-	Reference	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	MikkoKärnä	Kärnä, Mikko	M	1980	
